sample_id,replicate_id,grid_id,topology_id,parameter_names,sensitivity_norms,singular_values,condition_number,effective_rank,low_sensitivity,experiment_scientific_hash
final01_test_in_01,final01,A_stage4a1_quick61,G001,"main_length_scale,branch_length_scale,branch_load_scale,source_impedance_ohm,receiver_impedance_ohm",[9.5588958 0 0 0.19505661 0.48180237],[9.558897 0.51832808 0.038630867 6.3064008e-18 6.9174096e-19],Inf,3,[false true true true false],2b57ad667460add303b33479b5da8e8e496a2d188b509d1fcaa9a88f01c73cda
final01_test_in_02,final01,A_stage4a1_quick61,G002,"main_length_scale,branch_length_scale,branch_load_scale,source_impedance_ohm,receiver_impedance_ohm",[7.596265 1.0587147 0.183596 0.1557433 0.34791669],[7.6058111 0.98810268 0.389187 0.15904317 0.040709753],186.830195342521,5,[false false true true true],2b57ad667460add303b33479b5da8e8e496a2d188b509d1fcaa9a88f01c73cda
final01_test_in_02,final01,A_stage4a1_quick61,G005,"main_length_scale,branch_length_scale,branch_load_scale,source_impedance_ohm,receiver_impedance_ohm",[7.5964078 1.0614635 0.18400602 0.15700296 0.34685259],[7.605961 0.99099994 0.38890798 0.15910853 0.040531554],187.65530051289,5,[false false true true true],2b57ad667460add303b33479b5da8e8e496a2d188b509d1fcaa9a88f01c73cda
final01_test_in_03,final01,A_stage4a1_quick61,G003,"main_length_scale,branch_length_scale,branch_load_scale,source_impedance_ohm,receiver_impedance_ohm",[8.0450316 1.0989673 0.20307702 0.1589866 0.36550814],[8.0586705 0.99412472 0.40929855 0.17767174 0.028799676],279.818093730643,5,[false false true true true],2b57ad667460add303b33479b5da8e8e496a2d188b509d1fcaa9a88f01c73cda
final01_test_in_04,final01,A_stage4a1_quick61,G004,"main_length_scale,branch_length_scale,branch_load_scale,source_impedance_ohm,receiver_impedance_ohm",[5.9151681 1.1361817 0.20075598 0.10774509 0.29569267],[5.9578764 0.88542642 0.34473853 0.14072368 0.023461009],253.948003892021,5,[false false true true true],2b57ad667460add303b33479b5da8e8e496a2d188b509d1fcaa9a88f01c73cda
final01_test_in_04,final01,A_stage4a1_quick61,G007,"main_length_scale,branch_length_scale,branch_load_scale,source_impedance_ohm,receiver_impedance_ohm",[5.9053809 1.1342857 0.20067558 0.10542654 0.29895322],[5.9479091 0.88469065 0.34629377 0.14089218 0.028564891],208.224462905749,5,[false false true true false],2b57ad667460add303b33479b5da8e8e496a2d188b509d1fcaa9a88f01c73cda
final01_test_in_05,final01,A_stage4a1_quick61,G002,"main_length_scale,branch_length_scale,branch_load_scale,source_impedance_ohm,receiver_impedance_ohm",[6.5540821 0.84593436 0.14895574 0.13467287 0.35738656],[6.561834 0.78354886 0.38648107 0.13308541 0.030892652],212.407598265028,5,[false false true true false],2b57ad667460add303b33479b5da8e8e496a2d188b509d1fcaa9a88f01c73cda
final01_test_in_05,final01,A_stage4a1_quick61,G005,"main_length_scale,branch_length_scale,branch_load_scale,source_impedance_ohm,receiver_impedance_ohm",[6.5529869 0.88498514 0.15449591 0.13352873 0.36429577],[6.5621802 0.81402869 0.39295484 0.1368307 0.035472815],184.991809642384,5,[false false true true false],2b57ad667460add303b33479b5da8e8e496a2d188b509d1fcaa9a88f01c73cda
final01_test_in_06,final01,A_stage4a1_quick61,G006,"main_length_scale,branch_length_scale,branch_load_scale,source_impedance_ohm,receiver_impedance_ohm",[6.376532 1.3991803 0.24745369 0.10321198 0.32498893],[6.4503059 1.0058042 0.38423715 0.17078517 0.021816377],295.663474272782,5,[false false true true false],2b57ad667460add303b33479b5da8e8e496a2d188b509d1fcaa9a88f01c73cda
final01_test_in_07,final01,A_stage4a1_quick61,G004,"main_length_scale,branch_length_scale,branch_load_scale,source_impedance_ohm,receiver_impedance_ohm",[5.8330825 1.1680843 0.21202705 0.11530514 0.2801183],[5.8658719 0.99037804 0.33875223 0.14636992 0.022605429],259.489521593241,5,[false false true true true],2b57ad667460add303b33479b5da8e8e496a2d188b509d1fcaa9a88f01c73cda
final01_test_in_07,final01,A_stage4a1_quick61,G007,"main_length_scale,branch_length_scale,branch_load_scale,source_impedance_ohm,receiver_impedance_ohm",[5.8336853 1.1681995 0.21204396 0.11268617 0.28393713],[5.8664704 0.99052205 0.34056428 0.14646284 0.028489013],205.920449875476,5,[false false true true true],2b57ad667460add303b33479b5da8e8e496a2d188b509d1fcaa9a88f01c73cda
final01_test_out_main_length_scale_near,final01,A_stage4a1_quick61,G001,"main_length_scale,branch_length_scale,branch_load_scale,source_impedance_ohm,receiver_impedance_ohm",[9.3478282 0 0 0.182761 0.48659264],[9.3478283 0.51811211 0.041626752 5.6222873e-18 6.8070082e-19],Inf,3,[false true true true false],2b57ad667460add303b33479b5da8e8e496a2d188b509d1fcaa9a88f01c73cda
final01_test_out_branch_length_scale_medium,final01,A_stage4a1_quick61,G002,"main_length_scale,branch_length_scale,branch_load_scale,source_impedance_ohm,receiver_impedance_ohm",[6.6925432 0.94286523 0.16477122 0.14725559 0.34512285],[6.7004228 0.8852002 0.38166873 0.14395199 0.037865419],176.953616495438,5,[false false true true false],2b57ad667460add303b33479b5da8e8e496a2d188b509d1fcaa9a88f01c73cda
final01_test_out_branch_length_scale_medium,final01,A_stage4a1_quick61,G005,"main_length_scale,branch_length_scale,branch_load_scale,source_impedance_ohm,receiver_impedance_ohm",[6.7068935 0.94805528 0.16572422 0.14873545 0.34394114],[6.7148079 0.89032483 0.38131684 0.1446257 0.038325713],175.203732157524,5,[false false true true false],2b57ad667460add303b33479b5da8e8e496a2d188b509d1fcaa9a88f01c73cda
final01_test_out_branch_load_scale_far,final01,A_stage4a1_quick61,G003,"main_length_scale,branch_length_scale,branch_load_scale,source_impedance_ohm,receiver_impedance_ohm",[8.1231665 1.1620861 0.21527915 0.15009845 0.38800683],[8.1399108 1.0383424 0.4281412 0.18750472 0.030597975],266.027764778373,5,[false false true true true],2b57ad667460add303b33479b5da8e8e496a2d188b509d1fcaa9a88f01c73cda
final01_test_out_source_impedance_ohm_near,final01,A_stage4a1_quick61,G004,"main_length_scale,branch_length_scale,branch_load_scale,source_impedance_ohm,receiver_impedance_ohm",[5.8572595 1.3074094 0.2299327 0.1083719 0.31655375],[5.9085826 1.0514821 0.37471715 0.15366955 0.025261492],233.896817306786,5,[false false true true false],2b57ad667460add303b33479b5da8e8e496a2d188b509d1fcaa9a88f01c73cda
final01_test_out_source_impedance_ohm_near,final01,A_stage4a1_quick61,G007,"main_length_scale,branch_length_scale,branch_load_scale,source_impedance_ohm,receiver_impedance_ohm",[5.8780647 1.3226617 0.23279492 0.10689372 0.32226173],[5.9321585 1.0539128 0.37994532 0.15483535 0.031322383],189.390394595045,5,[false false true true false],2b57ad667460add303b33479b5da8e8e496a2d188b509d1fcaa9a88f01c73cda
final01_test_out_receiver_impedance_ohm_medium,final01,A_stage4a1_quick61,G002,"main_length_scale,branch_length_scale,branch_load_scale,source_impedance_ohm,receiver_impedance_ohm",[8.0063038 1.251726 0.21243774 0.18087048 0.32565642],[8.0272634 1.1094405 0.38668282 0.18107527 0.038560937],208.170861819408,5,[false false true true true],2b57ad667460add303b33479b5da8e8e496a2d188b509d1fcaa9a88f01c73cda
final01_test_out_receiver_impedance_ohm_medium,final01,A_stage4a1_quick61,G005,"main_length_scale,branch_length_scale,branch_load_scale,source_impedance_ohm,receiver_impedance_ohm",[7.7791523 1.1766695 0.20213179 0.18098636 0.31712965],[7.7966317 1.0546983 0.37723475 0.17342645 0.041347042],188.565644468813,5,[false false true true true],2b57ad667460add303b33479b5da8e8e496a2d188b509d1fcaa9a88f01c73cda
final01_test_out_joint_parameter_set_far,final01,A_stage4a1_quick61,G004,"main_length_scale,branch_length_scale,branch_load_scale,source_impedance_ohm,receiver_impedance_ohm",[4.4783144 0.81587448 0.1515673 0.095226305 0.26828095],[4.4951807 0.71759223 0.29995837 0.11382595 0.021135653],212.682368442877,5,[false false true true false],2b57ad667460add303b33479b5da8e8e496a2d188b509d1fcaa9a88f01c73cda
final01_test_out_joint_parameter_set_far,final01,A_stage4a1_quick61,G007,"main_length_scale,branch_length_scale,branch_load_scale,source_impedance_ohm,receiver_impedance_ohm",[4.4783384 0.81587741 0.15156771 0.092369691 0.27204051],[4.4952049 0.71759912 0.30219644 0.11366213 0.02499078],179.874535118868,5,[false false true true false],2b57ad667460add303b33479b5da8e8e496a2d188b509d1fcaa9a88f01c73cda
final02_test_in_01,final02,A_stage4a1_quick61,G001,"main_length_scale,branch_length_scale,branch_load_scale,source_impedance_ohm,receiver_impedance_ohm",[10.285988 0 0 0.21349424 0.4685827],[10.28599 0.51356982 0.036750821 4.6466957e-18 3.0568477e-19],Inf,3,[false true true true true],2b57ad667460add303b33479b5da8e8e496a2d188b509d1fcaa9a88f01c73cda
final02_test_in_02,final02,A_stage4a1_quick61,G002,"main_length_scale,branch_length_scale,branch_load_scale,source_impedance_ohm,receiver_impedance_ohm",[7.243892 0.95720201 0.16861182 0.14828896 0.35327095],[7.2581058 0.84286186 0.39014217 0.14541723 0.039420915],184.118147945173,5,[false false true true true],2b57ad667460add303b33479b5da8e8e496a2d188b509d1fcaa9a88f01c73cda
final02_test_in_02,final02,A_stage4a1_quick61,G005,"main_length_scale,branch_length_scale,branch_load_scale,source_impedance_ohm,receiver_impedance_ohm",[7.2483506 0.95965278 0.16882172 0.14857376 0.35294332],[7.2627214 0.84421612 0.39021822 0.14536152 0.037959774],191.326781863654,5,[false false true true true],2b57ad667460add303b33479b5da8e8e496a2d188b509d1fcaa9a88f01c73cda
final02_test_in_03,final02,A_stage4a1_quick61,G003,"main_length_scale,branch_length_scale,branch_load_scale,source_impedance_ohm,receiver_impedance_ohm",[7.8807367 0.96522691 0.1773847 0.14885268 0.36476002],[7.8901266 0.88528051 0.40134973 0.15664127 0.03012859],261.881705577287,5,[false false true true true],2b57ad667460add303b33479b5da8e8e496a2d188b509d1fcaa9a88f01c73cda
