sample_id,replicate_id,grid_id,topology_id,category,outlier_dimension,outlier_severity,eta,in_distance,ext_distance,lambda,relative_improvement,extended_outside,boundary_hit,outward_decrease,minimum_boundary_distance,minimum_sensitivity,condition_number,effective_rank,optimization_converged,experiment_scientific_hash
final01_test_in_01,final01,A_stage4a1_quick61,G001,parameter_in_domain,,,0.5,0.00664960692871765,0.000170639633262536,4.41881544220099e-05,0.974338387807566,1,1,1,0,0,Inf,3,0,2b57ad667460add303b33479b5da8e8e496a2d188b509d1fcaa9a88f01c73cda
final01_test_in_02,final01,A_stage4a1_quick61,G002,parameter_in_domain,,,0.5,0.00492997651693689,0.00184839750747164,2.08880951119218e-05,0.625069713466878,0,1,0,0.000320985642135674,0.155743303944964,186.830195342521,5,0,2b57ad667460add303b33479b5da8e8e496a2d188b509d1fcaa9a88f01c73cda
final01_test_in_02,final01,A_stage4a1_quick61,G005,parameter_in_domain,,,0.5,0.00489834229085075,0.00190113634167452,2.03794378087014e-05,0.611881687844193,0,1,0,0.000321010937244681,0.157002957971435,187.65530051289,5,0,2b57ad667460add303b33479b5da8e8e496a2d188b509d1fcaa9a88f01c73cda
final01_test_in_03,final01,A_stage4a1_quick61,G003,parameter_in_domain,,,0.5,0.0327773904003556,0.00932612600328775,0.000987380695228127,0.715470759261481,1,1,1,0.000113802097050364,0.158986595596242,279.818093730643,5,0,2b57ad667460add303b33479b5da8e8e496a2d188b509d1fcaa9a88f01c73cda
final01_test_in_04,final01,A_stage4a1_quick61,G004,parameter_in_domain,,,0.5,0.0262066456294908,0.00263123356127846,0.000679864885095713,0.899596705378537,0,1,0,1.53138723320012e-06,0.107745089953411,253.948003892021,5,0,2b57ad667460add303b33479b5da8e8e496a2d188b509d1fcaa9a88f01c73cda
final01_test_in_04,final01,A_stage4a1_quick61,G007,parameter_in_domain,,,0.5,0.0170921188313568,0.00268454598717063,0.000284933738987989,0.842936618069344,0,1,0,0.000154592169664625,0.105426542975924,208.224462905749,5,0,2b57ad667460add303b33479b5da8e8e496a2d188b509d1fcaa9a88f01c73cda
final01_test_in_05,final01,A_stage4a1_quick61,G002,parameter_in_domain,,,0.5,0.0155446930233189,0.0146925770019689,2.57656622304315e-05,0.0548171662198046,0,1,0,0.000167376919188911,0.134672868475077,212.407598265028,5,0,2b57ad667460add303b33479b5da8e8e496a2d188b509d1fcaa9a88f01c73cda
final01_test_in_05,final01,A_stage4a1_quick61,G005,parameter_in_domain,,,0.5,0.0145572152689656,0.013881016698654,1.92298917986955e-05,0.0464510936859457,0,1,0,0.000151563659695597,0.13352873380052,184.991809642384,5,0,2b57ad667460add303b33479b5da8e8e496a2d188b509d1fcaa9a88f01c73cda
final01_test_in_06,final01,A_stage4a1_quick61,G006,parameter_in_domain,,,0.5,0.0175626155875346,0.00342670373889901,0.000296703167761328,0.804886480454764,1,1,1,3.433433349187e-06,0.103211975025564,295.663474272782,5,0,2b57ad667460add303b33479b5da8e8e496a2d188b509d1fcaa9a88f01c73cda
final01_test_in_07,final01,A_stage4a1_quick61,G004,parameter_in_domain,,,0.5,0.0149880262026701,0.0147963726155646,5.70828687329559e-06,0.0127871131596082,0,0,0,0.0714021556200238,0.115305141352723,259.489521593241,5,0,2b57ad667460add303b33479b5da8e8e496a2d188b509d1fcaa9a88f01c73cda
final01_test_in_07,final01,A_stage4a1_quick61,G007,parameter_in_domain,,,0.5,0.0149880242006047,0.014794943419528,5.75051865087819e-06,0.0128823371566253,0,0,0,0.0714021556200238,0.112686167399757,205.920449875476,5,0,2b57ad667460add303b33479b5da8e8e496a2d188b509d1fcaa9a88f01c73cda
