sample_id,replicate_id,grid_id,category,outlier_dimension,outlier_severity,parameter_domain_truth,truth_topology_id,truth_is_nonunique,truth_equivalence_class
final01_test_in_01,final01,A_stage4a1_quick61,parameter_in_domain,,,in_domain,G001,0,"{G001}"
final01_test_in_01,final01,A_stage4a1_quick61,parameter_in_domain,,,in_domain,G001,0,"{G001}"
final01_test_in_01,final01,A_stage4a1_quick61,parameter_in_domain,,,in_domain,G001,0,"{G001}"
final01_test_in_01,final01,A_stage4a1_quick61,parameter_in_domain,,,in_domain,G001,0,"{G001}"
final01_test_in_02,final01,A_stage4a1_quick61,parameter_in_domain,,,in_domain,G002,1,"{G002,G005}"
final01_test_in_02,final01,A_stage4a1_quick61,parameter_in_domain,,,in_domain,G002,1,"{G002,G005}"
final01_test_in_02,final01,A_stage4a1_quick61,parameter_in_domain,,,in_domain,G002,1,"{G002,G005}"
final01_test_in_02,final01,A_stage4a1_quick61,parameter_in_domain,,,in_domain,G002,1,"{G002,G005}"
final01_test_in_03,final01,A_stage4a1_quick61,parameter_in_domain,,,in_domain,G003,0,"{G003}"
final01_test_in_03,final01,A_stage4a1_quick61,parameter_in_domain,,,in_domain,G003,0,"{G003}"
final01_test_in_03,final01,A_stage4a1_quick61,parameter_in_domain,,,in_domain,G003,0,"{G003}"
final01_test_in_03,final01,A_stage4a1_quick61,parameter_in_domain,,,in_domain,G003,0,"{G003}"
final01_test_in_04,final01,A_stage4a1_quick61,parameter_in_domain,,,in_domain,G004,1,"{G004,G007}"
final01_test_in_04,final01,A_stage4a1_quick61,parameter_in_domain,,,in_domain,G004,1,"{G004,G007}"
final01_test_in_04,final01,A_stage4a1_quick61,parameter_in_domain,,,in_domain,G004,1,"{G004,G007}"
final01_test_in_04,final01,A_stage4a1_quick61,parameter_in_domain,,,in_domain,G004,1,"{G004,G007}"
final01_test_in_05,final01,A_stage4a1_quick61,parameter_in_domain,,,in_domain,G005,1,"{G002,G005}"
final01_test_in_05,final01,A_stage4a1_quick61,parameter_in_domain,,,in_domain,G005,1,"{G002,G005}"
final01_test_in_05,final01,A_stage4a1_quick61,parameter_in_domain,,,in_domain,G005,1,"{G002,G005}"
final01_test_in_05,final01,A_stage4a1_quick61,parameter_in_domain,,,in_domain,G005,1,"{G002,G005}"
final01_test_in_06,final01,A_stage4a1_quick61,parameter_in_domain,,,in_domain,G006,0,"{G006}"
final01_test_in_06,final01,A_stage4a1_quick61,parameter_in_domain,,,in_domain,G006,0,"{G006}"
final01_test_in_06,final01,A_stage4a1_quick61,parameter_in_domain,,,in_domain,G006,0,"{G006}"
final01_test_in_06,final01,A_stage4a1_quick61,parameter_in_domain,,,in_domain,G006,0,"{G006}"
final01_test_in_07,final01,A_stage4a1_quick61,parameter_in_domain,,,in_domain,G007,1,"{G004,G007}"
final01_test_in_07,final01,A_stage4a1_quick61,parameter_in_domain,,,in_domain,G007,1,"{G004,G007}"
final01_test_in_07,final01,A_stage4a1_quick61,parameter_in_domain,,,in_domain,G007,1,"{G004,G007}"
final01_test_in_07,final01,A_stage4a1_quick61,parameter_in_domain,,,in_domain,G007,1,"{G004,G007}"
final01_test_out_main_length_scale_near,final01,A_stage4a1_quick61,parameter_out_of_domain,main_length_scale,near,out_of_domain,G001,0,"{G001}"
final01_test_out_main_length_scale_near,final01,A_stage4a1_quick61,parameter_out_of_domain,main_length_scale,near,out_of_domain,G001,0,"{G001}"
final01_test_out_main_length_scale_near,final01,A_stage4a1_quick61,parameter_out_of_domain,main_length_scale,near,out_of_domain,G001,0,"{G001}"
final01_test_out_main_length_scale_near,final01,A_stage4a1_quick61,parameter_out_of_domain,main_length_scale,near,out_of_domain,G001,0,"{G001}"
final01_test_out_branch_length_scale_medium,final01,A_stage4a1_quick61,parameter_out_of_domain,branch_length_scale,medium,out_of_domain,G002,1,"{G002,G005}"
final01_test_out_branch_length_scale_medium,final01,A_stage4a1_quick61,parameter_out_of_domain,branch_length_scale,medium,out_of_domain,G002,1,"{G002,G005}"
final01_test_out_branch_length_scale_medium,final01,A_stage4a1_quick61,parameter_out_of_domain,branch_length_scale,medium,out_of_domain,G002,1,"{G002,G005}"
