sample_id,replicate_id,grid_id,topology_id,parameter_names,sensitivity_norms,singular_values,condition_number,effective_rank,low_sensitivity,experiment_scientific_hash
final01_test_in_01,final01,B_ofdm_active_subcarriers,G001,"main_length_scale,branch_length_scale,branch_load_scale,source_impedance_ohm,receiver_impedance_ohm",[52.178998 0 0 1.0575748 2.5891007],[52.179009 2.788511 0.2121204 2.6945893e-18 1.2260588e-19],Inf,3,[false true true true true],421e76a3c0ee9d63a4141910dbbe38234900fe0ef8b1ae6829cf6d3d1635345b
final01_test_in_02,final01,B_ofdm_active_subcarriers,G002,"main_length_scale,branch_length_scale,branch_load_scale,source_impedance_ohm,receiver_impedance_ohm",[41.570598 5.7634783 0.97451699 0.85113035 1.865122],[41.61959 5.3994096 2.0889488 0.86031547 0.19310817],215.52475315949,5,[false false true true true],421e76a3c0ee9d63a4141910dbbe38234900fe0ef8b1ae6829cf6d3d1635345b
final01_test_in_02,final01,B_ofdm_active_subcarriers,G005,"main_length_scale,branch_length_scale,branch_load_scale,source_impedance_ohm,receiver_impedance_ohm",[41.55873 5.7752729 0.97735 0.84144359 1.8822063],[41.607848 5.4112155 2.0995651 0.85955857 0.21550462],193.071725379378,5,[false false true true true],421e76a3c0ee9d63a4141910dbbe38234900fe0ef8b1ae6829cf6d3d1635345b
final01_test_in_03,final01,B_ofdm_active_subcarriers,G003,"main_length_scale,branch_length_scale,branch_load_scale,source_impedance_ohm,receiver_impedance_ohm",[44.308335 6.0390271 1.0801249 0.79493408 2.0673186],[44.384177 5.4543412 2.2727881 0.93209875 0.17710426],250.610440488165,5,[false false true true true],421e76a3c0ee9d63a4141910dbbe38234900fe0ef8b1ae6829cf6d3d1635345b
final01_test_in_04,final01,B_ofdm_active_subcarriers,G004,"main_length_scale,branch_length_scale,branch_load_scale,source_impedance_ohm,receiver_impedance_ohm",[32.63181 6.1659231 1.0903242 0.58390264 1.6108707],[32.855029 4.8378416 1.8774829 0.76067989 0.13071766],251.343453680384,5,[false false true true true],421e76a3c0ee9d63a4141910dbbe38234900fe0ef8b1ae6829cf6d3d1635345b
final01_test_in_04,final01,B_ofdm_active_subcarriers,G007,"main_length_scale,branch_length_scale,branch_load_scale,source_impedance_ohm,receiver_impedance_ohm",[32.604238 6.1606557 1.0917706 0.57276183 1.6282649],[32.826656 4.8379059 1.8862996 0.76275405 0.1633535],200.954709882046,5,[false false true true true],421e76a3c0ee9d63a4141910dbbe38234900fe0ef8b1ae6829cf6d3d1635345b
final01_test_in_05,final01,B_ofdm_active_subcarriers,G002,"main_length_scale,branch_length_scale,branch_load_scale,source_impedance_ohm,receiver_impedance_ohm",[35.509983 4.6251665 0.82762849 0.72102575 1.9254908],[35.552193 4.2886846 2.0838525 0.73618263 0.16668504],213.289642206372,5,[false false true true false],421e76a3c0ee9d63a4141910dbbe38234900fe0ef8b1ae6829cf6d3d1635345b
final01_test_in_05,final01,B_ofdm_active_subcarriers,G005,"main_length_scale,branch_length_scale,branch_load_scale,source_impedance_ohm,receiver_impedance_ohm",[35.515303 4.8413686 0.86096672 0.70920925 1.9688111],[35.565679 4.4562855 2.123137 0.75786051 0.19491402],182.468552082304,5,[false false true true false],421e76a3c0ee9d63a4141910dbbe38234900fe0ef8b1ae6829cf6d3d1635345b
final01_test_in_06,final01,B_ofdm_active_subcarriers,G006,"main_length_scale,branch_length_scale,branch_load_scale,source_impedance_ohm,receiver_impedance_ohm",[34.938529 7.5420294 1.2994745 0.55707914 1.76722],[35.322866 5.4670081 2.0796718 0.87798282 0.12713865],277.829494217072,5,[false false true true false],421e76a3c0ee9d63a4141910dbbe38234900fe0ef8b1ae6829cf6d3d1635345b
final01_test_in_07,final01,B_ofdm_active_subcarriers,G004,"main_length_scale,branch_length_scale,branch_load_scale,source_impedance_ohm,receiver_impedance_ohm",[31.226419 6.287648 1.1406795 0.6159791 1.5153321],[31.395703 5.379035 1.8315013 0.77827137 0.12764685],245.957521330014,5,[false false true true true],421e76a3c0ee9d63a4141910dbbe38234900fe0ef8b1ae6829cf6d3d1635345b
