sample_id,candidate_id,score,split,parameter_vector_hash,observation_hash
stage4a7_1_cal_0001,G001,0.226638975463207,calibration,39411fa596e9839ba582f8165fd06758bb685c65391b5fe89cfd00a1e983915e,0ccadedf81c510ff69c0f3dd9b7997f82931238530c67a72cd00b87e9da0bffb
stage4a7_1_cal_0002,G001,0.0763586751300226,calibration,1437da18981ce59d891f1d59160e5f8d2f27d13780c50492f3de880155ae14d9,14faab6c9ae37b4d4190349570b3162556666d90d08dfc98cfcf5718822cff96
stage4a7_1_cal_0003,G001,0.0217256877968388,calibration,90ea54e66fdfee5882b2043833a798e51589477601f4ddaf0e41647617cda1b8,a0e7d2aca6997c989f92194bf4effa64a8e0405b5bfaf7408b701c9248e074db
stage4a7_1_cal_0004,G001,0.142301807502695,calibration,5d49d58e2a12f0454e34f607426cc5eb6b541af86eeac0a603cfe7b841694544,f14815fb76226358625cf84bff053fad9d9da1e4c747688586d8dd949ab840a1
stage4a7_1_cal_0005,G001,0.197181297366493,calibration,a563671a001c682e654fbf7eaf54716d42bda07309de980156cbcc76cf60dd7e,4a42183683ad7e96d6479c28fe3d34e895bd1a2d2bc77e714b7bce40f5b80b12
stage4a7_1_cal_0006,G001,0.258825470755002,calibration,aa998253b9569e8873090a93c21064871e97e784d34040555366cdedcfcbe764,daa8caa14c467901398275d5709fe2d3779e9747ad4134cf44b0b4a9610ce0d6
stage4a7_1_cal_0007,G001,0.268064465694415,calibration,8046cb880f9b0d07ccf3ae25a710f00feba9504b204dda32dca8c6bc477a24f4,cf1c52448cdd178eba06ca1d58b16496e30fa8b89a3a2984c0a3a555b37dd8a4
stage4a7_1_cal_0008,G001,0.106745793712827,calibration,69fe1e2cf65a63fb266356329652e1c22402efd71e074a31fc92af023e7dd056,3a472c8e05cb4ef011563a6ba02360578f065d6d866b879a86a7562a9b57ff08
stage4a7_1_cal_0009,G001,0.175809586473554,calibration,d82576ba45898d444ad7af9e3003118bd81c796f6a1f0877ba204b511de58d48,2182062dee4c02a091dd37477a4279c9d39aa5ae0f364ad6425715c8884ec758
stage4a7_1_cal_0010,G001,0.0226309506478315,calibration,41fac09ea31d2b0cbf8bd4a5c85c5681de75753a1f98b124cc5c81d5e33850e1,16034b4ccd0a95c35e00b9fb6d891186a8eef5ed5fc88c4fe4d0d5253b39e464
stage4a7_1_cal_0011,G001,0.188082733317084,calibration,b1cf2606398a3cfa4f9f9859dc240a4fd5ba4c961a1ed193eadbfafbf895538e,eab5d688a3772ecd67e8de384591bc438f0f00a5ea24104f305b6c8bb71c001b
stage4a7_1_cal_0012,G001,0.22365091274743,calibration,0e8a6de2afac1437679e9260c6c0c2258cae49cfbef4d4b5241caa787752da61,9cd390d7c7f62e4c6b7affb89f7691ded82dd607b35c18be56824f98bc4c2d3b
stage4a7_1_cal_0013,G001,0.169480910485446,calibration,8a44956bdbf31fdaeeb0b030e87acdebf8cba10dbeae79de482fece59cca2f0c,a67985c7ddf89e845914f788ce4df4eb7a72fea48951a15e0a7f91e2e534f69d
stage4a7_1_cal_0014,G001,0.261572698754555,calibration,a6b6124e4f057dc0b767213d716744559678353d71e5b6f06065aa5fcb9389f7,104d6321547361de977bf0f9b553a7db21e18016d793a33660890f65ba752b90
stage4a7_1_cal_0015,G001,0.168040936721768,calibration,ca651851f95f0e4baf05e7628af91780ab813e0698933253b6ed9362d3aef13a,290c3d51dfc3906ca4de6f6a4ce3aec78f1b4824ee7aefccf868498ce2759f66
stage4a7_1_cal_0016,G001,0.0673471270387887,calibration,e541bd85718b42011c5098253a0a3ce7cd70d1c8eb626dcc92431d11fe52f7e2,0a9b8ef8caf559b09811c80a445025a95e6da4a3c0bc66644d4bfc3e77b03587
stage4a7_1_cal_0017,G001,0.0612602469195178,calibration,1e26af7f957fcee118f5d40a07ca820bfc56880be52536e15ef382269e65dcb0,00d4a69f287e6560adde3ae9b953aa59b021a2e7ca9a108baaae6f39b182dccb
stage4a7_1_cal_0018,G001,0.117846065528183,calibration,e120853e52e08145e8c9c9c91e288369a18d46edfd2ec312fe002d05b4e49032,7d4855ffc34131d0a8eb854a85eb6a9617546ba3e0edf00684745c36c2380a12
stage4a7_1_cal_0019,G001,0.00301947108809452,calibration,46e936d88cbe3903774587689a2ffd463b712e573b27aa84761dc714626e2e1f,65c44f63bdd8984398b94d1ce05930be6e6abb5521f161526e8e205ed738b2f6
stage4a7_1_cal_0020,G001,0.128950049898719,calibration,a7b31cc646c35ef3236543c2158f90c3ffa46b0d88b8fb85fd7aaf6cd4c9e54e,a65e94c3c64dceb3d490350a736bf403e7c69a23af5821c4dfd27c8a75245eb4
stage4a7_1_cal_0021,G002,0.0651551721538384,calibration,dd80fb8ea0d825b22f02d5b47e589b0682876afc657d3af81bf43f75a9e94fc8,bc87c1fe4878df533c106b18bb7042b27e7dd4c41bbc99a9c09ac0bb8b49efdc
stage4a7_1_cal_0022,G002,0.18354557681086,calibration,391aa976e335ca4418640c4c27da3bf6c952f9be2cf5b9a7515f7aa5c590198f,a0aef14c34ef2840f6503c96ac11db3983a326ab4a32af03cffb14e9fbdf2a1e
stage4a7_1_cal_0023,G002,0.0823028453403793,calibration,83b0fca6f6c1062e705bb39a75919796305b49741f8650983fa80622c159ca2f,048c185bfe6213a231101e82e5c3d68d5764a800d052edc74cb2b78796f3f62e
stage4a7_1_cal_0024,G002,0.087824105772205,calibration,fc9edfa94e3a0216a7e13067f1438f07d6115e50c134c80348c561a782c304c8,ccfc798c1a4c3b490bde21db97052f4ed60ecff4cdfdee26b532410678d47a9e
stage4a7_1_cal_0025,G002,0.060329740137802,calibration,af36adf6be91d5c68fa8014803ebc130d4229d631957ebc3ecddb53d880c1d6a,acd096fa5c5b6056c90f961f8b5764e03243c9699f8af5ba05332e59d4985404
stage4a7_1_cal_0026,G002,0.140371524344313,calibration,573138e73b6088beb60daa42b6c13b6fd651ada7a5269aa270a78bdd0aa54229,8a501c019a3d7086fbd4e7a5a3fc508bcbe67e010bef8c4d8f8dbe0ac880c44e
stage4a7_1_cal_0027,G002,0.0409667685799886,calibration,2df068b2fffafac49bb80c7b824048127768715c47dbbbb7de45d13a5560e312,d595a4d345d3e675307f067ead96a4ed5746c0ddc8018ec0ae3e34cfd2b22748
stage4a7_1_cal_0028,G002,0.0698951086987422,calibration,96560b6dc1e491043f77d89e6f7de19f4d6ab504df8abc88f50e0b3230f941c5,887e1144b1535974b700c7efc5cac313f826a13967d75d22be3e2e5ad8903ca5
stage4a7_1_cal_0029,G002,0.122549442173877,calibration,bedaca93d90709f8cd7a66ec13ac25e03f22c9c7b68942845a46ba64c0e88096,5f761a374895c1abe78580d453b23b3106d5176fa804b40e1ab0539aed3ad3f3
stage4a7_1_cal_0030,G002,0.131572196211317,calibration,32ca29ee71271a0bf721e8121e65c5ac2eaecf0837a4f34e5b20608270f969ae,2d30cf4b922e28c733d08609fa030ab1984ccdab08d62c98d5d9d61bc3a90f23
stage4a7_1_cal_0031,G002,0.0793762953433541,calibration,a0eb8721cf07452fbf475631c41d8083530817488beb9180c294ae8e7b1fcef7,6a4e85a7d7bc0f424423368c8a8c299b75085260496f9f7cc91d3a004b65b102
stage4a7_1_cal_0032,G002,0.146409984667333,calibration,579ba98cd3211d89e2d634c1f4b5ac2c92044423d5196453eac9b4b90f56a8e4,8829c2f38749651e3dbcb2820a0edb20a8580154445aa2fc66060c11cc26e688
stage4a7_1_cal_0033,G002,0.0316313641227123,calibration,ae66b838e52e33e054b7d17a4516e1985d0e80c4e0bbf7932eeddb282a9c6000,6d3b76dee098a8155fc8ce02574ce8c5ff0f3407ba4efcdb017945e6e2e182ac
stage4a7_1_cal_0034,G002,0.0553542826734059,calibration,30ca369fcccadec4b2c694358ae7750d04fa27d48130fb7530b6690894e38d8f,954eaa9a20109f22f8ac3eb4c3789daf71502d000b371f25e430ee0e087d021c
stage4a7_1_cal_0035,G002,0.110015543595543,calibration,cb97479ad7f523121d0171ba6c2bdb5ffa17cff3171d0fd5827f265381121a98,f28df8cdcc755246a27187edcbcffe03a526877330bf12036bb073e85f7edc41
stage4a7_1_cal_0036,G002,0.183158419052258,calibration,c10c44c0f96d49a428f14ad5cef550283f9f1d498d05da4b8d0d557b0831956c,13332efa428c690e4074dde300e40341affc9a89fa7eca205db6e2ec69b8d2d6
stage4a7_1_cal_0037,G002,0.0763201531002878,calibration,24c2f104e8631c355a9ce2be3f1f882ba8c5bb9b233d02085fbace232c1f928e,2bd43265f14f7fc7a1caff0924150c7ef106699df51279199a1cdd3f4776a3d7
stage4a7_1_cal_0038,G002,0.040034403472924,calibration,e038d141028c258eac2b30ed6bb009bca849c142479eb8dc3031bebb24842431,0e7888acc7a17b83906c4a44722b91a20b92f17ee5f63f7b6a39a7b8cbde27be
stage4a7_1_cal_0039,G002,0.0368426091497511,calibration,a2924db107f626accc219ec617a94a7ceb03a3641eabad24e4a978c3928d21cf,a832e0a1c492bc167536ebd455f6d3a5f32d77927006216fb82ea61fe254f7fe
stage4a7_1_cal_0040,G002,0.158229150556434,calibration,bbfcef4c22d5672f2ae09b1a511305a54e97c6b563b1bdcc8b991f81582ca7a8,85ae59d68531a721ddb70816a50018d734aca6fbba0bcb02a48c4daf349f7a6d
stage4a7_1_cal_0041,G003,0.191361441914086,calibration,b0a2ce9f619493d6c1999593dbcd91cc388d8df2beed37702e19ca3a33b4fd0f,017d385ee5bce26183af98d2e9908c9ddad188d41fea728b01170a2e33c05d2b
stage4a7_1_cal_0042,G003,0.0638508379752531,calibration,eb8af10bee650a2d7f56bc3a587ed9e4c00c14aaf485bd0b3928f2f3ccb48ab5,96563947b021bc327e490d92060eb9050d34d56cbcf572a3d9084a48ddf3f49a
stage4a7_1_cal_0043,G003,0.0901848025933528,calibration,e0160ced87d4168e120050cdb7a459199fbe7055ee4f13922740dc80c1d6569b,f2b4dd04771e58c5dc695fd1ebbff555491ff82f6c60851f16e82c6c0e3722e1
stage4a7_1_cal_0044,G003,0.109340794961743,calibration,407ebe3388ab053db38a312289c8b64742a12726c16f20c63fe3b0e97ad02b7f,76c667bb2c471e7966f9f1439475bfe67eb4e6bb48dd9aacaf51b7348c1adaef
