sample_id,physical_scenario_id,split,category,severity,truth_topology_id,parameter_domain_truth,outlier_dimension,outlier_direction,master_seed,case_seed,parameter_vector_hash,noiseless_cfr_hash,observation_hash
stage4a7_1_cal_0001,calibration_stage4a7_1_cal_0001,calibration,in_library_continuous,not_applicable,G001,in_domain,,,20261711,20275852,39411fa596e9839ba582f8165fd06758bb685c65391b5fe89cfd00a1e983915e,0ccadedf81c510ff69c0f3dd9b7997f82931238530c67a72cd00b87e9da0bffb,0ccadedf81c510ff69c0f3dd9b7997f82931238530c67a72cd00b87e9da0bffb
stage4a7_1_cal_0002,calibration_stage4a7_1_cal_0002,calibration,in_library_continuous,not_applicable,G001,in_domain,,,20261711,20275871,1437da18981ce59d891f1d59160e5f8d2f27d13780c50492f3de880155ae14d9,14faab6c9ae37b4d4190349570b3162556666d90d08dfc98cfcf5718822cff96,14faab6c9ae37b4d4190349570b3162556666d90d08dfc98cfcf5718822cff96
stage4a7_1_cal_0003,calibration_stage4a7_1_cal_0003,calibration,in_library_continuous,not_applicable,G001,in_domain,,,20261711,20275890,90ea54e66fdfee5882b2043833a798e51589477601f4ddaf0e41647617cda1b8,a0e7d2aca6997c989f92194bf4effa64a8e0405b5bfaf7408b701c9248e074db,a0e7d2aca6997c989f92194bf4effa64a8e0405b5bfaf7408b701c9248e074db
stage4a7_1_cal_0004,calibration_stage4a7_1_cal_0004,calibration,in_library_continuous,not_applicable,G001,in_domain,,,20261711,20275909,5d49d58e2a12f0454e34f607426cc5eb6b541af86eeac0a603cfe7b841694544,f14815fb76226358625cf84bff053fad9d9da1e4c747688586d8dd949ab840a1,f14815fb76226358625cf84bff053fad9d9da1e4c747688586d8dd949ab840a1
stage4a7_1_cal_0005,calibration_stage4a7_1_cal_0005,calibration,in_library_continuous,not_applicable,G001,in_domain,,,20261711,20275928,a563671a001c682e654fbf7eaf54716d42bda07309de980156cbcc76cf60dd7e,4a42183683ad7e96d6479c28fe3d34e895bd1a2d2bc77e714b7bce40f5b80b12,4a42183683ad7e96d6479c28fe3d34e895bd1a2d2bc77e714b7bce40f5b80b12
stage4a7_1_cal_0006,calibration_stage4a7_1_cal_0006,calibration,in_library_continuous,not_applicable,G001,in_domain,,,20261711,20275947,aa998253b9569e8873090a93c21064871e97e784d34040555366cdedcfcbe764,daa8caa14c467901398275d5709fe2d3779e9747ad4134cf44b0b4a9610ce0d6,daa8caa14c467901398275d5709fe2d3779e9747ad4134cf44b0b4a9610ce0d6
stage4a7_1_cal_0007,calibration_stage4a7_1_cal_0007,calibration,in_library_continuous,not_applicable,G001,in_domain,,,20261711,20275966,8046cb880f9b0d07ccf3ae25a710f00feba9504b204dda32dca8c6bc477a24f4,cf1c52448cdd178eba06ca1d58b16496e30fa8b89a3a2984c0a3a555b37dd8a4,cf1c52448cdd178eba06ca1d58b16496e30fa8b89a3a2984c0a3a555b37dd8a4
stage4a7_1_cal_0008,calibration_stage4a7_1_cal_0008,calibration,in_library_continuous,not_applicable,G001,in_domain,,,20261711,20275985,69fe1e2cf65a63fb266356329652e1c22402efd71e074a31fc92af023e7dd056,3a472c8e05cb4ef011563a6ba02360578f065d6d866b879a86a7562a9b57ff08,3a472c8e05cb4ef011563a6ba02360578f065d6d866b879a86a7562a9b57ff08
stage4a7_1_cal_0009,calibration_stage4a7_1_cal_0009,calibration,in_library_continuous,not_applicable,G001,in_domain,,,20261711,20276004,d82576ba45898d444ad7af9e3003118bd81c796f6a1f0877ba204b511de58d48,2182062dee4c02a091dd37477a4279c9d39aa5ae0f364ad6425715c8884ec758,2182062dee4c02a091dd37477a4279c9d39aa5ae0f364ad6425715c8884ec758
stage4a7_1_cal_0010,calibration_stage4a7_1_cal_0010,calibration,in_library_continuous,not_applicable,G001,in_domain,,,20261711,20275851,41fac09ea31d2b0cbf8bd4a5c85c5681de75753a1f98b124cc5c81d5e33850e1,16034b4ccd0a95c35e00b9fb6d891186a8eef5ed5fc88c4fe4d0d5253b39e464,16034b4ccd0a95c35e00b9fb6d891186a8eef5ed5fc88c4fe4d0d5253b39e464
