sample_id,method_id,decision,decision_reason,ranked_candidates,accepted_candidate_set,accepted_candidate_count,best_topology_id,best_residual,second_residual,noise_whitened_residual,margin,rho,stability,p_values,indistinguishability_component_count,calibration_hash,candidate_generation_hash,compatibility_hash
stage4a7_1_pilot_0001,M0_min_residual,unique_topology,minimum exact composite residual; no rejection,"G001,G002,G005,G003,G004,G007,G006","G001",1,G001,0.0322851613585614,0.184329857533596,NaN,0.152044696175034,0.17514884343955,1,,NaN,not_applicable,11e7be32aeffcf55df2bd00cad81a4f7b0c0890194fd4fe2a2071893993a8acb,11e7be32aeffcf55df2bd00cad81a4f7b0c0890194fd4fe2a2071893993a8acb
stage4a7_1_pilot_0001,M3_frozen,unique_topology,singleton baseline class passed all frozen rules,"G001,G002,G005,G003,G004,G007,G006","G001",1,G001,0.0322851613585614,0.184329857533596,NaN,0.152044696175034,0.17514884343955,1,,NaN,11e7be32aeffcf55df2bd00cad81a4f7b0c0890194fd4fe2a2071893993a8acb,11e7be32aeffcf55df2bd00cad81a4f7b0c0890194fd4fe2a2071893993a8acb,11e7be32aeffcf55df2bd00cad81a4f7b0c0890194fd4fe2a2071893993a8acb
stage4a7_1_pilot_0001,W_GLRT_compatible,unique_topology,GLRT-compatible weighted residual rank under explicit frozen covariance scale,"G001,G002,G005,G003,G004,G007,G006","G001",1,G001,0.0322851613585614,0.184329857533596,63582.2302808491,0.152044696175034,0.17514884343955,1,,NaN,02c1a24559b840c2e494c69fa392c36709e140390ab798b694fc3a22a59e4869,11e7be32aeffcf55df2bd00cad81a4f7b0c0890194fd4fe2a2071893993a8acb,11e7be32aeffcf55df2bd00cad81a4f7b0c0890194fd4fe2a2071893993a8acb
stage4a7_1_pilot_0001,C_set,ambiguous_candidate_set,class-conditional empirical calibration set,"G001,G002,G005,G003,G004,G007,G006","G001,G003",2,G001,0.0322851613585614,0.184329857533596,NaN,0.152044696175034,0.17514884343955,1,G001:0.8571428571428571;G002:0.047619047619047616;G003:0.19047619047619047;G004:0.047619047619047616;G005:0.047619047619047616;G006:0.047619047619047616;G007:0.047619047619047616,NaN,1d8de81603fc81f4cf48ebfb3a2161bf33b55076f5aaff190ecd727acc803365,11e7be32aeffcf55df2bd00cad81a4f7b0c0890194fd4fe2a2071893993a8acb,11e7be32aeffcf55df2bd00cad81a4f7b0c0890194fd4fe2a2071893993a8acb
stage4a7_1_pilot_0001,C_set_plus_I,ambiguous_candidate_set,empirical candidate set with calibrated residual-indistinguishability audit,"G001,G002,G005,G003,G004,G007,G006","G001,G003",2,G001,0.0322851613585614,0.184329857533596,NaN,0.152044696175034,0.17514884343955,1,G001:0.8571428571428571;G002:0.047619047619047616;G003:0.19047619047619047;G004:0.047619047619047616;G005:0.047619047619047616;G006:0.047619047619047616;G007:0.047619047619047616,2,1d8de81603fc81f4cf48ebfb3a2161bf33b55076f5aaff190ecd727acc803365,11e7be32aeffcf55df2bd00cad81a4f7b0c0890194fd4fe2a2071893993a8acb,11e7be32aeffcf55df2bd00cad81a4f7b0c0890194fd4fe2a2071893993a8acb
stage4a7_1_pilot_0002,M0_min_residual,unique_topology,minimum exact composite residual; no rejection,"G001,G002,G005,G003,G004,G007,G006","G001",1,G001,0.0939442279007197,0.186504257000898,NaN,0.0925600291001785,0.503710904034558,1,,NaN,not_applicable,11e7be32aeffcf55df2bd00cad81a4f7b0c0890194fd4fe2a2071893993a8acb,11e7be32aeffcf55df2bd00cad81a4f7b0c0890194fd4fe2a2071893993a8acb
stage4a7_1_pilot_0002,M3_frozen,unique_topology,singleton baseline class passed all frozen rules,"G001,G002,G005,G003,G004,G007,G006","G001",1,G001,0.0939442279007197,0.186504257000898,NaN,0.0925600291001785,0.503710904034558,1,,NaN,11e7be32aeffcf55df2bd00cad81a4f7b0c0890194fd4fe2a2071893993a8acb,11e7be32aeffcf55df2bd00cad81a4f7b0c0890194fd4fe2a2071893993a8acb,11e7be32aeffcf55df2bd00cad81a4f7b0c0890194fd4fe2a2071893993a8acb
stage4a7_1_pilot_0002,W_GLRT_compatible,unique_topology,GLRT-compatible weighted residual rank under explicit frozen covariance scale,"G001,G002,G005,G003,G004,G007,G006","G001",1,G001,0.0939442279007197,0.186504257000898,538356.595307604,0.0925600291001785,0.503710904034558,1,,NaN,02c1a24559b840c2e494c69fa392c36709e140390ab798b694fc3a22a59e4869,11e7be32aeffcf55df2bd00cad81a4f7b0c0890194fd4fe2a2071893993a8acb,11e7be32aeffcf55df2bd00cad81a4f7b0c0890194fd4fe2a2071893993a8acb
stage4a7_1_pilot_0002,C_set,ambiguous_candidate_set,class-conditional empirical calibration set,"G001,G002,G005,G003,G004,G007,G006","G001,G003",2,G001,0.0939442279007197,0.186504257000898,NaN,0.0925600291001785,0.503710904034558,1,G001:0.7142857142857143;G002:0.047619047619047616;G003:0.19047619047619047;G004:0.047619047619047616;G005:0.047619047619047616;G006:0.047619047619047616;G007:0.047619047619047616,NaN,1d8de81603fc81f4cf48ebfb3a2161bf33b55076f5aaff190ecd727acc803365,11e7be32aeffcf55df2bd00cad81a4f7b0c0890194fd4fe2a2071893993a8acb,11e7be32aeffcf55df2bd00cad81a4f7b0c0890194fd4fe2a2071893993a8acb
stage4a7_1_pilot_0002,C_set_plus_I,ambiguous_candidate_set,empirical candidate set with calibrated residual-indistinguishability audit,"G001,G002,G005,G003,G004,G007,G006","G001,G003",2,G001,0.0939442279007197,0.186504257000898,NaN,0.0925600291001785,0.503710904034558,1,G001:0.7142857142857143;G002:0.047619047619047616;G003:0.19047619047619047;G004:0.047619047619047616;G005:0.047619047619047616;G006:0.047619047619047616;G007:0.047619047619047616,2,1d8de81603fc81f4cf48ebfb3a2161bf33b55076f5aaff190ecd727acc803365,11e7be32aeffcf55df2bd00cad81a4f7b0c0890194fd4fe2a2071893993a8acb,11e7be32aeffcf55df2bd00cad81a4f7b0c0890194fd4fe2a2071893993a8acb
