method_id,category,metric_name,numerator,denominator,rate,ci_low,ci_high,evaluable_count,definition_version
M0_min_residual,all,topology_set_accuracy,29,30,0.966666666666667,0.833296090085908,0.994091409618387,30,stage4a7_1_independent_scenario_metrics_v1
M0_min_residual,all,accepted_coverage,33,33,1,0.895730002457548,1,33,stage4a7_1_independent_scenario_metrics_v1
M0_min_residual,all,topology_selective_risk,1,30,0.0333333333333333,0.00590859038161246,0.166703909914092,30,stage4a7_1_independent_scenario_metrics_v1
M0_min_residual,all,unique_output_precision,12,12,1,0.757505993344759,1,12,stage4a7_1_independent_scenario_metrics_v1
M0_min_residual,all,singleton_rate,15,33,0.454545454545455,0.298429385138761,0.620140614637825,33,stage4a7_1_independent_scenario_metrics_v1
M0_min_residual,all,ambiguous_set_rate,0,33,0,0,0.104269997542452,33,stage4a7_1_independent_scenario_metrics_v1
M0_min_residual,all,equivalence_class_rate,18,33,0.545454545454545,0.379859385362175,0.701570614861239,33,stage4a7_1_independent_scenario_metrics_v1
M0_min_residual,all,rejection_rate,0,33,0,0,0.104269997542452,33,stage4a7_1_independent_scenario_metrics_v1
M0_min_residual,all,false_unique_unconditional,0,30,0,0,0.113513393173969,30,stage4a7_1_independent_scenario_metrics_v1
M0_min_residual,all,false_unique_conditional,0,4,0,0,0.489890836454597,4,stage4a7_1_independent_scenario_metrics_v1
M0_min_residual,all,parameter_ood_false_acceptance,9,9,1,0.700854951580456,1,9,stage4a7_1_independent_scenario_metrics_v1
M0_min_residual,all,structure_ood_false_acceptance,3,3,1,0.438502968244955,1,3,stage4a7_1_independent_scenario_metrics_v1
M0_min_residual,all,average_candidate_set_size,51,33,1.54545454545455,NaN,NaN,33,stage4a7_1_independent_scenario_metrics_v1
M0_min_residual,in_domain_interior,topology_set_accuracy,14,14,1,0.784689197262364,1,14,stage4a7_1_independent_scenario_metrics_v1
M0_min_residual,in_domain_interior,accepted_coverage,14,14,1,0.784689197262364,1,14,stage4a7_1_independent_scenario_metrics_v1
M0_min_residual,in_domain_interior,topology_selective_risk,0,14,0,1.38777878078145e-17,0.215310802737636,14,stage4a7_1_independent_scenario_metrics_v1
M0_min_residual,in_domain_interior,unique_output_precision,6,6,1,0.609665712097835,1,6,stage4a7_1_independent_scenario_metrics_v1
M0_min_residual,in_domain_interior,singleton_rate,6,14,0.428571428571429,0.213807989044741,0.674093554203493,14,stage4a7_1_independent_scenario_metrics_v1
M0_min_residual,in_domain_interior,ambiguous_set_rate,0,14,0,1.38777878078145e-17,0.215310802737636,14,stage4a7_1_independent_scenario_metrics_v1
M0_min_residual,in_domain_interior,equivalence_class_rate,8,14,0.571428571428571,0.325906445796507,0.786192010955259,14,stage4a7_1_independent_scenario_metrics_v1
M0_min_residual,in_domain_interior,rejection_rate,0,14,0,1.38777878078145e-17,0.215310802737636,14,stage4a7_1_independent_scenario_metrics_v1
M0_min_residual,in_domain_interior,false_unique_unconditional,0,14,0,1.38777878078145e-17,0.215310802737636,14,stage4a7_1_independent_scenario_metrics_v1
M0_min_residual,in_domain_interior,false_unique_conditional,0,0,NaN,NaN,NaN,0,stage4a7_1_independent_scenario_metrics_v1
M0_min_residual,in_domain_interior,parameter_ood_false_acceptance,0,0,NaN,NaN,NaN,0,stage4a7_1_independent_scenario_metrics_v1
M0_min_residual,in_domain_interior,structure_ood_false_acceptance,0,0,NaN,NaN,NaN,0,stage4a7_1_independent_scenario_metrics_v1
M0_min_residual,in_domain_interior,average_candidate_set_size,22,14,1.57142857142857,NaN,NaN,14,stage4a7_1_independent_scenario_metrics_v1
M0_min_residual,symmetry_preserving_nominal,topology_set_accuracy,7,7,1,0.645669564933313,1,7,stage4a7_1_independent_scenario_metrics_v1
M0_min_residual,symmetry_preserving_nominal,accepted_coverage,7,7,1,0.645669564933313,1,7,stage4a7_1_independent_scenario_metrics_v1
M0_min_residual,symmetry_preserving_nominal,topology_selective_risk,0,7,0,5.55111512312578e-17,0.354330435066687,7,stage4a7_1_independent_scenario_metrics_v1
M0_min_residual,symmetry_preserving_nominal,unique_output_precision,3,3,1,0.438502968244955,1,3,stage4a7_1_independent_scenario_metrics_v1
M0_min_residual,symmetry_preserving_nominal,singleton_rate,3,7,0.428571428571429,0.15821985525147,0.749541635472343,7,stage4a7_1_independent_scenario_metrics_v1
M0_min_residual,symmetry_preserving_nominal,ambiguous_set_rate,0,7,0,5.55111512312578e-17,0.354330435066687,7,stage4a7_1_independent_scenario_metrics_v1
M0_min_residual,symmetry_preserving_nominal,equivalence_class_rate,4,7,0.571428571428571,0.250458364527657,0.84178014474853,7,stage4a7_1_independent_scenario_metrics_v1
M0_min_residual,symmetry_preserving_nominal,rejection_rate,0,7,0,5.55111512312578e-17,0.354330435066687,7,stage4a7_1_independent_scenario_metrics_v1
M0_min_residual,symmetry_preserving_nominal,false_unique_unconditional,0,7,0,5.55111512312578e-17,0.354330435066687,7,stage4a7_1_independent_scenario_metrics_v1
M0_min_residual,symmetry_preserving_nominal,false_unique_conditional,0,4,0,0,0.489890836454597,4,stage4a7_1_independent_scenario_metrics_v1
M0_min_residual,symmetry_preserving_nominal,parameter_ood_false_acceptance,0,0,NaN,NaN,NaN,0,stage4a7_1_independent_scenario_metrics_v1
M0_min_residual,symmetry_preserving_nominal,structure_ood_false_acceptance,0,0,NaN,NaN,NaN,0,stage4a7_1_independent_scenario_metrics_v1
M0_min_residual,symmetry_preserving_nominal,average_candidate_set_size,11,7,1.57142857142857,NaN,NaN,7,stage4a7_1_independent_scenario_metrics_v1
M0_min_residual,structure_out,topology_set_accuracy,0,0,NaN,NaN,NaN,0,stage4a7_1_independent_scenario_metrics_v1
M0_min_residual,structure_out,accepted_coverage,3,3,1,0.438502968244955,1,3,stage4a7_1_independent_scenario_metrics_v1
M0_min_residual,structure_out,topology_selective_risk,0,0,NaN,NaN,NaN,0,stage4a7_1_independent_scenario_metrics_v1
M0_min_residual,structure_out,unique_output_precision,0,0,NaN,NaN,NaN,0,stage4a7_1_independent_scenario_metrics_v1
M0_min_residual,structure_out,singleton_rate,3,3,1,0.438502968244955,1,3,stage4a7_1_independent_scenario_metrics_v1
M0_min_residual,structure_out,ambiguous_set_rate,0,3,0,5.55111512312578e-17,0.561497031755045,3,stage4a7_1_independent_scenario_metrics_v1
M0_min_residual,structure_out,equivalence_class_rate,0,3,0,5.55111512312578e-17,0.561497031755045,3,stage4a7_1_independent_scenario_metrics_v1
M0_min_residual,structure_out,rejection_rate,0,3,0,5.55111512312578e-17,0.561497031755045,3,stage4a7_1_independent_scenario_metrics_v1
M0_min_residual,structure_out,false_unique_unconditional,0,0,NaN,NaN,NaN,0,stage4a7_1_independent_scenario_metrics_v1
M0_min_residual,structure_out,false_unique_conditional,0,0,NaN,NaN,NaN,0,stage4a7_1_independent_scenario_metrics_v1
M0_min_residual,structure_out,parameter_ood_false_acceptance,0,0,NaN,NaN,NaN,0,stage4a7_1_independent_scenario_metrics_v1
M0_min_residual,structure_out,structure_ood_false_acceptance,3,3,1,0.438502968244955,1,3,stage4a7_1_independent_scenario_metrics_v1
