sample_id,physical_scenario_id,split,category,severity,truth_topology_id,parameter_domain_truth,outlier_dimension,outlier_direction,master_seed,case_seed,parameter_vector_hash,noiseless_cfr_hash,observation_hash
stage4a7_1_pilot_0001,pilot_stage4a7_1_pilot_0001,pilot,in_domain_interior,not_applicable,G001,in_domain,,,20261721,20280219,480953de849b31ee865ee6c3a4d2c8f05ba0080eb08430a4702d3445d9916d13,bf72e2ae3e2313884da8f4ea137b41cb132f74ca85ae2000be7b48baaa25b348,bf72e2ae3e2313884da8f4ea137b41cb132f74ca85ae2000be7b48baaa25b348
stage4a7_1_pilot_0002,pilot_stage4a7_1_pilot_0002,pilot,in_domain_interior,not_applicable,G001,in_domain,,,20261721,20280240,1ba163b9e2c9941643b7f5dfa938b4214b1767eb905afbc51f5f25ff5c4ec1fe,fb9f0f48a2a2ece75cf4bc5910a6c560e2731f64da3c54a5fcb6ea76b9510944,fb9f0f48a2a2ece75cf4bc5910a6c560e2731f64da3c54a5fcb6ea76b9510944
stage4a7_1_pilot_0003,pilot_stage4a7_1_pilot_0003,pilot,symmetry_preserving_nominal,not_applicable,G001,in_domain,,,20261721,20280261,cb108dcd2d4920b920765717feaf1e8e481ecccf1edfdf2ab58de067f8745fcb,245d0d5c6a81abf7114a980ac30ae0b9358611f5776a1832557e710a456e5eb2,245d0d5c6a81abf7114a980ac30ae0b9358611f5776a1832557e710a456e5eb2
stage4a7_1_pilot_0004,pilot_stage4a7_1_pilot_0004,pilot,in_domain_interior,not_applicable,G002,in_domain,,,20261721,20280282,4a03b880c9ee9be72c80db4a2127cd62bdf0867b83d47fafc41fbad01aeeb7d6,792b6a1c9dded0fda81a823aa1bb866306033b0fac3bc2617461a13836006105,792b6a1c9dded0fda81a823aa1bb866306033b0fac3bc2617461a13836006105
stage4a7_1_pilot_0005,pilot_stage4a7_1_pilot_0005,pilot,in_domain_interior,not_applicable,G002,in_domain,,,20261721,20280303,fa3366444ca2ee6ae2ebe4dcb1f53a7154bbc658570220c27ef503acc6b35d37,b024fc6942f6efd50e4c87537a8a175ce052969da4cbe9a466bb00dc297bc670,b024fc6942f6efd50e4c87537a8a175ce052969da4cbe9a466bb00dc297bc670
stage4a7_1_pilot_0006,pilot_stage4a7_1_pilot_0006,pilot,symmetry_preserving_nominal,not_applicable,G002,in_domain,,,20261721,20280324,cb108dcd2d4920b920765717feaf1e8e481ecccf1edfdf2ab58de067f8745fcb,6e45ff27aa96f13d5b2864c8a83274229d10b3e513efce73b86824cd4f0d6711,6e45ff27aa96f13d5b2864c8a83274229d10b3e513efce73b86824cd4f0d6711
stage4a7_1_pilot_0007,pilot_stage4a7_1_pilot_0007,pilot,in_domain_interior,not_applicable,G003,in_domain,,,20261721,20280345,17a2a5b44ffe4b634a024bb4ad2f014dcea96b99bbb0ec774cee5eb2ae48427b,a1c2b18d38f019c3de5dd090606f60652fe895b19cce7cd7a24c1bc09365bbf8,a1c2b18d38f019c3de5dd090606f60652fe895b19cce7cd7a24c1bc09365bbf8
stage4a7_1_pilot_0008,pilot_stage4a7_1_pilot_0008,pilot,in_domain_interior,not_applicable,G003,in_domain,,,20261721,20280366,b22ff51fa5bc4badc89531ce486bc8e17983fba0c388552c0ef74fee9f547b16,c46410ccaa65bf27af0c865382b0bd7e0854ff4388520688a15fe63145714094,c46410ccaa65bf27af0c865382b0bd7e0854ff4388520688a15fe63145714094
stage4a7_1_pilot_0009,pilot_stage4a7_1_pilot_0009,pilot,symmetry_preserving_nominal,not_applicable,G003,in_domain,,,20261721,20280387,cb108dcd2d4920b920765717feaf1e8e481ecccf1edfdf2ab58de067f8745fcb,803e15e2bd73fb4664de410d61fa3d43a56a3e70604ef9cdccb749246482eb29,803e15e2bd73fb4664de410d61fa3d43a56a3e70604ef9cdccb749246482eb29
stage4a7_1_pilot_0010,pilot_stage4a7_1_pilot_0010,pilot,in_domain_interior,not_applicable,G004,in_domain,,,20261721,20280218,6b0d335a5485c42595e909c94c76f4005a6b0eceab96b9f561be576985ceb637,0f16667ad561f02dc30f5461c48ff6b70f0f808d3152a1ccb0950b22416d9e38,0f16667ad561f02dc30f5461c48ff6b70f0f808d3152a1ccb0950b22416d9e38
