grid_id,replicate_id,bootstrap_index,block_index,block_start,block_end,frequency_count,resampling_seed,experiment_scientific_hash
A_stage4a1_quick61,calibration,1,1,12,26,15,20277552,11e7be32aeffcf55df2bd00cad81a4f7b0c0890194fd4fe2a2071893993a8acb
A_stage4a1_quick61,calibration,1,2,20,34,15,20277552,11e7be32aeffcf55df2bd00cad81a4f7b0c0890194fd4fe2a2071893993a8acb
A_stage4a1_quick61,calibration,1,3,19,33,15,20277552,11e7be32aeffcf55df2bd00cad81a4f7b0c0890194fd4fe2a2071893993a8acb
A_stage4a1_quick61,calibration,1,4,13,27,15,20277552,11e7be32aeffcf55df2bd00cad81a4f7b0c0890194fd4fe2a2071893993a8acb
A_stage4a1_quick61,calibration,2,1,15,29,15,20277552,11e7be32aeffcf55df2bd00cad81a4f7b0c0890194fd4fe2a2071893993a8acb
A_stage4a1_quick61,calibration,2,2,2,16,15,20277552,11e7be32aeffcf55df2bd00cad81a4f7b0c0890194fd4fe2a2071893993a8acb
A_stage4a1_quick61,calibration,2,3,44,58,15,20277552,11e7be32aeffcf55df2bd00cad81a4f7b0c0890194fd4fe2a2071893993a8acb
A_stage4a1_quick61,calibration,2,4,14,28,15,20277552,11e7be32aeffcf55df2bd00cad81a4f7b0c0890194fd4fe2a2071893993a8acb
A_stage4a1_quick61,calibration,3,1,32,46,15,20277552,11e7be32aeffcf55df2bd00cad81a4f7b0c0890194fd4fe2a2071893993a8acb
A_stage4a1_quick61,calibration,3,2,34,48,15,20277552,11e7be32aeffcf55df2bd00cad81a4f7b0c0890194fd4fe2a2071893993a8acb
A_stage4a1_quick61,calibration,3,3,41,55,15,20277552,11e7be32aeffcf55df2bd00cad81a4f7b0c0890194fd4fe2a2071893993a8acb
A_stage4a1_quick61,calibration,3,4,17,31,15,20277552,11e7be32aeffcf55df2bd00cad81a4f7b0c0890194fd4fe2a2071893993a8acb
A_stage4a1_quick61,calibration,4,1,44,58,15,20277552,11e7be32aeffcf55df2bd00cad81a4f7b0c0890194fd4fe2a2071893993a8acb
A_stage4a1_quick61,calibration,4,2,9,23,15,20277552,11e7be32aeffcf55df2bd00cad81a4f7b0c0890194fd4fe2a2071893993a8acb
A_stage4a1_quick61,calibration,4,3,15,29,15,20277552,11e7be32aeffcf55df2bd00cad81a4f7b0c0890194fd4fe2a2071893993a8acb
A_stage4a1_quick61,calibration,4,4,11,25,15,20277552,11e7be32aeffcf55df2bd00cad81a4f7b0c0890194fd4fe2a2071893993a8acb
A_stage4a1_quick61,calibration,5,1,28,42,15,20277552,11e7be32aeffcf55df2bd00cad81a4f7b0c0890194fd4fe2a2071893993a8acb
A_stage4a1_quick61,calibration,5,2,21,35,15,20277552,11e7be32aeffcf55df2bd00cad81a4f7b0c0890194fd4fe2a2071893993a8acb
A_stage4a1_quick61,calibration,5,3,14,28,15,20277552,11e7be32aeffcf55df2bd00cad81a4f7b0c0890194fd4fe2a2071893993a8acb
A_stage4a1_quick61,calibration,5,4,14,28,15,20277552,11e7be32aeffcf55df2bd00cad81a4f7b0c0890194fd4fe2a2071893993a8acb
A_stage4a1_quick61,calibration,6,1,24,38,15,20277552,11e7be32aeffcf55df2bd00cad81a4f7b0c0890194fd4fe2a2071893993a8acb
A_stage4a1_quick61,calibration,6,2,42,56,15,20277552,11e7be32aeffcf55df2bd00cad81a4f7b0c0890194fd4fe2a2071893993a8acb
A_stage4a1_quick61,calibration,6,3,9,23,15,20277552,11e7be32aeffcf55df2bd00cad81a4f7b0c0890194fd4fe2a2071893993a8acb
A_stage4a1_quick61,calibration,6,4,47,61,15,20277552,11e7be32aeffcf55df2bd00cad81a4f7b0c0890194fd4fe2a2071893993a8acb
A_stage4a1_quick61,calibration,7,1,24,38,15,20277552,11e7be32aeffcf55df2bd00cad81a4f7b0c0890194fd4fe2a2071893993a8acb
A_stage4a1_quick61,calibration,7,2,44,58,15,20277552,11e7be32aeffcf55df2bd00cad81a4f7b0c0890194fd4fe2a2071893993a8acb
A_stage4a1_quick61,calibration,7,3,10,24,15,20277552,11e7be32aeffcf55df2bd00cad81a4f7b0c0890194fd4fe2a2071893993a8acb
A_stage4a1_quick61,calibration,7,4,35,49,15,20277552,11e7be32aeffcf55df2bd00cad81a4f7b0c0890194fd4fe2a2071893993a8acb
A_stage4a1_quick61,calibration,8,1,6,20,15,20277552,11e7be32aeffcf55df2bd00cad81a4f7b0c0890194fd4fe2a2071893993a8acb
A_stage4a1_quick61,calibration,8,2,15,29,15,20277552,11e7be32aeffcf55df2bd00cad81a4f7b0c0890194fd4fe2a2071893993a8acb
A_stage4a1_quick61,calibration,8,3,12,26,15,20277552,11e7be32aeffcf55df2bd00cad81a4f7b0c0890194fd4fe2a2071893993a8acb
A_stage4a1_quick61,calibration,8,4,39,53,15,20277552,11e7be32aeffcf55df2bd00cad81a4f7b0c0890194fd4fe2a2071893993a8acb
A_stage4a1_quick61,calibration,9,1,6,20,15,20277552,11e7be32aeffcf55df2bd00cad81a4f7b0c0890194fd4fe2a2071893993a8acb
