sample_id,physical_scenario_id,split,category,severity,truth_topology_id,parameter_domain_truth,outlier_dimension,outlier_direction,master_seed,case_seed,parameter_vector_hash,noiseless_cfr_hash,observation_hash
stage4a7_1_cal_0001,calibration_stage4a7_1_cal_0001,calibration,in_library_continuous,not_applicable,G001,in_domain,,,20261811,20275952,f283cfb34c4121554bb11c2368c58f67c98fea3ea3649eb7f51f6f7e001d08dc,3385bb152d3fa3b9a6fe629beec06016e994f2d96236674e186d6851259ee08d,3385bb152d3fa3b9a6fe629beec06016e994f2d96236674e186d6851259ee08d
stage4a7_1_cal_0002,calibration_stage4a7_1_cal_0002,calibration,in_library_continuous,not_applicable,G001,in_domain,,,20261811,20275971,8d5eb7278bd3a468d9f10e0566d4599ba923cffacd6c20e3776ac092cb731e38,eeb1256ced4378ae992ba997f9dc5c6f33e9011def6b21fffa578fa8db37f890,eeb1256ced4378ae992ba997f9dc5c6f33e9011def6b21fffa578fa8db37f890
stage4a7_1_cal_0003,calibration_stage4a7_1_cal_0003,calibration,in_library_continuous,not_applicable,G001,in_domain,,,20261811,20275990,18fd4282f32e96dd2124fd7fdfb8f3137a5ea84aa37e56526485037e375fd48e,eff7c529f34e9fa22127871f6d3f4e927c753e7691532e0d324a90f772ed459b,eff7c529f34e9fa22127871f6d3f4e927c753e7691532e0d324a90f772ed459b
stage4a7_1_cal_0004,calibration_stage4a7_1_cal_0004,calibration,in_library_continuous,not_applicable,G001,in_domain,,,20261811,20276009,08821e509279eb9989a7378ba762c32264a5907848d079b9987511c573c947b1,5c95994149fbbf672685f80b25c884af33a0c7d5646249439eee63c6893a99da,5c95994149fbbf672685f80b25c884af33a0c7d5646249439eee63c6893a99da
stage4a7_1_cal_0005,calibration_stage4a7_1_cal_0005,calibration,in_library_continuous,not_applicable,G001,in_domain,,,20261811,20276028,ef88bfc6b8d57d08ef1d110ea00e3e31959aee962968fd9c9dd06c4129182fde,c56e4f97fee73154de82af4a708e8c019a4d32369b337a034e64a43d44b87ff6,c56e4f97fee73154de82af4a708e8c019a4d32369b337a034e64a43d44b87ff6
stage4a7_1_cal_0006,calibration_stage4a7_1_cal_0006,calibration,in_library_continuous,not_applicable,G001,in_domain,,,20261811,20276047,ddf9374f77945ca3f58ceeebb7fd33695cfddce80736940613b4d464ccc74ace,e59d6ad8b198cacdf23ecf2295bb1a93bc2d5e4cd77306207ce8feab367ddb87,e59d6ad8b198cacdf23ecf2295bb1a93bc2d5e4cd77306207ce8feab367ddb87
stage4a7_1_cal_0007,calibration_stage4a7_1_cal_0007,calibration,in_library_continuous,not_applicable,G001,in_domain,,,20261811,20276066,645aeff2f03aa6fc22bd2ff2d52f045f617772479b36cdc272a85093c2f6c7e6,72642eed3caeaa98c2d828d6a22bd2ee135aa10dc18c78d52c9ff8525c9c508d,72642eed3caeaa98c2d828d6a22bd2ee135aa10dc18c78d52c9ff8525c9c508d
stage4a7_1_cal_0008,calibration_stage4a7_1_cal_0008,calibration,in_library_continuous,not_applicable,G001,in_domain,,,20261811,20276085,fa9314452938f31bb3c7f3af4f0f95fd2b885047605059807dbc7047acc1f389,5b475a6bf8c5a1a819c0a773455342a515b083b195a6e72e826425df8a699357,5b475a6bf8c5a1a819c0a773455342a515b083b195a6e72e826425df8a699357
stage4a7_1_cal_0009,calibration_stage4a7_1_cal_0009,calibration,in_library_continuous,not_applicable,G001,in_domain,,,20261811,20276104,8e4bc11a55c88b316d7789317fe65cd6488b87d8a2304f8d1fba2708e44e0d19,b8af5cbf45abd3c54e65fe3ffc308fd28f90561f7ed9ecbfe3dd7474606f9f6f,b8af5cbf45abd3c54e65fe3ffc308fd28f90561f7ed9ecbfe3dd7474606f9f6f
stage4a7_1_cal_0010,calibration_stage4a7_1_cal_0010,calibration,in_library_continuous,not_applicable,G001,in_domain,,,20261811,20275951,293acf255f3bce7f75bfef0a638e93a7bea1187cb2c31261cf540a92f22a613f,69ca1e6e9f1f843336211d4ce322d8cf9bfee7c9f25ab8118dafc6a7c9b96438,69ca1e6e9f1f843336211d4ce322d8cf9bfee7c9f25ab8118dafc6a7c9b96438
stage4a7_1_cal_0011,calibration_stage4a7_1_cal_0011,calibration,in_library_continuous,not_applicable,G001,in_domain,,,20261811,20275970,2a3362fe8ed780aba6ca6b4213f7c7460b832eb601a9faf2af62420a3ff23034,284ae4c1935f67188c631152c2f5af7cfc49a8b1416a885e782b4995ecda8c5c,284ae4c1935f67188c631152c2f5af7cfc49a8b1416a885e782b4995ecda8c5c
stage4a7_1_cal_0012,calibration_stage4a7_1_cal_0012,calibration,in_library_continuous,not_applicable,G001,in_domain,,,20261811,20275989,d7f7d2efaf236e1a7e21bb8fa5eabae3199296c4a7f93655f52adc46611bbb88,e598a5eb090b836f60fcd48199d8003fdc592729b73307f67b0a37ed185d5754,e598a5eb090b836f60fcd48199d8003fdc592729b73307f67b0a37ed185d5754
stage4a7_1_cal_0013,calibration_stage4a7_1_cal_0013,calibration,in_library_continuous,not_applicable,G001,in_domain,,,20261811,20276008,afedf8fbf942f81ec9f60b198ef26d4ad18f5a94cf89619e1b7a263a650d9073,231ced3cdf77b0e98dc31c7a6723163acfca822930c9b7242826dca2b4d66ae4,231ced3cdf77b0e98dc31c7a6723163acfca822930c9b7242826dca2b4d66ae4
stage4a7_1_cal_0014,calibration_stage4a7_1_cal_0014,calibration,in_library_continuous,not_applicable,G001,in_domain,,,20261811,20276027,57ffaa7d8ca81afcbfcb2d8e75663ba6db7079ac948381a04afc7ee81e34d552,96657f3e6c272c5792196b36538efbb518bd4b96ab7e5da9e121a4f02a0bb1bc,96657f3e6c272c5792196b36538efbb518bd4b96ab7e5da9e121a4f02a0bb1bc
stage4a7_1_cal_0015,calibration_stage4a7_1_cal_0015,calibration,in_library_continuous,not_applicable,G001,in_domain,,,20261811,20276046,b0603fd151b80b7ec621953d82371548e3dc4536ed282c5280988854830ee077,a74e9b041dbad00a5e485472bac4d4214e509df17e2c4fe9d086f98cb6cb58aa,a74e9b041dbad00a5e485472bac4d4214e509df17e2c4fe9d086f98cb6cb58aa
stage4a7_1_cal_0016,calibration_stage4a7_1_cal_0016,calibration,in_library_continuous,not_applicable,G001,in_domain,,,20261811,20276065,f1024b631b75d1581e9963827a63f27d614f5f60bea7797fcc94a8b6de8f421b,41a2216d2c873d7fc9c033b12177cb9c2a020e19d9556091f6b49a144b22d707,41a2216d2c873d7fc9c033b12177cb9c2a020e19d9556091f6b49a144b22d707
stage4a7_1_cal_0017,calibration_stage4a7_1_cal_0017,calibration,in_library_continuous,not_applicable,G001,in_domain,,,20261811,20276084,8b370c65a628505951d91147ffbf43eccc842646ebdea53b54f384832832930a,239995eaa35273dcbed3d24fe8b79a3533b20b15e81ca37563870b803de5f6c2,239995eaa35273dcbed3d24fe8b79a3533b20b15e81ca37563870b803de5f6c2
stage4a7_1_cal_0018,calibration_stage4a7_1_cal_0018,calibration,in_library_continuous,not_applicable,G001,in_domain,,,20261811,20276103,1452cc74174f3c5593695a616621f3fac594e890ff0d3c1303b6ad8404e4d216,1e22b13033678baa5f594fd144c6ee361cdf2d3b9987dab310f8f4f32b34fccf,1e22b13033678baa5f594fd144c6ee361cdf2d3b9987dab310f8f4f32b34fccf
