sample_id,method_id,decision,decision_reason,ranked_candidates,accepted_candidate_set,accepted_candidate_count,best_topology_id,best_residual,second_residual,noise_whitened_residual,margin,rho,stability,p_values,indistinguishability_component_count,calibration_hash,candidate_generation_hash,compatibility_hash
stage4a7_1_pilot_0001,M0_min_residual,unique_topology,minimum exact composite residual; no rejection,"G001,G002,G005,G003,G004,G007,G006","G001",1,G001,0.153782401118666,0.216981039292679,NaN,0.0631986381740132,0.708736586474382,1,,NaN,not_applicable,0a7ad136906bcc694e9cdc57485e98b3b14f59e1c377a526b9098a8d631e77f1,0a7ad136906bcc694e9cdc57485e98b3b14f59e1c377a526b9098a8d631e77f1
stage4a7_1_pilot_0001,M3_frozen,unique_topology,singleton baseline class passed all frozen rules,"G001,G002,G005,G003,G004,G007,G006","G001",1,G001,0.153782401118666,0.216981039292679,NaN,0.0631986381740132,0.708736586474382,1,,NaN,0a7ad136906bcc694e9cdc57485e98b3b14f59e1c377a526b9098a8d631e77f1,0a7ad136906bcc694e9cdc57485e98b3b14f59e1c377a526b9098a8d631e77f1,0a7ad136906bcc694e9cdc57485e98b3b14f59e1c377a526b9098a8d631e77f1
stage4a7_1_pilot_0001,W_GLRT_compatible,unique_topology,GLRT-compatible weighted residual rank under explicit frozen covariance scale,"G001,G002,G005,G003,G004,G007,G006","G001",1,G001,0.153782401118666,0.216981039292679,1442590.64052315,0.0631986381740132,0.708736586474382,1,,NaN,443d32718afabef1e2ec14d3a87dd7bcc9205bb54979d13946adf4dd190daeb8,0a7ad136906bcc694e9cdc57485e98b3b14f59e1c377a526b9098a8d631e77f1,0a7ad136906bcc694e9cdc57485e98b3b14f59e1c377a526b9098a8d631e77f1
stage4a7_1_pilot_0001,C_set,unique_topology,class-conditional empirical calibration set,"G001,G002,G005,G003,G004,G007,G006","G001",1,G001,0.153782401118666,0.216981039292679,NaN,0.0631986381740132,0.708736586474382,1,G001:0.60396039603960394;G002:0.0099009900990099011;G003:0.0099009900990099011;G004:0.0099009900990099011;G005:0.0099009900990099011;G006:0.0099009900990099011;G007:0.0099009900990099011,NaN,aebc22fea851a881664e4192070369e2535c0ef2e4db1c33e21533705a8fcb20,0a7ad136906bcc694e9cdc57485e98b3b14f59e1c377a526b9098a8d631e77f1,0a7ad136906bcc694e9cdc57485e98b3b14f59e1c377a526b9098a8d631e77f1
stage4a7_1_pilot_0001,C_set_plus_I,unique_topology,empirical candidate set with calibrated residual-indistinguishability audit,"G001,G002,G005,G003,G004,G007,G006","G001",1,G001,0.153782401118666,0.216981039292679,NaN,0.0631986381740132,0.708736586474382,1,G001:0.60396039603960394;G002:0.0099009900990099011;G003:0.0099009900990099011;G004:0.0099009900990099011;G005:0.0099009900990099011;G006:0.0099009900990099011;G007:0.0099009900990099011,1,aebc22fea851a881664e4192070369e2535c0ef2e4db1c33e21533705a8fcb20,0a7ad136906bcc694e9cdc57485e98b3b14f59e1c377a526b9098a8d631e77f1,0a7ad136906bcc694e9cdc57485e98b3b14f59e1c377a526b9098a8d631e77f1
stage4a7_1_pilot_0002,M0_min_residual,unique_topology,minimum exact composite residual; no rejection,"G001,G002,G005,G003,G004,G007,G006","G001",1,G001,0.157408546113671,0.220056895314949,NaN,0.0626483492012777,0.715308401891567,1,,NaN,not_applicable,0a7ad136906bcc694e9cdc57485e98b3b14f59e1c377a526b9098a8d631e77f1,0a7ad136906bcc694e9cdc57485e98b3b14f59e1c377a526b9098a8d631e77f1
stage4a7_1_pilot_0002,M3_frozen,unique_topology,singleton baseline class passed all frozen rules,"G001,G002,G005,G003,G004,G007,G006","G001",1,G001,0.157408546113671,0.220056895314949,NaN,0.0626483492012777,0.715308401891567,1,,NaN,0a7ad136906bcc694e9cdc57485e98b3b14f59e1c377a526b9098a8d631e77f1,0a7ad136906bcc694e9cdc57485e98b3b14f59e1c377a526b9098a8d631e77f1,0a7ad136906bcc694e9cdc57485e98b3b14f59e1c377a526b9098a8d631e77f1
stage4a7_1_pilot_0002,W_GLRT_compatible,unique_topology,GLRT-compatible weighted residual rank under explicit frozen covariance scale,"G001,G002,G005,G003,G004,G007,G006","G001",1,G001,0.157408546113671,0.220056895314949,1511424.47376681,0.0626483492012777,0.715308401891567,1,,NaN,443d32718afabef1e2ec14d3a87dd7bcc9205bb54979d13946adf4dd190daeb8,0a7ad136906bcc694e9cdc57485e98b3b14f59e1c377a526b9098a8d631e77f1,0a7ad136906bcc694e9cdc57485e98b3b14f59e1c377a526b9098a8d631e77f1
stage4a7_1_pilot_0002,C_set,unique_topology,class-conditional empirical calibration set,"G001,G002,G005,G003,G004,G007,G006","G001",1,G001,0.157408546113671,0.220056895314949,NaN,0.0626483492012777,0.715308401891567,1,G001:0.60396039603960394;G002:0.0099009900990099011;G003:0.0099009900990099011;G004:0.0099009900990099011;G005:0.0099009900990099011;G006:0.0099009900990099011;G007:0.0099009900990099011,NaN,aebc22fea851a881664e4192070369e2535c0ef2e4db1c33e21533705a8fcb20,0a7ad136906bcc694e9cdc57485e98b3b14f59e1c377a526b9098a8d631e77f1,0a7ad136906bcc694e9cdc57485e98b3b14f59e1c377a526b9098a8d631e77f1
stage4a7_1_pilot_0002,C_set_plus_I,unique_topology,empirical candidate set with calibrated residual-indistinguishability audit,"G001,G002,G005,G003,G004,G007,G006","G001",1,G001,0.157408546113671,0.220056895314949,NaN,0.0626483492012777,0.715308401891567,1,G001:0.60396039603960394;G002:0.0099009900990099011;G003:0.0099009900990099011;G004:0.0099009900990099011;G005:0.0099009900990099011;G006:0.0099009900990099011;G007:0.0099009900990099011,1,aebc22fea851a881664e4192070369e2535c0ef2e4db1c33e21533705a8fcb20,0a7ad136906bcc694e9cdc57485e98b3b14f59e1c377a526b9098a8d631e77f1,0a7ad136906bcc694e9cdc57485e98b3b14f59e1c377a526b9098a8d631e77f1
stage4a7_1_pilot_0003,M0_min_residual,unique_topology,minimum exact composite residual; no rejection,"G001,G003,G002,G005,G004,G007,G006","G001",1,G001,0.107474924813519,0.199015577930086,NaN,0.0915406531165679,0.540032724728383,1,,NaN,not_applicable,0a7ad136906bcc694e9cdc57485e98b3b14f59e1c377a526b9098a8d631e77f1,0a7ad136906bcc694e9cdc57485e98b3b14f59e1c377a526b9098a8d631e77f1
stage4a7_1_pilot_0003,M3_frozen,unique_topology,singleton baseline class passed all frozen rules,"G001,G003,G002,G005,G004,G007,G006","G001",1,G001,0.107474924813519,0.199015577930086,NaN,0.0915406531165679,0.540032724728383,1,,NaN,0a7ad136906bcc694e9cdc57485e98b3b14f59e1c377a526b9098a8d631e77f1,0a7ad136906bcc694e9cdc57485e98b3b14f59e1c377a526b9098a8d631e77f1,0a7ad136906bcc694e9cdc57485e98b3b14f59e1c377a526b9098a8d631e77f1
stage4a7_1_pilot_0003,W_GLRT_compatible,unique_topology,GLRT-compatible weighted residual rank under explicit frozen covariance scale,"G001,G003,G002,G005,G004,G007,G006","G001",1,G001,0.107474924813519,0.199015577930086,704602.42728396,0.0915406531165679,0.540032724728383,1,,NaN,443d32718afabef1e2ec14d3a87dd7bcc9205bb54979d13946adf4dd190daeb8,0a7ad136906bcc694e9cdc57485e98b3b14f59e1c377a526b9098a8d631e77f1,0a7ad136906bcc694e9cdc57485e98b3b14f59e1c377a526b9098a8d631e77f1
stage4a7_1_pilot_0003,C_set,unique_topology,class-conditional empirical calibration set,"G001,G003,G002,G005,G004,G007,G006","G001",1,G001,0.107474924813519,0.199015577930086,NaN,0.0915406531165679,0.540032724728383,1,G001:0.7722772277227723;G002:0.0099009900990099011;G003:0.039603960396039604;G004:0.0099009900990099011;G005:0.0099009900990099011;G006:0.0099009900990099011;G007:0.0099009900990099011,NaN,aebc22fea851a881664e4192070369e2535c0ef2e4db1c33e21533705a8fcb20,0a7ad136906bcc694e9cdc57485e98b3b14f59e1c377a526b9098a8d631e77f1,0a7ad136906bcc694e9cdc57485e98b3b14f59e1c377a526b9098a8d631e77f1
stage4a7_1_pilot_0003,C_set_plus_I,unique_topology,empirical candidate set with calibrated residual-indistinguishability audit,"G001,G003,G002,G005,G004,G007,G006","G001",1,G001,0.107474924813519,0.199015577930086,NaN,0.0915406531165679,0.540032724728383,1,G001:0.7722772277227723;G002:0.0099009900990099011;G003:0.039603960396039604;G004:0.0099009900990099011;G005:0.0099009900990099011;G006:0.0099009900990099011;G007:0.0099009900990099011,1,aebc22fea851a881664e4192070369e2535c0ef2e4db1c33e21533705a8fcb20,0a7ad136906bcc694e9cdc57485e98b3b14f59e1c377a526b9098a8d631e77f1,0a7ad136906bcc694e9cdc57485e98b3b14f59e1c377a526b9098a8d631e77f1
stage4a7_1_pilot_0004,M0_min_residual,unique_topology,minimum exact composite residual; no rejection,"G001,G005,G002,G003,G004,G007,G006","G001",1,G001,0.187497432162514,0.224485795596558,NaN,0.0369883634340443,0.835230717664852,1,,NaN,not_applicable,0a7ad136906bcc694e9cdc57485e98b3b14f59e1c377a526b9098a8d631e77f1,0a7ad136906bcc694e9cdc57485e98b3b14f59e1c377a526b9098a8d631e77f1
stage4a7_1_pilot_0004,M3_frozen,unique_topology,singleton baseline class passed all frozen rules,"G001,G005,G002,G003,G004,G007,G006","G001",1,G001,0.187497432162514,0.224485795596558,NaN,0.0369883634340443,0.835230717664852,1,,NaN,0a7ad136906bcc694e9cdc57485e98b3b14f59e1c377a526b9098a8d631e77f1,0a7ad136906bcc694e9cdc57485e98b3b14f59e1c377a526b9098a8d631e77f1,0a7ad136906bcc694e9cdc57485e98b3b14f59e1c377a526b9098a8d631e77f1
stage4a7_1_pilot_0004,W_GLRT_compatible,unique_topology,GLRT-compatible weighted residual rank under explicit frozen covariance scale,"G001,G005,G002,G003,G004,G007,G006","G001",1,G001,0.187497432162514,0.224485795596558,2144472.51111972,0.0369883634340443,0.835230717664852,1,,NaN,443d32718afabef1e2ec14d3a87dd7bcc9205bb54979d13946adf4dd190daeb8,0a7ad136906bcc694e9cdc57485e98b3b14f59e1c377a526b9098a8d631e77f1,0a7ad136906bcc694e9cdc57485e98b3b14f59e1c377a526b9098a8d631e77f1
stage4a7_1_pilot_0004,C_set,unique_topology,class-conditional empirical calibration set,"G001,G005,G002,G003,G004,G007,G006","G001",1,G001,0.187497432162514,0.224485795596558,NaN,0.0369883634340443,0.835230717664852,1,G001:0.45544554455445546;G002:0.0099009900990099011;G003:0.0099009900990099011;G004:0.0099009900990099011;G005:0.0099009900990099011;G006:0.0099009900990099011;G007:0.0099009900990099011,NaN,aebc22fea851a881664e4192070369e2535c0ef2e4db1c33e21533705a8fcb20,0a7ad136906bcc694e9cdc57485e98b3b14f59e1c377a526b9098a8d631e77f1,0a7ad136906bcc694e9cdc57485e98b3b14f59e1c377a526b9098a8d631e77f1
stage4a7_1_pilot_0004,C_set_plus_I,unique_topology,empirical candidate set with calibrated residual-indistinguishability audit,"G001,G005,G002,G003,G004,G007,G006","G001",1,G001,0.187497432162514,0.224485795596558,NaN,0.0369883634340443,0.835230717664852,1,G001:0.45544554455445546;G002:0.0099009900990099011;G003:0.0099009900990099011;G004:0.0099009900990099011;G005:0.0099009900990099011;G006:0.0099009900990099011;G007:0.0099009900990099011,1,aebc22fea851a881664e4192070369e2535c0ef2e4db1c33e21533705a8fcb20,0a7ad136906bcc694e9cdc57485e98b3b14f59e1c377a526b9098a8d631e77f1,0a7ad136906bcc694e9cdc57485e98b3b14f59e1c377a526b9098a8d631e77f1
stage4a7_1_pilot_0005,M0_min_residual,unique_topology,minimum exact composite residual; no rejection,"G001,G005,G002,G003,G007,G004,G006","G001",1,G001,0.255508733930139,0.27325792476431,NaN,0.0177491908341719,0.935046016138724,0.866666666666667,,NaN,not_applicable,0a7ad136906bcc694e9cdc57485e98b3b14f59e1c377a526b9098a8d631e77f1,0a7ad136906bcc694e9cdc57485e98b3b14f59e1c377a526b9098a8d631e77f1
stage4a7_1_pilot_0005,M3_frozen,reject_model_mismatch,best full-band residual exceeds calibration threshold,"G001,G005,G002,G003,G007,G004,G006","",0,G001,0.255508733930139,0.27325792476431,NaN,0.0177491908341719,0.935046016138724,0.866666666666667,,NaN,0a7ad136906bcc694e9cdc57485e98b3b14f59e1c377a526b9098a8d631e77f1,0a7ad136906bcc694e9cdc57485e98b3b14f59e1c377a526b9098a8d631e77f1,0a7ad136906bcc694e9cdc57485e98b3b14f59e1c377a526b9098a8d631e77f1
stage4a7_1_pilot_0005,W_GLRT_compatible,reject_model_mismatch,weighted residual exceeds independent calibration threshold,"G001,G005,G002,G003,G007,G004,G006","",0,G001,0.255508733930139,0.27325792476431,3982367.49998952,0.0177491908341719,0.935046016138724,0.866666666666667,,NaN,443d32718afabef1e2ec14d3a87dd7bcc9205bb54979d13946adf4dd190daeb8,0a7ad136906bcc694e9cdc57485e98b3b14f59e1c377a526b9098a8d631e77f1,0a7ad136906bcc694e9cdc57485e98b3b14f59e1c377a526b9098a8d631e77f1
