method_id,category,metric_name,numerator,denominator,rate,ci_low,ci_high,evaluable_count,definition_version
M0_min_residual,all,topology_set_accuracy,392,427,0.918032786885246,0.888136424999263,0.940474639908896,427,stage4a7_1_independent_scenario_metrics_v1
M0_min_residual,all,accepted_coverage,500,500,1,0.992375659538448,1,500,stage4a7_1_independent_scenario_metrics_v1
M0_min_residual,all,topology_selective_risk,35,427,0.0819672131147541,0.0595253600911039,0.111863575000737,427,stage4a7_1_independent_scenario_metrics_v1
M0_min_residual,all,unique_output_precision,157,160,0.98125,0.946329887900686,0.993603149246741,160,stage4a7_1_independent_scenario_metrics_v1
M0_min_residual,all,singleton_rate,223,500,0.446,0.40300639158533,0.489817037184518,500,stage4a7_1_independent_scenario_metrics_v1
M0_min_residual,all,ambiguous_set_rate,0,500,0,4.33680868994202e-19,0.00762434046155224,500,stage4a7_1_independent_scenario_metrics_v1
M0_min_residual,all,equivalence_class_rate,277,500,0.554,0.510182962815483,0.59699360841467,500,stage4a7_1_independent_scenario_metrics_v1
M0_min_residual,all,rejection_rate,0,500,0,4.33680868994202e-19,0.00762434046155224,500,stage4a7_1_independent_scenario_metrics_v1
M0_min_residual,all,false_unique_unconditional,0,427,0,0,0.00891617726671204,427,stage4a7_1_independent_scenario_metrics_v1
M0_min_residual,all,false_unique_conditional,0,4,0,0,0.489890836454597,4,stage4a7_1_independent_scenario_metrics_v1
M0_min_residual,all,parameter_ood_false_acceptance,210,210,1,0.982035949240717,1,210,stage4a7_1_independent_scenario_metrics_v1
M0_min_residual,all,structure_ood_false_acceptance,73,73,1,0.950007992044269,1,73,stage4a7_1_independent_scenario_metrics_v1
M0_min_residual,all,average_candidate_set_size,777,500,1.554,NaN,NaN,500,stage4a7_1_independent_scenario_metrics_v1
M0_min_residual,in_domain_interior,topology_set_accuracy,210,210,1,0.982035949240717,1,210,stage4a7_1_independent_scenario_metrics_v1
M0_min_residual,in_domain_interior,accepted_coverage,210,210,1,0.982035949240717,1,210,stage4a7_1_independent_scenario_metrics_v1
M0_min_residual,in_domain_interior,topology_selective_risk,0,210,0,0,0.0179640507592832,210,stage4a7_1_independent_scenario_metrics_v1
M0_min_residual,in_domain_interior,unique_output_precision,90,90,1,0.959064374435673,1,90,stage4a7_1_independent_scenario_metrics_v1
M0_min_residual,in_domain_interior,singleton_rate,90,210,0.428571428571429,0.363514497917433,0.496194652191036,210,stage4a7_1_independent_scenario_metrics_v1
M0_min_residual,in_domain_interior,ambiguous_set_rate,0,210,0,0,0.0179640507592832,210,stage4a7_1_independent_scenario_metrics_v1
M0_min_residual,in_domain_interior,equivalence_class_rate,120,210,0.571428571428571,0.503805347808964,0.636485502082567,210,stage4a7_1_independent_scenario_metrics_v1
M0_min_residual,in_domain_interior,rejection_rate,0,210,0,0,0.0179640507592832,210,stage4a7_1_independent_scenario_metrics_v1
M0_min_residual,in_domain_interior,false_unique_unconditional,0,210,0,0,0.0179640507592832,210,stage4a7_1_independent_scenario_metrics_v1
M0_min_residual,in_domain_interior,false_unique_conditional,0,0,NaN,NaN,NaN,0,stage4a7_1_independent_scenario_metrics_v1
