sample_id,split,truth_topology_id,same_theta_equivalence_set,same_theta_equivalence_member_count,equivalence_evaluable,comparison_status,equivalence_tolerance,scenario_parameter_hash,scenario_observation_hash
stage4a7_1_cal_0001,calibration,G001,"G001",1,1,comparable,1e-09,f283cfb34c4121554bb11c2368c58f67c98fea3ea3649eb7f51f6f7e001d08dc,3385bb152d3fa3b9a6fe629beec06016e994f2d96236674e186d6851259ee08d
stage4a7_1_cal_0002,calibration,G001,"G001",1,1,comparable,1e-09,8d5eb7278bd3a468d9f10e0566d4599ba923cffacd6c20e3776ac092cb731e38,eeb1256ced4378ae992ba997f9dc5c6f33e9011def6b21fffa578fa8db37f890
stage4a7_1_cal_0003,calibration,G001,"G001",1,1,comparable,1e-09,18fd4282f32e96dd2124fd7fdfb8f3137a5ea84aa37e56526485037e375fd48e,eff7c529f34e9fa22127871f6d3f4e927c753e7691532e0d324a90f772ed459b
stage4a7_1_cal_0004,calibration,G001,"G001",1,1,comparable,1e-09,08821e509279eb9989a7378ba762c32264a5907848d079b9987511c573c947b1,5c95994149fbbf672685f80b25c884af33a0c7d5646249439eee63c6893a99da
stage4a7_1_cal_0005,calibration,G001,"G001",1,1,comparable,1e-09,ef88bfc6b8d57d08ef1d110ea00e3e31959aee962968fd9c9dd06c4129182fde,c56e4f97fee73154de82af4a708e8c019a4d32369b337a034e64a43d44b87ff6
stage4a7_1_cal_0006,calibration,G001,"G001",1,1,comparable,1e-09,ddf9374f77945ca3f58ceeebb7fd33695cfddce80736940613b4d464ccc74ace,e59d6ad8b198cacdf23ecf2295bb1a93bc2d5e4cd77306207ce8feab367ddb87
stage4a7_1_cal_0007,calibration,G001,"G001",1,1,comparable,1e-09,645aeff2f03aa6fc22bd2ff2d52f045f617772479b36cdc272a85093c2f6c7e6,72642eed3caeaa98c2d828d6a22bd2ee135aa10dc18c78d52c9ff8525c9c508d
stage4a7_1_cal_0008,calibration,G001,"G001",1,1,comparable,1e-09,fa9314452938f31bb3c7f3af4f0f95fd2b885047605059807dbc7047acc1f389,5b475a6bf8c5a1a819c0a773455342a515b083b195a6e72e826425df8a699357
stage4a7_1_cal_0009,calibration,G001,"G001",1,1,comparable,1e-09,8e4bc11a55c88b316d7789317fe65cd6488b87d8a2304f8d1fba2708e44e0d19,b8af5cbf45abd3c54e65fe3ffc308fd28f90561f7ed9ecbfe3dd7474606f9f6f
stage4a7_1_cal_0010,calibration,G001,"G001",1,1,comparable,1e-09,293acf255f3bce7f75bfef0a638e93a7bea1187cb2c31261cf540a92f22a613f,69ca1e6e9f1f843336211d4ce322d8cf9bfee7c9f25ab8118dafc6a7c9b96438
stage4a7_1_cal_0011,calibration,G001,"G001",1,1,comparable,1e-09,2a3362fe8ed780aba6ca6b4213f7c7460b832eb601a9faf2af62420a3ff23034,284ae4c1935f67188c631152c2f5af7cfc49a8b1416a885e782b4995ecda8c5c
stage4a7_1_cal_0012,calibration,G001,"G001",1,1,comparable,1e-09,d7f7d2efaf236e1a7e21bb8fa5eabae3199296c4a7f93655f52adc46611bbb88,e598a5eb090b836f60fcd48199d8003fdc592729b73307f67b0a37ed185d5754
stage4a7_1_cal_0013,calibration,G001,"G001",1,1,comparable,1e-09,afedf8fbf942f81ec9f60b198ef26d4ad18f5a94cf89619e1b7a263a650d9073,231ced3cdf77b0e98dc31c7a6723163acfca822930c9b7242826dca2b4d66ae4
stage4a7_1_cal_0014,calibration,G001,"G001",1,1,comparable,1e-09,57ffaa7d8ca81afcbfcb2d8e75663ba6db7079ac948381a04afc7ee81e34d552,96657f3e6c272c5792196b36538efbb518bd4b96ab7e5da9e121a4f02a0bb1bc
stage4a7_1_cal_0015,calibration,G001,"G001",1,1,comparable,1e-09,b0603fd151b80b7ec621953d82371548e3dc4536ed282c5280988854830ee077,a74e9b041dbad00a5e485472bac4d4214e509df17e2c4fe9d086f98cb6cb58aa
stage4a7_1_cal_0016,calibration,G001,"G001",1,1,comparable,1e-09,f1024b631b75d1581e9963827a63f27d614f5f60bea7797fcc94a8b6de8f421b,41a2216d2c873d7fc9c033b12177cb9c2a020e19d9556091f6b49a144b22d707
stage4a7_1_cal_0017,calibration,G001,"G001",1,1,comparable,1e-09,8b370c65a628505951d91147ffbf43eccc842646ebdea53b54f384832832930a,239995eaa35273dcbed3d24fe8b79a3533b20b15e81ca37563870b803de5f6c2
stage4a7_1_cal_0018,calibration,G001,"G001",1,1,comparable,1e-09,1452cc74174f3c5593695a616621f3fac594e890ff0d3c1303b6ad8404e4d216,1e22b13033678baa5f594fd144c6ee361cdf2d3b9987dab310f8f4f32b34fccf
stage4a7_1_cal_0019,calibration,G001,"G001",1,1,comparable,1e-09,33ed21d1a25a225394a89e5427a148340787537ad1374e51a5984b51d2a0b267,f40450cdaccac2ae4b5c0551c523ae45a737a25879af65aa8300e94ac5894d7d
stage4a7_1_cal_0020,calibration,G001,"G001",1,1,comparable,1e-09,b519ac76b48c5a9b3a17d0f1f2590dc7c1cf35b15b63793bdf8b20f12f0bc778,0a39c3490eb2fa8fd0a770ceffeb710eca1fccab419590f5a9afd8931b83b01a
stage4a7_1_cal_0021,calibration,G001,"G001",1,1,comparable,1e-09,099563444bd23c3f84c1ed9f00cf98b0f668e5d9825a63801156adbd522a4569,297e34c4420f1c1006f5ee1ea50731e7cbc298f5c15f1ff9cbfbed5eb7ea169a
stage4a7_1_cal_0022,calibration,G001,"G001",1,1,comparable,1e-09,0b1b4b3c28369c2cdc86a5121445afa58c72ac5c498c23fcb617c2eac7b26d03,ff61959cb159e1d2673b61b7133829e931b5f5b88bda199d55a5a60b9e88e020
stage4a7_1_cal_0023,calibration,G001,"G001",1,1,comparable,1e-09,f042313379eeede3e5869db5ac5b813a29fd2b314381cdc36a8a5ec2cfc990bd,4f32bca9de88f81e69abb04c948fef15beb4928b2b2b4de1243bfd5bf747c8a5
stage4a7_1_cal_0024,calibration,G001,"G001",1,1,comparable,1e-09,8251661d960395dbecefd80ffd2da3de2a5542775613bc95ef104bf3610f3480,5535ef2a505c5a0b23442e94fda7b6acd3d0e381c289017e1c82ee60ff933672
stage4a7_1_cal_0025,calibration,G001,"G001",1,1,comparable,1e-09,78a638eb9cba597bbdc1f79321a719cbc704c233e8eb9c8673c7fe3ea8e3c4d8,1675c5d5f4709c841fa898341f357d9224b352da456c4c560f4179a7ac137888
stage4a7_1_cal_0026,calibration,G001,"G001",1,1,comparable,1e-09,7724705f98bcb966b1f2e7860c96be5ab9c6506fe40c86913e07024875338909,a072bc254b09355343fb7b8062e0dd0dc1a0f18bac5c9581dd2a2f619508e0f8
stage4a7_1_cal_0027,calibration,G001,"G001",1,1,comparable,1e-09,95d82f79a5fb9cb9e5ac654da7fb39f168faad8ee24e6fe922c3bc2648aa79f6,c59165a2a4d5d177cba2d598b9f564425cf7095d6e82b87c96e8245b50b31125
stage4a7_1_cal_0028,calibration,G001,"G001",1,1,comparable,1e-09,7e01227f385091bb73fb67e603d6b740364cb203ef31a7c5a804b809ace4f652,58725c93aaf735f21c3c1c61684c6e878e24c2e1682a6f58c15fe6c520cf60fc
stage4a7_1_cal_0029,calibration,G001,"G001",1,1,comparable,1e-09,8e2114021c1cd56ef40793dbde860409d6dca4147b763a8bb2b06ce988643f04,a6c3a6d74bd85c4caa67a3b7d5e713e14805d809688e71f83a498acc7fc9693f
stage4a7_1_cal_0030,calibration,G001,"G001",1,1,comparable,1e-09,edb02b6881f66bebffeed4315f5bbe94b2eab76399fe52af31f20476afa15837,b42a3f1d77e9c22917bc6d3a1bb9fb287ef293876edca52eb897de4f67694f48
stage4a7_1_cal_0031,calibration,G001,"G001",1,1,comparable,1e-09,dd5a0cf84beb6578d024cddbc18d5afb10a97762f354218f12e23055f9d7b501,08b68b0442d49c5a76f57416a02929b850122c6b2ba15cd20ea5d7a554704053
stage4a7_1_cal_0032,calibration,G001,"G001",1,1,comparable,1e-09,f2fc1a4a77d17ce97733a4b27236b2eef5ba120a826b39ab57ca49468082acfa,0be55fab8418d9fd9c7a882e72f4c51a700a5e4fa6de9e7305e0a14ad88928b2
