candidate_id,round_trip_ok,forward_model_compatible,reason_code,reconstruction_source,attribute_mismatch_count,scientific_hash
ENWL13E_001,1,1,compatible,forward_network_and_adapter_metadata,0,120347c6ff1589e0182b75880916e8d674ee9c9bb76f1d563d7b7d916d346deb
ENWL13E_002,1,1,compatible,forward_network_and_adapter_metadata,0,120347c6ff1589e0182b75880916e8d674ee9c9bb76f1d563d7b7d916d346deb
ENWL13E_003,1,1,compatible,forward_network_and_adapter_metadata,0,120347c6ff1589e0182b75880916e8d674ee9c9bb76f1d563d7b7d916d346deb
ENWL13E_004,0,0,nested_branch_not_supported,,NaN,120347c6ff1589e0182b75880916e8d674ee9c9bb76f1d563d7b7d916d346deb
ENWL13E_005,1,1,compatible,forward_network_and_adapter_metadata,0,120347c6ff1589e0182b75880916e8d674ee9c9bb76f1d563d7b7d916d346deb
ENWL13E_006,1,1,compatible,forward_network_and_adapter_metadata,0,120347c6ff1589e0182b75880916e8d674ee9c9bb76f1d563d7b7d916d346deb
ENWL13E_007,0,0,nested_branch_not_supported,,NaN,120347c6ff1589e0182b75880916e8d674ee9c9bb76f1d563d7b7d916d346deb
ENWL13E_008,1,1,compatible,forward_network_and_adapter_metadata,0,120347c6ff1589e0182b75880916e8d674ee9c9bb76f1d563d7b7d916d346deb
ENWL13E_009,1,1,compatible,forward_network_and_adapter_metadata,0,120347c6ff1589e0182b75880916e8d674ee9c9bb76f1d563d7b7d916d346deb
ENWL13E_010,0,0,unsupported_component,,NaN,120347c6ff1589e0182b75880916e8d674ee9c9bb76f1d563d7b7d916d346deb
ENWL13E_011,1,1,compatible,forward_network_and_adapter_metadata,0,120347c6ff1589e0182b75880916e8d674ee9c9bb76f1d563d7b7d916d346deb
ENWL13E_012,1,1,compatible,forward_network_and_adapter_metadata,0,120347c6ff1589e0182b75880916e8d674ee9c9bb76f1d563d7b7d916d346deb
ENWL13E_013,0,0,unsupported_component,,NaN,120347c6ff1589e0182b75880916e8d674ee9c9bb76f1d563d7b7d916d346deb
ENWL13E_014,1,1,compatible,forward_network_and_adapter_metadata,0,120347c6ff1589e0182b75880916e8d674ee9c9bb76f1d563d7b7d916d346deb
ENWL13E_015,1,1,compatible,forward_network_and_adapter_metadata,0,120347c6ff1589e0182b75880916e8d674ee9c9bb76f1d563d7b7d916d346deb
ENWL13E_016,0,0,unsupported_component,,NaN,120347c6ff1589e0182b75880916e8d674ee9c9bb76f1d563d7b7d916d346deb
ENWL13E_017,1,1,compatible,forward_network_and_adapter_metadata,0,120347c6ff1589e0182b75880916e8d674ee9c9bb76f1d563d7b7d916d346deb
ENWL13E_018,0,0,nested_branch_not_supported,,NaN,120347c6ff1589e0182b75880916e8d674ee9c9bb76f1d563d7b7d916d346deb
ENWL13E_019,0,0,nested_branch_not_supported,,NaN,120347c6ff1589e0182b75880916e8d674ee9c9bb76f1d563d7b7d916d346deb
ENWL13E_020,1,1,compatible,forward_network_and_adapter_metadata,0,120347c6ff1589e0182b75880916e8d674ee9c9bb76f1d563d7b7d916d346deb
ENWL13E_021,0,0,unsupported_component,,NaN,120347c6ff1589e0182b75880916e8d674ee9c9bb76f1d563d7b7d916d346deb
ENWL13E_022,1,1,compatible,forward_network_and_adapter_metadata,0,120347c6ff1589e0182b75880916e8d674ee9c9bb76f1d563d7b7d916d346deb
ENWL13E_023,1,1,compatible,forward_network_and_adapter_metadata,0,120347c6ff1589e0182b75880916e8d674ee9c9bb76f1d563d7b7d916d346deb
