sample_id,perturbation_fraction,set_size,accepted_set,same_theta_distance,source_tree_hash
r1_near_symmetry_001,0.001,7,"G001,G002,G003,G004,G005,G006,G007",0.00679871259935917,bb8afde970ceeed4fdaf401f77859fafcd5abf8f6138100d6b80db9d0fc54a6e
r1_near_symmetry_002,0.005,7,"G001,G002,G003,G004,G005,G006,G007",0.0338482029692454,bb8afde970ceeed4fdaf401f77859fafcd5abf8f6138100d6b80db9d0fc54a6e
r1_near_symmetry_003,0.01,7,"G001,G002,G003,G004,G005,G006,G007",0.0713606710543908,bb8afde970ceeed4fdaf401f77859fafcd5abf8f6138100d6b80db9d0fc54a6e
r1_near_symmetry_004,0.02,7,"G001,G002,G003,G004,G005,G006,G007",0.132095048833841,bb8afde970ceeed4fdaf401f77859fafcd5abf8f6138100d6b80db9d0fc54a6e
r1_near_symmetry_005,0.05,7,"G001,G002,G003,G004,G005,G006,G007",0.251695472713667,bb8afde970ceeed4fdaf401f77859fafcd5abf8f6138100d6b80db9d0fc54a6e
r1_near_symmetry_006,0.001,7,"G001,G002,G003,G004,G005,G006,G007",0.00728108049506448,bb8afde970ceeed4fdaf401f77859fafcd5abf8f6138100d6b80db9d0fc54a6e
r1_near_symmetry_007,0.005,7,"G001,G002,G003,G004,G005,G006,G007",0.0359358044008873,bb8afde970ceeed4fdaf401f77859fafcd5abf8f6138100d6b80db9d0fc54a6e
r1_near_symmetry_008,0.01,7,"G001,G002,G003,G004,G005,G006,G007",0.0695495096313686,bb8afde970ceeed4fdaf401f77859fafcd5abf8f6138100d6b80db9d0fc54a6e
r1_near_symmetry_009,0.02,7,"G001,G002,G003,G004,G005,G006,G007",0.130705556537666,bb8afde970ceeed4fdaf401f77859fafcd5abf8f6138100d6b80db9d0fc54a6e
r1_near_symmetry_010,0.05,7,"G001,G002,G003,G004,G005,G006,G007",0.23856781306218,bb8afde970ceeed4fdaf401f77859fafcd5abf8f6138100d6b80db9d0fc54a6e
