sample_id,truth_set,truth_member_count,accepted_set,set_size,false_unique,hit,parameter_vector_hash,noiseless_cfr_hash
r1_nonunique_001,"G004,G007",2,"G001,G002,G003,G004,G005,G006,G007",7,0,1,3ac8800627b2b960d734eedb3cc14b5a78cc242791616e2c4378dda704a089df,d479fc32cead9ef4235f91c4b3b6caecefd8f55246f1394543e4261507db1013
r1_nonunique_002,"G004,G007",2,"G001,G002,G003,G004,G005,G006,G007",7,0,1,d2cb01833f770792979550f299dc6f48c3d5600897798a53bd66ef46f868ff1e,8317021b81283c39172721e921ffa6146309b6e23ac72bc16a7551f3036433d5
r1_nonunique_003,"G004,G007",2,"G001,G002,G003,G004,G005,G006,G007",7,0,1,19010615d263f7784c9615bad17fbfa15aa31f8730a6e59306c9dee43f41ba10,539be79d453562e43f65723ae00b92d97da09cd85ce5d8de08e406be23c6c71f
r1_nonunique_004,"G004,G007",2,"G001,G002,G003,G004,G005,G006,G007",7,0,1,ecb6de7b0b0fc1e17c4224663947637d5e3bbacc7ef022e560189842be07f0e3,304a08145656c8851b316866a9ca5f165721679c7f6439829f6074052ac23a5b
r1_nonunique_005,"G004,G007",2,"G001,G002,G003,G004,G005,G006,G007",7,0,1,6e49e5855f471951e03237dbad954555e82b31ba7df2a60a5426228bbe6dcad7,4c06ca31f0b0fe69591a96ef37c06dcaead683945e82a9814a84421d9601e901
r1_nonunique_006,"G004,G007",2,"G001,G002,G003,G004,G005,G006,G007",7,0,1,476ba17cbfbbd24822e53fc50cfa3bada6a4531353239e0fa3fdd62f735ac6c9,95ef5bd14b32b71b76a286e1db316a30d6058d50def480cc6f90de360c6ef099
r1_nonunique_007,"G004,G007",2,"G001,G002,G003,G004,G005,G006,G007",7,0,1,0734b1f328fd7c222f5aa6480cf64d554791678d3f374c0369abe123566d8e40,2c1346730bde37f4c5a6d9a49cadb60c85eb3bdeaffdf501dfb14645f21f3e63
r1_nonunique_008,"G004,G007",2,"G001,G002,G003,G004,G005,G006,G007",7,0,1,e08f718082be58f415eb1b4839d2ccef830336ea13c0b32ff0336fefb4b760c5,d600bcb4a5024904847aa5aae797404a0f4799991440d43d10be076f09fdc48a
r1_nonunique_009,"G004,G007",2,"G001,G002,G003,G004,G005,G006,G007",7,0,1,3f31a4d9b4b38bfe42ae5a53443ef98e47859e7f35143e65b3c0152a9fbba2d3,07c841a7feec8460e800b3fea1abbb7b5556e17295f8831a7a79f9281efbd8d2
r1_nonunique_010,"G004,G007",2,"G001,G002,G003,G004,G005,G006,G007",7,0,1,19010615d263f7784c9615bad17fbfa15aa31f8730a6e59306c9dee43f41ba10,539be79d453562e43f65723ae00b92d97da09cd85ce5d8de08e406be23c6c71f
