sample_id,perturbation_fraction,set_size,accepted_set,same_theta_distance,source_tree_hash
r1_near_symmetry_001,0.001,7,"G001,G002,G003,G004,G005,G006,G007",0.00679871259935917,291bc432a3363a3c39d7b58362e891ed0fe4b68e98257d70f61a781ac722c002
r1_near_symmetry_002,0.005,7,"G001,G002,G003,G004,G005,G006,G007",0.0338482029692454,291bc432a3363a3c39d7b58362e891ed0fe4b68e98257d70f61a781ac722c002
r1_near_symmetry_003,0.01,7,"G001,G002,G003,G004,G005,G006,G007",0.0713606710543908,291bc432a3363a3c39d7b58362e891ed0fe4b68e98257d70f61a781ac722c002
r1_near_symmetry_004,0.02,7,"G001,G002,G003,G004,G005,G006,G007",0.132095048833841,291bc432a3363a3c39d7b58362e891ed0fe4b68e98257d70f61a781ac722c002
r1_near_symmetry_005,0.05,7,"G001,G002,G003,G004,G005,G006,G007",0.251695472713667,291bc432a3363a3c39d7b58362e891ed0fe4b68e98257d70f61a781ac722c002
r1_near_symmetry_006,0.001,7,"G001,G002,G003,G004,G005,G006,G007",0.00728108049506448,291bc432a3363a3c39d7b58362e891ed0fe4b68e98257d70f61a781ac722c002
r1_near_symmetry_007,0.005,7,"G001,G002,G003,G004,G005,G006,G007",0.0359358044008873,291bc432a3363a3c39d7b58362e891ed0fe4b68e98257d70f61a781ac722c002
r1_near_symmetry_008,0.01,7,"G001,G002,G003,G004,G005,G006,G007",0.0695495096313686,291bc432a3363a3c39d7b58362e891ed0fe4b68e98257d70f61a781ac722c002
r1_near_symmetry_009,0.02,7,"G001,G002,G003,G004,G005,G006,G007",0.130705556537666,291bc432a3363a3c39d7b58362e891ed0fe4b68e98257d70f61a781ac722c002
r1_near_symmetry_010,0.05,7,"G001,G002,G003,G004,G005,G006,G007",0.23856781306218,291bc432a3363a3c39d7b58362e891ed0fe4b68e98257d70f61a781ac722c002
r1_near_symmetry_011,0.001,7,"G001,G002,G003,G004,G005,G006,G007",0.00656554739764479,291bc432a3363a3c39d7b58362e891ed0fe4b68e98257d70f61a781ac722c002
r1_near_symmetry_012,0.005,7,"G001,G002,G003,G004,G005,G006,G007",0.0352761788835253,291bc432a3363a3c39d7b58362e891ed0fe4b68e98257d70f61a781ac722c002
r1_near_symmetry_013,0.01,7,"G001,G002,G003,G004,G005,G006,G007",0.0675231322677119,291bc432a3363a3c39d7b58362e891ed0fe4b68e98257d70f61a781ac722c002
r1_near_symmetry_014,0.02,7,"G001,G002,G003,G004,G005,G006,G007",0.123872024523876,291bc432a3363a3c39d7b58362e891ed0fe4b68e98257d70f61a781ac722c002
r1_near_symmetry_015,0.05,7,"G001,G002,G003,G004,G005,G006,G007",0.244425261904803,291bc432a3363a3c39d7b58362e891ed0fe4b68e98257d70f61a781ac722c002
