sample_id,truth_set,truth_member_count,accepted_set,set_size,false_unique,hit,parameter_vector_hash,noiseless_cfr_hash
r1_nonunique_001,"G004,G007",2,"G001,G002,G003,G004,G005,G006,G007",7,0,1,3ac8800627b2b960d734eedb3cc14b5a78cc242791616e2c4378dda704a089df,d479fc32cead9ef4235f91c4b3b6caecefd8f55246f1394543e4261507db1013
r1_nonunique_002,"G004,G007",2,"G001,G002,G003,G004,G005,G006,G007",7,0,1,d2cb01833f770792979550f299dc6f48c3d5600897798a53bd66ef46f868ff1e,8317021b81283c39172721e921ffa6146309b6e23ac72bc16a7551f3036433d5
r1_nonunique_003,"G004,G007",2,"G001,G002,G003,G004,G005,G006,G007",7,0,1,19010615d263f7784c9615bad17fbfa15aa31f8730a6e59306c9dee43f41ba10,539be79d453562e43f65723ae00b92d97da09cd85ce5d8de08e406be23c6c71f
r1_nonunique_004,"G004,G007",2,"G001,G002,G003,G004,G005,G006,G007",7,0,1,ecb6de7b0b0fc1e17c4224663947637d5e3bbacc7ef022e560189842be07f0e3,304a08145656c8851b316866a9ca5f165721679c7f6439829f6074052ac23a5b
r1_nonunique_005,"G004,G007",2,"G001,G002,G003,G004,G005,G006,G007",7,0,1,6e49e5855f471951e03237dbad954555e82b31ba7df2a60a5426228bbe6dcad7,4c06ca31f0b0fe69591a96ef37c06dcaead683945e82a9814a84421d9601e901
r1_nonunique_006,"G004,G007",2,"G001,G002,G003,G004,G005,G006,G007",7,0,1,476ba17cbfbbd24822e53fc50cfa3bada6a4531353239e0fa3fdd62f735ac6c9,95ef5bd14b32b71b76a286e1db316a30d6058d50def480cc6f90de360c6ef099
r1_nonunique_007,"G004,G007",2,"G001,G002,G003,G004,G005,G006,G007",7,0,1,0734b1f328fd7c222f5aa6480cf64d554791678d3f374c0369abe123566d8e40,2c1346730bde37f4c5a6d9a49cadb60c85eb3bdeaffdf501dfb14645f21f3e63
r1_nonunique_008,"G004,G007",2,"G001,G002,G003,G004,G005,G006,G007",7,0,1,e08f718082be58f415eb1b4839d2ccef830336ea13c0b32ff0336fefb4b760c5,d600bcb4a5024904847aa5aae797404a0f4799991440d43d10be076f09fdc48a
r1_nonunique_009,"G004,G007",2,"G001,G002,G003,G004,G005,G006,G007",7,0,1,3f31a4d9b4b38bfe42ae5a53443ef98e47859e7f35143e65b3c0152a9fbba2d3,07c841a7feec8460e800b3fea1abbb7b5556e17295f8831a7a79f9281efbd8d2
r1_nonunique_010,"G004,G007",2,"G001,G002,G003,G004,G005,G006,G007",7,0,1,19010615d263f7784c9615bad17fbfa15aa31f8730a6e59306c9dee43f41ba10,539be79d453562e43f65723ae00b92d97da09cd85ce5d8de08e406be23c6c71f
r1_nonunique_011,"G004,G007",2,"G001,G002,G003,G004,G005,G006,G007",7,0,1,6f1d2e65daacade302522f527288d3f633b214f9f61cf26b19cf249ed0eccac3,17fbe65c983a0675cc52464e2722888309c0abe7c8c53fe1440d4c8c548f5271
r1_nonunique_012,"G004,G007",2,"G001,G002,G003,G004,G005,G006,G007",7,0,1,1b089cd10e99089585c07a4919137aaebb13b789e026193ed7ebb6d4d928bc7d,0996c2328bccb714f7a4747de6690c15df28130a66f0dc2b69f829a13f30f433
r1_nonunique_013,"G004,G007",2,"G001,G002,G003,G004,G005,G006,G007",7,0,1,8476f7fbd2e3bcc9746ecd37cc3c997785806237b0a947690d5c09bf1029461b,1775b01dce38abf38ed5ff88b2b31a04b480e0bcdcf2c7622f63756e62a4a743
r1_nonunique_014,"G004,G007",2,"G001,G002,G003,G004,G005,G006,G007",7,0,1,2181ee5215179916926affabfd0a159c99eeb9f892000b321e60217743c85904,a9d525c77c47a231741e63e0bc96533041c5d7c40391a8fdfa2dffac0e2b4136
r1_nonunique_015,"G004,G007",2,"G001,G002,G003,G004,G005,G006,G007",7,0,1,515d199e3fd2572e2fcf9afd1c6f302902b2cbec38bf99fa2c2e5d5820b8057d,23b2d2f8c1c25bb4d0e27b80e2f94c5fade439e08e0342ec19921af233acf82a
r1_nonunique_016,"G004,G007",2,"G001,G002,G003,G004,G005,G006,G007",7,0,1,18e187bb9fe8801a480a392897b3454b3a77621ec15116ecc31cf9e27b6d2435,227643601b391563a5980513e6de88f23c1a6e9765d5e20988bb3c3960e6ed5e
r1_nonunique_017,"G004,G007",2,"G001,G002,G003,G004,G005,G006,G007",7,0,1,8cb3bd068cafb8dcbacf118e368b0e971a8f5ea4214249ab720e889608cd76a5,921e26a954cade9c4ffeae6be49f13a962d3ed3db08e5b3ec578a1a5f7532c10
r1_nonunique_018,"G004,G007",2,"G001,G002,G003,G004,G005,G006,G007",7,0,1,cee5860f94f69fe88c3d1402c78ed313ad2389eee98be9d71e12014edecdd5ee,1e37acff9fcd0b0a3f729593c5587bfa6517017cf06055cc840b1eaf72a8feea
r1_nonunique_019,"G004,G007",2,"G001,G002,G003,G004,G005,G006,G007",7,0,1,cee5860f94f69fe88c3d1402c78ed313ad2389eee98be9d71e12014edecdd5ee,1e37acff9fcd0b0a3f729593c5587bfa6517017cf06055cc840b1eaf72a8feea
