sample_id,candidate_id,profile_distance,best_template_index,template_count,scientific_hash
r1_development_001_01,ENWL13K_001,0,108,1458,291bc432a3363a3c39d7b58362e891ed0fe4b68e98257d70f61a781ac722c002
r1_development_001_01,ENWL13K_003,0.387252437922008,3,1458,291bc432a3363a3c39d7b58362e891ed0fe4b68e98257d70f61a781ac722c002
r1_development_001_01,ENWL13K_004,0.155277830796128,3,1458,291bc432a3363a3c39d7b58362e891ed0fe4b68e98257d70f61a781ac722c002
r1_development_001_01,ENWL13K_005,0.127863133886469,241,1458,291bc432a3363a3c39d7b58362e891ed0fe4b68e98257d70f61a781ac722c002
r1_development_001_01,ENWL13K_006,0.129850990703361,241,1458,291bc432a3363a3c39d7b58362e891ed0fe4b68e98257d70f61a781ac722c002
r1_development_001_01,ENWL13K_007,0.0860112308131241,243,1458,291bc432a3363a3c39d7b58362e891ed0fe4b68e98257d70f61a781ac722c002
r1_development_001_02,ENWL13K_001,0,19,1458,291bc432a3363a3c39d7b58362e891ed0fe4b68e98257d70f61a781ac722c002
r1_development_001_02,ENWL13K_003,0.361312953420725,3,1458,291bc432a3363a3c39d7b58362e891ed0fe4b68e98257d70f61a781ac722c002
r1_development_001_02,ENWL13K_004,0.113817940969198,3,1458,291bc432a3363a3c39d7b58362e891ed0fe4b68e98257d70f61a781ac722c002
r1_development_001_02,ENWL13K_005,0.0934723853721122,241,1458,291bc432a3363a3c39d7b58362e891ed0fe4b68e98257d70f61a781ac722c002
r1_development_001_02,ENWL13K_006,0.0939856182729483,241,1458,291bc432a3363a3c39d7b58362e891ed0fe4b68e98257d70f61a781ac722c002
r1_development_001_02,ENWL13K_007,0.0493081552744466,243,1458,291bc432a3363a3c39d7b58362e891ed0fe4b68e98257d70f61a781ac722c002
r1_development_002_01,ENWL13K_001,0.406429295543739,241,1458,291bc432a3363a3c39d7b58362e891ed0fe4b68e98257d70f61a781ac722c002
r1_development_002_01,ENWL13K_003,0,110,1458,291bc432a3363a3c39d7b58362e891ed0fe4b68e98257d70f61a781ac722c002
r1_development_002_01,ENWL13K_004,0.269833350449378,241,1458,291bc432a3363a3c39d7b58362e891ed0fe4b68e98257d70f61a781ac722c002
r1_development_002_01,ENWL13K_005,0.493287676485243,241,1458,291bc432a3363a3c39d7b58362e891ed0fe4b68e98257d70f61a781ac722c002
r1_development_002_01,ENWL13K_006,0.491138781227768,241,1458,291bc432a3363a3c39d7b58362e891ed0fe4b68e98257d70f61a781ac722c002
r1_development_002_01,ENWL13K_007,0.429636562024469,241,1458,291bc432a3363a3c39d7b58362e891ed0fe4b68e98257d70f61a781ac722c002
r1_development_002_02,ENWL13K_001,0.345126672277444,241,1458,291bc432a3363a3c39d7b58362e891ed0fe4b68e98257d70f61a781ac722c002
r1_development_002_02,ENWL13K_003,0,30,1458,291bc432a3363a3c39d7b58362e891ed0fe4b68e98257d70f61a781ac722c002
r1_development_002_02,ENWL13K_004,0.2120287201028,241,1458,291bc432a3363a3c39d7b58362e891ed0fe4b68e98257d70f61a781ac722c002
r1_development_002_02,ENWL13K_005,0.431244900320905,241,1458,291bc432a3363a3c39d7b58362e891ed0fe4b68e98257d70f61a781ac722c002
r1_development_002_02,ENWL13K_006,0.429072399307623,241,1458,291bc432a3363a3c39d7b58362e891ed0fe4b68e98257d70f61a781ac722c002
r1_development_002_02,ENWL13K_007,0.36655745027053,241,1458,291bc432a3363a3c39d7b58362e891ed0fe4b68e98257d70f61a781ac722c002
r1_development_003_01,ENWL13K_001,0.159174192998281,241,1458,291bc432a3363a3c39d7b58362e891ed0fe4b68e98257d70f61a781ac722c002
r1_development_003_01,ENWL13K_003,0.218418193593711,3,1458,291bc432a3363a3c39d7b58362e891ed0fe4b68e98257d70f61a781ac722c002
r1_development_003_01,ENWL13K_004,0,106,1458,291bc432a3363a3c39d7b58362e891ed0fe4b68e98257d70f61a781ac722c002
r1_development_003_01,ENWL13K_005,0.209298380178341,241,1458,291bc432a3363a3c39d7b58362e891ed0fe4b68e98257d70f61a781ac722c002
r1_development_003_01,ENWL13K_006,0.207888952315155,241,1458,291bc432a3363a3c39d7b58362e891ed0fe4b68e98257d70f61a781ac722c002
r1_development_003_01,ENWL13K_007,0.167511397042185,241,1458,291bc432a3363a3c39d7b58362e891ed0fe4b68e98257d70f61a781ac722c002
r1_development_003_02,ENWL13K_001,0.171482417072325,241,1458,291bc432a3363a3c39d7b58362e891ed0fe4b68e98257d70f61a781ac722c002
r1_development_003_02,ENWL13K_003,0.214106086873015,3,1458,291bc432a3363a3c39d7b58362e891ed0fe4b68e98257d70f61a781ac722c002
r1_development_003_02,ENWL13K_004,0,154,1458,291bc432a3363a3c39d7b58362e891ed0fe4b68e98257d70f61a781ac722c002
r1_development_003_02,ENWL13K_005,0.219824299876087,241,1458,291bc432a3363a3c39d7b58362e891ed0fe4b68e98257d70f61a781ac722c002
r1_development_003_02,ENWL13K_006,0.218509205486449,241,1458,291bc432a3363a3c39d7b58362e891ed0fe4b68e98257d70f61a781ac722c002
r1_development_003_02,ENWL13K_007,0.182994797380734,241,1458,291bc432a3363a3c39d7b58362e891ed0fe4b68e98257d70f61a781ac722c002
r1_development_004_01,ENWL13K_001,0.0698290560308862,1,1458,291bc432a3363a3c39d7b58362e891ed0fe4b68e98257d70f61a781ac722c002
r1_development_004_01,ENWL13K_003,0.437558809328372,3,1458,291bc432a3363a3c39d7b58362e891ed0fe4b68e98257d70f61a781ac722c002
r1_development_004_01,ENWL13K_004,0.134175641105359,3,1458,291bc432a3363a3c39d7b58362e891ed0fe4b68e98257d70f61a781ac722c002
r1_development_004_01,ENWL13K_005,0,74,1458,291bc432a3363a3c39d7b58362e891ed0fe4b68e98257d70f61a781ac722c002
r1_development_004_01,ENWL13K_006,0.00538515336949149,74,1458,291bc432a3363a3c39d7b58362e891ed0fe4b68e98257d70f61a781ac722c002
r1_development_004_01,ENWL13K_007,0.0302870514785459,3,1458,291bc432a3363a3c39d7b58362e891ed0fe4b68e98257d70f61a781ac722c002
r1_development_004_02,ENWL13K_001,0.0531960205827688,1,1458,291bc432a3363a3c39d7b58362e891ed0fe4b68e98257d70f61a781ac722c002
r1_development_004_02,ENWL13K_003,0.419250130761765,3,1458,291bc432a3363a3c39d7b58362e891ed0fe4b68e98257d70f61a781ac722c002
r1_development_004_02,ENWL13K_004,0.120267282322143,3,1458,291bc432a3363a3c39d7b58362e891ed0fe4b68e98257d70f61a781ac722c002
r1_development_004_02,ENWL13K_005,0,208,1458,291bc432a3363a3c39d7b58362e891ed0fe4b68e98257d70f61a781ac722c002
r1_development_004_02,ENWL13K_006,0.00531991635606237,242,1458,291bc432a3363a3c39d7b58362e891ed0fe4b68e98257d70f61a781ac722c002
r1_development_004_02,ENWL13K_007,0.0180481523705586,57,1458,291bc432a3363a3c39d7b58362e891ed0fe4b68e98257d70f61a781ac722c002
r1_development_005_01,ENWL13K_001,0.0608735101338632,1,1458,291bc432a3363a3c39d7b58362e891ed0fe4b68e98257d70f61a781ac722c002
r1_development_005_01,ENWL13K_003,0.427586636089265,3,1458,291bc432a3363a3c39d7b58362e891ed0fe4b68e98257d70f61a781ac722c002
r1_development_005_01,ENWL13K_004,0.128682234318759,3,1458,291bc432a3363a3c39d7b58362e891ed0fe4b68e98257d70f61a781ac722c002
r1_development_005_01,ENWL13K_005,0.00443124250845559,103,1458,291bc432a3363a3c39d7b58362e891ed0fe4b68e98257d70f61a781ac722c002
r1_development_005_01,ENWL13K_006,0,209,1458,291bc432a3363a3c39d7b58362e891ed0fe4b68e98257d70f61a781ac722c002
r1_development_005_01,ENWL13K_007,0.0175759159415545,3,1458,291bc432a3363a3c39d7b58362e891ed0fe4b68e98257d70f61a781ac722c002
r1_development_005_02,ENWL13K_001,0.103748672434867,7,1458,291bc432a3363a3c39d7b58362e891ed0fe4b68e98257d70f61a781ac722c002
r1_development_005_02,ENWL13K_003,0.456735183365237,3,1458,291bc432a3363a3c39d7b58362e891ed0fe4b68e98257d70f61a781ac722c002
r1_development_005_02,ENWL13K_004,0.151522854909646,3,1458,291bc432a3363a3c39d7b58362e891ed0fe4b68e98257d70f61a781ac722c002
r1_development_005_02,ENWL13K_005,0.00364271645956664,115,1458,291bc432a3363a3c39d7b58362e891ed0fe4b68e98257d70f61a781ac722c002
r1_development_005_02,ENWL13K_006,0,34,1458,291bc432a3363a3c39d7b58362e891ed0fe4b68e98257d70f61a781ac722c002
r1_development_005_02,ENWL13K_007,0.0642417946686441,3,1458,291bc432a3363a3c39d7b58362e891ed0fe4b68e98257d70f61a781ac722c002
r1_development_006_01,ENWL13K_001,0.0440776645653575,88,1458,291bc432a3363a3c39d7b58362e891ed0fe4b68e98257d70f61a781ac722c002
