candidate_id,sample_count,minimum_attainable_p,status,alpha,calibration_resolution_status
R2C_001,5,0.166666666666667,calibrated,0.05,insufficient_alpha_resolution
R2C_002,5,0.166666666666667,calibrated,0.05,insufficient_alpha_resolution
R2C_003,5,0.166666666666667,calibrated,0.05,insufficient_alpha_resolution
R2C_004,5,0.166666666666667,calibrated,0.05,insufficient_alpha_resolution
R2C_005,5,0.166666666666667,calibrated,0.05,insufficient_alpha_resolution
R2C_006,5,0.166666666666667,calibrated,0.05,insufficient_alpha_resolution
R2C_007,5,0.166666666666667,calibrated,0.05,insufficient_alpha_resolution
R2C_008,5,0.166666666666667,calibrated,0.05,insufficient_alpha_resolution
R2C_009,5,0.166666666666667,calibrated,0.05,insufficient_alpha_resolution
R2C_010,5,0.166666666666667,calibrated,0.05,insufficient_alpha_resolution
R2C_011,5,0.166666666666667,calibrated,0.05,insufficient_alpha_resolution
R2C_012,5,0.166666666666667,calibrated,0.05,insufficient_alpha_resolution
R2C_013,5,0.166666666666667,calibrated,0.05,insufficient_alpha_resolution
R2C_014,5,0.166666666666667,calibrated,0.05,insufficient_alpha_resolution
R2C_015,5,0.166666666666667,calibrated,0.05,insufficient_alpha_resolution
R2C_016,5,0.166666666666667,calibrated,0.05,insufficient_alpha_resolution
R2C_017,5,0.166666666666667,calibrated,0.05,insufficient_alpha_resolution
R2C_018,5,0.166666666666667,calibrated,0.05,insufficient_alpha_resolution
R2C_019,5,0.166666666666667,calibrated,0.05,insufficient_alpha_resolution
R2C_020,5,0.166666666666667,calibrated,0.05,insufficient_alpha_resolution
R2C_021,5,0.166666666666667,calibrated,0.05,insufficient_alpha_resolution
R2C_022,5,0.166666666666667,calibrated,0.05,insufficient_alpha_resolution
R2C_023,5,0.166666666666667,calibrated,0.05,insufficient_alpha_resolution
R2C_024,5,0.166666666666667,calibrated,0.05,insufficient_alpha_resolution
R2C_025,5,0.166666666666667,calibrated,0.05,insufficient_alpha_resolution
R2C_026,5,0.166666666666667,calibrated,0.05,insufficient_alpha_resolution
R2C_027,5,0.166666666666667,calibrated,0.05,insufficient_alpha_resolution
R2C_028,5,0.166666666666667,calibrated,0.05,insufficient_alpha_resolution
R2C_029,5,0.166666666666667,calibrated,0.05,insufficient_alpha_resolution
R2C_030,5,0.166666666666667,calibrated,0.05,insufficient_alpha_resolution
R2C_031,5,0.166666666666667,calibrated,0.05,insufficient_alpha_resolution
R2C_032,5,0.166666666666667,calibrated,0.05,insufficient_alpha_resolution
R2C_033,5,0.166666666666667,calibrated,0.05,insufficient_alpha_resolution
R2C_034,5,0.166666666666667,calibrated,0.05,insufficient_alpha_resolution
R2C_035,5,0.166666666666667,calibrated,0.05,insufficient_alpha_resolution
R2C_036,5,0.166666666666667,calibrated,0.05,insufficient_alpha_resolution
R2C_037,5,0.166666666666667,calibrated,0.05,insufficient_alpha_resolution
R2C_038,5,0.166666666666667,calibrated,0.05,insufficient_alpha_resolution
R2C_039,5,0.166666666666667,calibrated,0.05,insufficient_alpha_resolution
R2C_040,5,0.166666666666667,calibrated,0.05,insufficient_alpha_resolution
R2C_041,5,0.166666666666667,calibrated,0.05,insufficient_alpha_resolution
R2C_042,5,0.166666666666667,calibrated,0.05,insufficient_alpha_resolution
R2C_043,5,0.166666666666667,calibrated,0.05,insufficient_alpha_resolution
R2C_044,5,0.166666666666667,calibrated,0.05,insufficient_alpha_resolution
R2C_045,5,0.166666666666667,calibrated,0.05,insufficient_alpha_resolution
R2C_046,5,0.166666666666667,calibrated,0.05,insufficient_alpha_resolution
R2C_047,5,0.166666666666667,calibrated,0.05,insufficient_alpha_resolution
R2C_048,5,0.166666666666667,calibrated,0.05,insufficient_alpha_resolution
R2C_049,5,0.166666666666667,calibrated,0.05,insufficient_alpha_resolution
R2C_050,5,0.166666666666667,calibrated,0.05,insufficient_alpha_resolution
R2C_051,5,0.166666666666667,calibrated,0.05,insufficient_alpha_resolution
R2C_052,5,0.166666666666667,calibrated,0.05,insufficient_alpha_resolution
R2C_053,5,0.166666666666667,calibrated,0.05,insufficient_alpha_resolution
