sample_id,accepted_set,set_size,hit,singleton,empty,method_id,calibration_hash
r2_pilot_001_001,R2C_001,1,1,1,0,absolute,463ec66ec5b082d9b2f92653e32ae7702a05a4e842f2bd2feefba968e3b762df
r2_pilot_001_002,R2C_001,1,1,1,0,absolute,463ec66ec5b082d9b2f92653e32ae7702a05a4e842f2bd2feefba968e3b762df
r2_pilot_002_001,R2C_002,1,1,1,0,absolute,463ec66ec5b082d9b2f92653e32ae7702a05a4e842f2bd2feefba968e3b762df
r2_pilot_002_002,R2C_002,1,1,1,0,absolute,463ec66ec5b082d9b2f92653e32ae7702a05a4e842f2bd2feefba968e3b762df
r2_pilot_003_001,R2C_003,1,1,1,0,absolute,463ec66ec5b082d9b2f92653e32ae7702a05a4e842f2bd2feefba968e3b762df
r2_pilot_003_002,R2C_003,1,1,1,0,absolute,463ec66ec5b082d9b2f92653e32ae7702a05a4e842f2bd2feefba968e3b762df
r2_pilot_004_001,R2C_004,1,1,1,0,absolute,463ec66ec5b082d9b2f92653e32ae7702a05a4e842f2bd2feefba968e3b762df
r2_pilot_004_002,R2C_004,1,1,1,0,absolute,463ec66ec5b082d9b2f92653e32ae7702a05a4e842f2bd2feefba968e3b762df
r2_pilot_005_001,R2C_005,1,1,1,0,absolute,463ec66ec5b082d9b2f92653e32ae7702a05a4e842f2bd2feefba968e3b762df
r2_pilot_005_002,R2C_005,1,1,1,0,absolute,463ec66ec5b082d9b2f92653e32ae7702a05a4e842f2bd2feefba968e3b762df
r2_pilot_006_001,R2C_006,1,1,1,0,absolute,463ec66ec5b082d9b2f92653e32ae7702a05a4e842f2bd2feefba968e3b762df
r2_pilot_006_002,R2C_006,1,1,1,0,absolute,463ec66ec5b082d9b2f92653e32ae7702a05a4e842f2bd2feefba968e3b762df
r2_pilot_007_001,R2C_007,1,1,1,0,absolute,463ec66ec5b082d9b2f92653e32ae7702a05a4e842f2bd2feefba968e3b762df
r2_pilot_007_002,R2C_007,1,1,1,0,absolute,463ec66ec5b082d9b2f92653e32ae7702a05a4e842f2bd2feefba968e3b762df
r2_pilot_008_001,R2C_008,1,1,1,0,absolute,463ec66ec5b082d9b2f92653e32ae7702a05a4e842f2bd2feefba968e3b762df
r2_pilot_008_002,R2C_008,1,1,1,0,absolute,463ec66ec5b082d9b2f92653e32ae7702a05a4e842f2bd2feefba968e3b762df
r2_pilot_009_001,R2C_009,1,1,1,0,absolute,463ec66ec5b082d9b2f92653e32ae7702a05a4e842f2bd2feefba968e3b762df
r2_pilot_009_002,R2C_009,1,1,1,0,absolute,463ec66ec5b082d9b2f92653e32ae7702a05a4e842f2bd2feefba968e3b762df
r2_pilot_010_001,R2C_010,1,1,1,0,absolute,463ec66ec5b082d9b2f92653e32ae7702a05a4e842f2bd2feefba968e3b762df
r2_pilot_010_002,R2C_010,1,1,1,0,absolute,463ec66ec5b082d9b2f92653e32ae7702a05a4e842f2bd2feefba968e3b762df
