candidate_a,candidate_b,same_theta_distance,profile_distance,status,numerical_tolerance
R21C_001,R21C_077,0.00313325643264302,0.0020637127279655,nearest_competitor,NaN
R21C_002,R21C_028,0.0193061439292268,0.00265583266350167,nearest_competitor,NaN
R21C_003,R21C_017,0.0191975089201194,0.000863804547242772,nearest_competitor,NaN
R21C_004,R21C_006,0.00439133425548365,0.00287864683880473,nearest_competitor,NaN
R21C_005,R21C_028,0.0258085521028288,0.0230700088137659,nearest_competitor,NaN
R21C_006,R21C_032,0.0284740871524868,0.0224213660274176,nearest_competitor,NaN
R21C_007,R21C_066,0.0238791931755188,0.0127666922559708,nearest_competitor,NaN
R21C_008,R21C_057,0.0529207904169607,0.0321931261692828,nearest_competitor,NaN
R21C_009,R21C_066,0.0037911447128821,0.00285584687579416,nearest_competitor,NaN
R21C_010,R21C_067,0.00446223526686254,0.00369060139259989,nearest_competitor,NaN
R21C_011,R21C_068,0.00979605338486575,0.00818188319480674,nearest_competitor,NaN
R21C_012,R21C_014,0.0166385706114768,0.00226942095418539,nearest_competitor,NaN
R21C_013,R21C_025,0.0339180012554295,0.0285512966415639,nearest_competitor,NaN
R21C_014,R21C_018,0.0181342400180541,0.00269697035837446,nearest_competitor,NaN
R21C_015,R21C_069,0.0248263060898425,0.00344938097628328,nearest_competitor,NaN
R21C_016,R21C_022,0.0181104462588504,0.000776758910810829,nearest_competitor,NaN
R21C_017,R21C_019,0.025722870620605,0.000985344520582516,nearest_competitor,NaN
R21C_018,R21C_024,0.0207345566393315,0.00198831916719106,nearest_competitor,NaN
R21C_019,R21C_040,0.0305117374453581,0.00911499584640598,nearest_competitor,NaN
R21C_020,R21C_038,0.00826443812288758,0.00185226963766641,nearest_competitor,NaN
R21C_021,R21C_061,0.0125225262660617,0.00175111481093748,nearest_competitor,NaN
R21C_022,R21C_081,0.00545313663954428,0.00167920777500873,nearest_competitor,NaN
R21C_023,R21C_077,0.027021602826286,0.00481144118194168,nearest_competitor,NaN
R21C_024,R21C_061,0.0196876854256505,0.00275011740063745,nearest_competitor,NaN
R21C_025,R21C_075,0.0134573197962582,0.00423611536884399,nearest_competitor,NaN
R21C_026,R21C_062,0.0105731679143326,0.00121216157983593,nearest_competitor,NaN
R21C_027,R21C_077,0.0269741082007592,0.0024522324734152,nearest_competitor,NaN
R21C_028,R21C_087,0.0233345320067581,0.00244658268112199,nearest_competitor,NaN
R21C_029,R21C_073,0.0168875540836947,0.00123416256591378,nearest_competitor,NaN
R21C_030,R21C_032,0.00667453923640516,0.00493972196816368,nearest_competitor,NaN
R21C_031,R21C_054,0.0393186438797335,0.00987395108590609,nearest_competitor,NaN
R21C_032,R21C_078,0.0133260072939255,0.00496592842816168,nearest_competitor,NaN
R21C_033,R21C_051,0.0351564991886771,0.031303922286834,nearest_competitor,NaN
R21C_034,R21C_055,0.0706728764025418,0.0341741359359985,nearest_competitor,NaN
R21C_035,R21C_080,0.041939257846131,0.0269423810757547,nearest_competitor,NaN
R21C_036,R21C_052,0.000924948714858588,0.000924948714858588,nearest_competitor,NaN
R21C_037,R21C_053,0.0378484541168459,0.0378484541168459,nearest_competitor,NaN
R21C_038,R21C_040,0.020140664899245,0.000926576802926742,nearest_competitor,NaN
R21C_039,R21C_075,0.00548179264217952,0.00175880693885002,nearest_competitor,NaN
R21C_040,R21C_059,0.02701491534279,0.00193625899632829,nearest_competitor,NaN
R21C_041,R21C_063,0.0184677117774697,0.0138193389665478,nearest_competitor,NaN
R21C_042,R21C_047,0.0153702810467715,0.00509706283858244,nearest_competitor,NaN
R21C_043,R21C_046,0.0172788066232432,0.00132996866542933,nearest_competitor,NaN
R21C_044,R21C_074,0.00913484304577764,0.00451377205334246,nearest_competitor,NaN
R21C_045,R21C_056,0.00143137265043535,0.00143137265043535,nearest_competitor,NaN
R21C_046,R21C_065,0.0146492922145546,0.00172360268743424,nearest_competitor,NaN
R21C_047,R21C_074,0.0291799737645579,0.0116524052617206,nearest_competitor,NaN
R21C_048,R21C_084,0.0148986871320348,0.00116282267399816,nearest_competitor,NaN
R21C_049,R21C_063,0.0214659035991303,0.0101475573518268,nearest_competitor,NaN
R21C_050,R21C_080,0.0140984070863562,0.00326259143653843,nearest_competitor,NaN
R21C_051,R21C_068,0.0750837817434562,0.0668949377245275,nearest_competitor,NaN
R21C_052,R21C_080,0.0592602762068479,0.0526382180751894,nearest_competitor,NaN
R21C_053,R21C_063,0.26504396160743,0.26504396160743,nearest_competitor,NaN
R21C_054,R21C_058,0.0456549690908493,0.0422146302492118,nearest_competitor,NaN
R21C_055,R21C_056,0.105532422480625,0.101139297636956,nearest_competitor,NaN
R21C_056,R21C_065,0.0288606583790411,0.00536289906049205,nearest_competitor,NaN
R21C_057,R21C_069,0.0228064501872638,0.00528235994202373,nearest_competitor,NaN
R21C_058,R21C_086,0.0270354955427069,0.00147140490822755,nearest_competitor,NaN
R21C_059,R21C_071,0.0045044975789167,0.00256116408716255,nearest_competitor,NaN
R21C_060,R21C_061,0.0131815482503178,0.0101824363693677,nearest_competitor,NaN
R21C_061,R21C_075,0.0324787111283048,0.00835495761480126,nearest_competitor,NaN
R21C_062,R21C_074,0.0372439774652624,0.00994724880079692,nearest_competitor,NaN
R21C_063,R21C_074,0.05789717841687,0.0393061490385138,nearest_competitor,NaN
R21C_064,R21C_086,0.00973603263627651,0.00233101842844393,nearest_competitor,NaN
R21C_065,R21C_073,0.175232778952515,0.162223728706272,nearest_competitor,NaN
R21C_066,R21C_078,0.00964787545672693,0.00825834876665242,nearest_competitor,NaN
R21C_067,R21C_078,0.0173255322073823,0.0119967005308083,nearest_competitor,NaN
R21C_068,R21C_080,0.0125652527054147,0.00987698439402452,nearest_competitor,NaN
R21C_069,R21C_077,0.0177566169113511,0.011646344465612,nearest_competitor,NaN
R21C_070,R21C_072,0.00624706191625816,0.00161712649587104,nearest_competitor,NaN
R21C_071,R21C_074,0.0182153153814954,0.0015126824805261,nearest_competitor,NaN
R21C_072,R21C_082,0.00363346687011023,0.00333357016703847,nearest_competitor,NaN
R21C_073,R21C_085,0.00839928482263598,0.00222656234497752,nearest_competitor,NaN
R21C_074,R21C_085,0.0383728699126818,0.00389926673324531,nearest_competitor,NaN
R21C_075,R21C_081,0.0153146960619892,0.00274701546845719,nearest_competitor,NaN
R21C_076,R21C_083,0.01168021038962,0.0019794750238568,nearest_competitor,NaN
R21C_077,R21C_081,0.0352918361804399,0.0286427457228976,nearest_competitor,NaN
R21C_078,R21C_079,0.0539611798639505,0.0490787592468086,nearest_competitor,NaN
R21C_079,R21C_080,0.064054134514097,0.0633155248326174,nearest_competitor,NaN
R21C_080,R21C_081,0.101263275374696,0.0831709984485964,nearest_competitor,NaN
R21C_081,R21C_082,0.0207987502339771,0.000771693779511232,nearest_competitor,NaN
R21C_082,R21C_083,0.0058189391098985,0.00511080114824307,nearest_competitor,NaN
R21C_083,R21C_087,0.028096957971336,0.0022756369470028,nearest_competitor,NaN
R21C_084,R21C_086,0.0141419469661705,0.00210753481243633,nearest_competitor,NaN
R21C_085,R21C_086,0.0314899302356639,0.015551806697374,nearest_competitor,NaN
