sample_id,physical_scenario_id,split,category,truth_topology_id,accepted_set,set_size,hit,empty,calibration_hash,experiment_hash,parameter_domain_truth,parameter_vector_hash,noiseless_cfr_hash,observation_hash,case_seed
r21_independent35_in_domain_01,r21_independent35_in_domain_01,independent35,in_domain,R21C_001,"R21C_001,R21C_015,R21C_077",3,1,0,1535f33c75884c347c812f61aa056635072181ac37a47ce44ebfb1afc16ea87b,14a3a9e76aea3a659d22d8c4865f62bc2621eb4bc6d6f1ce86defe282843eaba,in_domain,096d7d510a84b186b0605e4d713f83408d03661779b63e14ca9bca2e91c70b73,c9cf1a9430ac4f1ac19c4eb9a844b09c1dbb15b547bd18219df3204d7e3672cc,9cad19d47904697d7bc53d019c78ccf92ba68fa6ee33c55c6725865d79ca1627,837464011
r21_independent35_in_domain_02,r21_independent35_in_domain_02,independent35,in_domain,R21C_002,"R21C_016,R21C_018,R21C_022,R21C_070,R21C_072,R21C_081,R21C_082",7,0,0,1535f33c75884c347c812f61aa056635072181ac37a47ce44ebfb1afc16ea87b,14a3a9e76aea3a659d22d8c4865f62bc2621eb4bc6d6f1ce86defe282843eaba,in_domain,34678d55d64072c0db80e6e45a50b9383e077724379300d8c5bfc4874f792132,9670de6d4dc756973459603e77975c867431ccda69b8b42ffa6f79e4f90741aa,93e8f9ff2d21a41d0f60e9528fc38fe53f60cce897ce3ba9232b6c82fc9fb523,854241630
r21_independent35_in_domain_03,r21_independent35_in_domain_03,independent35,in_domain,R21C_003,"R21C_003,R21C_017,R21C_019,R21C_029,R21C_059,R21C_071,R21C_073,R21C_085",8,1,0,1535f33c75884c347c812f61aa056635072181ac37a47ce44ebfb1afc16ea87b,14a3a9e76aea3a659d22d8c4865f62bc2621eb4bc6d6f1ce86defe282843eaba,in_domain,54958e58d7f431c3ecc3b252833fc8ec93eb0ec9b4128b2c09971be9c01b543a,e2e89395e809ac01269518fcf0652c402c1627941ed3baa71e2f2b3deb35b8b9,8efcb317aba8d3d28ac3a607f6c8d7d3c34ba35de8354f54dd8b1f68e0cb3e70,871019249
r21_independent35_in_domain_04,r21_independent35_in_domain_04,independent35,in_domain,R21C_004,"R21C_004,R21C_006",2,1,0,1535f33c75884c347c812f61aa056635072181ac37a47ce44ebfb1afc16ea87b,14a3a9e76aea3a659d22d8c4865f62bc2621eb4bc6d6f1ce86defe282843eaba,in_domain,c6483d28dae502fd3a9df5cb54c7d75009097afe0ef50cefa1f9145a5e02878b,4870ff69515a806524c5372eba07d4f584dbcb7b37cf684d51af767d92947ab5,1c2f5d0d95a2bc4cea3ea88a3105221049cd1e439346c2c3ba3d4faa47f18f5a,753575916
r21_independent35_in_domain_05,r21_independent35_in_domain_05,independent35,in_domain,R21C_005,"R21C_005",1,1,0,1535f33c75884c347c812f61aa056635072181ac37a47ce44ebfb1afc16ea87b,14a3a9e76aea3a659d22d8c4865f62bc2621eb4bc6d6f1ce86defe282843eaba,in_domain,30facb0e973bb34c690b6933d5ebe1c0fc8b169fa66bb19918c7cb672ebe35b6,98b600801b62fd8554f839078b8a203700888f3c7cbc1bcd72949006e947a121,1312ba2ab280c685836325496e1799cedf3e62a74877155fe629640f3e3decab,770353535
r21_independent35_in_domain_06,r21_independent35_in_domain_06,independent35,in_domain,R21C_006,"R21C_004,R21C_006,R21C_030",3,1,0,1535f33c75884c347c812f61aa056635072181ac37a47ce44ebfb1afc16ea87b,14a3a9e76aea3a659d22d8c4865f62bc2621eb4bc6d6f1ce86defe282843eaba,in_domain,f68bf505026c9a0e7897888fe4568bc39b931a4830ba5cdfb8e259ecc45b1d04,db848a4392bd627a54ecd29fa8b31f1579833e9d9fc9587c1af02860039126a8,913eefd0019e1ae3b35f5dc0326d3c7c6d562213df212f9df429fc5230d75153,787131154
r21_independent35_in_domain_07,r21_independent35_in_domain_07,independent35,in_domain,R21C_007,"R21C_007,R21C_066",2,1,0,1535f33c75884c347c812f61aa056635072181ac37a47ce44ebfb1afc16ea87b,14a3a9e76aea3a659d22d8c4865f62bc2621eb4bc6d6f1ce86defe282843eaba,in_domain,fa74148d50ddbe3415c7c8781f758f36383bca6912eb7ba18ef5b6ed505edd5a,72665ed6eb66c3166325032e1a9cb1242c1aec9ea9d5576cec4f2c81b2c7dbef,3f50d9c6e849961064bf7c3cd76eb89434c29fdc1f054f82f198ec1fa52dd7d3,803908773
r21_independent35_in_domain_08,r21_independent35_in_domain_08,independent35,in_domain,R21C_008,"R21C_008",1,1,0,1535f33c75884c347c812f61aa056635072181ac37a47ce44ebfb1afc16ea87b,14a3a9e76aea3a659d22d8c4865f62bc2621eb4bc6d6f1ce86defe282843eaba,in_domain,1e0a16d53745ec4c78d85cfa326c1d9cf68d04d5770ed33ab6a1cb96814c3360,92af75bab212f80b325e84c100f119287f2d2b05803e169846da66d09f76a53f,a49967f9e7b6186b89bb0e1399032d9f0893f58c851371eb91ff683d09d6a1c7,686465440
r21_independent35_in_domain_09,r21_independent35_in_domain_09,independent35,in_domain,R21C_009,"R21C_009",1,1,0,1535f33c75884c347c812f61aa056635072181ac37a47ce44ebfb1afc16ea87b,14a3a9e76aea3a659d22d8c4865f62bc2621eb4bc6d6f1ce86defe282843eaba,in_domain,a0807fbe0d23dc1483012d86411e264ccda9f693a5924dead646dc57e066f491,7ec04eeb43f57917e176df94fa429ccaa2c77117bdc88d5ff36910075f1c1212,51791c63ddc853485fdbce77739efea77401b30b9a1bd6a97eee0aed044437f2,703243059
r21_independent35_in_domain_10,r21_independent35_in_domain_10,independent35,in_domain,R21C_010,"R21C_067",1,0,0,1535f33c75884c347c812f61aa056635072181ac37a47ce44ebfb1afc16ea87b,14a3a9e76aea3a659d22d8c4865f62bc2621eb4bc6d6f1ce86defe282843eaba,in_domain,f683b74b35e6a49509cc8a08f9f47e97be3d317aa21d4e51186f431514c376c6,a546c4b2db917c378188adf389d36f0709ad4919c9ee1f83c97d528499cf9766,0403e8b69438e9f6417dc21b6ff3709c5d1c88d69777048756b36483be9c4e8b,719742505
r21_independent35_boundary_lower_01,r21_independent35_boundary_lower_01,independent35,boundary_lower,R21C_011,"R21C_011,R21C_068",2,1,0,1535f33c75884c347c812f61aa056635072181ac37a47ce44ebfb1afc16ea87b,14a3a9e76aea3a659d22d8c4865f62bc2621eb4bc6d6f1ce86defe282843eaba,in_domain,3ba5d5b8b0c1b07c0d80a06b66dec27a64ca22e48b815464b1c311e8b821d4a2,a112b0cd06733793c6b138b361b9a4dc9b6c29389408a5edef19a8970ac10474,6a0de97e7e8e46dc421b9889a2107b6368d86aa2dce71440dedd447b7c984883,710865097
r21_independent35_boundary_lower_02,r21_independent35_boundary_lower_02,independent35,boundary_lower,R21C_012,"R21C_012,R21C_013,R21C_014,R21C_018,R21C_027",5,1,0,1535f33c75884c347c812f61aa056635072181ac37a47ce44ebfb1afc16ea87b,14a3a9e76aea3a659d22d8c4865f62bc2621eb4bc6d6f1ce86defe282843eaba,in_domain,e7a83071acc9247eb1d5fe92ddfba9b0b999beaa4ee364900bb4566454f3b100,9be10fafa6312a34135da118b030e78f286d5c3caba3b43704abc349b0d7fd70,ce8a6008d7e0324d2f6c8d45595f317da5312ee04213211d68bc69e093036dc5,727642716
r21_independent35_boundary_lower_03,r21_independent35_boundary_lower_03,independent35,boundary_lower,R21C_013,"R21C_013",1,1,0,1535f33c75884c347c812f61aa056635072181ac37a47ce44ebfb1afc16ea87b,14a3a9e76aea3a659d22d8c4865f62bc2621eb4bc6d6f1ce86defe282843eaba,in_domain,cf9bee6c14e615ac693d59d293a71625ca06bb34c8b4bb3a5a22e4474900ee00,3ec8ce1b67fa4b533c5e1ca59a7532567533d1785a62350148e4147f39877958,55634a5d681cb66106804bf52e417caf08754689ef914a9efd5d1b900e156fcc,744420335
r21_independent35_boundary_lower_04,r21_independent35_boundary_lower_04,independent35,boundary_lower,R21C_014,"R21C_012,R21C_014,R21C_016,R21C_018,R21C_022,R21C_070,R21C_072,R21C_075,R21C_081,R21C_082",10,1,0,1535f33c75884c347c812f61aa056635072181ac37a47ce44ebfb1afc16ea87b,14a3a9e76aea3a659d22d8c4865f62bc2621eb4bc6d6f1ce86defe282843eaba,in_domain,2229799100208a9566c9d265cbe46a7d333fe65da71b4a8a9dc1765d84171b63,1439bd66e9454dc8680cd58eccb237121997d48a7e4b334c934803eda718d93e,ad98432070bb62364e11f675361964126287db0e3300f01e249d8492dc45e643,626977002
r21_independent35_boundary_lower_05,r21_independent35_boundary_lower_05,independent35,boundary_lower,R21C_015,"R21C_012,R21C_014,R21C_015,R21C_016,R21C_018,R21C_024,R21C_027,R21C_061,R21C_077",9,1,0,1535f33c75884c347c812f61aa056635072181ac37a47ce44ebfb1afc16ea87b,14a3a9e76aea3a659d22d8c4865f62bc2621eb4bc6d6f1ce86defe282843eaba,in_domain,0ad5dd64ef08549488278e8fb5b3a5ed35368ba8dfa54f83057717b5e594c9ad,126d8444c96f573d2a851f469ebd29f595f0327fb4024864466c20ce0a3543e2,1925be95f4bd131070a692ee8e822ffdb2be8c8541547ee635278c507cd73170,643754621
r21_independent35_boundary_upper_01,r21_independent35_boundary_upper_01,independent35,boundary_upper,R21C_016,"R21C_012,R21C_016,R21C_018,R21C_021,R21C_024,R21C_025",6,1,0,1535f33c75884c347c812f61aa056635072181ac37a47ce44ebfb1afc16ea87b,14a3a9e76aea3a659d22d8c4865f62bc2621eb4bc6d6f1ce86defe282843eaba,in_domain,d419ef985119e148fa219799b324d04ecb9fd20ea3fc2a80894f86cf3670c250,ad7eb9fc3ca953adb7f3e21ab4aed4424775836f3591f8f22bb8a178805d0f42,2a5627768acd2aa2ae4a855dc2171bc600f40f57c269525fb2fcf547f2fa4f2b,822601924
r21_independent35_boundary_upper_02,r21_independent35_boundary_upper_02,independent35,boundary_upper,R21C_017,"R21C_017,R21C_019,R21C_020,R21C_026,R21C_038,R21C_040,R21C_062",7,1,0,1535f33c75884c347c812f61aa056635072181ac37a47ce44ebfb1afc16ea87b,14a3a9e76aea3a659d22d8c4865f62bc2621eb4bc6d6f1ce86defe282843eaba,in_domain,eff92d8ecaac30d63b06711b3937ba23e1eed607f56449e652c309f582e7657d,ba11921632a6fd3573d80781ff02d711decfbf0579748b55cd0b861f276dee59,73fc1d477dd2f0a0a593481ff56499b218ba94401a52c88b14d916a13f3178c6,772269067
r21_independent35_boundary_upper_03,r21_independent35_boundary_upper_03,independent35,boundary_upper,R21C_018,"R21C_012,R21C_015,R21C_016,R21C_018,R21C_021,R21C_022,R21C_024,R21C_061",8,1,0,1535f33c75884c347c812f61aa056635072181ac37a47ce44ebfb1afc16ea87b,14a3a9e76aea3a659d22d8c4865f62bc2621eb4bc6d6f1ce86defe282843eaba,in_domain,b76eae31e403416d41c26c3fea50b6ce6de5de85fa68e4b231a2e9423b002864,17f1b44773019295e49d4fb3ad50f5193300ca436fae50fcdfdeaa643ef87f7e,8bacf692bb7a3d147a9ec2f76e2f7d8afb2a62b7a26c3cb91eb53903a8fc43d0,789046686
r21_independent35_boundary_upper_04,r21_independent35_boundary_upper_04,independent35,boundary_upper,R21C_019,"R21C_003,R21C_017,R21C_019,R21C_020,R21C_040,R21C_059",6,1,0,1535f33c75884c347c812f61aa056635072181ac37a47ce44ebfb1afc16ea87b,14a3a9e76aea3a659d22d8c4865f62bc2621eb4bc6d6f1ce86defe282843eaba,in_domain,0f0dd2a19ead05c39fe6b4c00fb52ed449e654be1553234728476b7308b5f8a6,0a4d80a45b0c4634475f2322238d68245bff7ed09fd192dcc8b3350b91b19425,0627ebfda1bf22c61bb4cb9b158b6bb7ac49e829cd43ec3846c1f240125b86d0,872934781
r21_independent35_boundary_upper_05,r21_independent35_boundary_upper_05,independent35,boundary_upper,R21C_020,"R21C_017,R21C_020,R21C_026,R21C_038,R21C_040,R21C_062,R21C_071,R21C_074",8,1,0,1535f33c75884c347c812f61aa056635072181ac37a47ce44ebfb1afc16ea87b,14a3a9e76aea3a659d22d8c4865f62bc2621eb4bc6d6f1ce86defe282843eaba,in_domain,46a2b6cee13b440442bcdd82ebdc650ecab67762e4c07814bd6502a4cdc5e748,e9d5d42e4cd3064813a5ff626fec670d29cdc8228f596f0043d8281df1460830,1402bb6bdba66a3c44604bd7f805327ba9bb061e2974cd5fa42108fde817d1c5,889712400
