category,metric_id,numerator,denominator,rate,ci_low,ci_high,evaluable_count,mean_set_size,median_set_size,experiment_hash,calibration_hash,definition_version
in_domain,truth_set_coverage,8,10,0.8,0.490162471536642,0.943317848545625,10,2.9,2,14a3a9e76aea3a659d22d8c4865f62bc2621eb4bc6d6f1ce86defe282843eaba,1535f33c75884c347c812f61aa056635072181ac37a47ce44ebfb1afc16ea87b,stage4a7_2_r2_1_independent35_metrics_v1
in_domain,topology_acceptance_coverage,10,10,1,0.722467200137111,1,10,2.9,2,14a3a9e76aea3a659d22d8c4865f62bc2621eb4bc6d6f1ce86defe282843eaba,1535f33c75884c347c812f61aa056635072181ac37a47ce44ebfb1afc16ea87b,stage4a7_2_r2_1_independent35_metrics_v1
in_domain,singleton_rate,4,10,0.4,0.168180329706236,0.687326230266342,10,2.9,2,14a3a9e76aea3a659d22d8c4865f62bc2621eb4bc6d6f1ce86defe282843eaba,1535f33c75884c347c812f61aa056635072181ac37a47ce44ebfb1afc16ea87b,stage4a7_2_r2_1_independent35_metrics_v1
in_domain,empty_set_rate,0,10,0,0,0.277532799862889,10,2.9,2,14a3a9e76aea3a659d22d8c4865f62bc2621eb4bc6d6f1ce86defe282843eaba,1535f33c75884c347c812f61aa056635072181ac37a47ce44ebfb1afc16ea87b,stage4a7_2_r2_1_independent35_metrics_v1
in_domain,topology_selective_risk,2,10,0.2,0.0566821514543752,0.509837528463358,10,2.9,2,14a3a9e76aea3a659d22d8c4865f62bc2621eb4bc6d6f1ce86defe282843eaba,1535f33c75884c347c812f61aa056635072181ac37a47ce44ebfb1afc16ea87b,stage4a7_2_r2_1_independent35_metrics_v1
in_domain,mean_set_size,29,10,2.9,NaN,NaN,10,2.9,2,14a3a9e76aea3a659d22d8c4865f62bc2621eb4bc6d6f1ce86defe282843eaba,1535f33c75884c347c812f61aa056635072181ac37a47ce44ebfb1afc16ea87b,stage4a7_2_r2_1_independent35_metrics_v1
boundary_lower,truth_set_coverage,5,5,1,0.565517535216825,1,5,5.4,5,14a3a9e76aea3a659d22d8c4865f62bc2621eb4bc6d6f1ce86defe282843eaba,1535f33c75884c347c812f61aa056635072181ac37a47ce44ebfb1afc16ea87b,stage4a7_2_r2_1_independent35_metrics_v1
boundary_lower,topology_acceptance_coverage,5,5,1,0.565517535216825,1,5,5.4,5,14a3a9e76aea3a659d22d8c4865f62bc2621eb4bc6d6f1ce86defe282843eaba,1535f33c75884c347c812f61aa056635072181ac37a47ce44ebfb1afc16ea87b,stage4a7_2_r2_1_independent35_metrics_v1
boundary_lower,singleton_rate,1,5,0.2,0.0362241086324301,0.624465370237475,5,5.4,5,14a3a9e76aea3a659d22d8c4865f62bc2621eb4bc6d6f1ce86defe282843eaba,1535f33c75884c347c812f61aa056635072181ac37a47ce44ebfb1afc16ea87b,stage4a7_2_r2_1_independent35_metrics_v1
boundary_lower,empty_set_rate,0,5,0,0,0.434482464783175,5,5.4,5,14a3a9e76aea3a659d22d8c4865f62bc2621eb4bc6d6f1ce86defe282843eaba,1535f33c75884c347c812f61aa056635072181ac37a47ce44ebfb1afc16ea87b,stage4a7_2_r2_1_independent35_metrics_v1
boundary_lower,topology_selective_risk,0,5,0,0,0.434482464783175,5,5.4,5,14a3a9e76aea3a659d22d8c4865f62bc2621eb4bc6d6f1ce86defe282843eaba,1535f33c75884c347c812f61aa056635072181ac37a47ce44ebfb1afc16ea87b,stage4a7_2_r2_1_independent35_metrics_v1
boundary_lower,mean_set_size,27,5,5.4,NaN,NaN,5,5.4,5,14a3a9e76aea3a659d22d8c4865f62bc2621eb4bc6d6f1ce86defe282843eaba,1535f33c75884c347c812f61aa056635072181ac37a47ce44ebfb1afc16ea87b,stage4a7_2_r2_1_independent35_metrics_v1
boundary_upper,truth_set_coverage,5,5,1,0.565517535216825,1,5,7,7,14a3a9e76aea3a659d22d8c4865f62bc2621eb4bc6d6f1ce86defe282843eaba,1535f33c75884c347c812f61aa056635072181ac37a47ce44ebfb1afc16ea87b,stage4a7_2_r2_1_independent35_metrics_v1
boundary_upper,topology_acceptance_coverage,5,5,1,0.565517535216825,1,5,7,7,14a3a9e76aea3a659d22d8c4865f62bc2621eb4bc6d6f1ce86defe282843eaba,1535f33c75884c347c812f61aa056635072181ac37a47ce44ebfb1afc16ea87b,stage4a7_2_r2_1_independent35_metrics_v1
boundary_upper,singleton_rate,0,5,0,0,0.434482464783175,5,7,7,14a3a9e76aea3a659d22d8c4865f62bc2621eb4bc6d6f1ce86defe282843eaba,1535f33c75884c347c812f61aa056635072181ac37a47ce44ebfb1afc16ea87b,stage4a7_2_r2_1_independent35_metrics_v1
boundary_upper,empty_set_rate,0,5,0,0,0.434482464783175,5,7,7,14a3a9e76aea3a659d22d8c4865f62bc2621eb4bc6d6f1ce86defe282843eaba,1535f33c75884c347c812f61aa056635072181ac37a47ce44ebfb1afc16ea87b,stage4a7_2_r2_1_independent35_metrics_v1
boundary_upper,topology_selective_risk,0,5,0,0,0.434482464783175,5,7,7,14a3a9e76aea3a659d22d8c4865f62bc2621eb4bc6d6f1ce86defe282843eaba,1535f33c75884c347c812f61aa056635072181ac37a47ce44ebfb1afc16ea87b,stage4a7_2_r2_1_independent35_metrics_v1
boundary_upper,mean_set_size,35,5,7,NaN,NaN,5,7,7,14a3a9e76aea3a659d22d8c4865f62bc2621eb4bc6d6f1ce86defe282843eaba,1535f33c75884c347c812f61aa056635072181ac37a47ce44ebfb1afc16ea87b,stage4a7_2_r2_1_independent35_metrics_v1
parameter_ood_near,truth_set_coverage,4,5,0.8,0.375534629762525,0.96377589136757,5,3,3,14a3a9e76aea3a659d22d8c4865f62bc2621eb4bc6d6f1ce86defe282843eaba,1535f33c75884c347c812f61aa056635072181ac37a47ce44ebfb1afc16ea87b,stage4a7_2_r2_1_independent35_metrics_v1
parameter_ood_near,topology_acceptance_coverage,5,5,1,0.565517535216825,1,5,3,3,14a3a9e76aea3a659d22d8c4865f62bc2621eb4bc6d6f1ce86defe282843eaba,1535f33c75884c347c812f61aa056635072181ac37a47ce44ebfb1afc16ea87b,stage4a7_2_r2_1_independent35_metrics_v1
parameter_ood_near,singleton_rate,1,5,0.2,0.0362241086324301,0.624465370237475,5,3,3,14a3a9e76aea3a659d22d8c4865f62bc2621eb4bc6d6f1ce86defe282843eaba,1535f33c75884c347c812f61aa056635072181ac37a47ce44ebfb1afc16ea87b,stage4a7_2_r2_1_independent35_metrics_v1
parameter_ood_near,empty_set_rate,0,5,0,0,0.434482464783175,5,3,3,14a3a9e76aea3a659d22d8c4865f62bc2621eb4bc6d6f1ce86defe282843eaba,1535f33c75884c347c812f61aa056635072181ac37a47ce44ebfb1afc16ea87b,stage4a7_2_r2_1_independent35_metrics_v1
parameter_ood_near,topology_selective_risk,1,5,0.2,0.0362241086324301,0.624465370237475,5,3,3,14a3a9e76aea3a659d22d8c4865f62bc2621eb4bc6d6f1ce86defe282843eaba,1535f33c75884c347c812f61aa056635072181ac37a47ce44ebfb1afc16ea87b,stage4a7_2_r2_1_independent35_metrics_v1
parameter_ood_near,mean_set_size,15,5,3,NaN,NaN,5,3,3,14a3a9e76aea3a659d22d8c4865f62bc2621eb4bc6d6f1ce86defe282843eaba,1535f33c75884c347c812f61aa056635072181ac37a47ce44ebfb1afc16ea87b,stage4a7_2_r2_1_independent35_metrics_v1
parameter_ood_medium,truth_set_coverage,1,5,0.2,0.0362241086324301,0.624465370237475,5,3.4,5,14a3a9e76aea3a659d22d8c4865f62bc2621eb4bc6d6f1ce86defe282843eaba,1535f33c75884c347c812f61aa056635072181ac37a47ce44ebfb1afc16ea87b,stage4a7_2_r2_1_independent35_metrics_v1
parameter_ood_medium,topology_acceptance_coverage,5,5,1,0.565517535216825,1,5,3.4,5,14a3a9e76aea3a659d22d8c4865f62bc2621eb4bc6d6f1ce86defe282843eaba,1535f33c75884c347c812f61aa056635072181ac37a47ce44ebfb1afc16ea87b,stage4a7_2_r2_1_independent35_metrics_v1
parameter_ood_medium,singleton_rate,2,5,0.4,0.117620774232648,0.769275718723987,5,3.4,5,14a3a9e76aea3a659d22d8c4865f62bc2621eb4bc6d6f1ce86defe282843eaba,1535f33c75884c347c812f61aa056635072181ac37a47ce44ebfb1afc16ea87b,stage4a7_2_r2_1_independent35_metrics_v1
parameter_ood_medium,empty_set_rate,0,5,0,0,0.434482464783175,5,3.4,5,14a3a9e76aea3a659d22d8c4865f62bc2621eb4bc6d6f1ce86defe282843eaba,1535f33c75884c347c812f61aa056635072181ac37a47ce44ebfb1afc16ea87b,stage4a7_2_r2_1_independent35_metrics_v1
parameter_ood_medium,topology_selective_risk,4,5,0.8,0.375534629762525,0.96377589136757,5,3.4,5,14a3a9e76aea3a659d22d8c4865f62bc2621eb4bc6d6f1ce86defe282843eaba,1535f33c75884c347c812f61aa056635072181ac37a47ce44ebfb1afc16ea87b,stage4a7_2_r2_1_independent35_metrics_v1
parameter_ood_medium,mean_set_size,17,5,3.4,NaN,NaN,5,3.4,5,14a3a9e76aea3a659d22d8c4865f62bc2621eb4bc6d6f1ce86defe282843eaba,1535f33c75884c347c812f61aa056635072181ac37a47ce44ebfb1afc16ea87b,stage4a7_2_r2_1_independent35_metrics_v1
parameter_ood_far,truth_set_coverage,0,5,0,0,0.434482464783175,5,0.8,1,14a3a9e76aea3a659d22d8c4865f62bc2621eb4bc6d6f1ce86defe282843eaba,1535f33c75884c347c812f61aa056635072181ac37a47ce44ebfb1afc16ea87b,stage4a7_2_r2_1_independent35_metrics_v1
parameter_ood_far,topology_acceptance_coverage,3,5,0.6,0.230724281276013,0.882379225767352,5,0.8,1,14a3a9e76aea3a659d22d8c4865f62bc2621eb4bc6d6f1ce86defe282843eaba,1535f33c75884c347c812f61aa056635072181ac37a47ce44ebfb1afc16ea87b,stage4a7_2_r2_1_independent35_metrics_v1
parameter_ood_far,singleton_rate,2,5,0.4,0.117620774232648,0.769275718723987,5,0.8,1,14a3a9e76aea3a659d22d8c4865f62bc2621eb4bc6d6f1ce86defe282843eaba,1535f33c75884c347c812f61aa056635072181ac37a47ce44ebfb1afc16ea87b,stage4a7_2_r2_1_independent35_metrics_v1
parameter_ood_far,empty_set_rate,2,5,0.4,0.117620774232648,0.769275718723987,5,0.8,1,14a3a9e76aea3a659d22d8c4865f62bc2621eb4bc6d6f1ce86defe282843eaba,1535f33c75884c347c812f61aa056635072181ac37a47ce44ebfb1afc16ea87b,stage4a7_2_r2_1_independent35_metrics_v1
parameter_ood_far,topology_selective_risk,3,3,1,0.438502968244955,1,5,0.8,1,14a3a9e76aea3a659d22d8c4865f62bc2621eb4bc6d6f1ce86defe282843eaba,1535f33c75884c347c812f61aa056635072181ac37a47ce44ebfb1afc16ea87b,stage4a7_2_r2_1_independent35_metrics_v1
parameter_ood_far,mean_set_size,4,5,0.8,NaN,NaN,5,0.8,1,14a3a9e76aea3a659d22d8c4865f62bc2621eb4bc6d6f1ce86defe282843eaba,1535f33c75884c347c812f61aa056635072181ac37a47ce44ebfb1afc16ea87b,stage4a7_2_r2_1_independent35_metrics_v1
