category,metric_id,numerator,denominator,rate,ci_low,ci_high,evaluable_count,mean_set_size,median_set_size,experiment_hash,calibration_hash
in_domain,truth_set_coverage,169,174,0.971264367816092,0.934504963238226,0.987664710174938,174,NaN,NaN,de05941146c716efe7ff064e27b897c3591f4cdac901f8e8a1c750632ec275b5,1535f33c75884c347c812f61aa056635072181ac37a47ce44ebfb1afc16ea87b
in_domain,topology_acceptance_coverage,173,174,0.994252873563218,0.968168790278535,0.998984769642588,174,NaN,NaN,de05941146c716efe7ff064e27b897c3591f4cdac901f8e8a1c750632ec275b5,1535f33c75884c347c812f61aa056635072181ac37a47ce44ebfb1afc16ea87b
in_domain,topology_selective_risk,4,173,0.023121387283237,0.0090273390553905,0.0579335359546975,173,NaN,NaN,de05941146c716efe7ff064e27b897c3591f4cdac901f8e8a1c750632ec275b5,1535f33c75884c347c812f61aa056635072181ac37a47ce44ebfb1afc16ea87b
in_domain,singleton_rate,40,174,0.229885057471264,0.173605701956397,0.297833631575083,174,NaN,NaN,de05941146c716efe7ff064e27b897c3591f4cdac901f8e8a1c750632ec275b5,1535f33c75884c347c812f61aa056635072181ac37a47ce44ebfb1afc16ea87b
in_domain,empty_set_rate,1,174,0.00574712643678161,0.00101523035741215,0.0318312097214656,174,NaN,NaN,de05941146c716efe7ff064e27b897c3591f4cdac901f8e8a1c750632ec275b5,1535f33c75884c347c812f61aa056635072181ac37a47ce44ebfb1afc16ea87b
in_domain,mean_set_size,781,174,4.48850574712644,NaN,NaN,174,4.48850574712644,4,de05941146c716efe7ff064e27b897c3591f4cdac901f8e8a1c750632ec275b5,1535f33c75884c347c812f61aa056635072181ac37a47ce44ebfb1afc16ea87b
boundary_lower,truth_set_coverage,161,174,0.925287356321839,0.876381373209547,0.955820527187698,174,NaN,NaN,de05941146c716efe7ff064e27b897c3591f4cdac901f8e8a1c750632ec275b5,1535f33c75884c347c812f61aa056635072181ac37a47ce44ebfb1afc16ea87b
boundary_lower,topology_acceptance_coverage,173,174,0.994252873563218,0.968168790278535,0.998984769642588,174,NaN,NaN,de05941146c716efe7ff064e27b897c3591f4cdac901f8e8a1c750632ec275b5,1535f33c75884c347c812f61aa056635072181ac37a47ce44ebfb1afc16ea87b
boundary_lower,topology_selective_risk,12,173,0.069364161849711,0.0401212579550324,0.117316138266199,173,NaN,NaN,de05941146c716efe7ff064e27b897c3591f4cdac901f8e8a1c750632ec275b5,1535f33c75884c347c812f61aa056635072181ac37a47ce44ebfb1afc16ea87b
boundary_lower,singleton_rate,40,174,0.229885057471264,0.173605701956397,0.297833631575083,174,NaN,NaN,de05941146c716efe7ff064e27b897c3591f4cdac901f8e8a1c750632ec275b5,1535f33c75884c347c812f61aa056635072181ac37a47ce44ebfb1afc16ea87b
boundary_lower,empty_set_rate,1,174,0.00574712643678161,0.00101523035741215,0.0318312097214656,174,NaN,NaN,de05941146c716efe7ff064e27b897c3591f4cdac901f8e8a1c750632ec275b5,1535f33c75884c347c812f61aa056635072181ac37a47ce44ebfb1afc16ea87b
boundary_lower,mean_set_size,810,174,4.6551724137931,NaN,NaN,174,4.6551724137931,4,de05941146c716efe7ff064e27b897c3591f4cdac901f8e8a1c750632ec275b5,1535f33c75884c347c812f61aa056635072181ac37a47ce44ebfb1afc16ea87b
boundary_upper,truth_set_coverage,166,174,0.954022988505747,0.911910408227555,0.976521350304639,174,NaN,NaN,de05941146c716efe7ff064e27b897c3591f4cdac901f8e8a1c750632ec275b5,1535f33c75884c347c812f61aa056635072181ac37a47ce44ebfb1afc16ea87b
boundary_upper,topology_acceptance_coverage,173,174,0.994252873563218,0.968168790278535,0.998984769642588,174,NaN,NaN,de05941146c716efe7ff064e27b897c3591f4cdac901f8e8a1c750632ec275b5,1535f33c75884c347c812f61aa056635072181ac37a47ce44ebfb1afc16ea87b
boundary_upper,topology_selective_risk,7,173,0.0404624277456647,0.0197359471328153,0.0811536233314514,173,NaN,NaN,de05941146c716efe7ff064e27b897c3591f4cdac901f8e8a1c750632ec275b5,1535f33c75884c347c812f61aa056635072181ac37a47ce44ebfb1afc16ea87b
boundary_upper,singleton_rate,54,174,0.310344827586207,0.246324286008089,0.382558650301248,174,NaN,NaN,de05941146c716efe7ff064e27b897c3591f4cdac901f8e8a1c750632ec275b5,1535f33c75884c347c812f61aa056635072181ac37a47ce44ebfb1afc16ea87b
boundary_upper,empty_set_rate,1,174,0.00574712643678161,0.00101523035741215,0.0318312097214656,174,NaN,NaN,de05941146c716efe7ff064e27b897c3591f4cdac901f8e8a1c750632ec275b5,1535f33c75884c347c812f61aa056635072181ac37a47ce44ebfb1afc16ea87b
boundary_upper,mean_set_size,735,174,4.22413793103448,NaN,NaN,174,4.22413793103448,4,de05941146c716efe7ff064e27b897c3591f4cdac901f8e8a1c750632ec275b5,1535f33c75884c347c812f61aa056635072181ac37a47ce44ebfb1afc16ea87b
parameter_ood_near,truth_set_coverage,132,174,0.758620689655172,0.689894958999689,0.816173764214852,174,NaN,NaN,de05941146c716efe7ff064e27b897c3591f4cdac901f8e8a1c750632ec275b5,1535f33c75884c347c812f61aa056635072181ac37a47ce44ebfb1afc16ea87b
parameter_ood_near,topology_acceptance_coverage,172,174,0.988505747126437,0.9590654074817,0.996842180812433,174,NaN,NaN,de05941146c716efe7ff064e27b897c3591f4cdac901f8e8a1c750632ec275b5,1535f33c75884c347c812f61aa056635072181ac37a47ce44ebfb1afc16ea87b
parameter_ood_near,topology_selective_risk,40,172,0.232558139534884,0.175686091040351,0.301115337831935,172,NaN,NaN,de05941146c716efe7ff064e27b897c3591f4cdac901f8e8a1c750632ec275b5,1535f33c75884c347c812f61aa056635072181ac37a47ce44ebfb1afc16ea87b
parameter_ood_near,singleton_rate,66,174,0.379310344827586,0.310557077569304,0.453277518263911,174,NaN,NaN,de05941146c716efe7ff064e27b897c3591f4cdac901f8e8a1c750632ec275b5,1535f33c75884c347c812f61aa056635072181ac37a47ce44ebfb1afc16ea87b
parameter_ood_near,empty_set_rate,2,174,0.0114942528735632,0.00315781918756732,0.0409345925183002,174,NaN,NaN,de05941146c716efe7ff064e27b897c3591f4cdac901f8e8a1c750632ec275b5,1535f33c75884c347c812f61aa056635072181ac37a47ce44ebfb1afc16ea87b
parameter_ood_near,mean_set_size,661,174,3.79885057471264,NaN,NaN,174,3.79885057471264,3,de05941146c716efe7ff064e27b897c3591f4cdac901f8e8a1c750632ec275b5,1535f33c75884c347c812f61aa056635072181ac37a47ce44ebfb1afc16ea87b
