sample_id,physical_scenario_id,split,truth_topology_id,case_seed,parameter_vector_hash,noiseless_cfr_hash,observation_hash,noise_snr_db
r21_development_001_001,r21_development_001_001,development,R21C_001,1114704581,ff84caec0f2fa48e4c93eed0ab24578acbc2ea67b06d085dd144a987d7d6db0d,2a98f662d46f2bc3cc3ef9480303a92960bb8980bd152e6828e8cad1a5e01474,69823bddd496e31a5880ceafdaa19023f11a217961ee0e923cd2a3f46c469b8b,20
r21_development_001_002,r21_development_001_002,development,R21C_001,1097926962,8378227fb72ac4759b33fd1c3218ddd36464d1b7acc0f54e2238fc2d45ce6170,d326c8798990f8982693a81ced7fd51d833eece2bcdb294a71cd25573b852574,b72b2c63493bbf406d4ad2495dda390c676d2d7f6e5ce5ae2c8d7df2dae86c46,20
r21_development_001_003,r21_development_001_003,development,R21C_001,1081149343,5b785f785fc2d9e7c0ec7e414caf5520901913cee063464baa63d040dc182dd2,f848e63968a095808f9947b31b335b05f95559fadee1665a591904f44e743b39,0a6aee8cbe09ff6218321f2a40ae74f4ce695e0668c36d851d1130e8b07049d1,20
r21_development_002_001,r21_development_002_001,development,R21C_002,1181680971,219dbd6ee9815b2bd7d5a3b55a873d9f4cf8decd5e2eea361455ac4a94dd94bb,f6d06c334352b1e7bd3f04e48ad7224c452f60d3634ae601911a668ba8786527,9b6740c91bf6672000a4d06f4ef98befdb929e3961fae535a6bf94433664b61d,20
r21_development_002_002,r21_development_002_002,development,R21C_002,1232013828,e22d66529dadc46e61887ce91f7228275a4274bc695ae4e093a22770cf77d34f,e0c725bc044caacd92f7d71cde019fe8618d847e9460de301b8f9ef9ba763e8c,a7ab1a8260cfa8cdbc435162b9e2327e57b5baf136b4262cfab20f0333fa6755,20
r21_development_002_003,r21_development_002_003,development,R21C_002,1215236209,a33647dc2a7a4dd4332fe0bec0fcc9246f5759ee111ef05d370cf5e924b13134,ebc5d3a1fb710667487e9131feaa54a07e5a44a4c80d8c0260282e22800526c2,010fad4c6597e74adddfb80f9e3496c1790c7e90ecf54a923c157765afa9b6c4,20
r21_development_003_001,r21_development_003_001,development,R21C_003,165640843,9e28b456ade04e67a8d5c68be04bef1bc01e4ed0d5ae34e275d3a8a804b4de56,ee9982d2750189f1b2c67f622d3b7e46deff531afc634e40edc0d1d0fb2dd8e4,5408960f1f3a65f0df9da72a624c7c3c56e134de3000893fda8c13ec36213625,20
r21_development_003_002,r21_development_003_002,development,R21C_003,182418462,68e50cf2b7d1969090d3a01841c8e5d50241608366113a1129756bd7eb55603d,5547466d423da3339e6feb35c9717ac866bc5f07036679e258b234eab0b9f148,3e417f55b88e98059b422a08d81cc44dc734d4b22c456619b123b1b5d46dcb71,20
r21_development_003_003,r21_development_003_003,development,R21C_003,199196081,22a5b71e923f59e7cc44e9edae87d064822738d7dc7c23910b5120a36fc6fd7f,68930980c8243c6655c14a6421de45298a22d91c4c8054e00fd2cb864ab5231d,934391424e84d798f8343a18c3a9e7fde733dcf8c15d8ce409ff2584431b0dcc,20
r21_development_004_001,r21_development_004_001,development,R21C_004,749700273,b2df0c4f67c203de5e88d8e29679be6a0514264aa139b5886459b8964d976fd1,29dee21d3e60b316760a81029303a2bd686237f8d07230454bcad47e74720c1c,0cb97ffddbfb9308b1c9b5e899fd6d05061c847072f8e6013c0b7c852f027d81,20
r21_development_004_002,r21_development_004_002,development,R21C_004,800033130,5687502f1a2a8a1bf5621d588720029f1e956951c9c11426e4745ca21960c0d4,2904df69f5fba115447ee84879ac6c5ae08d7680e7d0fa544ccbd99490febeea,1902ba8b5fb1c601c503600c87f05ba15916742aae5c2e63265d6134649aa766,20
r21_development_004_003,r21_development_004_003,development,R21C_004,783255511,70c51b177505ea045876c3a8f2b876e424bbca10a491240be2d64bcc6b1a0ee4,ec552466413e0d1b5bac499c634acf5fd11c7f116411e4c2391cdfceb2ca6834,6bba042ee8123ef0fc0b87f7586a3626c806181dcba6d5be469a3b9800b7deb8,20
r21_development_005_001,r21_development_005_001,development,R21C_005,2089171827,47709c3f569bfe8af66d70e67443fd6a75adab3fbfc592a406c472302e431547,075d6411aece3a6e9472b9b72aeefca462df2b52db3aebebecf2a6b37860bacc,39c736eb0d4e17c3b40208b3b59c8b8de7f4757a06e7b857fd2698d1d4c87f69,20
r21_development_005_002,r21_development_005_002,development,R21C_005,2105949446,7762033650eca066f6ac6a630674aa5417bda5b16552bc34b0ab61f7b014f112,ec98cbd3760dd135820ed7e24be5f35cb25281ebaf878461347aab91d3497578,c96b5ae5006a232dca902770944bfbadea41c3aa6df640f68a4f9620ed529a25,20
r21_development_005_003,r21_development_005_003,development,R21C_005,2122727065,ef8c119307c3a696820332644e294c04de22dc3f468517f2290fb4864f2c88d8,ff1f825e8d0f08573231cff8f2f913db9e28a4184b4691065fcf74801abce887,7a39dfcb4b4dde38af93853499762d5dc34dbb970b229ad0b8950f5de45bc2c7,20
r21_development_006_001,r21_development_006_001,development,R21C_006,607568643,9bdad1bc324e8cd29686d375d735c78c30df7c10cfc73e70f32bf11ef9ec9592,05a195274cb9149f8f6abbe6771047500e21efbba2df3a039449b1d1b660dc7e,0c61c7dd99c9e89d6039a7be47e4216bebd6f8c5d5a010d14649157cc454f06f,20
r21_development_006_002,r21_development_006_002,development,R21C_006,624346262,2631754d5c12456acaa8a6100ee0a18a127f903dc6a1983fb85c44ea5121c38e,fd9f114c9b790872dfdbfce5a1abef5a591f86875df6f729aa69596125290e8c,9db321b8a123d3a30b89910a16eef6ce14cba2957cc44327036e57dffffd93c6,20
r21_development_006_003,r21_development_006_003,development,R21C_006,641123881,a28debf022753e4d29f4b60b11313449b163e7927f2171a30dd008786469bf03,a9048ed4ec9f61d39f069bc81dae4b35d53b9e780e99db0eb0e08c67b0d5f787,626a869a7fabb231ff8a5a1ecff53c500203129cf36c323c6140995ed7f5e4aa,20
r21_development_007_001,r21_development_007_001,development,R21C_007,836696802,d115ea2305fbb07a8bd90e44f000df474766d37fcf545b168ad3592bc6f0a508,2fadb695bc98f84567ca003b9c74bc02cb2ee1e1b106a6050e350d93ce539e4c,38f114cf2deea48088dfbd5cc89385ec425d49c7cb3c092ff9a76a983be3bee2,20
r21_development_007_002,r21_development_007_002,development,R21C_007,853474421,f506bbca0393a84b10d82c82b96992824b35c0479bb89f47e1b978ec910df285,1b1d8acf77c80b6357521c63db5b8d4ff0dc1066568d10ecf7072e1dca3dcaf2,1aae5c4619917d541354db308ba9dd47c386f6126db31ca4d0a7ca0e9794ec50,20
r21_development_007_003,r21_development_007_003,development,R21C_007,870252040,edb518e1f37699b9a6f6d652120fc589fda6fe86ace722b1d72cdcbbce8bb374,dd75d71362cb230c7ed669255c14c354f1c20c9d028f32269fc60f9985628cd8,ebe5efe7232c86bebb6733c7a2c2dd0825338d010ea5b41e7af37ef1fec802dd,20
r21_development_008_001,r21_development_008_001,development,R21C_008,747701133,3ab176387f272fbc3a9486c710f4e3f92a7f78847d5d96c4f5e06ef849c828be,da665ed330f203ce745c2d5c24049056c4720812803faf2af063a4612aa61a6c,6671b36ef338697367f4abf12f203839f3625e6caa039140968e482bb4d8febb,20
r21_development_008_002,r21_development_008_002,development,R21C_008,730923514,403a8dbe797ac8791ab05bb9c5a003ce374152bea2db7db5b17b4a6889abb679,797b6ad5a8475eeb069b9097582a04ce6bc9ea38300b4015cc7b6fcd27be2424,79e6277cf5097ed8a6b2b170dd85ffe8798bbde1ca4c00f5e4273a4301a2f098,20
r21_development_008_003,r21_development_008_003,development,R21C_008,714145895,a81e6eb52c51bf7a7f63d507144e2784087be92a92dfda13c86a818ed346f56e,587dc3bbe742873e451a7fb0f619aff844e8031de55af97e7bbb9968831b9281,5a4e11529c7c1181c53b931d7b308dd9a21c40cc5d002c5b8826d109f2881403,20
r21_development_009_001,r21_development_009_001,development,R21C_009,606987342,8279a0ead69a55a5afb35a9d8091e94e63583e655de6137c99036365584a2c6d,2a7943aa01a31184dd1ce7648a9516fd4ba6e20ce007365b3bd2c5ec9c59f718,065db2b24338c03e93f9c1dd438881ab4ea43a7b9da11fafd00e77c3833d3ce7,20
r21_development_009_002,r21_development_009_002,development,R21C_009,623764961,3a1e5857aaf63bd9b6d1c86621edc78c56026799590b2286413002ab5fc05c49,c559bcd56fa480ae03742e0072d026b7b9178df510f0bcd2b75bca395bed2e40,f306d751d3905b2a05855cf099d047084ac94d51708ec58ccf8e51ce7b41dba0,20
r21_development_009_003,r21_development_009_003,development,R21C_009,640542580,0bd4072b7001c9c5f61e31af3b0b70d2df3681007110bc74edd2911d3081c7e6,651e31410af31413f85a0df52bffe1b065fe9220da44cdadff75b802f167f168,2c51c99934a8a98b8717030baf925f1be00a5f00cdd6a183654e4ad4954bc579,20
r21_development_010_001,r21_development_010_001,development,R21C_010,835931088,c8f70f928a27c370472c10dee778b49a3b9738107d28f6d797c6f1c699af2f87,ba2846667e75818ada0b794db1628e4527cf0525f3a22184672a96d524b135e3,a45d754e358426c1814d013fd32a35871012d816bb2fc5080512afff797f4f12,20
r21_development_010_002,r21_development_010_002,development,R21C_010,819153469,ad63730fdafc9e873e0df0cf0e1f4f4846df14016fa12f7107a658fbb0e53794,be22abc0586d988a9c53bcb6c10c37fdc4d6b35e5f15b2b221f712ea98ccc8a1,93999e5380f797c5b627dee803f87ed3039c8822457e9677c449aa2c95ea4015,20
r21_development_010_003,r21_development_010_003,development,R21C_010,802375850,e013243dff20033307cdc92892769c0344eecf66cea0155edb4e067f9354260f,7b9fba0ab174b768e7b208db9a499eefaf70c5a4b63f3cce7e7cbf85a934caa5,e89435f41babe890f09134b7328c713aa49dcce08010e1405f6eb84454e831b9,20
r21_development_011_001,r21_development_011_001,development,R21C_011,1168645814,6bcf19707266f100a1ad87014d960f41bfe57d0632b97c446faca07770dd02fc,e2ede20273101ef33211b8f6b53d0872ff3883f1a8d96b9eab6f6252bc41d12b,24c9f933147e064fb4e5052526aa7b230dec0b7cafae795d52ae9b242a325b43,20
r21_development_011_002,r21_development_011_002,development,R21C_011,1151868195,2dcd8626b332fe3b82b89b448fba66fdf3c4632017e8fbc48e88b1ef210c851f,9672977224d56e1154a2e7a353f0f7f6b31faa97cce82c752ecab36f3f42e42d,8c96f3daeacb190812e3d6bca3cc0888ed118413f297c514e3ea6ae7918944f1,20
r21_development_011_003,r21_development_011_003,development,R21C_011,1135090576,e608a482a7aa20cd602b7049cd7015e99669d038d4f0a124a52ef5dfe8766420,bb0d299b90a639a3c3243b579bfb84602c659c7ee963fc4abdcb9a5ed1709bb6,2ff1aa95539259aad9466a44e22e0db877a9a61b2a50386b875594dd2aec5d5d,20
r21_development_012_001,r21_development_012_001,development,R21C_012,1963567239,8a36bd0576c8f812d39535802963e88cd8c56074a7297549d9b0aad8185944cc,36dd1dd96ae11d44340a7c907b869b106027cc980a00a105e3d49d6261361b61,9841f875dfccbfc70e153e6948bb50c5fc142a02500ede2a6d9a91663be94d5b,20
r21_development_012_002,r21_development_012_002,development,R21C_012,1913234382,7105c02076d83563b3ea479ce81094172716ebf953c1f998f4a4bd8c4e2d66c7,8d40fa24e454d7898f1f0a8338d5f811ba1cb16517b0aabb2af1759cd05ca008,330456f81d6299ad420a2c8939a5c78ce06c931e565a68d647f19ef627a75bd8,20
r21_development_012_003,r21_development_012_003,development,R21C_012,1930012001,11cc73c50c256fe8672e84cb817d26ff84a9a67390ebc012c3f4b6978ee718fa,04feae0375295b853f6ad9d4315299743db1e8917443a212133c2db37984e505,a6ec5a2a4138a677520f0a0bd8fe0be695e483f55506b92fbf5bb30c99e5e713,20
r21_development_013_001,r21_development_013_001,development,R21C_013,27918995,1006a050d5fb4f147283faf79f17bd8a0029540de98459e69a9883e3644969a5,31db6dadd4fc31d62224d2362102c2f7016eed29e7e51ab28d06ad5544a68ed7,b930acc97b97bfb1e8b9f8d27cc7dca9bea4ab09bd05541187c687028e7f3291,20
r21_development_013_002,r21_development_013_002,development,R21C_013,2125069785,bf6309e49f8864740fdea5ee04043c788584136745a9b25bb5a82b0c6d774ffc,2d4da23da3a14f066137c70c1c390c1717b25eddbd838eddc6c8169eec66d12d,5c6a1c034b10caef4ee258607051fe35111961b9c368e5709d426444d1e38aab,20
r21_development_013_003,r21_development_013_003,development,R21C_013,2141847404,0083c5dbda38e2b3e0dc1e24933234db57ff034419ee9d357a489fef1eb859c6,0cac26e3201dab266a1b8ff8e8b32ba5e2466d73a45dab887b60392a46ae0d17,38955c0261ae5202e8e61196e62dc19bdafd3ef80c7e91e170583c69d21c7ce9,20
r21_development_014_001,r21_development_014_001,development,R21C_014,1529638986,d45f5be477e13149a8345f812117e7d1c7dc880ddddf9ff0176c261e1f677814,a5df4b80271fb3c1ce6c5a9a7f36dbc41424eb2bc301e76e5f98d7daa068b95d,f41b7971d15488f58eaac5ed8d4bd3da7669373cf9192f3f05e994933dda5084,20
r21_development_014_002,r21_development_014_002,development,R21C_014,1546416605,a66cef13fb829c80b2fd71c168e1586f5a9848954e42c184bf3189a8645cb93d,e948e78fb6ff8104f5a985b7165b672cf0846e219c46cfb3ec5f559d2fb9a318,39fb3c8d2a0174356d59fb6e5e2de6ef886fee5a32b96459535b1f134121cfb2,20
r21_development_014_003,r21_development_014_003,development,R21C_014,1563194224,9e1a384912358d89654dd1528365a25d7ceeece7b6fe93823050a9ed4f4a4793,73d1c1ebfcd84f09f76bfe8f255bc94ac10c9a4f746bbc72312e9f0219d5e168,5d6c60ee7f44303d20ae02cf184670fbaad26366b5479b577ddd9efdb7aab87e,20
r21_development_015_001,r21_development_015_001,development,R21C_015,251871658,f1522ae5f8afdbd1dea0ea2f8245f85c38e85c6ab8a96e696bbeaf6672efdecc,0bb51a71c3ad51cdaa21d6e432666ee2244cf5f6d34740c6f44f93134eb61c1c,98b2943d73b4d1ce8de7abb2b6c3c9697bba9b66bd59cab82a58c166649d17f5,20
r21_development_015_002,r21_development_015_002,development,R21C_015,201538801,6de6c5696bb18787fa093d1b9d546335e6800701314c2cf7957dd22c0e4abff9,e05fdae767842c32e3a3c348e439b8110ff8132e74d5accdbe5476baf6d938f4,927e75b33fb60353c12aaa17b12fcdf1138cd523c3ca9d398842ad8fba199ff3,20
r21_development_015_003,r21_development_015_003,development,R21C_015,218316420,5bde15d1a023a1031f243466eae696bddcb307bfb92420cde4fe344c0128d87d,78db3691798a1ff54ed2fc09dccc0c1af4242b0195f3f0e89a04348ef513013e,2728f8beaec0cc4063bc61ae2330b0150782d6c3fd58b0f1e9ac03d2a33ee25d,20
r21_development_016_001,r21_development_016_001,development,R21C_016,634630364,a50345fd62f597e31852baa10518cf0d81cc1886be56b15971683ba926e9b7b4,0f54baefe8779ae98b4be01d7c56e16e2fe7c31b680aac795b30f9797a6754b5,107204e231fb859baec7132290d1ebf5c28551682a1bdca41ecb2ad619ba4dc6,20
r21_development_016_002,r21_development_016_002,development,R21C_016,651407983,0a1a4bb08adbfe69cff127466a5fbbfdb174c3c991bf003a5494bf256f431397,393a1ea1a545b92cf9c51ec5f07c1423861089fba3e0a72706b3e91c9f1f68b6,e0757ba41258dcded90b90c72b1c1a8a7efe7fcce3e9c5613e0619de32d3f5bd,20
