sample_id,paired_case_id,category,replicate,candidate_id,truth_topology_id,accepted_set,set_size,hit,empty,experiment_hash,calibration_hash,parameter_vector_hash,noiseless_cfr_hash,observation_hash
r211_paired_in_domain_C001_R01,paired_C001_R01,in_domain,1,R21C_001,R21C_001,"R21C_001,R21C_015,R21C_027,R21C_077",4,1,0,e2e85a4953ce8601322d85d9190def7c5f511f7a823cf7fa81be5594f51fce97,1535f33c75884c347c812f61aa056635072181ac37a47ce44ebfb1afc16ea87b,208bab1bd626bc0c0ad461b3b13260c8f4bdeb8b34c1755e30974ed4557e1978,fb54c0d3686ab13f1eed33057f48672a4d242405ef38a9f4e648ed7bbca85618,d6d2db96728b64ec0a139c24796d97d5e344cf84a877a1a4120929aeccc7cd48
r211_paired_boundary_lower_C001_R01,paired_C001_R01,boundary_lower,1,R21C_001,R21C_001,"R21C_001,R21C_015,R21C_018,R21C_027,R21C_077",5,1,0,e2e85a4953ce8601322d85d9190def7c5f511f7a823cf7fa81be5594f51fce97,1535f33c75884c347c812f61aa056635072181ac37a47ce44ebfb1afc16ea87b,88167dfc2f401921e9802d0eff8c1c1499e74f5de80a6e02c872abfd015d7dc7,ced0dc52b1c0367abb533a193a3d80ac4e5df33fd97c807c909c7b22cba02483,58492eb81b35e811e16c836bbe1ec1476712a099c4ce2c008f3dcc5c569647ee
r211_paired_boundary_upper_C001_R01,paired_C001_R01,boundary_upper,1,R21C_001,R21C_001,"R21C_001,R21C_015,R21C_077",3,1,0,e2e85a4953ce8601322d85d9190def7c5f511f7a823cf7fa81be5594f51fce97,1535f33c75884c347c812f61aa056635072181ac37a47ce44ebfb1afc16ea87b,6b76fb585bde28fc02509cfac40ae608c271c31893d9d4349a7511b59ca50b23,3664c6635030d6c7655b284ab68e82a12d82e7d5ef2afd2fa37c2c2ab2927442,e6c3c7bb0aca619a9f3daeefc9eb193d88c720b920869ce47437966ef8e052b4
r211_paired_parameter_ood_near_C001_R01,paired_C001_R01,parameter_ood_near,1,R21C_001,R21C_001,"R21C_001,R21C_015,R21C_077",3,1,0,e2e85a4953ce8601322d85d9190def7c5f511f7a823cf7fa81be5594f51fce97,1535f33c75884c347c812f61aa056635072181ac37a47ce44ebfb1afc16ea87b,d11f2670e1a1de029bcac2ed6da0d9ddeb54d7f50c8433a47f1e903a7e6ebfb6,5c092e347cf00b07e479c07c42c1748fd660fdc05c19b027ff206f0a2f62171c,2bac2c58ebc92ab557657acb091327c00f6e8383e8346ed307436c66eb15f1f0
r211_paired_parameter_ood_medium_C001_R01,paired_C001_R01,parameter_ood_medium,1,R21C_001,R21C_001,"R21C_023,R21C_060",2,0,0,e2e85a4953ce8601322d85d9190def7c5f511f7a823cf7fa81be5594f51fce97,1535f33c75884c347c812f61aa056635072181ac37a47ce44ebfb1afc16ea87b,4084e9aa3495b1457dedd42a8d1edcced93909d8f96b5293855eb53b9e2dab10,b694ca442af28cfb875e3eaca69bc6cbe89cdf3737529410adb919231556165a,b0776df65e126e5895f8f5262af73e651c0874163367ab9ac33f7b6430f9b035
r211_paired_parameter_ood_far_C001_R01,paired_C001_R01,parameter_ood_far,1,R21C_001,R21C_001,"R21C_023",1,0,0,e2e85a4953ce8601322d85d9190def7c5f511f7a823cf7fa81be5594f51fce97,1535f33c75884c347c812f61aa056635072181ac37a47ce44ebfb1afc16ea87b,e73a27943c2ed36ca6aac1f4586aadf1a7a469e374a83e29f2347bbf274c603a,a3a7690fef5ac68cdedb4ec1e5661456508f8fb875042733d2ac2c29d3fe8030,58c711891fb3830a83bdbcc21c0011b8b47e5b6c9d5ef0f371b2cce0d07a584e
r211_paired_in_domain_C001_R02,paired_C001_R02,in_domain,2,R21C_001,R21C_001,"R21C_001,R21C_015,R21C_077",3,1,0,e2e85a4953ce8601322d85d9190def7c5f511f7a823cf7fa81be5594f51fce97,1535f33c75884c347c812f61aa056635072181ac37a47ce44ebfb1afc16ea87b,68140eb2531f108173bfdb40e61bcad810786d8760708aeba5665a703bac6dfb,2fab64e0e3a47d28d2c006171a6d8b2187d611bd3a1d59a2b9ced04a6e014f42,2b810a36dd594feb5d60ed1aafc5f912081cabf1e97680c95389dbfa00db3286
r211_paired_boundary_lower_C001_R02,paired_C001_R02,boundary_lower,2,R21C_001,R21C_001,"R21C_001,R21C_015,R21C_027,R21C_077",4,1,0,e2e85a4953ce8601322d85d9190def7c5f511f7a823cf7fa81be5594f51fce97,1535f33c75884c347c812f61aa056635072181ac37a47ce44ebfb1afc16ea87b,c29bf823309e546a4c96dc50adf7d6ca8561cb0fba10e49bb612f291420edaf8,bddd3fdcf4a9ee3d9061ac3a3892333d045b22ebf48324846fa62a40c8f54114,4be67219733917bde588573b25f424b3f905a5de6ddb1a64cd64267a544a3190
r211_paired_boundary_upper_C001_R02,paired_C001_R02,boundary_upper,2,R21C_001,R21C_001,"R21C_001,R21C_015,R21C_077",3,1,0,e2e85a4953ce8601322d85d9190def7c5f511f7a823cf7fa81be5594f51fce97,1535f33c75884c347c812f61aa056635072181ac37a47ce44ebfb1afc16ea87b,ed951fc2a079f3b7b6ddda3d1b68fd4ef705816f32b14325bb3b043b105f415d,ccd9b368f86919f872172e81aeff46c9fbdc8dd457f1679171257f2143a6ddde,735119135cb3cc3169f0bfb8679ae81d0fdb7f6abad604ec1860440d2846171b
r211_paired_parameter_ood_near_C001_R02,paired_C001_R02,parameter_ood_near,2,R21C_001,R21C_001,"R21C_001,R21C_015,R21C_023,R21C_077",4,1,0,e2e85a4953ce8601322d85d9190def7c5f511f7a823cf7fa81be5594f51fce97,1535f33c75884c347c812f61aa056635072181ac37a47ce44ebfb1afc16ea87b,4d73175a3ba8b5704dd05b75f271a206252a864ab63ef37413a92a6de44f5f65,7eec68be590798a2553f29ec95834a950cade9a315efab06bc98f9172884c10f,51204c839d131e8bc9bfcc6a5a5eded29ecb4dce7e5c78fe82114784bef8e28c
