candidate_id,nearest_pair_key,same_theta_nearest_candidate,same_theta_distance,same_theta_template_i,same_theta_template_j,same_theta_numerically_equivalent,numerical_tolerance,noise_resolution_threshold,cross_theta_scope,cross_theta_profile_distance,cross_theta_template_i,cross_theta_template_j,same_theta_complex_distance,same_theta_magnitude_distance,same_theta_phase_distance_rad,cross_theta_complex_distance,cross_theta_magnitude_distance,cross_theta_phase_distance_rad,cross_theta_numerically_equivalent,source_formal_experiment_hash
R21C_001,R21C_001|R21C_077,R21C_077,0.0021973650226919,192,192,0,1e-10,NaN,nearest_same_theta_pairs_only,1.69493824474893,3,3,0.0021973650226919,0.0018054284928809,0.00712668408046736,0.00391003347871667,0.00271011228738294,0.00992867983346199,0,36ab4a9a2ffceeeb1e7241d89cf281540d0e78acce35f27e068187e3fe0832c8
R21C_002,R21C_002|R21C_070,R21C_070,0.00426256088078692,21,21,0,1e-10,NaN,nearest_same_theta_pairs_only,1.74139426017932,84,3,0.00426256088078692,0.00369736537202908,0.00846125539618362,0.00585772335486356,0.00258985422185795,0.037125584539061,0,36ab4a9a2ffceeeb1e7241d89cf281540d0e78acce35f27e068187e3fe0832c8
R21C_003,R21C_003|R21C_059,R21C_059,0.00661973054973796,25,25,0,1e-10,NaN,nearest_same_theta_pairs_only,2.478459305922,9,3,0.00661973054973796,0.00272486281257528,0.0224139600740445,0.00162130255496259,0.00135531686879679,0.00283180288940127,0,36ab4a9a2ffceeeb1e7241d89cf281540d0e78acce35f27e068187e3fe0832c8
R21C_004,R21C_004|R21C_006,R21C_006,0.00396038174490684,21,21,0,1e-10,NaN,nearest_same_theta_pairs_only,0.529223055675111,63,57,0.00396038174490684,0.000489125192594752,0.088520075058652,0.00299499745958818,0.000368501707982589,0.105588684702038,0,36ab4a9a2ffceeeb1e7241d89cf281540d0e78acce35f27e068187e3fe0832c8
R21C_005,R21C_002|R21C_005,R21C_002,0.0236502991866392,9,9,0,1e-10,NaN,nearest_same_theta_pairs_only,1.57731535898643,63,57,0.0236502991866392,0.0163374569435199,0.0583497395890123,0.0232851746520737,0.0171672299504271,0.0681394442850342,0,36ab4a9a2ffceeeb1e7241d89cf281540d0e78acce35f27e068187e3fe0832c8
R21C_006,R21C_004|R21C_006,R21C_004,0.00396038174490684,21,21,0,1e-10,NaN,nearest_same_theta_pairs_only,0.529223055675111,63,57,0.00396038174490684,0.000489125192594752,0.088520075058652,0.00299499745958818,0.000368501707982589,0.105588684702038,0,36ab4a9a2ffceeeb1e7241d89cf281540d0e78acce35f27e068187e3fe0832c8
R21C_007,R21C_007|R21C_078,R21C_078,0.016285605635503,79,79,0,1e-10,NaN,nearest_same_theta_pairs_only,0.806271607110226,30,3,0.016285605635503,0.0147692094455025,0.0403760211535465,0.0237420828660864,0.0209524333905059,0.0888445670357181,0,36ab4a9a2ffceeeb1e7241d89cf281540d0e78acce35f27e068187e3fe0832c8
R21C_008,R21C_008|R21C_057,R21C_057,0.0329114986609263,75,75,0,1e-10,NaN,nearest_same_theta_pairs_only,1.80890454669059,3,3,0.0329114986609263,0.0288477196697225,0.0568328421872225,0.0529207904169607,0.045562087003685,0.126020728729109,0,36ab4a9a2ffceeeb1e7241d89cf281540d0e78acce35f27e068187e3fe0832c8
R21C_009,R21C_009|R21C_066,R21C_066,0.0037911447128821,1,1,0,1e-10,NaN,nearest_same_theta_pairs_only,0.812862320136431,9,3,0.0037911447128821,0.00201748720320749,0.0626249602640863,0.00329053630874345,0.0025921624383834,0.0392807210921928,0,36ab4a9a2ffceeeb1e7241d89cf281540d0e78acce35f27e068187e3fe0832c8
R21C_010,R21C_010|R21C_067,R21C_067,0.00446223526686254,1,1,0,1e-10,NaN,nearest_same_theta_pairs_only,0.829506324283571,2,3,0.00446223526686254,0.00197751430353206,0.0622640143509645,0.00499002317845247,0.00366760123411822,0.0355852442614498,0,36ab4a9a2ffceeeb1e7241d89cf281540d0e78acce35f27e068187e3fe0832c8
