pair_key,candidate_i,candidate_j,same_theta_distance,same_theta_template_i,same_theta_template_j,numerical_tolerance,noise_resolution_threshold,same_theta_numerically_equivalent,cross_theta_scope,source_formal_experiment_hash
R21C_001|R21C_002,R21C_001,R21C_002,0.0346474070322041,21,21,1e-10,NaN,0,nearest_same_theta_pairs_only,36ab4a9a2ffceeeb1e7241d89cf281540d0e78acce35f27e068187e3fe0832c8
R21C_001|R21C_003,R21C_001,R21C_003,0.101763049997384,21,21,1e-10,NaN,0,nearest_same_theta_pairs_only,36ab4a9a2ffceeeb1e7241d89cf281540d0e78acce35f27e068187e3fe0832c8
R21C_001|R21C_004,R21C_001,R21C_004,0.179329920864077,63,63,1e-10,NaN,0,nearest_same_theta_pairs_only,36ab4a9a2ffceeeb1e7241d89cf281540d0e78acce35f27e068187e3fe0832c8
R21C_001|R21C_005,R21C_001,R21C_005,0.0534643629783841,21,21,1e-10,NaN,0,nearest_same_theta_pairs_only,36ab4a9a2ffceeeb1e7241d89cf281540d0e78acce35f27e068187e3fe0832c8
R21C_001|R21C_006,R21C_001,R21C_006,0.176205845105779,63,63,1e-10,NaN,0,nearest_same_theta_pairs_only,36ab4a9a2ffceeeb1e7241d89cf281540d0e78acce35f27e068187e3fe0832c8
R21C_001|R21C_007,R21C_001,R21C_007,0.132210090619275,63,63,1e-10,NaN,0,nearest_same_theta_pairs_only,36ab4a9a2ffceeeb1e7241d89cf281540d0e78acce35f27e068187e3fe0832c8
R21C_001|R21C_008,R21C_001,R21C_008,0.0671506107065035,21,21,1e-10,NaN,0,nearest_same_theta_pairs_only,36ab4a9a2ffceeeb1e7241d89cf281540d0e78acce35f27e068187e3fe0832c8
R21C_001|R21C_009,R21C_001,R21C_009,0.152447578043779,60,60,1e-10,NaN,0,nearest_same_theta_pairs_only,36ab4a9a2ffceeeb1e7241d89cf281540d0e78acce35f27e068187e3fe0832c8
R21C_001|R21C_010,R21C_001,R21C_010,0.136837314351657,63,63,1e-10,NaN,0,nearest_same_theta_pairs_only,36ab4a9a2ffceeeb1e7241d89cf281540d0e78acce35f27e068187e3fe0832c8
R21C_001|R21C_011,R21C_001,R21C_011,0.0936677888733095,2,2,1e-10,NaN,0,nearest_same_theta_pairs_only,36ab4a9a2ffceeeb1e7241d89cf281540d0e78acce35f27e068187e3fe0832c8
R21C_001|R21C_012,R21C_001,R21C_012,0.0134613428111703,21,21,1e-10,NaN,0,nearest_same_theta_pairs_only,36ab4a9a2ffceeeb1e7241d89cf281540d0e78acce35f27e068187e3fe0832c8
R21C_001|R21C_013,R21C_001,R21C_013,0.0552382184675776,3,3,1e-10,NaN,0,nearest_same_theta_pairs_only,36ab4a9a2ffceeeb1e7241d89cf281540d0e78acce35f27e068187e3fe0832c8
R21C_001|R21C_014,R21C_001,R21C_014,0.0257590173330779,21,21,1e-10,NaN,0,nearest_same_theta_pairs_only,36ab4a9a2ffceeeb1e7241d89cf281540d0e78acce35f27e068187e3fe0832c8
R21C_001|R21C_015,R21C_001,R21C_015,0.017099558215622,75,75,1e-10,NaN,0,nearest_same_theta_pairs_only,36ab4a9a2ffceeeb1e7241d89cf281540d0e78acce35f27e068187e3fe0832c8
R21C_001|R21C_016,R21C_001,R21C_016,0.0185186732039689,21,21,1e-10,NaN,0,nearest_same_theta_pairs_only,36ab4a9a2ffceeeb1e7241d89cf281540d0e78acce35f27e068187e3fe0832c8
R21C_001|R21C_017,R21C_001,R21C_017,0.0876771622574385,21,21,1e-10,NaN,0,nearest_same_theta_pairs_only,36ab4a9a2ffceeeb1e7241d89cf281540d0e78acce35f27e068187e3fe0832c8
R21C_001|R21C_018,R21C_001,R21C_018,0.019186645882223,21,21,1e-10,NaN,0,nearest_same_theta_pairs_only,36ab4a9a2ffceeeb1e7241d89cf281540d0e78acce35f27e068187e3fe0832c8
R21C_001|R21C_019,R21C_001,R21C_019,0.112409243002339,24,24,1e-10,NaN,0,nearest_same_theta_pairs_only,36ab4a9a2ffceeeb1e7241d89cf281540d0e78acce35f27e068187e3fe0832c8
R21C_001|R21C_020,R21C_001,R21C_020,0.0736733443232011,21,21,1e-10,NaN,0,nearest_same_theta_pairs_only,36ab4a9a2ffceeeb1e7241d89cf281540d0e78acce35f27e068187e3fe0832c8
R21C_001|R21C_021,R21C_001,R21C_021,0.0317020116250895,57,57,1e-10,NaN,0,nearest_same_theta_pairs_only,36ab4a9a2ffceeeb1e7241d89cf281540d0e78acce35f27e068187e3fe0832c8
R21C_001|R21C_022,R21C_001,R21C_022,0.0292846475919582,21,21,1e-10,NaN,0,nearest_same_theta_pairs_only,36ab4a9a2ffceeeb1e7241d89cf281540d0e78acce35f27e068187e3fe0832c8
R21C_001|R21C_023,R21C_001,R21C_023,0.0301116963496534,3,3,1e-10,NaN,0,nearest_same_theta_pairs_only,36ab4a9a2ffceeeb1e7241d89cf281540d0e78acce35f27e068187e3fe0832c8
R21C_001|R21C_024,R21C_001,R21C_024,0.0221814568999137,57,57,1e-10,NaN,0,nearest_same_theta_pairs_only,36ab4a9a2ffceeeb1e7241d89cf281540d0e78acce35f27e068187e3fe0832c8
R21C_001|R21C_025,R21C_001,R21C_025,0.0343099705133516,57,57,1e-10,NaN,0,nearest_same_theta_pairs_only,36ab4a9a2ffceeeb1e7241d89cf281540d0e78acce35f27e068187e3fe0832c8
R21C_001|R21C_026,R21C_001,R21C_026,0.0551630470665414,21,21,1e-10,NaN,0,nearest_same_theta_pairs_only,36ab4a9a2ffceeeb1e7241d89cf281540d0e78acce35f27e068187e3fe0832c8
