sample_id,physical_scenario_id,split,truth_topology_id,case_seed,parameter_vector_hash,noiseless_cfr_hash,observation_hash,noise_snr_db
r21_development_001_001,r21_development_001_001,development,R21C_001,1114704581,ff84caec0f2fa48e4c93eed0ab24578acbc2ea67b06d085dd144a987d7d6db0d,2a98f662d46f2bc3cc3ef9480303a92960bb8980bd152e6828e8cad1a5e01474,69823bddd496e31a5880ceafdaa19023f11a217961ee0e923cd2a3f46c469b8b,20
r21_development_001_002,r21_development_001_002,development,R21C_001,1097926962,8378227fb72ac4759b33fd1c3218ddd36464d1b7acc0f54e2238fc2d45ce6170,d326c8798990f8982693a81ced7fd51d833eece2bcdb294a71cd25573b852574,b72b2c63493bbf406d4ad2495dda390c676d2d7f6e5ce5ae2c8d7df2dae86c46,20
r21_development_002_001,r21_development_002_001,development,R21C_002,1181680971,219dbd6ee9815b2bd7d5a3b55a873d9f4cf8decd5e2eea361455ac4a94dd94bb,f6d06c334352b1e7bd3f04e48ad7224c452f60d3634ae601911a668ba8786527,9b6740c91bf6672000a4d06f4ef98befdb929e3961fae535a6bf94433664b61d,20
r21_development_002_002,r21_development_002_002,development,R21C_002,1232013828,e22d66529dadc46e61887ce91f7228275a4274bc695ae4e093a22770cf77d34f,e0c725bc044caacd92f7d71cde019fe8618d847e9460de301b8f9ef9ba763e8c,a7ab1a8260cfa8cdbc435162b9e2327e57b5baf136b4262cfab20f0333fa6755,20
r21_development_003_001,r21_development_003_001,development,R21C_003,165640843,9e28b456ade04e67a8d5c68be04bef1bc01e4ed0d5ae34e275d3a8a804b4de56,ee9982d2750189f1b2c67f622d3b7e46deff531afc634e40edc0d1d0fb2dd8e4,5408960f1f3a65f0df9da72a624c7c3c56e134de3000893fda8c13ec36213625,20
r21_development_003_002,r21_development_003_002,development,R21C_003,182418462,68e50cf2b7d1969090d3a01841c8e5d50241608366113a1129756bd7eb55603d,5547466d423da3339e6feb35c9717ac866bc5f07036679e258b234eab0b9f148,3e417f55b88e98059b422a08d81cc44dc734d4b22c456619b123b1b5d46dcb71,20
r21_development_004_001,r21_development_004_001,development,R21C_004,749700273,b2df0c4f67c203de5e88d8e29679be6a0514264aa139b5886459b8964d976fd1,29dee21d3e60b316760a81029303a2bd686237f8d07230454bcad47e74720c1c,0cb97ffddbfb9308b1c9b5e899fd6d05061c847072f8e6013c0b7c852f027d81,20
r21_development_004_002,r21_development_004_002,development,R21C_004,800033130,5687502f1a2a8a1bf5621d588720029f1e956951c9c11426e4745ca21960c0d4,2904df69f5fba115447ee84879ac6c5ae08d7680e7d0fa544ccbd99490febeea,1902ba8b5fb1c601c503600c87f05ba15916742aae5c2e63265d6134649aa766,20
r21_development_005_001,r21_development_005_001,development,R21C_005,2089171827,47709c3f569bfe8af66d70e67443fd6a75adab3fbfc592a406c472302e431547,075d6411aece3a6e9472b9b72aeefca462df2b52db3aebebecf2a6b37860bacc,39c736eb0d4e17c3b40208b3b59c8b8de7f4757a06e7b857fd2698d1d4c87f69,20
r21_development_005_002,r21_development_005_002,development,R21C_005,2105949446,7762033650eca066f6ac6a630674aa5417bda5b16552bc34b0ab61f7b014f112,ec98cbd3760dd135820ed7e24be5f35cb25281ebaf878461347aab91d3497578,c96b5ae5006a232dca902770944bfbadea41c3aa6df640f68a4f9620ed529a25,20
r21_development_006_001,r21_development_006_001,development,R21C_006,607568643,9bdad1bc324e8cd29686d375d735c78c30df7c10cfc73e70f32bf11ef9ec9592,05a195274cb9149f8f6abbe6771047500e21efbba2df3a039449b1d1b660dc7e,0c61c7dd99c9e89d6039a7be47e4216bebd6f8c5d5a010d14649157cc454f06f,20
r21_development_006_002,r21_development_006_002,development,R21C_006,624346262,2631754d5c12456acaa8a6100ee0a18a127f903dc6a1983fb85c44ea5121c38e,fd9f114c9b790872dfdbfce5a1abef5a591f86875df6f729aa69596125290e8c,9db321b8a123d3a30b89910a16eef6ce14cba2957cc44327036e57dffffd93c6,20
r21_development_007_001,r21_development_007_001,development,R21C_007,836696802,d115ea2305fbb07a8bd90e44f000df474766d37fcf545b168ad3592bc6f0a508,2fadb695bc98f84567ca003b9c74bc02cb2ee1e1b106a6050e350d93ce539e4c,38f114cf2deea48088dfbd5cc89385ec425d49c7cb3c092ff9a76a983be3bee2,20
r21_development_007_002,r21_development_007_002,development,R21C_007,853474421,f506bbca0393a84b10d82c82b96992824b35c0479bb89f47e1b978ec910df285,1b1d8acf77c80b6357521c63db5b8d4ff0dc1066568d10ecf7072e1dca3dcaf2,1aae5c4619917d541354db308ba9dd47c386f6126db31ca4d0a7ca0e9794ec50,20
r21_development_008_001,r21_development_008_001,development,R21C_008,747701133,3ab176387f272fbc3a9486c710f4e3f92a7f78847d5d96c4f5e06ef849c828be,da665ed330f203ce745c2d5c24049056c4720812803faf2af063a4612aa61a6c,6671b36ef338697367f4abf12f203839f3625e6caa039140968e482bb4d8febb,20
r21_development_008_002,r21_development_008_002,development,R21C_008,730923514,403a8dbe797ac8791ab05bb9c5a003ce374152bea2db7db5b17b4a6889abb679,797b6ad5a8475eeb069b9097582a04ce6bc9ea38300b4015cc7b6fcd27be2424,79e6277cf5097ed8a6b2b170dd85ffe8798bbde1ca4c00f5e4273a4301a2f098,20
r21_development_009_001,r21_development_009_001,development,R21C_009,606987342,8279a0ead69a55a5afb35a9d8091e94e63583e655de6137c99036365584a2c6d,2a7943aa01a31184dd1ce7648a9516fd4ba6e20ce007365b3bd2c5ec9c59f718,065db2b24338c03e93f9c1dd438881ab4ea43a7b9da11fafd00e77c3833d3ce7,20
r21_development_009_002,r21_development_009_002,development,R21C_009,623764961,3a1e5857aaf63bd9b6d1c86621edc78c56026799590b2286413002ab5fc05c49,c559bcd56fa480ae03742e0072d026b7b9178df510f0bcd2b75bca395bed2e40,f306d751d3905b2a05855cf099d047084ac94d51708ec58ccf8e51ce7b41dba0,20
r21_development_010_001,r21_development_010_001,development,R21C_010,835931088,c8f70f928a27c370472c10dee778b49a3b9738107d28f6d797c6f1c699af2f87,ba2846667e75818ada0b794db1628e4527cf0525f3a22184672a96d524b135e3,a45d754e358426c1814d013fd32a35871012d816bb2fc5080512afff797f4f12,20
r21_development_010_002,r21_development_010_002,development,R21C_010,819153469,ad63730fdafc9e873e0df0cf0e1f4f4846df14016fa12f7107a658fbb0e53794,be22abc0586d988a9c53bcb6c10c37fdc4d6b35e5f15b2b221f712ea98ccc8a1,93999e5380f797c5b627dee803f87ed3039c8822457e9677c449aa2c95ea4015,20
r21_development_011_001,r21_development_011_001,development,R21C_011,1168645814,6bcf19707266f100a1ad87014d960f41bfe57d0632b97c446faca07770dd02fc,e2ede20273101ef33211b8f6b53d0872ff3883f1a8d96b9eab6f6252bc41d12b,24c9f933147e064fb4e5052526aa7b230dec0b7cafae795d52ae9b242a325b43,20
r21_development_011_002,r21_development_011_002,development,R21C_011,1151868195,2dcd8626b332fe3b82b89b448fba66fdf3c4632017e8fbc48e88b1ef210c851f,9672977224d56e1154a2e7a353f0f7f6b31faa97cce82c752ecab36f3f42e42d,8c96f3daeacb190812e3d6bca3cc0888ed118413f297c514e3ea6ae7918944f1,20
r21_development_012_001,r21_development_012_001,development,R21C_012,1963567239,8a36bd0576c8f812d39535802963e88cd8c56074a7297549d9b0aad8185944cc,36dd1dd96ae11d44340a7c907b869b106027cc980a00a105e3d49d6261361b61,9841f875dfccbfc70e153e6948bb50c5fc142a02500ede2a6d9a91663be94d5b,20
r21_development_012_002,r21_development_012_002,development,R21C_012,1913234382,7105c02076d83563b3ea479ce81094172716ebf953c1f998f4a4bd8c4e2d66c7,8d40fa24e454d7898f1f0a8338d5f811ba1cb16517b0aabb2af1759cd05ca008,330456f81d6299ad420a2c8939a5c78ce06c931e565a68d647f19ef627a75bd8,20
r21_development_013_001,r21_development_013_001,development,R21C_013,27918995,1006a050d5fb4f147283faf79f17bd8a0029540de98459e69a9883e3644969a5,31db6dadd4fc31d62224d2362102c2f7016eed29e7e51ab28d06ad5544a68ed7,b930acc97b97bfb1e8b9f8d27cc7dca9bea4ab09bd05541187c687028e7f3291,20
r21_development_013_002,r21_development_013_002,development,R21C_013,2125069785,bf6309e49f8864740fdea5ee04043c788584136745a9b25bb5a82b0c6d774ffc,2d4da23da3a14f066137c70c1c390c1717b25eddbd838eddc6c8169eec66d12d,5c6a1c034b10caef4ee258607051fe35111961b9c368e5709d426444d1e38aab,20
r21_development_014_001,r21_development_014_001,development,R21C_014,1529638986,d45f5be477e13149a8345f812117e7d1c7dc880ddddf9ff0176c261e1f677814,a5df4b80271fb3c1ce6c5a9a7f36dbc41424eb2bc301e76e5f98d7daa068b95d,f41b7971d15488f58eaac5ed8d4bd3da7669373cf9192f3f05e994933dda5084,20
r21_development_014_002,r21_development_014_002,development,R21C_014,1546416605,a66cef13fb829c80b2fd71c168e1586f5a9848954e42c184bf3189a8645cb93d,e948e78fb6ff8104f5a985b7165b672cf0846e219c46cfb3ec5f559d2fb9a318,39fb3c8d2a0174356d59fb6e5e2de6ef886fee5a32b96459535b1f134121cfb2,20
r21_development_015_001,r21_development_015_001,development,R21C_015,251871658,f1522ae5f8afdbd1dea0ea2f8245f85c38e85c6ab8a96e696bbeaf6672efdecc,0bb51a71c3ad51cdaa21d6e432666ee2244cf5f6d34740c6f44f93134eb61c1c,98b2943d73b4d1ce8de7abb2b6c3c9697bba9b66bd59cab82a58c166649d17f5,20
r21_development_015_002,r21_development_015_002,development,R21C_015,201538801,6de6c5696bb18787fa093d1b9d546335e6800701314c2cf7957dd22c0e4abff9,e05fdae767842c32e3a3c348e439b8110ff8132e74d5accdbe5476baf6d938f4,927e75b33fb60353c12aaa17b12fcdf1138cd523c3ca9d398842ad8fba199ff3,20
r21_development_016_001,r21_development_016_001,development,R21C_016,634630364,a50345fd62f597e31852baa10518cf0d81cc1886be56b15971683ba926e9b7b4,0f54baefe8779ae98b4be01d7c56e16e2fe7c31b680aac795b30f9797a6754b5,107204e231fb859baec7132290d1ebf5c28551682a1bdca41ecb2ad619ba4dc6,20
r21_development_016_002,r21_development_016_002,development,R21C_016,651407983,0a1a4bb08adbfe69cff127466a5fbbfdb174c3c991bf003a5494bf256f431397,393a1ea1a545b92cf9c51ec5f07c1423861089fba3e0a72706b3e91c9f1f68b6,e0757ba41258dcded90b90c72b1c1a8a7efe7fcce3e9c5613e0619de32d3f5bd,20
r21_development_017_001,r21_development_017_001,development,R21C_017,1504346683,fb899ac42061c99ff15afbedbb2cc9edaa8af66f643c7d07d5381ca8fd8fc5d0,7a301c4d42f7f61870591598408d65e8fbf2c4beaadb1e56dc43f0a7240badf3,be2ceb27ce61cb9f63ab74bfa03220a93e4ebad0fc91a49df326622494ea1e90,20
r21_development_017_002,r21_development_017_002,development,R21C_017,1454013826,5abc89a596173261a770a01b814869c9abd4fe6bd7a155af9b18ecee00fb797e,7458d76bbec4a907c73a765c8ddf729982f5b2e448fb04f1e487ba2b872fb408,cb5fc8eea189f9bcf691c0d6376ba8abb0799a67a0bad7597d932f88a26375da,20
r21_development_018_001,r21_development_018_001,development,R21C_018,862594163,46299c7a8adff3e5159a9051524bfb74add5e711298c372e4edc2fff8abac628,9eacabdfc732bafec6f751a9b91a86ba528ff307d50e57061996b66e8bcb42a3,32888a83cf6f8186c603b5bfec0fe19dd36bfca34b9d64c142859b414b6aaa17,20
r21_development_018_002,r21_development_018_002,development,R21C_018,912927020,e36556008b0a3a7866b525fbd6a7d41bcfc15fdda7c3ebdb226b011a80256b62,6de7a8a4f0ca3104623ad4781a8e37f1bc6af91819a82648942271292e67e6d5,0bf34660f4d68980f1c2e5f15d9cde79d69de732a9f853d3148441ef17c6377b,20
r21_development_019_001,r21_development_019_001,development,R21C_019,1945693182,8f75f6a57b2fa43f95552fa225e09e4e3273f9e0058a66e5c8aeadadf74c7061,faf5a6b738e7089334b6c7839a0b808d8f289302cb38d9abcbba26b4185c7566,564c1d0c93a640fa9c5f68c3ea225b2eabae900f3a33b97facf50e2c2db44803,20
r21_development_019_002,r21_development_019_002,development,R21C_019,1895360325,5abaa529a86568df23a68d4cd9bfb01e2d64ccd5cf45c22d17ec5b41f9b931cd,d7835aa0b48276dc074d2295929348d3c6e88a22396bc84d2db6765d7eeb23f9,5d5200b70709b64745c126691f418a6d9fdb22c6427913fe5a74e443b69a2540,20
r21_development_020_001,r21_development_020_001,development,R21C_020,1171292405,3035d43b69b440ae7138108aeba59a754e59a1ceb363a542759ae655201ba877,b7402bca2485c511cc827115468aa2f297b5bcb50c2565fe33d50d33205a1d8d,ee138af9a6675a6b8fb3620fcb0ded3c24926ee2abcc3d3548da28ba7410c533,20
r21_development_020_002,r21_development_020_002,development,R21C_020,1221625262,a27a7f2f7648f9fddd426e3311e039c87540e9ab2c5a2a2ab0a05da58941761d,19bd5765269463d2b52c6f25ee79ba8c88f66bf7e5408e1c9a9e997842c5e069,c37645dfe73aaf13e9035ccbb418ff6d3eff72951264011882f2c08ccb3f9cde,20
r21_development_021_001,r21_development_021_001,development,R21C_021,93496466,6057d58f3a86f7363ca020955650b4c8dc475347a833158043d5d279fd19b3f9,087a22428d85997cd1638029e72aa62260cf3ed530bbc675943517132a4a98b0,4ef308a319d9f6220d5f1112db5c1a2f5658f5e19a2620f32c35614a646c03e4,20
r21_development_021_002,r21_development_021_002,development,R21C_021,76718847,514a3394c316536b6b8bbdfdd1b95a1a6eafa0ea17eed22917415be73d7ca318,07373221a2a4181a238f640f56b0493aed935129fc4395bd86b66f273364d0ff,6123913b4b10a539f5f6f7d4a7b5a54ff5be59096c5dc71bdc52a4fb8a26dc85,20
r21_development_022_001,r21_development_022_001,development,R21C_022,1762044748,583e2c8ffefa798bdeef1b18629d12316bb168caa22d5836cf2cdca392322678,d27b04fc43f0a2f6f34e24cd749aea58fe99694e31a6bf14f0a30b58c12e2171,a8d067e012ece4a1719cc9a15344203f286d5bfb14fac2e9635e166f5300055b,20
r21_development_022_002,r21_development_022_002,development,R21C_022,1778822367,38cf890954bd0b0575b3da8ad49bc7b12d38e9d5df2b4b1ac9e98146f5d12644,85a34b1599dd901824c7eba04f91a41690d9ae2e6d82af16aceda07bdcad5e79,d68bf674b03f42eea29d8955b5db1972603364341bc504cba28671ce3b8dd77a,20
r21_development_023_001,r21_development_023_001,development,R21C_023,1100304879,8ea24d42a4f0c86299eb9a9340f2491dbb0a51c6647d867a4d934e42fe321d91,ef6f9966a9970b04b39844239e9363d480012d2f2c74c701bd30001b5a4a3937,44cb0a9d4b93bbb843c848c8b596a04fd364cee934abbdbd121dd02d5aa1fc25,20
r21_development_023_002,r21_development_023_002,development,R21C_023,1049972022,1e0db9e76736e6d1a3c61e1b854ce7ab95a6a1ea33e926fc59dc6beb7eac95bc,1a0be8de597ea022774b24140082c821efb8b08b907ebc9adf1dc04fb229bc6f,2b6e9edf9207780fd8f2d99461851400ec56ec7f555884a3340b6c4f22b0b03b,20
