stage,canonical_result_version,artifact_role,relative_path,file_size_bytes,sha256,source_tree_hash,source_experiment_hash,used_for_formal_report,notes
Stage 4A.7.2-R.2.1.2,final_source_v3,formal,results/data/stage4a7_2_r2_1_1/final_source_v3/formal/candidate_coverage_audit.csv,744,781aadbe6730a42cd8e84b0e7abc4dc690847ed59bce2c0cb3fa2986dc7096a8,b9e51a09f4cc1cf8d560ee58ae23b966c32aecff139d1d48f5d306777bd58f3b,36ab4a9a2ffceeeb1e7241d89cf281540d0e78acce35f27e068187e3fe0832c8,1,canonical CSV or audit artifact
Stage 4A.7.2-R.2.1.2,final_source_v3,formal,results/data/stage4a7_2_r2_1_1/final_source_v3/formal/candidate_generation_audit.csv,498,3a0505b6c2d02e267825e041e0e4977a9d63f8c176f33897ee4d284592eece76,b9e51a09f4cc1cf8d560ee58ae23b966c32aecff139d1d48f5d306777bd58f3b,36ab4a9a2ffceeeb1e7241d89cf281540d0e78acce35f27e068187e3fe0832c8,1,canonical CSV or audit artifact
Stage 4A.7.2-R.2.1.2,final_source_v3,formal,results/data/stage4a7_2_r2_1_1/final_source_v3/formal/checkpoint_calibration.mat,3128221,815ee3ba9e1e6b3ef297c9ccb70deae713f87c54ca34ccfb336aed61c8a26626,b9e51a09f4cc1cf8d560ee58ae23b966c32aecff139d1d48f5d306777bd58f3b,36ab4a9a2ffceeeb1e7241d89cf281540d0e78acce35f27e068187e3fe0832c8,1,canonical compact checkpoint or summary; historical large artifacts remain read-only
Stage 4A.7.2-R.2.1.2,final_source_v3,formal,results/data/stage4a7_2_r2_1_1/final_source_v3/formal/checkpoint_development.mat,236488,8eb41b399252bcf9aa0bdb746673c7a59ba727ed1f0a23d91682a04fcdebbeba,b9e51a09f4cc1cf8d560ee58ae23b966c32aecff139d1d48f5d306777bd58f3b,36ab4a9a2ffceeeb1e7241d89cf281540d0e78acce35f27e068187e3fe0832c8,1,canonical compact checkpoint or summary; historical large artifacts remain read-only
Stage 4A.7.2-R.2.1.2,final_source_v3,formal,results/data/stage4a7_2_r2_1_1/final_source_v3/formal/checkpoint_identity.mat,18243930,b7ee7d06f0fb5c35f779011b6c638be94b1f98ec68254df3576922e778ccadb2,b9e51a09f4cc1cf8d560ee58ae23b966c32aecff139d1d48f5d306777bd58f3b,36ab4a9a2ffceeeb1e7241d89cf281540d0e78acce35f27e068187e3fe0832c8,1,canonical compact checkpoint or summary; historical large artifacts remain read-only
Stage 4A.7.2-R.2.1.2,final_source_v3,formal,results/data/stage4a7_2_r2_1_1/final_source_v3/formal/checkpoint_pilot.mat,157530,2170a1c21ceac4423fd4ea5919785a2a29546278b8318b995ec2f67cbbab7b97,b9e51a09f4cc1cf8d560ee58ae23b966c32aecff139d1d48f5d306777bd58f3b,36ab4a9a2ffceeeb1e7241d89cf281540d0e78acce35f27e068187e3fe0832c8,1,canonical compact checkpoint or summary; historical large artifacts remain read-only
Stage 4A.7.2-R.2.1.2,final_source_v3,formal,results/data/stage4a7_2_r2_1_1/final_source_v3/formal/configuration_manifest.csv,964,3f665e6b2d97a39120aacafe1aa661af35a30c350cc02a5b58fc053b73038008,b9e51a09f4cc1cf8d560ee58ae23b966c32aecff139d1d48f5d306777bd58f3b,36ab4a9a2ffceeeb1e7241d89cf281540d0e78acce35f27e068187e3fe0832c8,1,canonical CSV or audit artifact
Stage 4A.7.2-R.2.1.2,final_source_v3,formal,results/data/stage4a7_2_r2_1_1/final_source_v3/formal/corruption_manifest.csv,826,a0f5ac660f9b26bf4ab2614f5a686c85b6f7405d0cfbb1399a45c03abbd2a4c8,b9e51a09f4cc1cf8d560ee58ae23b966c32aecff139d1d48f5d306777bd58f3b,36ab4a9a2ffceeeb1e7241d89cf281540d0e78acce35f27e068187e3fe0832c8,1,canonical CSV or audit artifact
Stage 4A.7.2-R.2.1.2,final_source_v3,formal,results/data/stage4a7_2_r2_1_1/final_source_v3/formal/deployment_audit.csv,246,31163894aaf7a1931cda87031d0ed4a8df92ea6048303968d83817aeacd6c395,b9e51a09f4cc1cf8d560ee58ae23b966c32aecff139d1d48f5d306777bd58f3b,36ab4a9a2ffceeeb1e7241d89cf281540d0e78acce35f27e068187e3fe0832c8,1,canonical CSV or audit artifact
Stage 4A.7.2-R.2.1.2,final_source_v3,formal,results/data/stage4a7_2_r2_1_1/final_source_v3/formal/external_data_manifest.csv,1574,f537d9a50c73c382b4fdee9c016d5037e561d3fa30d02098d5312bb996ef82ac,b9e51a09f4cc1cf8d560ee58ae23b966c32aecff139d1d48f5d306777bd58f3b,36ab4a9a2ffceeeb1e7241d89cf281540d0e78acce35f27e068187e3fe0832c8,1,canonical CSV or audit artifact
Stage 4A.7.2-R.2.1.2,final_source_v3,formal,results/data/stage4a7_2_r2_1_1/final_source_v3/formal/identity_manifest.csv,611,438d4fd0ea685933448837caf339fa7386baa057ed7ff70303d1b99363f664de,b9e51a09f4cc1cf8d560ee58ae23b966c32aecff139d1d48f5d306777bd58f3b,36ab4a9a2ffceeeb1e7241d89cf281540d0e78acce35f27e068187e3fe0832c8,1,canonical CSV or audit artifact
Stage 4A.7.2-R.2.1.2,final_source_v3,formal,results/data/stage4a7_2_r2_1_1/final_source_v3/formal/independence_audit.csv,972,dc6b77fd5a2184e2501f29ff86541c5f292d2d017fb8cf63facf714d9a03ccb2,b9e51a09f4cc1cf8d560ee58ae23b966c32aecff139d1d48f5d306777bd58f3b,36ab4a9a2ffceeeb1e7241d89cf281540d0e78acce35f27e068187e3fe0832c8,1,canonical CSV or audit artifact
Stage 4A.7.2-R.2.1.2,final_source_v3,formal,results/data/stage4a7_2_r2_1_1/final_source_v3/formal/ledger_corruption_audit.csv,744,781aadbe6730a42cd8e84b0e7abc4dc690847ed59bce2c0cb3fa2986dc7096a8,b9e51a09f4cc1cf8d560ee58ae23b966c32aecff139d1d48f5d306777bd58f3b,36ab4a9a2ffceeeb1e7241d89cf281540d0e78acce35f27e068187e3fe0832c8,1,canonical CSV or audit artifact
Stage 4A.7.2-R.2.1.2,final_source_v3,formal,results/data/stage4a7_2_r2_1_1/final_source_v3/formal/method_selection.csv,1193,5d00b3d2132a94f4564d3c04624bf7f0c1ea3cd8d2dcddfdf9fe2df8c0d0b8a4,b9e51a09f4cc1cf8d560ee58ae23b966c32aecff139d1d48f5d306777bd58f3b,36ab4a9a2ffceeeb1e7241d89cf281540d0e78acce35f27e068187e3fe0832c8,1,canonical CSV or audit artifact
Stage 4A.7.2-R.2.1.2,final_source_v3,formal,results/data/stage4a7_2_r2_1_1/final_source_v3/formal/method_selection_bootstrap.csv,517,f910c8f6cb37b8ec4907ad96bd674d542c9e07cbe05474dd8636254e4866086e,b9e51a09f4cc1cf8d560ee58ae23b966c32aecff139d1d48f5d306777bd58f3b,36ab4a9a2ffceeeb1e7241d89cf281540d0e78acce35f27e068187e3fe0832c8,1,canonical CSV or audit artifact
Stage 4A.7.2-R.2.1.2,final_source_v3,formal,results/data/stage4a7_2_r2_1_1/final_source_v3/formal/nearest_competitor_audit.csv,10430,ce4b3978fccc28313ab42eb46e1c293cfb6a374bde093075d898107e95c4a4db,b9e51a09f4cc1cf8d560ee58ae23b966c32aecff139d1d48f5d306777bd58f3b,36ab4a9a2ffceeeb1e7241d89cf281540d0e78acce35f27e068187e3fe0832c8,1,canonical CSV or audit artifact
Stage 4A.7.2-R.2.1.2,final_source_v3,formal,results/data/stage4a7_2_r2_1_1/final_source_v3/formal/parameter_calibration_thresholds.csv,77972,b23024e5a09db460cb6a755436d561f999c139c6d28d612e6d1a51ef672ace57,b9e51a09f4cc1cf8d560ee58ae23b966c32aecff139d1d48f5d306777bd58f3b,36ab4a9a2ffceeeb1e7241d89cf281540d0e78acce35f27e068187e3fe0832c8,1,canonical CSV or audit artifact
Stage 4A.7.2-R.2.1.2,final_source_v3,formal,results/data/stage4a7_2_r2_1_1/final_source_v3/formal/pilot_decisions.csv,73819,b4b10ce5fe53db1ec23082f653cb5d437c978921c69fb34e6a720b929dad61d4,b9e51a09f4cc1cf8d560ee58ae23b966c32aecff139d1d48f5d306777bd58f3b,36ab4a9a2ffceeeb1e7241d89cf281540d0e78acce35f27e068187e3fe0832c8,1,canonical CSV or audit artifact
Stage 4A.7.2-R.2.1.2,final_source_v3,formal,results/data/stage4a7_2_r2_1_1/final_source_v3/formal/pilot_metrics.csv,1941,bccf23e07d02feb5959f3c9299ec074796dee6fa68e457a6d59be8b27dfa1904,b9e51a09f4cc1cf8d560ee58ae23b966c32aecff139d1d48f5d306777bd58f3b,36ab4a9a2ffceeeb1e7241d89cf281540d0e78acce35f27e068187e3fe0832c8,1,canonical CSV or audit artifact
Stage 4A.7.2-R.2.1.2,final_source_v3,formal,results/data/stage4a7_2_r2_1_1/final_source_v3/formal/scenario_equivalence_audit.csv,245,b1d6bea045380587ec6f4415b42761ae07d936b4378a956c2dd1659f9de8cdd0,b9e51a09f4cc1cf8d560ee58ae23b966c32aecff139d1d48f5d306777bd58f3b,36ab4a9a2ffceeeb1e7241d89cf281540d0e78acce35f27e068187e3fe0832c8,1,canonical CSV or audit artifact
Stage 4A.7.2-R.2.1.2,final_source_v3,formal,results/data/stage4a7_2_r2_1_1/final_source_v3/formal/scenario_manifest.csv,1083122,5eca08fca78b70d790fcee7049e960ac7729534392c4d50e2a6ecae801fe9530,b9e51a09f4cc1cf8d560ee58ae23b966c32aecff139d1d48f5d306777bd58f3b,36ab4a9a2ffceeeb1e7241d89cf281540d0e78acce35f27e068187e3fe0832c8,1,canonical CSV or audit artifact
Stage 4A.7.2-R.2.1.2,final_source_v3,formal,results/data/stage4a7_2_r2_1_1/final_source_v3/formal/summary.csv,545,af35bedd86efa4ff85c17c0dd972681488e5737f4626a46b3208f1e9e21051a4,b9e51a09f4cc1cf8d560ee58ae23b966c32aecff139d1d48f5d306777bd58f3b,36ab4a9a2ffceeeb1e7241d89cf281540d0e78acce35f27e068187e3fe0832c8,1,canonical CSV or audit artifact
Stage 4A.7.2-R.2.1.2,final_source_v3,formal,results/data/stage4a7_2_r2_1_1/final_source_v3/formal/summary.mat,3709176,951d6f79f91ee15adc006c35b6cd4fb82b6aba68275cd126790149cafe0b9b95,b9e51a09f4cc1cf8d560ee58ae23b966c32aecff139d1d48f5d306777bd58f3b,36ab4a9a2ffceeeb1e7241d89cf281540d0e78acce35f27e068187e3fe0832c8,1,canonical compact checkpoint or summary; historical large artifacts remain read-only
Stage 4A.7.2-R.2.1.2,final_source_v3,paired,results/data/stage4a7_2_r2_1_1/final_source_v3/paired/configuration_manifest.csv,982,bb80a4ed5672904ac496c96ceda82137cb354d0901afc815326bf4958bde99dc,b9e51a09f4cc1cf8d560ee58ae23b966c32aecff139d1d48f5d306777bd58f3b,36ab4a9a2ffceeeb1e7241d89cf281540d0e78acce35f27e068187e3fe0832c8,1,canonical CSV or audit artifact
Stage 4A.7.2-R.2.1.2,final_source_v3,paired,results/data/stage4a7_2_r2_1_1/final_source_v3/paired/independence_audit.csv,275,b11de59ad31ec7c6f9ed0b93767473024a0e3d75ef62b989663d0349700c05e2,b9e51a09f4cc1cf8d560ee58ae23b966c32aecff139d1d48f5d306777bd58f3b,36ab4a9a2ffceeeb1e7241d89cf281540d0e78acce35f27e068187e3fe0832c8,1,canonical CSV or audit artifact
Stage 4A.7.2-R.2.1.2,final_source_v3,paired,results/data/stage4a7_2_r2_1_1/final_source_v3/paired/paired_balance_audit.csv,313,a4b64bc779d15915515262724070a75b293dfde635bd2fc58cb8807012226dbf,b9e51a09f4cc1cf8d560ee58ae23b966c32aecff139d1d48f5d306777bd58f3b,36ab4a9a2ffceeeb1e7241d89cf281540d0e78acce35f27e068187e3fe0832c8,1,canonical CSV or audit artifact
Stage 4A.7.2-R.2.1.2,final_source_v3,paired,results/data/stage4a7_2_r2_1_1/final_source_v3/paired/paired_decisions.csv,473123,2fbcd230a43c5e53dd25335b3500d6a0319ce0c5014617b0fca9e8c4bad6977b,b9e51a09f4cc1cf8d560ee58ae23b966c32aecff139d1d48f5d306777bd58f3b,36ab4a9a2ffceeeb1e7241d89cf281540d0e78acce35f27e068187e3fe0832c8,1,canonical CSV or audit artifact
Stage 4A.7.2-R.2.1.2,final_source_v3,paired,results/data/stage4a7_2_r2_1_1/final_source_v3/paired/paired_metrics.csv,8635,26d8e7a7bc22daa6cc3b410bae2499e6e6836a9c8f1ea52251a55126a53346c6,b9e51a09f4cc1cf8d560ee58ae23b966c32aecff139d1d48f5d306777bd58f3b,36ab4a9a2ffceeeb1e7241d89cf281540d0e78acce35f27e068187e3fe0832c8,1,canonical CSV or audit artifact
Stage 4A.7.2-R.2.1.2,final_source_v3,paired,results/data/stage4a7_2_r2_1_1/final_source_v3/paired/paired_metrics_by_candidate.csv,101467,fc600cd54d1c44e9cdb380fed60b7009b345e968c8281ebc69b6af361f441b5d,b9e51a09f4cc1cf8d560ee58ae23b966c32aecff139d1d48f5d306777bd58f3b,36ab4a9a2ffceeeb1e7241d89cf281540d0e78acce35f27e068187e3fe0832c8,1,canonical CSV or audit artifact
Stage 4A.7.2-R.2.1.2,final_source_v3,paired,results/data/stage4a7_2_r2_1_1/final_source_v3/paired/paired_metrics_by_category.csv,8635,26d8e7a7bc22daa6cc3b410bae2499e6e6836a9c8f1ea52251a55126a53346c6,b9e51a09f4cc1cf8d560ee58ae23b966c32aecff139d1d48f5d306777bd58f3b,36ab4a9a2ffceeeb1e7241d89cf281540d0e78acce35f27e068187e3fe0832c8,1,canonical CSV or audit artifact
