method_id,category,metric_name,numerator,denominator,rate,ci_low,ci_high,calibration_hash,scientific_hash
absolute,in_domain,coverage,21,21,1,0.845360981075153,1,3b680401eb20388b5f5144963b06d20c1322a8f2461963b3c65dc072f9d493af,4529de112934e19ea28be655771be49c9cd29ea926db1579ae209314d662025d
scaled,in_domain,coverage,21,21,1,0.845360981075153,1,3b680401eb20388b5f5144963b06d20c1322a8f2461963b3c65dc072f9d493af,4529de112934e19ea28be655771be49c9cd29ea926db1579ae209314d662025d
ratio,in_domain,coverage,21,21,1,0.845360981075153,1,3b680401eb20388b5f5144963b06d20c1322a8f2461963b3c65dc072f9d493af,4529de112934e19ea28be655771be49c9cd29ea926db1579ae209314d662025d
margin,in_domain,coverage,20,21,0.952380952380952,0.773306399258774,0.991544012190174,3b680401eb20388b5f5144963b06d20c1322a8f2461963b3c65dc072f9d493af,4529de112934e19ea28be655771be49c9cd29ea926db1579ae209314d662025d
absolute_I,in_domain,coverage,21,21,1,0.845360981075153,1,3b680401eb20388b5f5144963b06d20c1322a8f2461963b3c65dc072f9d493af,4529de112934e19ea28be655771be49c9cd29ea926db1579ae209314d662025d
absolute,in_domain,singleton_rate,21,21,1,0.845360981075153,1,3b680401eb20388b5f5144963b06d20c1322a8f2461963b3c65dc072f9d493af,4529de112934e19ea28be655771be49c9cd29ea926db1579ae209314d662025d
scaled,in_domain,singleton_rate,21,21,1,0.845360981075153,1,3b680401eb20388b5f5144963b06d20c1322a8f2461963b3c65dc072f9d493af,4529de112934e19ea28be655771be49c9cd29ea926db1579ae209314d662025d
ratio,in_domain,singleton_rate,21,21,1,0.845360981075153,1,3b680401eb20388b5f5144963b06d20c1322a8f2461963b3c65dc072f9d493af,4529de112934e19ea28be655771be49c9cd29ea926db1579ae209314d662025d
margin,in_domain,singleton_rate,16,21,0.761904761904762,0.549088263170492,0.893719869773635,3b680401eb20388b5f5144963b06d20c1322a8f2461963b3c65dc072f9d493af,4529de112934e19ea28be655771be49c9cd29ea926db1579ae209314d662025d
absolute_I,in_domain,singleton_rate,21,21,1,0.845360981075153,1,3b680401eb20388b5f5144963b06d20c1322a8f2461963b3c65dc072f9d493af,4529de112934e19ea28be655771be49c9cd29ea926db1579ae209314d662025d
absolute,in_domain,empty_set_rate,0,21,0,0,0.154639018924847,3b680401eb20388b5f5144963b06d20c1322a8f2461963b3c65dc072f9d493af,4529de112934e19ea28be655771be49c9cd29ea926db1579ae209314d662025d
scaled,in_domain,empty_set_rate,0,21,0,0,0.154639018924847,3b680401eb20388b5f5144963b06d20c1322a8f2461963b3c65dc072f9d493af,4529de112934e19ea28be655771be49c9cd29ea926db1579ae209314d662025d
ratio,in_domain,empty_set_rate,0,21,0,0,0.154639018924847,3b680401eb20388b5f5144963b06d20c1322a8f2461963b3c65dc072f9d493af,4529de112934e19ea28be655771be49c9cd29ea926db1579ae209314d662025d
