perturbation_fraction,replicate,same_theta_distance,same_theta_equivalent,tau_exact,parameter_hash,observation_hash,seed
0.001,1,1.49733856135749e-05,0,1e-10,64e191d386831f17ee3e095ac19a95bb814e970bebfdefd229f3faefe90b6aaf,c428a9b5c224788d3d53d0e34ee09376c676434d9e581ebd5f13390531129614,20262762
0.001,2,1.82789462151059e-05,0,1e-10,686f96d0bc5d4ab7fc0c7af248e2a130b8ef6466cb63d013fa4f080dd2b58977,09fb1671004d0f86037b3b66c3f044a14efeef7d789ba2fc3f96e0587f6d4fa0,20262763
0.001,3,1.49041541862922e-05,0,1e-10,2189529182765b060267b6ca78f40618f4cbc1f7ad51674f9b1a0a8259006e53,3c302e0fd208f754914319d8c13994c4db078e941ddc1e5f88785cf3dfcf2903,20262764
0.001,4,1.66514224713519e-05,0,1e-10,40734995410564de74d040bbba96ddefb3697d388c24394e36b5dfddbd8314bc,3f8a185d0e5926b33917b0301bfba1a52513d9148595607870961441a52724b9,20262765
0.001,5,1.66025882770683e-05,0,1e-10,7bc54cc1bef290e8746cfbb6e45267f81cd5de19995b20b5ab0479929eba3953,52dec9ac1b64521b626beebaa7bbcbd3e1d84a792efe5191d27f229b73fa3bb6,20262766
0.001,6,1.94341936215703e-05,0,1e-10,0bebfe599cc0a42a0429c631bd258f20e4cfe7986b298c6a4ea1c6f5d13e417b,f9609f864cacd72c20577cc155576b4f3e6ec9eeddad1f1fc0ae0c0984f2017a,20262767
0.001,7,1.44236207497967e-05,0,1e-10,bca083f8881983d20be5808eacf1a395ab95d3bfafc929e31c862261d245cfc4,2b2599fc18ed9b4770e65801ee700b1f281a527241fbde06006348401200ab7b,20262768
0.001,8,1.3982702789698e-05,0,1e-10,11255635b35b93c73224a402ab7bacbaa1909d7101b01aed576639045a27ea1e,b7423d43bbc27515cec50419cd57aea565cc23cd3e54d57397da7dd0cc3a9009,20262769
0.001,9,1.60070246163559e-05,0,1e-10,1e93eddd42d107f6db9874d6094378542be0ff8dae38b7fb27833b5e76a4410b,e012c4c12ba27458326c8ab2df0d1230d5b32cbd6a50f56c563fee669de49283,20262770
0.001,10,1.46842378686192e-05,0,1e-10,fd5d6b43aedd06fa016223a17c3c150d49d64dd131d71e31186e9c6696296ff4,6f6c6fd087d138dcb267c293eabd9668afca67a500ce1030a5f45a728683cf55,20262771
0.005,1,8.46150704670149e-05,0,1e-10,8f7fa072bac487c5e588b4696f0e1cff421ea27f291055b6a9a6c866d89fad57,03da89a987921b26a94a641e2cd3d41d3a1cebcc7b6936c0692519d34c93d4ca,20262772
0.005,2,9.22062550331229e-05,0,1e-10,5347e7c80fdf1bc03bc6d8e71b192f6b5f7635edea002f97721c392d124060d5,cbfe42630ff4b98a9e528d745fb9b13d5832b0665be63fa873921dc7cfc0ad8f,20262773
0.005,3,9.85163172187129e-05,0,1e-10,50e2865ab4e45435c632ad33dec769bac1a8a6c0f71ac8aede5a1353f7997d17,b782a99000525b9c80edbdc44a9024d8acac8d6bd5fd00b1673fd467c4a593e9,20262774
0.005,4,7.02267362469229e-05,0,1e-10,047de16ffcff8e4915fdb2428f88e03f7748b849568f0a6333d75ab4c4764d4e,e6d62b286084292ab1fe8223ce0c5752c33039b3c41ee4692c8ce46e121998d9,20262775
0.005,5,9.02898258044384e-05,0,1e-10,a3935a1703f7e7213c74bcae0ef38ba6617488fd1f56fd0cda941922dae3607f,8db7c24e74cc41997603c4a703234b0f70e5aa9614c46998fac74a3d468003e6,20262776
0.005,6,8.72763752992371e-05,0,1e-10,d1d948c8b887168a0a15d95f5b4fb0c1d7fc59c347930b221a6eaebc24d84870,913385f44fe6a1ef5563882dcadbeddd06f8e0e147ed90dd0743b5dd62be1ece,20262777
0.005,7,9.92046955948468e-05,0,1e-10,ac070d04692254383c57334c326f8fc300609030d362477fefe966b58a569997,b94d30f921639b23eee4cf1cab350ee8b75507f632bb456a516378394f399fe2,20262778
0.005,8,8.47101853525337e-05,0,1e-10,3693a22d18c5e52f42f472ef4d1ba4e0c7f3295d8181d70015ee3f387c72e0aa,ee8ebf8efb847c6cf2b99558a6426cfb8c309b0262c996ad0028bf9e208bc41c,20262779
0.005,9,0.000102133793205939,0,1e-10,55423a8d22bd19fd5adf979dff97f8c5e8f5093ef645e27d787a3bea828cb171,2352ce41241b7f2cbc94a34d6c3f27179c768b4af2aca0fd73c19b94e44dbbab,20262780
0.005,10,7.83360210560961e-05,0,1e-10,a3601192ad6ed005a7454a3035bd3ffd3be4d10d8e8ab49e9a3c52bc627d8212,867d320338ffd2f807e5eeb4906b7254061e170d0875049e128e822e08f98c69,20262781
0.01,1,0.000170613870318492,0,1e-10,1b65131bae264205c0972ae0c04d36df5e6ade8b324f1c875cf078c077acb134,a1e8de23b53953215b3041cf740657955eb5e20c9095dc5f76a2bac41534398b,20262782
0.01,2,0.000202906096910705,0,1e-10,8b4648db166558a186d6732ee71dfc59ea4b475af635fd72f783df7a2f722765,e09a101c29bbe92e43fe95500d4cf23e83dfc6065f693247c55e70ab574c5b7e,20262783
0.01,3,0.000168810999511643,0,1e-10,3c10d1a172ce464637da9bee9e562087fb49e3730c03c77001fc59850ced2a3f,2b208ee1274319576f3c397439eca22e14f912a62e771c67a8292537a94b5fef,20262784
0.01,4,0.000147567559526848,0,1e-10,450d7adaf0e27c7739f576888312eab6c8fffafd99d196fc20d0b9411bc2072c,c06523fa2e51c5951b856ef025a9d24cb631c74b5c2747872e10fea4ffce2089,20262785
0.01,5,0.00016996961153426,0,1e-10,39d540914b8f1e71632a62860f2ef4d30ce00e2e47483e3e07c81c743f879627,137ba30ccb4955e4c5c0f6056fa847416d83d549ecc78d9e2940a793da51e9cd,20262786
0.01,6,0.000148258290587594,0,1e-10,885dfeff1cfc63dea1138558b69c9e18fd1cb3cd2c7e8c4eaa2291c689f6064d,2894c3ccdb5d9e814e0b981f3a1ec8d8710f97f9e71f7d2c2ce8f0c18f6e9a6b,20262787
0.01,7,0.000159649774554553,0,1e-10,d35261f8020c939bdc95991ce4502bb6abf7d7404823742112256fb4eb0cb4bc,0899525b4fe7173ef8008b642fe1e745fb6e186a8a328e84aebccecb1bf23af7,20262788
