cluster_id,truth_set,generation_mechanism,parameter_hash,observation_hash,same_theta_distance,profile_distance,profile_equivalent,tau_exact,tau_profile,independent
stage4a7_2_nonunique_0001,"G004,G007",same_theta_symmetry_preserving_Zs_equals_Zr,f9f60245d622335566a6eecf9333d7d4ff4e7e83e74bfd0bbb23be9fd42967c2,1945d5a3ff5da6f189bc2ca2a6f11fc4482eec1d4f5fa3a306f2534a0874d0b5,1.3911430743472e-16,1.0090126585047e-16,1,1e-10,1e-08,1
stage4a7_2_nonunique_0002,"G004,G007",same_theta_symmetry_preserving_Zs_equals_Zr,4b986bfb74e9b9e9e29cd0677bbd29af4711e16f21451d02a38e704e3e56e03e,513ebf35045892b5d457b1d87d14b714edc1491c75ef68f838c93796d392d3ac,1.07737118822884e-16,7.97320310778659e-17,1,1e-10,1e-08,1
stage4a7_2_nonunique_0003,"G004,G007",same_theta_symmetry_preserving_Zs_equals_Zr,344ed4cd88e6bf82b6c3c3f3d040fffaa863197679be77e51b4198a5ae175c5e,e71723af59b3ba8c20c601c4b065c397d6553d59e2d92b506bce488ae4eac254,9.05160512992089e-17,8.29995244003041e-17,1,1e-10,1e-08,1
stage4a7_2_nonunique_0004,"G004,G007",same_theta_symmetry_preserving_Zs_equals_Zr,63b61e00bb8e109e25d57451a49de8c71112b07ec009adaba6d0849529e9b078,b1c8a26057f08ae537c77068db066a9a514ed36336400d36e0f72f57f4d9053e,1.66329784935532e-16,1.072418803452e-16,1,1e-10,1e-08,1
stage4a7_2_nonunique_0005,"G004,G007",same_theta_symmetry_preserving_Zs_equals_Zr,693b493a9376782b9ee6927a3edbf7ba9fc76ca7e95046e31b8c3579c36d4dc7,58a01664ea76a2c667436ea84c453939de9bd85c4cd794ae35d5aee5ba812219,9.68816939691644e-17,9.68816939691644e-17,1,1e-10,1e-08,1
stage4a7_2_nonunique_0006,"G004,G007",same_theta_symmetry_preserving_Zs_equals_Zr,e0253d2c26101fd70385eef96045bc152e6b69efb49e8b074b4ae53d2cb6c9b7,b89e8ccf533288fde2654ffe7719f475329a1d28cf40fc7b1e48a96edf773311,8.20004653830031e-17,8.20004653830031e-17,1,1e-10,1e-08,1
stage4a7_2_nonunique_0007,"G004,G007",same_theta_symmetry_preserving_Zs_equals_Zr,2e42c3d309320ccbecda37f44d700b5ea3d0d088d2ed296d1684b2261a159c9d,c161c16b27b97bbc6306e81d7f2693e8ab99e86e4b2ef327453093289fe76da5,1.25051865352763e-16,1.21749392537031e-16,1,1e-10,1e-08,1
stage4a7_2_nonunique_0008,"G004,G007",same_theta_symmetry_preserving_Zs_equals_Zr,856d7354709f8c387b319fcfdd5310629121d27523355ff676721c3f664ad2d7,98c94367a7f23e9b462206b0d3433947fccfbed19d91e4294e2062e2b2910b95,8.11897490400604e-17,8.11897490400604e-17,1,1e-10,1e-08,1
stage4a7_2_nonunique_0009,"G004,G007",same_theta_symmetry_preserving_Zs_equals_Zr,9aa29b223376c21ef25c126d3be10e33b86763b47ec8fb338f9baab026fe194f,4a10093d03e8b5f71d59e37ed53e0cf2d183941342f9b2a215a11f5c385bf7ab,9.90447078956831e-17,9.90447078956831e-17,1,1e-10,1e-08,1
stage4a7_2_nonunique_0010,"G004,G007",same_theta_symmetry_preserving_Zs_equals_Zr,9bde806a5aaf6b2aeadc9e49ec978ece04c7c29169f95fdd2620d80024379a60,5360630b07cdd1c0dd6a7a47bb5ec20f4fedcd19d69cb96a4b23ae71efcb597a,9.90319904654984e-17,9.90319904654984e-17,1,1e-10,1e-08,1
stage4a7_2_nonunique_0011,"G004,G007",same_theta_symmetry_preserving_Zs_equals_Zr,b31f6a9c3d724fdec21ceb023a891406377be3a49863e854ec33f14e6cc42237,0606a09a5e4d8736c1f23957d266023135ec6263bebbce7658ed73fc23daa8d6,1.12257816784157e-16,1.0033123666186e-16,1,1e-10,1e-08,1
stage4a7_2_nonunique_0012,"G004,G007",same_theta_symmetry_preserving_Zs_equals_Zr,a03fd1e3ac3ff539608b316196edf68c7930203ecfa8e5ae4c8ee60bf430cd81,e30d3b7f0ddcecb9a1205afa040cba494071ca01c7178c6001796e7a451ee2b8,7.59743660360754e-17,7.59743660360754e-17,1,1e-10,1e-08,1
stage4a7_2_nonunique_0013,"G004,G007",same_theta_symmetry_preserving_Zs_equals_Zr,53c09cf3988c8c78a755202a5ddd9c1c698b33db31c743cb613a68a59c3667ac,5bac5312eb64047542ef5a0e1d43c70de86e45bc9da890e49db23141a11a2a8f,1.33384828405986e-16,8.96406267877634e-17,1,1e-10,1e-08,1
stage4a7_2_nonunique_0014,"G004,G007",same_theta_symmetry_preserving_Zs_equals_Zr,0e33b30b5e01675268a0a1031b77e27f91348db57b1428c6dccbbbb26dada02c,f1d5bfe5fe62af5864f16478e566c667f3c400f32f5ec38b67ac8ea80aeef5eb,1.02985300718282e-16,9.90691458388263e-17,1,1e-10,1e-08,1
stage4a7_2_nonunique_0015,"G004,G007",same_theta_symmetry_preserving_Zs_equals_Zr,6bfcb1eca05ba3f28855c30d528f1a0b9821243c8abf6deeb5d86c67387d174b,90aa1dc566aa978972a95578d6dd44c8ff26b82b656e3fc8830538980f67029c,9.08344163872791e-17,8.01367715558767e-17,1,1e-10,1e-08,1
stage4a7_2_nonunique_0016,"G004,G007",same_theta_symmetry_preserving_Zs_equals_Zr,57b41b8b53723b3b59fdc67240a9f5b2b64335753e97580618f087f9a5fe138e,9660ae3c0657498f2fd0af1d9effc730ba24280e8c8bae00ab6985cf0146dd2e,7.20376118843533e-17,6.90526658412238e-17,1,1e-10,1e-08,1
stage4a7_2_nonunique_0017,"G004,G007",same_theta_symmetry_preserving_Zs_equals_Zr,3b7b8476705092ac45b1140b330d877a328807d0ec828fd8142689e5470bf401,dbf1d37202147444521220bdddb97baf4928a059c6be643de7a4f33cc15d9df5,8.43158812963162e-17,7.44610530640262e-17,1,1e-10,1e-08,1
stage4a7_2_nonunique_0018,"G004,G007",same_theta_symmetry_preserving_Zs_equals_Zr,8df8625dacbd6ac6ac691eff73093933ee9c40205768cd3ee51174c733e877da,057bd0d258bdfdbde0699c0b2e72b7f52ea6cb520424aabb43cc2f386d0a998d,1.00328302783426e-16,8.37450033116502e-17,1,1e-10,1e-08,1
