sample_id,physical_scenario_id,split,category,truth_topology_id,truth_set,truth_index,parameter_vector_hash,noiseless_cfr_hash,observation_hash,case_seed,scientific_hash
stage4a7_2_development_in_domain_01_01,stage4a7_2_development_in_domain_01_01,development,in_domain,G001,G001,1,3a24e51cfcfc9a3d97226fb9dbf28f8913196acf61644c0e3f43ec6492a3fb05,8b66ee131d975e712ab565d452ffa5b61986e5b7287b9efd2690edd1a6ee16e9,8b66ee131d975e712ab565d452ffa5b61986e5b7287b9efd2690edd1a6ee16e9,20263721,4529de112934e19ea28be655771be49c9cd29ea926db1579ae209314d662025d
stage4a7_2_development_in_domain_01_02,stage4a7_2_development_in_domain_01_02,development,in_domain,G001,G001,1,e249b3c87aec86ce58fd560823c694eb956e345580bd7fc502976729dd758b85,c88f6673b924b7f4d8aee233ce79c7347fa71e12552fc0cf4f2cf50e1c833155,c88f6673b924b7f4d8aee233ce79c7347fa71e12552fc0cf4f2cf50e1c833155,20263722,4529de112934e19ea28be655771be49c9cd29ea926db1579ae209314d662025d
stage4a7_2_development_in_domain_01_03,stage4a7_2_development_in_domain_01_03,development,in_domain,G001,G001,1,add03651e064b528c4e41120437b41c4c4a8851e1648d99edb4ac41123dbeae9,071051629dc23f2fa57bd87aa40b571b6c1d438a9190c1be363737a005e96cf5,071051629dc23f2fa57bd87aa40b571b6c1d438a9190c1be363737a005e96cf5,20263723,4529de112934e19ea28be655771be49c9cd29ea926db1579ae209314d662025d
stage4a7_2_development_in_domain_01_04,stage4a7_2_development_in_domain_01_04,development,in_domain,G001,G001,1,947964a1b4e6e61594e384724c6f06db23433bac333b09979c26a015de6b673c,359cd99bedd293864fc3a1ac70efce0dc1125181bed5d1024e2b7c5793257bfc,359cd99bedd293864fc3a1ac70efce0dc1125181bed5d1024e2b7c5793257bfc,20263724,4529de112934e19ea28be655771be49c9cd29ea926db1579ae209314d662025d
stage4a7_2_development_in_domain_01_05,stage4a7_2_development_in_domain_01_05,development,in_domain,G001,G001,1,1964123c5b6ad71d2aff79eb598f59534a4ad8e0da2c5d68def7124a8c17e85a,d432ce01f9083dac2661055731de723a1b2394793338661e504e9144b005de6d,d432ce01f9083dac2661055731de723a1b2394793338661e504e9144b005de6d,20263725,4529de112934e19ea28be655771be49c9cd29ea926db1579ae209314d662025d
stage4a7_2_development_in_domain_01_06,stage4a7_2_development_in_domain_01_06,development,in_domain,G001,G001,1,6aa8aac648049803d209405db49b02e7dca55503a6d9852cce6176983a9c1fca,015dec4a12dd0e67ff21697e98eb8c9a5638b5d4a322a20d46ae676c6743b659,015dec4a12dd0e67ff21697e98eb8c9a5638b5d4a322a20d46ae676c6743b659,20263726,4529de112934e19ea28be655771be49c9cd29ea926db1579ae209314d662025d
stage4a7_2_development_in_domain_01_07,stage4a7_2_development_in_domain_01_07,development,in_domain,G001,G001,1,2930f94ce653e938493938266583386c748fea2a04766980cc237ca9143dfbf6,389eec38a7426d738d05dbc3dea3b5031df51b345b3033431278fc226d9dbf41,389eec38a7426d738d05dbc3dea3b5031df51b345b3033431278fc226d9dbf41,20263727,4529de112934e19ea28be655771be49c9cd29ea926db1579ae209314d662025d
stage4a7_2_development_in_domain_01_08,stage4a7_2_development_in_domain_01_08,development,in_domain,G001,G001,1,6d2eff6f5ae2e505d8b1f195c572007a3b89769dfaeb0c72deddd0f1824610eb,f4f03857697cc21048a2cc9f29f7321f7ad4b2347224dec59c195aa30610b9a3,f4f03857697cc21048a2cc9f29f7321f7ad4b2347224dec59c195aa30610b9a3,20263728,4529de112934e19ea28be655771be49c9cd29ea926db1579ae209314d662025d
stage4a7_2_development_in_domain_01_09,stage4a7_2_development_in_domain_01_09,development,in_domain,G001,G001,1,e5cb728a8c6d577c26d4727d349bc489d9c22687c731042d527a46229105b1cb,40bd42b23a6f5a862a71b2ee43937e6d05a6869895d0a7d845926a2047c9670d,40bd42b23a6f5a862a71b2ee43937e6d05a6869895d0a7d845926a2047c9670d,20263729,4529de112934e19ea28be655771be49c9cd29ea926db1579ae209314d662025d
stage4a7_2_development_in_domain_01_10,stage4a7_2_development_in_domain_01_10,development,in_domain,G001,G001,1,b5d1916e5f1979e255e0fa6c891a54c45eea5e9b1af037597a0046f77ba024e2,11a4d448ac003fd5703ed3e065422def45ccbfd877ddc1f8cd53181818ed3664,11a4d448ac003fd5703ed3e065422def45ccbfd877ddc1f8cd53181818ed3664,20263730,4529de112934e19ea28be655771be49c9cd29ea926db1579ae209314d662025d
stage4a7_2_development_in_domain_02_01,stage4a7_2_development_in_domain_02_01,development,in_domain,G002,G002,2,eca8f0e76b161b9c81537fb19679756e0bd00001eb5347fdb3db46e5afdf9b97,f4f482b95dbf440a40f0604f4fdec654363ca243382d448b3ed0de96687f5ff9,f4f482b95dbf440a40f0604f4fdec654363ca243382d448b3ed0de96687f5ff9,20264730,4529de112934e19ea28be655771be49c9cd29ea926db1579ae209314d662025d
stage4a7_2_development_in_domain_02_02,stage4a7_2_development_in_domain_02_02,development,in_domain,G002,G002,2,8c2437a165d903f3dbf6e0ad6a6e020520952fc0b5ebb0106e7bb953d3e80855,f7868efc767fc75b6025ca5302499ecadc59cfdba8ea4c4c4f5161b09363a565,f7868efc767fc75b6025ca5302499ecadc59cfdba8ea4c4c4f5161b09363a565,20264731,4529de112934e19ea28be655771be49c9cd29ea926db1579ae209314d662025d
stage4a7_2_development_in_domain_02_03,stage4a7_2_development_in_domain_02_03,development,in_domain,G002,G002,2,7c3a7b8435bf4fe2472d929713f5ca26d75ab1d7a11cff9f669d5c8008321e65,48560b726c378af9c070a463f3b463c85ff02fa9a4f89eb22892020e94133cb0,48560b726c378af9c070a463f3b463c85ff02fa9a4f89eb22892020e94133cb0,20264732,4529de112934e19ea28be655771be49c9cd29ea926db1579ae209314d662025d
stage4a7_2_development_in_domain_02_04,stage4a7_2_development_in_domain_02_04,development,in_domain,G002,G002,2,15977cbfc26a15f1c856ddd4193da25d915816d2acda579b45ed3afcfeb9c6af,55c29953f06ac4ef6cfdcea0b68863cc225e14d24e9f0618b6302e816c1ab46d,55c29953f06ac4ef6cfdcea0b68863cc225e14d24e9f0618b6302e816c1ab46d,20264733,4529de112934e19ea28be655771be49c9cd29ea926db1579ae209314d662025d
stage4a7_2_development_in_domain_02_05,stage4a7_2_development_in_domain_02_05,development,in_domain,G002,G002,2,318b3bb779f36d67f6fe593c42eecd1de1a54910547f5c641c1c68e254849441,7b5b7563f41c68b9c97ddfacf2eca88ef16bffc268a385b66b05216da33c69af,7b5b7563f41c68b9c97ddfacf2eca88ef16bffc268a385b66b05216da33c69af,20264734,4529de112934e19ea28be655771be49c9cd29ea926db1579ae209314d662025d
stage4a7_2_development_in_domain_02_06,stage4a7_2_development_in_domain_02_06,development,in_domain,G002,G002,2,777fcc55a12a712d467250713b2a5446ef25e3e8bc0fc65de95d7140e0897878,bc7a00a4dc2cb4edf9c12d4402e428e406a49678e757cacb1d640d0b662083ed,bc7a00a4dc2cb4edf9c12d4402e428e406a49678e757cacb1d640d0b662083ed,20264735,4529de112934e19ea28be655771be49c9cd29ea926db1579ae209314d662025d
stage4a7_2_development_in_domain_02_07,stage4a7_2_development_in_domain_02_07,development,in_domain,G002,G002,2,ef9fbb6edb7a39bd9998cb0303fd6042bcd87141dd2c9b773a4554d77bf7e5ee,9bc5ec49c14bb3b68e0b940fdf44d77977eb8d8b1e786308ba8d9eee7adf56a1,9bc5ec49c14bb3b68e0b940fdf44d77977eb8d8b1e786308ba8d9eee7adf56a1,20264736,4529de112934e19ea28be655771be49c9cd29ea926db1579ae209314d662025d
stage4a7_2_development_in_domain_02_08,stage4a7_2_development_in_domain_02_08,development,in_domain,G002,G002,2,812b2a58c437e99ede3578a1128a8fb6a21c5079a6a756829dde85665c513503,b0d96a0913244414825847523a888f412cc7f63cfef9a3395410aff298bae3e4,b0d96a0913244414825847523a888f412cc7f63cfef9a3395410aff298bae3e4,20264737,4529de112934e19ea28be655771be49c9cd29ea926db1579ae209314d662025d
stage4a7_2_development_in_domain_02_09,stage4a7_2_development_in_domain_02_09,development,in_domain,G002,G002,2,96716ac8ca531ebbce4463345ea7416cd554c2c617575eb2554406c2e2389946,7fbcc4cddf59bc0f5129aef51cec378068d78f9fd9482c3b918ab9a33828fd2c,7fbcc4cddf59bc0f5129aef51cec378068d78f9fd9482c3b918ab9a33828fd2c,20264738,4529de112934e19ea28be655771be49c9cd29ea926db1579ae209314d662025d
stage4a7_2_development_in_domain_02_10,stage4a7_2_development_in_domain_02_10,development,in_domain,G002,G002,2,56e7a5aed335d44cc1e65cc945711d2c98ca06670ede30ecf5bccaf113dc2030,7721ca92f285b05568967ec9c618182cf478575f2c9c6c7a994c91e4f13d149e,7721ca92f285b05568967ec9c618182cf478575f2c9c6c7a994c91e4f13d149e,20264739,4529de112934e19ea28be655771be49c9cd29ea926db1579ae209314d662025d
stage4a7_2_development_in_domain_03_01,stage4a7_2_development_in_domain_03_01,development,in_domain,G003,G003,3,a2df9cb9a9b2d076eefbd0dc9916e97817e50baa354c43737114b5558f40522a,7054f053977e28f266e156945b3a1d5efd42c210ccb182e9f57f503819190610,7054f053977e28f266e156945b3a1d5efd42c210ccb182e9f57f503819190610,20265739,4529de112934e19ea28be655771be49c9cd29ea926db1579ae209314d662025d
stage4a7_2_development_in_domain_03_02,stage4a7_2_development_in_domain_03_02,development,in_domain,G003,G003,3,8f6eb6bbc705d8b43d13cad4f964433750eb7efbbf452e22a23f900e20fbd143,40e1a7c228becf5c81578a13b772f591fb65c98b560030fc51bc97bce79813ca,40e1a7c228becf5c81578a13b772f591fb65c98b560030fc51bc97bce79813ca,20265740,4529de112934e19ea28be655771be49c9cd29ea926db1579ae209314d662025d
stage4a7_2_development_in_domain_03_03,stage4a7_2_development_in_domain_03_03,development,in_domain,G003,G003,3,d2d6fa1c98819ccc31f91d7df5c3482616c86b74940ae030eba3855ab981675f,66a671da8a062d11f4f1744ec4d1b355bd357f5ef5bd2640bd059ebeb0b06a57,66a671da8a062d11f4f1744ec4d1b355bd357f5ef5bd2640bd059ebeb0b06a57,20265741,4529de112934e19ea28be655771be49c9cd29ea926db1579ae209314d662025d
