sample_id,paired_case_id,split,category,candidate_id,truth_topology_id,case_seed,main_length_scale,parameter_domain_truth,parameter_vector_hash,noiseless_cfr_hash,observation_hash
r73_development_in_domain_C001_R01,development_C001_R01,development,in_domain,R21C_001,R21C_001,1709017994,1.00540269855095,in_parameter_domain,4cc001a382bfe495cd984fe7e47163c72bf1170af90f1703903e5fdcb674e6d1,ec125e425664e8dcf81f09bfa5b1057dc2fb4c42bfff1bb40bd75726b1e2ef9f,0549719283018631160883ec60b148ad8c31476dee89c4e747db075041ec4862
r73_development_medium_lower_ood_C001_R01,development_C001_R01,development,medium_lower_ood,R21C_001,R21C_001,1709017994,0.75,out_of_parameter_domain,1ea24924225b19028084f45852c5f6d7ce6d1bb424fc5f5b4fc16aaea4d40f12,4bfe0ecab0e6ca096e6ec46d51af9c800bde42e9086dc4e306393bbd7e2ba478,b3c75afe09f57a3e1b2dbe831f44c4345eae81e09aae634fb1b02771f52b1d7a
r73_development_medium_upper_ood_C001_R01,development_C001_R01,development,medium_upper_ood,R21C_001,R21C_001,1709017994,1.3,out_of_parameter_domain,dd3659ce1a3a5ed99a70105b40ec82ca4e05b992bddc52d0cab4112ae4db6b87,d2a4744d5da5b4d59b75490f2d5280f32eecfc6a05057fa5b48a9d2cb0496167,f5937513d640895519869a55e1ee196a8a27168cfe305f49c5d1ad0295888790
r73_development_in_domain_C002_R01,development_C002_R01,development,in_domain,R21C_002,R21C_002,1360793215,0.969108606352884,in_parameter_domain,e891fe6c1cae68cba57b66d3c8f433f1c2fa0f5fd3f10b2cbb46868d1dc72402,ba9614d16f8ecab75881180b29f788066768671cc136b533a0fd49bc819e00e9,e8969fb20dce5c53cd0a4731848dbc2a72b1ed75596caa776f7a3938b7ea8f6a
r73_development_medium_lower_ood_C002_R01,development_C002_R01,development,medium_lower_ood,R21C_002,R21C_002,1360793215,0.75,out_of_parameter_domain,94724b4e573a0a31d99ef464ab8fd2b855c99a1938a9631b6f950f6ca7fe1d5c,36fe5dc87616585433364f01bc8b18c63e3a24691a399799c3e808e5f5838d85,bce311cd83d5ab9041108b826f4345b5907807bc213ce4fe2c1f89e596de552b
r73_development_medium_upper_ood_C002_R01,development_C002_R01,development,medium_upper_ood,R21C_002,R21C_002,1360793215,1.3,out_of_parameter_domain,48e9733fc5917909b3a4aede834e146f57db270c67127b0c62c18a71bc2b6fe4,985efb4849f7fc42ebec5e1f525f4df182afe31ca656225895e0f8b4387adf6d,4f3e24adc2bc42b782c175174b3cdb98b6b01d9217c8a1339e5bfd66bddc3ff6
r73_development_in_domain_C003_R01,development_C003_R01,development,in_domain,R21C_003,R21C_003,1277461988,0.958762638343742,in_parameter_domain,fb95b6e0913cfff9a76bab1fb24a2b63906d5e350719044da763bc9c3c66380d,47d1c5a13a17e44255cfbbf39eb41362899b3c8f7d2e90340ad7b63d9a8434bd,aee7d8e453558303a5a75e08a1d0eabd6253bc65c9f176c6642cb5b3182d0e98
r73_development_medium_lower_ood_C003_R01,development_C003_R01,development,medium_lower_ood,R21C_003,R21C_003,1277461988,0.75,out_of_parameter_domain,9a9c9b5476a116cb39bae3445b33bb06b16b8163a541a9685f92000c08d3b0c4,e94e9e1ff00610bc63e8b47edb70e26547ff81d871bc1c9545655005fb6459aa,0a30b3c120e9ea2c6dde1c5ac1b796710d11ce3c5ff66393d1478eae571f8f81
r73_development_medium_upper_ood_C003_R01,development_C003_R01,development,medium_upper_ood,R21C_003,R21C_003,1277461988,1.3,out_of_parameter_domain,7e1b579e76350b25d369512142cfa840bb91705119455913100d3487bc9177f7,d2be79e89432be44e4217b9c35b2327c18d47257cdc186dd433b50372277f065,13bafc51aa4a628e1d005a2bd2bf4aaae325da6d7bdcd236bed84ae5353ff3b4
r73_development_in_domain_C004_R01,development_C004_R01,development,in_domain,R21C_004,R21C_004,805247637,1.04639429691676,in_parameter_domain,ea4cdd517a9c4135fab7852301de6c8b1fa9d523174676d7643aae2d9b566246,91426314fd588001b17df919b8a23e1aaf7079038f197e2db7a25e264abc4cb6,43dfa3005f40ae57a838967dec5e83c8591df284d4b005cae0f3ce8754b9bd62
