sample_id,paired_case_id,split,category,candidate_id,truth_topology_id,case_seed,main_length_scale,parameter_domain_truth,parameter_vector_hash,noiseless_cfr_hash,observation_hash,stage,mode,git_head_at_run,git_branch_at_run,git_dirty_at_run,source_tree_hash,configuration_hash,matlab_version,platform,computer_arch,use_parallel,worker_count,run_command,start_time_utc,runtime_environment_hash,experiment_hash,end_time_utc,runtime_s,selected_method,domain_calibration_hash,frozen_topology_experiment_hash,frozen_topology_calibration_hash
r73_development_in_domain_C001_R01,development_C001_R01,development,in_domain,R21C_001,R21C_001,1709017994,1.00540269855095,in_parameter_domain,4cc001a382bfe495cd984fe7e47163c72bf1170af90f1703903e5fdcb674e6d1,ec125e425664e8dcf81f09bfa5b1057dc2fb4c42bfff1bb40bd75726b1e2ef9f,0549719283018631160883ec60b148ad8c31476dee89c4e747db075041ec4862,Stage 4A Freeze-R.1,formal,0a3f215400ce715684eb98cdce75ccbda7301b84,main,1,1d2a5ade681a6f79e6045da6f1441fc08d1b37261a7decfaf510b6b764a97576,5b3c9a914e70cd1472a611ad784ca51d2af269f307ec4c3c53cc40c7f4d2931b,24.1.0.2537033 (R2024a),GLNXA64,glnxa64,0,1,"run_stage4_freeze_r1(pwd,'formal')",2026-09-09T12:56:33.685Z,8313f3a14914316354fa22dbe4ec3d546eb572e0092c5305b62000dfdd90c16f,c35f63e2bd2189bf1b30eb0943414e5cd037c2886918c7f413299bca79c67e5c,2026-09-09T13:02:43.716Z,370.16586,profile_relative_distance,0829042b4eaa7f045282fbc9fe08c209fd5c7d2b1197539791792966f906954c,36ab4a9a2ffceeeb1e7241d89cf281540d0e78acce35f27e068187e3fe0832c8,1535f33c75884c347c812f61aa056635072181ac37a47ce44ebfb1afc16ea87b
r73_development_medium_lower_ood_C001_R01,development_C001_R01,development,medium_lower_ood,R21C_001,R21C_001,1709017994,0.75,out_of_parameter_domain,1ea24924225b19028084f45852c5f6d7ce6d1bb424fc5f5b4fc16aaea4d40f12,4bfe0ecab0e6ca096e6ec46d51af9c800bde42e9086dc4e306393bbd7e2ba478,b3c75afe09f57a3e1b2dbe831f44c4345eae81e09aae634fb1b02771f52b1d7a,Stage 4A Freeze-R.1,formal,0a3f215400ce715684eb98cdce75ccbda7301b84,main,1,1d2a5ade681a6f79e6045da6f1441fc08d1b37261a7decfaf510b6b764a97576,5b3c9a914e70cd1472a611ad784ca51d2af269f307ec4c3c53cc40c7f4d2931b,24.1.0.2537033 (R2024a),GLNXA64,glnxa64,0,1,"run_stage4_freeze_r1(pwd,'formal')",2026-09-09T12:56:33.685Z,8313f3a14914316354fa22dbe4ec3d546eb572e0092c5305b62000dfdd90c16f,c35f63e2bd2189bf1b30eb0943414e5cd037c2886918c7f413299bca79c67e5c,2026-09-09T13:02:43.716Z,370.16586,profile_relative_distance,0829042b4eaa7f045282fbc9fe08c209fd5c7d2b1197539791792966f906954c,36ab4a9a2ffceeeb1e7241d89cf281540d0e78acce35f27e068187e3fe0832c8,1535f33c75884c347c812f61aa056635072181ac37a47ce44ebfb1afc16ea87b
r73_development_medium_upper_ood_C001_R01,development_C001_R01,development,medium_upper_ood,R21C_001,R21C_001,1709017994,1.3,out_of_parameter_domain,dd3659ce1a3a5ed99a70105b40ec82ca4e05b992bddc52d0cab4112ae4db6b87,d2a4744d5da5b4d59b75490f2d5280f32eecfc6a05057fa5b48a9d2cb0496167,f5937513d640895519869a55e1ee196a8a27168cfe305f49c5d1ad0295888790,Stage 4A Freeze-R.1,formal,0a3f215400ce715684eb98cdce75ccbda7301b84,main,1,1d2a5ade681a6f79e6045da6f1441fc08d1b37261a7decfaf510b6b764a97576,5b3c9a914e70cd1472a611ad784ca51d2af269f307ec4c3c53cc40c7f4d2931b,24.1.0.2537033 (R2024a),GLNXA64,glnxa64,0,1,"run_stage4_freeze_r1(pwd,'formal')",2026-09-09T12:56:33.685Z,8313f3a14914316354fa22dbe4ec3d546eb572e0092c5305b62000dfdd90c16f,c35f63e2bd2189bf1b30eb0943414e5cd037c2886918c7f413299bca79c67e5c,2026-09-09T13:02:43.716Z,370.16586,profile_relative_distance,0829042b4eaa7f045282fbc9fe08c209fd5c7d2b1197539791792966f906954c,36ab4a9a2ffceeeb1e7241d89cf281540d0e78acce35f27e068187e3fe0832c8,1535f33c75884c347c812f61aa056635072181ac37a47ce44ebfb1afc16ea87b
r73_development_in_domain_C001_R02,development_C001_R02,development,in_domain,R21C_001,R21C_001,1759350851,1.0189572908206,in_parameter_domain,8b5c1ad2339815c506745dede8a0d7c9e5b55a0f39d46a92a17761688f7c524c,4abe6c5e33c8ebf6b08080b4fd5a60678f3c493083e353a02929863865df661a,4f9b088fe94fb65b0a3ae57d6e4e5c9c34e82583e5e4fc979e9edb215ad93f22,Stage 4A Freeze-R.1,formal,0a3f215400ce715684eb98cdce75ccbda7301b84,main,1,1d2a5ade681a6f79e6045da6f1441fc08d1b37261a7decfaf510b6b764a97576,5b3c9a914e70cd1472a611ad784ca51d2af269f307ec4c3c53cc40c7f4d2931b,24.1.0.2537033 (R2024a),GLNXA64,glnxa64,0,1,"run_stage4_freeze_r1(pwd,'formal')",2026-09-09T12:56:33.685Z,8313f3a14914316354fa22dbe4ec3d546eb572e0092c5305b62000dfdd90c16f,c35f63e2bd2189bf1b30eb0943414e5cd037c2886918c7f413299bca79c67e5c,2026-09-09T13:02:43.716Z,370.16586,profile_relative_distance,0829042b4eaa7f045282fbc9fe08c209fd5c7d2b1197539791792966f906954c,36ab4a9a2ffceeeb1e7241d89cf281540d0e78acce35f27e068187e3fe0832c8,1535f33c75884c347c812f61aa056635072181ac37a47ce44ebfb1afc16ea87b
r73_development_medium_lower_ood_C001_R02,development_C001_R02,development,medium_lower_ood,R21C_001,R21C_001,1759350851,0.75,out_of_parameter_domain,17ae99c08baa8e82adbac252b82adee165347151a8fb88380e95939f85531f16,5a15278bbb3a35e8dbcbd74d94d979eb535cde570f295fa140980496c29c8503,d5ad385e67042d3d20bbd3cb82c27f3532983c833086848a46f3e92dbcd3de2b,Stage 4A Freeze-R.1,formal,0a3f215400ce715684eb98cdce75ccbda7301b84,main,1,1d2a5ade681a6f79e6045da6f1441fc08d1b37261a7decfaf510b6b764a97576,5b3c9a914e70cd1472a611ad784ca51d2af269f307ec4c3c53cc40c7f4d2931b,24.1.0.2537033 (R2024a),GLNXA64,glnxa64,0,1,"run_stage4_freeze_r1(pwd,'formal')",2026-09-09T12:56:33.685Z,8313f3a14914316354fa22dbe4ec3d546eb572e0092c5305b62000dfdd90c16f,c35f63e2bd2189bf1b30eb0943414e5cd037c2886918c7f413299bca79c67e5c,2026-09-09T13:02:43.716Z,370.16586,profile_relative_distance,0829042b4eaa7f045282fbc9fe08c209fd5c7d2b1197539791792966f906954c,36ab4a9a2ffceeeb1e7241d89cf281540d0e78acce35f27e068187e3fe0832c8,1535f33c75884c347c812f61aa056635072181ac37a47ce44ebfb1afc16ea87b
r73_development_medium_upper_ood_C001_R02,development_C001_R02,development,medium_upper_ood,R21C_001,R21C_001,1759350851,1.3,out_of_parameter_domain,a9e103ac93f2dd64d249d2783bffc2a662678a62a2c16bf07496b89de8e05883,3c4c6cc1e75064dbcefe5e2465c720590db9369cfb9ae7057d7c06f3deebd72c,3ca3453058eaf8143d47010140c41901c250ac561bd7dd50fc9d9c9e7afa3f5c,Stage 4A Freeze-R.1,formal,0a3f215400ce715684eb98cdce75ccbda7301b84,main,1,1d2a5ade681a6f79e6045da6f1441fc08d1b37261a7decfaf510b6b764a97576,5b3c9a914e70cd1472a611ad784ca51d2af269f307ec4c3c53cc40c7f4d2931b,24.1.0.2537033 (R2024a),GLNXA64,glnxa64,0,1,"run_stage4_freeze_r1(pwd,'formal')",2026-09-09T12:56:33.685Z,8313f3a14914316354fa22dbe4ec3d546eb572e0092c5305b62000dfdd90c16f,c35f63e2bd2189bf1b30eb0943414e5cd037c2886918c7f413299bca79c67e5c,2026-09-09T13:02:43.716Z,370.16586,profile_relative_distance,0829042b4eaa7f045282fbc9fe08c209fd5c7d2b1197539791792966f906954c,36ab4a9a2ffceeeb1e7241d89cf281540d0e78acce35f27e068187e3fe0832c8,1535f33c75884c347c812f61aa056635072181ac37a47ce44ebfb1afc16ea87b
r73_development_in_domain_C001_R03,development_C001_R03,development,in_domain,R21C_001,R21C_001,1742573232,1.00043357099221,in_parameter_domain,6e6f0c2b77959619491d0ce9078309b0d5e7d768d31a31788eda8ab623ba2e2d,9302d110a1ffb12636503747cdb3f73732c39e8cd5387ae7d5ca26e5b210bdc7,511cfb569682e0c34c3a24648c42c3239eedbc9b3e651d90aa24c0f7c7fcbffe,Stage 4A Freeze-R.1,formal,0a3f215400ce715684eb98cdce75ccbda7301b84,main,1,1d2a5ade681a6f79e6045da6f1441fc08d1b37261a7decfaf510b6b764a97576,5b3c9a914e70cd1472a611ad784ca51d2af269f307ec4c3c53cc40c7f4d2931b,24.1.0.2537033 (R2024a),GLNXA64,glnxa64,0,1,"run_stage4_freeze_r1(pwd,'formal')",2026-09-09T12:56:33.685Z,8313f3a14914316354fa22dbe4ec3d546eb572e0092c5305b62000dfdd90c16f,c35f63e2bd2189bf1b30eb0943414e5cd037c2886918c7f413299bca79c67e5c,2026-09-09T13:02:43.716Z,370.16586,profile_relative_distance,0829042b4eaa7f045282fbc9fe08c209fd5c7d2b1197539791792966f906954c,36ab4a9a2ffceeeb1e7241d89cf281540d0e78acce35f27e068187e3fe0832c8,1535f33c75884c347c812f61aa056635072181ac37a47ce44ebfb1afc16ea87b
r73_development_medium_lower_ood_C001_R03,development_C001_R03,development,medium_lower_ood,R21C_001,R21C_001,1742573232,0.75,out_of_parameter_domain,8610208f11f2c2024023da2e83dae1d3ead7bb41bd8adb16fa6bd546b24268d5,b3a1e553095f7b2c630e12924e8b3d0825ff128a97f2a99c7d907adbd3da6bfb,59d9828ead42ed15229d5fbcf71e7c6fb16c308829b8573483e9cfe7dac761f8,Stage 4A Freeze-R.1,formal,0a3f215400ce715684eb98cdce75ccbda7301b84,main,1,1d2a5ade681a6f79e6045da6f1441fc08d1b37261a7decfaf510b6b764a97576,5b3c9a914e70cd1472a611ad784ca51d2af269f307ec4c3c53cc40c7f4d2931b,24.1.0.2537033 (R2024a),GLNXA64,glnxa64,0,1,"run_stage4_freeze_r1(pwd,'formal')",2026-09-09T12:56:33.685Z,8313f3a14914316354fa22dbe4ec3d546eb572e0092c5305b62000dfdd90c16f,c35f63e2bd2189bf1b30eb0943414e5cd037c2886918c7f413299bca79c67e5c,2026-09-09T13:02:43.716Z,370.16586,profile_relative_distance,0829042b4eaa7f045282fbc9fe08c209fd5c7d2b1197539791792966f906954c,36ab4a9a2ffceeeb1e7241d89cf281540d0e78acce35f27e068187e3fe0832c8,1535f33c75884c347c812f61aa056635072181ac37a47ce44ebfb1afc16ea87b
r73_development_medium_upper_ood_C001_R03,development_C001_R03,development,medium_upper_ood,R21C_001,R21C_001,1742573232,1.3,out_of_parameter_domain,0abc1bca55b922f05766f2866683e773ca897fb0e4f62244fc8e02e6fffec0ba,1d852144ffe1afb17f29b3fce53d753b7612e886e44be748d3146736d814c6f4,64a185968dfc287a67963affa8f3e010b9f3fa35323ff160bddfc34e7142a07c,Stage 4A Freeze-R.1,formal,0a3f215400ce715684eb98cdce75ccbda7301b84,main,1,1d2a5ade681a6f79e6045da6f1441fc08d1b37261a7decfaf510b6b764a97576,5b3c9a914e70cd1472a611ad784ca51d2af269f307ec4c3c53cc40c7f4d2931b,24.1.0.2537033 (R2024a),GLNXA64,glnxa64,0,1,"run_stage4_freeze_r1(pwd,'formal')",2026-09-09T12:56:33.685Z,8313f3a14914316354fa22dbe4ec3d546eb572e0092c5305b62000dfdd90c16f,c35f63e2bd2189bf1b30eb0943414e5cd037c2886918c7f413299bca79c67e5c,2026-09-09T13:02:43.716Z,370.16586,profile_relative_distance,0829042b4eaa7f045282fbc9fe08c209fd5c7d2b1197539791792966f906954c,36ab4a9a2ffceeeb1e7241d89cf281540d0e78acce35f27e068187e3fe0832c8,1535f33c75884c347c812f61aa056635072181ac37a47ce44ebfb1afc16ea87b
r73_development_in_domain_C002_R01,development_C002_R01,development,in_domain,R21C_002,R21C_002,1360793215,0.969108606352884,in_parameter_domain,e891fe6c1cae68cba57b66d3c8f433f1c2fa0f5fd3f10b2cbb46868d1dc72402,ba9614d16f8ecab75881180b29f788066768671cc136b533a0fd49bc819e00e9,e8969fb20dce5c53cd0a4731848dbc2a72b1ed75596caa776f7a3938b7ea8f6a,Stage 4A Freeze-R.1,formal,0a3f215400ce715684eb98cdce75ccbda7301b84,main,1,1d2a5ade681a6f79e6045da6f1441fc08d1b37261a7decfaf510b6b764a97576,5b3c9a914e70cd1472a611ad784ca51d2af269f307ec4c3c53cc40c7f4d2931b,24.1.0.2537033 (R2024a),GLNXA64,glnxa64,0,1,"run_stage4_freeze_r1(pwd,'formal')",2026-09-09T12:56:33.685Z,8313f3a14914316354fa22dbe4ec3d546eb572e0092c5305b62000dfdd90c16f,c35f63e2bd2189bf1b30eb0943414e5cd037c2886918c7f413299bca79c67e5c,2026-09-09T13:02:43.716Z,370.16586,profile_relative_distance,0829042b4eaa7f045282fbc9fe08c209fd5c7d2b1197539791792966f906954c,36ab4a9a2ffceeeb1e7241d89cf281540d0e78acce35f27e068187e3fe0832c8,1535f33c75884c347c812f61aa056635072181ac37a47ce44ebfb1afc16ea87b
