stage,artifact,metric,canonical_value,reproduced_value,absolute_error,tolerance,match,notes
stage6a,results/data/stage6a/stage6a_candidate_generation_summary.csv,row_1.sample,existing_library:none,existing_library:none,,exact,true,ordered row and column comparison
stage6a,results/data/stage6a/stage6a_candidate_generation_summary.csv,row_1.method,existing_library,existing_library,,exact,true,ordered row and column comparison
stage6a,results/data/stage6a/stage6a_candidate_generation_summary.csv,row_1.prior_case,none,none,,exact,true,ordered row and column comparison
stage6a,results/data/stage6a/stage6a_candidate_generation_summary.csv,row_1.candidate_count,7,7,0,0,true,ordered row and column comparison
stage6a,results/data/stage6a/stage6a_candidate_generation_summary.csv,row_1.coverage,1,1,0,0,true,ordered row and column comparison
stage6a,results/data/stage6a/stage6a_candidate_generation_summary.csv,row_1.true_topology_included,1,1,0,0,true,ordered row and column comparison
stage6a,results/data/stage6a/stage6a_candidate_generation_summary.csv,row_1.reference_library_coverage,1,1,0,0,true,ordered row and column comparison
stage6a,results/data/stage6a/stage6a_candidate_generation_summary.csv,row_2.sample,stage6a_partial_prior:broad_unknown_switches,stage6a_partial_prior:broad_unknown_switches,,exact,true,ordered row and column comparison
stage6a,results/data/stage6a/stage6a_candidate_generation_summary.csv,row_2.method,stage6a_partial_prior,stage6a_partial_prior,,exact,true,ordered row and column comparison
stage6a,results/data/stage6a/stage6a_candidate_generation_summary.csv,row_2.prior_case,broad_unknown_switches,broad_unknown_switches,,exact,true,ordered row and column comparison
stage6a,results/data/stage6a/stage6a_candidate_generation_summary.csv,row_2.candidate_count,7,7,0,0,true,ordered row and column comparison
stage6a,results/data/stage6a/stage6a_candidate_generation_summary.csv,row_2.coverage,1,1,0,0,true,ordered row and column comparison
stage6a,results/data/stage6a/stage6a_candidate_generation_summary.csv,row_2.true_topology_included,1,1,0,0,true,ordered row and column comparison
stage6a,results/data/stage6a/stage6a_candidate_generation_summary.csv,row_2.reference_library_coverage,1,1,0,0,true,ordered row and column comparison
stage6a,results/data/stage6a/stage6a_candidate_generation_summary.csv,row_3.sample,stage6a_partial_prior:informative_switch_prior,stage6a_partial_prior:informative_switch_prior,,exact,true,ordered row and column comparison
stage6a,results/data/stage6a/stage6a_candidate_generation_summary.csv,row_3.method,stage6a_partial_prior,stage6a_partial_prior,,exact,true,ordered row and column comparison
stage6a,results/data/stage6a/stage6a_candidate_generation_summary.csv,row_3.prior_case,informative_switch_prior,informative_switch_prior,,exact,true,ordered row and column comparison
stage6a,results/data/stage6a/stage6a_candidate_generation_summary.csv,row_3.candidate_count,2,2,0,0,true,ordered row and column comparison
stage6a,results/data/stage6a/stage6a_candidate_generation_summary.csv,row_3.coverage,1,1,0,0,true,ordered row and column comparison
stage6a,results/data/stage6a/stage6a_candidate_generation_summary.csv,row_3.true_topology_included,1,1,0,0,true,ordered row and column comparison
stage6a,results/data/stage6a/stage6a_candidate_generation_summary.csv,row_3.reference_library_coverage,0.285714285714286,0.285714285714286,0E-15,1E-12,true,ordered row and column comparison
stage6a,results/data/stage6a/stage6a_candidate_generation_summary.csv,row_4.sample,stage6a_partial_prior:stale_switch_prior,stage6a_partial_prior:stale_switch_prior,,exact,true,ordered row and column comparison
stage6a,results/data/stage6a/stage6a_candidate_generation_summary.csv,row_4.method,stage6a_partial_prior,stage6a_partial_prior,,exact,true,ordered row and column comparison
stage6a,results/data/stage6a/stage6a_candidate_generation_summary.csv,row_4.prior_case,stale_switch_prior,stale_switch_prior,,exact,true,ordered row and column comparison
stage6a,results/data/stage6a/stage6a_candidate_generation_summary.csv,row_4.candidate_count,4,4,0,0,true,ordered row and column comparison
stage6a,results/data/stage6a/stage6a_candidate_generation_summary.csv,row_4.coverage,0,0,0,0,true,ordered row and column comparison
stage6a,results/data/stage6a/stage6a_candidate_generation_summary.csv,row_4.true_topology_included,0,0,0,0,true,ordered row and column comparison
stage6a,results/data/stage6a/stage6a_candidate_generation_summary.csv,row_4.reference_library_coverage,0.571428571428571,0.571428571428571,0E-15,1E-12,true,ordered row and column comparison
stage6a,results/data/stage6a/stage6a_candidate_generation_summary.csv,constraint_time_s,wall-clock,wall-clock,,not_applicable,not_compared,runtime varies by run
stage6a,results/data/stage6a/stage6a_candidate_generation_summary.csv,export_time_s,wall-clock,wall-clock,,not_applicable,not_compared,runtime varies by run
stage6a,results/data/stage6a/stage6a_candidate_generation_summary.csv,generation_time,wall-clock,wall-clock,,not_applicable,not_compared,runtime varies by run
stage6a,results/data/stage6a/stage6a_candidate_generation_summary.csv,ranking_time_s,wall-clock,wall-clock,,not_applicable,not_compared,runtime varies by run
stage6a,results/data/stage6a/stage6a_identification_summary.csv,row_1.sample,existing_library_snr_Inf_r01,existing_library_snr_Inf_r01,,exact,true,ordered row and column comparison
stage6a,results/data/stage6a/stage6a_identification_summary.csv,row_1.method,existing_library,existing_library,,exact,true,ordered row and column comparison
stage6a,results/data/stage6a/stage6a_identification_summary.csv,row_1.snr_db,Inf,Inf,,exact,true,ordered row and column comparison
stage6a,results/data/stage6a/stage6a_identification_summary.csv,row_1.replicate,1,1,0,0,true,ordered row and column comparison
stage6a,results/data/stage6a/stage6a_identification_summary.csv,row_1.candidate_count,7,7,0,0,true,ordered row and column comparison
stage6a,results/data/stage6a/stage6a_identification_summary.csv,row_1.true_topology_included,1,1,0,0,true,ordered row and column comparison
stage6a,results/data/stage6a/stage6a_identification_summary.csv,row_1.domain_relative_distance,0.107055280179292,0.107055280179292,0E-15,1E-12,true,ordered row and column comparison
