sample,method,snr_db,replicate,candidate_count,true_topology_included,domain_relative_distance,domain_threshold,domain_accepted,candidate_set_size,best_candidate,best_is_truth,true_topology_in_candidate_set,margin,top1_confidence,normalized_entropy,decision_state,decision_reason,normalized_score_semantics
existing_library_snr_Inf_r01,existing_library,Inf,1,7,1,0.107055280179292,0.337776739609905,1,1,G003,1,1,0.0925262374569209,0.639881513938803,0.652771996623978,UNIQUE_CONFIDENT,singleton_and_all_evidence_checks_pass,not_a_Bayesian_posterior
existing_library_snr_Inf_r02,existing_library,Inf,2,7,1,0.0348351381282831,0.337776739609905,1,1,G003,1,1,0.113686060628868,0.739701084038921,0.523219471155,UNIQUE_CONFIDENT,singleton_and_all_evidence_checks_pass,not_a_Bayesian_posterior
existing_library_snr_Inf_r03,existing_library,Inf,3,7,1,0.261784289050887,0.337776739609905,1,1,G003,1,1,0.0639094698956229,0.470805470492934,0.821184178185085,UNIQUE_CONFIDENT,singleton_and_all_evidence_checks_pass,not_a_Bayesian_posterior
existing_library_snr_30_r01,existing_library,30,1,7,1,0.313463402099465,0.337776739609905,1,1,G003,1,1,0.0533736938003037,0.410527542252268,0.867794448279666,UNIQUE_CONFIDENT,singleton_and_all_evidence_checks_pass,not_a_Bayesian_posterior
existing_library_snr_30_r02,existing_library,30,2,7,1,0.152769468680889,0.337776739609905,1,1,G003,1,1,0.0854783589723839,0.59554092158727,0.702402080556331,UNIQUE_CONFIDENT,singleton_and_all_evidence_checks_pass,not_a_Bayesian_posterior
existing_library_snr_30_r03,existing_library,30,3,7,1,0.0303040443863095,0.337776739609905,1,1,G003,1,1,0.113042972948867,0.740502820430881,0.522738084320121,UNIQUE_CONFIDENT,singleton_and_all_evidence_checks_pass,not_a_Bayesian_posterior
existing_library_snr_15_r01,existing_library,15,1,7,1,0.162267637678124,0.337776739609905,1,1,G003,1,1,0.0848741875082026,0.595457878725203,0.702727511839864,UNIQUE_CONFIDENT,singleton_and_all_evidence_checks_pass,not_a_Bayesian_posterior
existing_library_snr_15_r02,existing_library,15,2,7,1,0.203498988917209,0.337776739609905,1,1,G003,1,1,0.0789430584415184,0.559500869559627,0.743523420848108,UNIQUE_CONFIDENT,singleton_and_all_evidence_checks_pass,not_a_Bayesian_posterior
existing_library_snr_15_r03,existing_library,15,3,7,1,0.227566740060224,0.337776739609905,1,1,G003,1,1,0.0629369368866975,0.458617648660165,0.827396839849189,UNIQUE_CONFIDENT,singleton_and_all_evidence_checks_pass,not_a_Bayesian_posterior
broad_unknown_switches_snr_Inf_r01,broad_unknown_switches,Inf,1,7,1,0.196845164758367,0.324858114978144,1,1,S6A_0003,1,1,0.0729471423626963,0.55799296598245,0.740441793242419,UNIQUE_CONFIDENT,singleton_and_all_evidence_checks_pass,not_a_Bayesian_posterior
broad_unknown_switches_snr_Inf_r02,broad_unknown_switches,Inf,2,7,1,0.0407254191753733,0.324858114978144,1,1,S6A_0003,1,1,0.110116692314291,0.757205232133824,0.497443117614451,UNIQUE_CONFIDENT,singleton_and_all_evidence_checks_pass,not_a_Bayesian_posterior
broad_unknown_switches_snr_Inf_r03,broad_unknown_switches,Inf,3,7,1,0.249746317929618,0.324858114978144,1,1,S6A_0003,1,1,0.0637891467543425,0.50097513306847,0.793981230593555,UNIQUE_CONFIDENT,singleton_and_all_evidence_checks_pass,not_a_Bayesian_posterior
broad_unknown_switches_snr_30_r01,broad_unknown_switches,30,1,7,1,0.275780387302188,0.324858114978144,1,1,S6A_0003,1,1,0.0598445284884215,0.470147590732546,0.820255194030201,UNIQUE_CONFIDENT,singleton_and_all_evidence_checks_pass,not_a_Bayesian_posterior
broad_unknown_switches_snr_30_r02,broad_unknown_switches,30,2,7,1,0.0793536010844849,0.324858114978144,1,1,S6A_0003,1,1,0.101240188996347,0.716793952521985,0.554826014389311,UNIQUE_CONFIDENT,singleton_and_all_evidence_checks_pass,not_a_Bayesian_posterior
broad_unknown_switches_snr_30_r03,broad_unknown_switches,30,3,7,1,0.241277872520653,0.324858114978144,1,1,S6A_0003,1,1,0.0667952108726004,0.516782765467817,0.779297450438661,UNIQUE_CONFIDENT,singleton_and_all_evidence_checks_pass,not_a_Bayesian_posterior
broad_unknown_switches_snr_15_r01,broad_unknown_switches,15,1,7,1,0.234119600725779,0.324858114978144,1,1,S6A_0003,1,1,0.0744220764512452,0.565208449142054,0.737369443054876,UNIQUE_CONFIDENT,singleton_and_all_evidence_checks_pass,not_a_Bayesian_posterior
broad_unknown_switches_snr_15_r02,broad_unknown_switches,15,2,7,1,0.339471176775826,0.324858114978144,0,0,S6A_0003,1,0,0.0487871499431966,0.411410344226481,0.864562672823172,REJECTED,frozen_candidate_set_empty_or_rule_a_rejected,not_a_Bayesian_posterior
broad_unknown_switches_snr_15_r03,broad_unknown_switches,15,3,7,1,0.279624203061114,0.324858114978144,1,1,S6A_0003,1,1,0.063332902910596,0.49847781408452,0.800306487317277,UNIQUE_CONFIDENT,singleton_and_all_evidence_checks_pass,not_a_Bayesian_posterior
informative_switch_prior_snr_Inf_r01,informative_switch_prior,Inf,1,2,1,0.181757602299031,0.331770788531797,1,1,S6A_0001,1,1,0.084314138717896,0.889891819944469,0.50024217565727,UNIQUE_CONFIDENT,singleton_and_all_evidence_checks_pass,not_a_Bayesian_posterior
informative_switch_prior_snr_Inf_r02,informative_switch_prior,Inf,2,2,1,0.289545536544738,0.331770788531797,1,1,S6A_0001,1,1,0.061769792098329,0.822137785705099,0.675377963513722,UNIQUE_CONFIDENT,singleton_and_all_evidence_checks_pass,not_a_Bayesian_posterior
