sample,parameter_error,length_error_percent,load_error_percent,distance,relative_distance,margin,confidence,entropy,candidate_set_size,decision_state,best_is_truth,false_unique
length_-20_load_+00.01_r01,-20,-20,0.0114722591656813,0.374505083991772,1.22209520693356,0,0.229985064313361,0.906875310848329,0,REJECTED,0,0
length_-20_load_+07.49_r02,-20,-20,7.49270933309536,0.371792916047983,1.22593360766443,0,0.230131023583252,0.906238834209652,0,REJECTED,0,0
length_-20_load_+04.96_r03,-20,-20,4.95657382779584,0.371448517515425,1.22796261813923,0.000119965360560526,0.230883877771086,0.905037127283079,0,REJECTED,0,0
length_-20_load_+11.82_r04,-20,-20,11.824252021734,0.371311120601491,1.22830758098431,0,0.230592687061585,0.904970973155719,0,REJECTED,0,0
length_-20_load_-07.57_r05,-20,-20,-7.57428308337935,0.375074827419085,1.21841499448779,0,0.229508832465536,0.907187097152108,0,REJECTED,0,0
length_-20_load_+15.23_r06,-20,-20,15.2262762468951,0.370410802767349,1.22681417221681,0.000208558884217336,0.230838482383306,0.905505716029387,0,REJECTED,0,0
length_-20_load_-18.00_r07,-20,-20,-18.0024853574738,0.375392263738892,1.2178362024469,0,0.23025839530259,0.90711428768286,0,REJECTED,0,0
length_-20_load_-01.12_r08,-20,-20,-1.11800639509468,0.375144005864464,1.22612412088382,5.55111512312578e-17,0.230564436411824,0.90627825074806,0,REJECTED,0,0
length_-20_load_-11.07_r09,-20,-20,-11.0712216323477,0.374484382728359,1.2199538414354,0,0.231021526641141,0.90588346834828,0,REJECTED,0,0
length_-20_load_+14.65_r10,-20,-20,14.6536457764998,0.371485390227234,1.23274906966297,2.79233565530501e-05,0.230739567183201,0.904713884630479,0,REJECTED,0,0
length_-10_load_-06.19_r01,-10,-10,-6.18795677067348,0.36601789898164,1.20723127160166,0,0.238617549886975,0.896062818985974,0,REJECTED,0,0
length_-10_load_+09.49_r02,-10,-10,9.49002570494446,0.362861275108092,1.21989083163684,0,0.240297725138856,0.893034924762481,0,REJECTED,0,0
length_-10_load_+02.12_r03,-10,-10,2.12017388638381,0.36393421791522,1.21497508073013,5.55111512312578e-17,0.239174954485973,0.895155872867446,0,REJECTED,0,0
length_-10_load_-08.40_r04,-10,-10,-8.40097406960634,0.365036289526093,1.21348386335324,0,0.238645636835034,0.897288961612172,0,REJECTED,0,0
length_-10_load_-07.54_r05,-10,-10,-7.54331744357669,0.363311326444833,1.2122192600166,5.55111512312578e-17,0.239767627292627,0.895452009847026,0,REJECTED,0,0
length_-10_load_+19.50_r06,-10,-10,19.499210252254,0.360858265870661,1.21940262180834,5.55111512312578e-17,0.23980143518481,0.894465449394978,0,REJECTED,0,0
length_-10_load_+15.83_r07,-10,-10,15.8258781612457,0.362218385415054,1.21514951694869,0,0.239385744452839,0.895188937142257,0,REJECTED,0,0
length_-10_load_+02.97_r08,-10,-10,2.97479340076297,0.364100301417107,1.2171881661081,5.55111512312578e-17,0.239121159794332,0.895455768618237,0,REJECTED,0,0
