sample,error_type,prior_error_rate,prior_error_applied,candidate_count,generation_time,coverage,false_unique,decision_state,best_is_truth,candidate_set_size,distance,margin,confidence,entropy
wrong_open_rate_00_r01,wrong_open,0,0,7,0.264442,1,0,UNIQUE_CONFIDENT,1,1,0.0792347199039487,0.0696747936473384,0.570953586829378,0.728360587941667
wrong_open_rate_00_r02,wrong_open,0,0,7,0.264442,1,0,UNIQUE_CONFIDENT,1,1,0.0513834800138353,0.0760387826379456,0.621331646772548,0.670645838396023
wrong_open_rate_00_r03,wrong_open,0,0,7,0.264442,1,0,UNIQUE_CONFIDENT,1,1,0.0415633809522706,0.0872205228578252,0.691808108506053,0.586481266342207
wrong_open_rate_00_r04,wrong_open,0,0,7,0.264442,1,0,UNIQUE_CONFIDENT,1,1,0.0746569708423328,0.0682941231167685,0.565255278820857,0.732632712401582
wrong_open_rate_00_r05,wrong_open,0,0,7,0.264442,1,0,UNIQUE_CONFIDENT,1,1,0.0501322527422356,0.0799727935128731,0.647675050343405,0.641397313706518
wrong_open_rate_00_r06,wrong_open,0,0,7,0.264442,1,0,UNIQUE_CONFIDENT,1,1,0.0598716059019796,0.0698754320267959,0.591785276289912,0.702490296554737
wrong_open_rate_00_r07,wrong_open,0,0,7,0.264442,1,0,REJECTED,1,0,0.0928767068712014,0.0540796001903851,0.46796427313426,0.818987389253514
wrong_open_rate_00_r08,wrong_open,0,0,7,0.264442,1,0,UNIQUE_CONFIDENT,1,1,0.0317005661099637,0.093031611943745,0.724227257241435,0.542895070171557
wrong_open_rate_00_r09,wrong_open,0,0,7,0.264442,1,0,UNIQUE_CONFIDENT,1,1,0.0774555549325316,0.0640441933211194,0.530456319035914,0.764520980435436
wrong_open_rate_00_r10,wrong_open,0,0,7,0.264442,1,0,UNIQUE_CONFIDENT,1,1,0.0316862010639734,0.0901508241636833,0.710927915854372,0.559880280673695
wrong_open_rate_00_r11,wrong_open,0,0,7,0.264442,1,0,UNIQUE_CONFIDENT,1,1,0.0734623733581517,0.0708787502259372,0.568446464450303,0.727768052807333
wrong_open_rate_00_r12,wrong_open,0,0,7,0.264442,1,0,UNIQUE_CONFIDENT,1,1,0.0666904607116999,0.0695473307744234,0.575699889155782,0.719583285289922
wrong_open_rate_00_r13,wrong_open,0,0,7,0.264442,1,0,REJECTED,1,0,0.084874809483926,0.0604140555896818,0.506959437419969,0.787616902872434
wrong_open_rate_00_r14,wrong_open,0,0,7,0.264442,1,0,REJECTED,1,0,0.0880573822860189,0.0547201112809764,0.480772093669672,0.809855886142733
wrong_open_rate_00_r15,wrong_open,0,0,7,0.264442,1,0,REJECTED,1,0,0.0992177941205065,0.0511752320120311,0.448304850732416,0.836499606653974
