scenario,method,sample_count,truth_candidate_coverage_rate,correct_unique_rate,false_unique_rate,library_outside_acceptance_rate,domain_outside_rejection_rate,nonunique_ambiguous_rate,candidate_set_coverage_rate,mean_candidate_set_size,unique_count,ambiguous_count,low_confidence_count,rejected_count,mean_scoring_time_s
parameter_replay,stage6b,70,1,0.142857142857143,0,NaN,1,NaN,0.142857142857143,0.142857142857143,10,0,0,60,0.000471785714285714
parameter_replay,stage7a,70,1,0.714285714285714,0,NaN,1,NaN,0.714285714285714,0.714285714285714,50,0,0,20,0.000356128571428571
in_domain,stage6b,10,1,0.5,0,NaN,NaN,NaN,0.5,0.5,5,0,0,5,0.0004685
in_domain,stage7a,10,1,1,0,NaN,NaN,NaN,1,1,10,0,0,0,0.0003532
out_of_domain,stage6b,10,1,0,0,NaN,1,NaN,0,0,0,0,0,10,0.0004589
out_of_domain,stage7a,10,1,0,0,NaN,1,NaN,0,0,0,0,0,10,0.0003165
prior_wrong_open,stage6b,7,0,0,0,0,NaN,NaN,NaN,0,0,0,0,7,0.000423428571428571
prior_wrong_open,stage7a,7,0,0,0,0,NaN,NaN,NaN,0,0,0,0,7,0.000289285714285714
prior_wrong_closed,stage6b,7,0,0,0,0,NaN,NaN,NaN,0,0,0,0,7,0.000339142857142857
prior_wrong_closed,stage7a,7,0,0,0,0,NaN,NaN,NaN,0,0,0,0,7,0.000224142857142857
scale_small,stage6b,10,1,1,0,NaN,NaN,NaN,1,1,10,0,0,0,0.0003163
scale_small,stage7a,10,1,0.7,0,NaN,NaN,NaN,0.8,0.8,7,0,1,2,0.0002278
scale_medium,stage6b,10,1,1,0,NaN,NaN,NaN,1,1,10,0,0,0,0.0004528
scale_medium,stage7a,10,1,0.8,0,NaN,NaN,NaN,1,1,8,0,2,0,0.0003448
scale_large,stage6b,10,1,1,0,NaN,NaN,NaN,1,1,10,0,0,0,0.0010311
scale_large,stage7a,10,1,0.4,0,NaN,NaN,NaN,1,1.6,4,0,6,0,0.0007869
two_topology_T3_T5,stage6b,1,NaN,0,0,NaN,NaN,1,NaN,2,0,1,0,0,NaN
two_topology_T3_T5,stage7a,1,NaN,0,0,NaN,NaN,1,NaN,2,0,1,0,0,0.000101
three_topology_close,stage6b,1,NaN,0,0,NaN,NaN,1,NaN,3,0,1,0,0,NaN
three_topology_close,stage7a,1,NaN,0,0,NaN,NaN,1,NaN,3,0,1,0,0,0.000128
