scenario,method,sample_count,truth_candidate_coverage_rate,correct_unique_rate,false_unique_rate,library_outside_acceptance_rate,domain_outside_rejection_rate,nonunique_ambiguous_rate,candidate_set_coverage_rate,mean_candidate_set_size,unique_count,ambiguous_count,low_confidence_count,rejected_count,mean_scoring_time_s
parameter_replay,stage6b,14,1,0.142857142857143,0,NaN,1,NaN,0.142857142857143,0.142857142857143,2,0,0,12,0.00102464285714286
parameter_replay,stage7a,14,1,0.714285714285714,0,NaN,1,NaN,0.714285714285714,0.714285714285714,10,0,0,4,0.000722285714285714
in_domain,stage6b,2,1,0.5,0,NaN,NaN,NaN,0.5,0.5,1,0,0,1,0.000645
in_domain,stage7a,2,1,1,0,NaN,NaN,NaN,1,1,2,0,0,0,0.0004675
out_of_domain,stage6b,2,1,0,0,NaN,1,NaN,0,0,0,0,0,2,0.000554
out_of_domain,stage7a,2,1,0,0,NaN,1,NaN,0,0,0,0,0,2,0.000384
prior_wrong_open,stage6b,1,0,0,0,0,NaN,NaN,NaN,0,0,0,0,1,0.000939
prior_wrong_open,stage7a,1,0,0,0,0,NaN,NaN,NaN,0,0,0,0,1,0.000423
prior_wrong_closed,stage6b,1,0,0,0,0,NaN,NaN,NaN,0,0,0,0,1,0.000502
prior_wrong_closed,stage7a,1,0,0,0,0,NaN,NaN,NaN,0,0,0,0,1,0.000311
scale_small,stage6b,2,1,1,0,NaN,NaN,NaN,1,1,2,0,0,0,0.0004925
scale_small,stage7a,2,1,0.5,0,NaN,NaN,NaN,0.5,0.5,1,0,0,1,0.000304
scale_medium,stage6b,2,1,1,0,NaN,NaN,NaN,1,1,2,0,0,0,0.000544
scale_medium,stage7a,2,1,0.5,0,NaN,NaN,NaN,0.5,0.5,1,0,0,1,0.0004135
scale_large,stage6b,2,1,1,0,NaN,NaN,NaN,1,1,2,0,0,0,0.0012285
scale_large,stage7a,2,1,0.5,0,NaN,NaN,NaN,1,1.5,1,0,1,0,0.001003
two_topology_T3_T5,stage6b,1,NaN,0,0,NaN,NaN,1,NaN,2,0,1,0,0,NaN
two_topology_T3_T5,stage7a,1,NaN,0,0,NaN,NaN,1,NaN,2,0,1,0,0,0.000106
three_topology_close,stage6b,1,NaN,0,0,NaN,NaN,1,NaN,3,0,1,0,0,NaN
three_topology_close,stage7a,1,NaN,0,0,NaN,NaN,1,NaN,3,0,1,0,0,0.000135
