dataset,scenario,method,n,best_truth_k,correct_unique_k,false_unique_k,truth_set_coverage_k,domain_rejected_k,empty_set_k,unique_k,ambiguous_k,low_confidence_k,rejected_k,mean_candidate_set_size,correct_unique_wilson_low,correct_unique_wilson_high,set_coverage_wilson_low,set_coverage_wilson_high,false_unique_wilson_low,false_unique_wilson_high,mean_audit_time_s
archived_replay,scale_small,stage6b_baseline,10,10,10,0,10,0,0,10,0,0,0,1,0.722467200137111,1,0.722467200137111,1,0,0.277532799862889,0.0013927
archived_replay,scale_small,stage7a_original_reused,10,10,7,0,8,1,2,7,0,1,2,0.8,0.396778147461145,0.892208732593699,0.490162471536642,0.943317848545625,0,0.277532799862889,0.0006586
archived_counterfactual,scale_small,matched20_n20,2,2,0,0,0,0,2,0,0,0,2,0,0,0.657619772493347,0,0.657619772493347,0,0.657619772493347,0.0011725
archived_counterfactual,scale_small,matched20_n100,2,2,0,0,0,0,2,0,0,0,2,0,0,0.657619772493347,0,0.657619772493347,0,0.657619772493347,0.000566
archived_counterfactual,scale_small,matched20_n200,2,2,0,0,1,0,1,0,0,1,1,0.5,0,0.657619772493347,0.0945312057342307,0.905468794265769,0,0.657619772493347,0.003033
archived_counterfactual,scale_small,snr35_n100,2,2,0,0,0,2,2,0,0,0,2,0,0,0.657619772493347,0,0.657619772493347,0,0.657619772493347,0.0011495
archived_counterfactual,scale_small,nuisance_broad20_n100,2,2,0,0,2,0,0,0,0,2,0,1,0,0.657619772493347,0.342380227506653,1,0,0.657619772493347,0.0005355
archived_counterfactual,scale_small,combined_broad35_n20,2,2,0,0,0,2,2,0,0,0,2,0,0,0.657619772493347,0,0.657619772493347,0,0.657619772493347,0.00038
archived_counterfactual,scale_small,combined_broad35_n100,2,2,0,0,0,1,2,0,0,0,2,0,0,0.657619772493347,0,0.657619772493347,0,0.657619772493347,0.0002955
archived_counterfactual,scale_small,originalset_split_evidence_n20,2,2,0,0,0,1,2,0,0,0,2,0,0,0.657619772493347,0,0.657619772493347,0,0.657619772493347,0.000216
