scenario,condition,status,candidate_count,model_bytes,cache_time_s,set_calibration_time_s,evidence_calibration_time_s,evidence_reference_count
scale_small,stage6b_baseline,calibrated,3,105276,0.026031,0.129733,NaN,60
scale_small,stage7a_original_reused,calibrated,3,190633,0.061051,0.096555,NaN,60
scale_small,matched20_n20,calibrated,3,189549,0,0.074711,0.065024,56
scale_small,matched20_n100,calibrated,3,191469,0,0.221524,0.273594,281
scale_small,matched20_n200,calibrated,3,193869,0,0.426633,0.433273,575
scale_small,snr35_n100,calibrated,3,191469,0,0.205851,0.157996,287
scale_small,nuisance_broad20_n100,calibrated,3,191469,0,0.186083,0.182164,283
scale_small,combined_broad35_n20,calibrated,3,189549,0,0.039599,0.045232,52
scale_small,combined_broad35_n100,calibrated,3,191469,0,0.184699,0.175187,280
scale_small,originalset_split_evidence_n20,calibrated,3,189549,0,0,0.033999,57
scale_medium,stage6b_baseline,calibrated,7,245966,0.018928,0.108301,NaN,50
scale_medium,stage7a_original_reused,calibrated,7,438363,0.139889,0.111238,NaN,44
scale_medium,matched20_n20,calibrated,7,429599,0,0.111578,0.132685,40
scale_medium,matched20_n100,calibrated,7,434079,0,0.51297,0.515343,223
scale_medium,matched20_n200,calibrated,7,439679,0,1.081994,1.233313,401
scale_medium,snr35_n100,calibrated,7,434079,0,0.560553,0.504844,213
scale_medium,nuisance_broad20_n100,calibrated,7,434079,0,0.474202,0.53868,196
scale_medium,combined_broad35_n20,calibrated,7,429599,0,0.144265,0.137677,41
scale_medium,combined_broad35_n100,calibrated,7,434079,0,0.565383,0.651005,199
scale_medium,originalset_split_evidence_n20,calibrated,7,429599,0,0,0.136235,43
scale_large,stage6b_baseline,calibrated,23,933268,0.130202,0.477058,NaN,65
scale_large,stage7a_original_reused,calibrated,23,1517609,0.481871,0.650388,NaN,38
scale_large,matched20_n20,calibrated,23,1426925,0,0.616894,0.586811,50
scale_large,matched20_n100,calibrated,23,1441645,0,3.347162,3.180732,212
scale_large,matched20_n200,calibrated,23,1460045,0,6.680169,6.369077,432
scale_large,snr35_n100,calibrated,23,1441645,0,3.114914,3.421117,207
scale_large,nuisance_broad20_n100,calibrated,23,1441645,0,2.863641,3.19801,171
scale_large,combined_broad35_n20,calibrated,23,1426925,0,0.579304,0.676096,40
scale_large,combined_broad35_n100,calibrated,23,1441645,0,2.925403,3.104819,165
scale_large,originalset_split_evidence_n20,calibrated,23,1426925,0,0,0.559639,35
