dataset,scenario,sample,candidate_id,coarse_distance,exhaustive_distance,distance_error,coarse_best_template_index,exhaustive_best_template_index,coarse_pivot_index,global_in_local_window,coarse_pivot_distance
archived_replay,scale_small,scale_small_r01,G001,0.225472785773797,0.225472785773797,0,5,5,5,1,0.225472785773797
archived_replay,scale_small,scale_small_r01,G002,0.118837947456585,0.118837947456585,0,41,41,41,1,0.118837947456585
archived_replay,scale_small,scale_small_r01,G003,0.15624195837639,0.15624195837639,0,41,41,41,1,0.15624195837639
archived_replay,scale_small,scale_small_r02,G001,0.194291242452242,0.194291242452242,0,5,5,5,1,0.194291242452242
archived_replay,scale_small,scale_small_r02,G002,0.0522277763348495,0.0522277763348495,0,23,23,23,1,0.0522277763348495
archived_replay,scale_small,scale_small_r02,G003,0.12900234885669,0.12900234885669,0,41,41,41,1,0.12900234885669
archived_replay,scale_small,scale_small_r03,G001,0.195734786631611,0.195734786631611,0,5,5,5,1,0.195734786631611
archived_replay,scale_small,scale_small_r03,G002,0.033656696429324,0.033656696429324,0,23,23,23,1,0.033656696429324
archived_replay,scale_small,scale_small_r03,G003,0.129074413619555,0.129074413619555,0,41,41,41,1,0.129074413619555
archived_replay,scale_small,scale_small_r04,G001,0.22717359342007,0.22717359342007,0,4,4,5,1,0.233146682207138
archived_replay,scale_small,scale_small_r04,G002,0.11460258580454,0.11460258580454,0,40,40,41,1,0.132220528736923
archived_replay,scale_small,scale_small_r04,G003,0.160007666349928,0.160007666349928,0,40,40,41,1,0.164647313963913
archived_replay,scale_small,scale_small_r05,G001,0.201392079351323,0.201392079351323,0,5,5,5,1,0.201392079351323
archived_replay,scale_small,scale_small_r05,G002,0.0583928650973138,0.0583928650973138,0,23,23,23,1,0.0583928650973138
archived_replay,scale_small,scale_small_r05,G003,0.133332727528284,0.133332727528284,0,41,41,41,1,0.133332727528284
archived_replay,scale_small,scale_small_r06,G001,0.203107142845634,0.203107142845634,0,6,6,5,1,0.26089053873261
archived_replay,scale_small,scale_small_r06,G002,0.0692742249411319,0.0692729124300263,1.31251110564723e-06,33,24,41,0,0.169966041056252
archived_replay,scale_small,scale_small_r06,G003,0.138348017739921,0.138348017739921,0,42,42,41,1,0.194076315490351
archived_replay,scale_small,scale_small_r07,G001,0.229456016585796,0.229456016585796,0,5,5,5,1,0.229456016585796
archived_replay,scale_small,scale_small_r07,G002,0.122529705631043,0.122529705631043,0,41,41,41,1,0.122529705631043
archived_replay,scale_small,scale_small_r07,G003,0.161332541542884,0.161332541542884,0,41,41,41,1,0.161332541542884
archived_replay,scale_small,scale_small_r08,G001,0.206033443653276,0.206033443653276,0,5,5,5,1,0.206033443653276
archived_replay,scale_small,scale_small_r08,G002,0.0733082933221641,0.0733082933221641,0,23,23,23,1,0.0733082933221641
archived_replay,scale_small,scale_small_r08,G003,0.139421095734393,0.139421095734393,0,41,41,41,1,0.139421095734393
archived_replay,scale_small,scale_small_r09,G001,0.211668665737538,0.211668665737538,0,6,6,5,1,0.245791091715117
archived_replay,scale_small,scale_small_r09,G002,0.0928846486618471,0.0928263302567339,5.83184051131669e-05,33,24,41,0,0.15345125663012
archived_replay,scale_small,scale_small_r09,G003,0.147160202971251,0.147160202971251,0,42,42,41,1,0.178995786273532
archived_replay,scale_small,scale_small_r10,G001,0.206996934719804,0.206996934719804,0,6,6,5,1,0.257537441942642
archived_replay,scale_small,scale_small_r10,G002,0.076905690772548,0.0767132622423081,0.000192428530239958,33,24,41,0,0.163332924240547
archived_replay,scale_small,scale_small_r10,G003,0.140039150112725,0.140039150112725,0,42,42,41,1,0.190259493242908
independent_test,scale_small,diagnostic_r001,G001,0.227470249721074,0.227470249721074,0,6,6,5,1,0.230167170688714
independent_test,scale_small,diagnostic_r001,G002,0.120997001140184,0.120913186625966,8.3814514218003e-05,33,24,41,0,0.124319762317157
independent_test,scale_small,diagnostic_r001,G003,0.160690448015682,0.160690448015682,0,42,42,41,1,0.165733625891859
independent_test,scale_small,diagnostic_r002,G001,0.196931313203572,0.196931313203572,0,5,5,5,1,0.196931313203572
independent_test,scale_small,diagnostic_r002,G002,0.0604752162167045,0.0604752162167045,0,32,32,23,1,0.0605791695040507
independent_test,scale_small,diagnostic_r002,G003,0.130739907372286,0.130739907372286,0,41,41,41,1,0.130739907372286
independent_test,scale_small,diagnostic_r003,G001,0.19541084318132,0.19541084318132,0,5,5,5,1,0.19541084318132
independent_test,scale_small,diagnostic_r003,G002,0.0442281440281204,0.0442281440281204,0,14,14,23,1,0.0442707992858559
independent_test,scale_small,diagnostic_r003,G003,0.126567010054762,0.126567010054762,0,41,41,41,1,0.126567010054762
independent_test,scale_small,diagnostic_r004,G001,0.200555104141145,0.200555104141145,0,5,5,5,1,0.200555104141145
independent_test,scale_small,diagnostic_r004,G002,0.0680919376144581,0.0680919376144581,0,23,23,23,1,0.0680919376144581
independent_test,scale_small,diagnostic_r004,G003,0.134356424078951,0.134356424078951,0,41,41,41,1,0.134356424078951
independent_test,scale_small,diagnostic_r005,G001,0.225604264079216,0.225604264079216,0,4,4,5,1,0.231602690272667
independent_test,scale_small,diagnostic_r005,G002,0.115292604418687,0.115292604418687,0,40,40,41,1,0.132064742745755
independent_test,scale_small,diagnostic_r005,G003,0.157220710693177,0.157220710693177,0,40,40,41,1,0.164951735940927
independent_test,scale_small,diagnostic_r006,G001,0.198599889495656,0.198599889495656,0,5,5,5,1,0.198599889495656
independent_test,scale_small,diagnostic_r006,G002,0.0510457673765172,0.0510457673765172,0,23,23,23,1,0.0510457673765172
independent_test,scale_small,diagnostic_r006,G003,0.127665233580638,0.127665233580638,0,41,41,41,1,0.127665233580638
independent_test,scale_small,diagnostic_r007,G001,0.194826701866732,0.194826701866732,0,5,5,5,1,0.194826701866732
independent_test,scale_small,diagnostic_r007,G002,0.0403565128536267,0.0403565128536267,0,23,23,23,1,0.0403565128536267
independent_test,scale_small,diagnostic_r007,G003,0.124934916530522,0.124934916530522,0,41,41,41,1,0.124934916530522
independent_test,scale_small,diagnostic_r008,G001,0.214893347757171,0.214893347757171,0,5,5,5,1,0.214893347757171
independent_test,scale_small,diagnostic_r008,G002,0.0937034572045914,0.0937034572045914,0,32,32,41,1,0.093845578343622
independent_test,scale_small,diagnostic_r008,G003,0.145833841806992,0.145833841806992,0,41,41,41,1,0.145833841806992
independent_test,scale_small,diagnostic_r009,G001,0.197443638233388,0.197443638233388,0,5,5,5,1,0.197443638233388
independent_test,scale_small,diagnostic_r009,G002,0.0420990312548814,0.0420990312548814,0,23,23,23,1,0.0420990312548814
independent_test,scale_small,diagnostic_r009,G003,0.132265850844075,0.132265850844075,0,41,41,41,1,0.132265850844075
independent_test,scale_small,diagnostic_r010,G001,0.192691455742939,0.192691455742939,0,5,5,5,1,0.192691455742939
independent_test,scale_small,diagnostic_r010,G002,0.0318408393304842,0.0318408393304842,0,23,23,23,1,0.0318408393304842
independent_test,scale_small,diagnostic_r010,G003,0.126304533484392,0.126304533484392,0,32,32,41,1,0.126304895022749
independent_test,scale_small,diagnostic_r011,G001,0.192795546864936,0.192795546864936,0,5,5,5,1,0.192795546864936
independent_test,scale_small,diagnostic_r011,G002,0.0321276242479978,0.0321276242479978,0,14,14,23,1,0.0321717919160023
independent_test,scale_small,diagnostic_r011,G003,0.123355542565184,0.123355542565184,0,32,32,41,1,0.123373582082935
independent_test,scale_small,diagnostic_r012,G001,0.199030826466223,0.199030826466223,0,5,5,5,1,0.199030826466223
independent_test,scale_small,diagnostic_r012,G002,0.0454728290584968,0.0454728290584968,0,23,23,23,1,0.0454728290584968
independent_test,scale_small,diagnostic_r012,G003,0.132013138986529,0.132013138986529,0,41,41,41,1,0.132013138986529
independent_test,scale_small,diagnostic_r013,G001,0.203675835576426,0.203675835576426,0,6,6,5,1,0.259762877162019
independent_test,scale_small,diagnostic_r013,G002,0.0721481460541188,0.0721481460541188,0,33,33,41,1,0.16678980905855
independent_test,scale_small,diagnostic_r013,G003,0.135314870256014,0.135314870256014,0,42,42,41,1,0.190054055258093
independent_test,scale_small,diagnostic_r014,G001,0.213664261925918,0.213664261925918,0,5,5,5,1,0.213664261925918
independent_test,scale_small,diagnostic_r014,G002,0.0947628898007008,0.0947628898007008,0,32,32,23,1,0.0948514501897981
independent_test,scale_small,diagnostic_r014,G003,0.145059097244965,0.145059097244965,0,41,41,41,1,0.145059097244965
independent_test,scale_small,diagnostic_r015,G001,0.200052829019225,0.200052829019225,0,4,4,5,1,0.274715997339447
independent_test,scale_small,diagnostic_r015,G002,0.0584179529268909,0.0584179529268909,0,31,31,41,1,0.190732414452426
independent_test,scale_small,diagnostic_r015,G003,0.130968523269663,0.130968523269663,0,40,40,41,1,0.2063119850106
independent_test,scale_small,diagnostic_r016,G001,0.215182425917118,0.215182425917118,0,5,5,5,1,0.215182425917118
independent_test,scale_small,diagnostic_r016,G002,0.0999646523157544,0.0999646523157544,0,32,32,41,1,0.0999852891015342
independent_test,scale_small,diagnostic_r016,G003,0.149911886152206,0.149911886152206,0,41,41,41,1,0.149911886152206
independent_test,scale_small,diagnostic_r017,G001,0.210288886870949,0.210288886870949,0,4,4,5,1,0.266090949346109
independent_test,scale_small,diagnostic_r017,G002,0.0699386179010714,0.0699386179010714,0,31,31,41,1,0.177033426430409
independent_test,scale_small,diagnostic_r017,G003,0.139700236532363,0.139700236532363,0,40,40,41,1,0.195078646029639
independent_test,scale_small,diagnostic_r018,G001,0.201573797770116,0.201573797770116,0,6,6,5,1,0.248281373801731
independent_test,scale_small,diagnostic_r018,G002,0.0826738486056913,0.0826738486056913,0,33,33,41,1,0.156414117621941
independent_test,scale_small,diagnostic_r018,G003,0.134927076569544,0.134927076569544,0,42,42,41,1,0.180846934444811
independent_test,scale_small,diagnostic_r019,G001,0.188655611354064,0.188655611354064,0,5,5,5,1,0.188655611354064
independent_test,scale_small,diagnostic_r019,G002,0.0330858594136631,0.0330858594136631,0,32,32,23,1,0.0334038756503748
independent_test,scale_small,diagnostic_r019,G003,0.120647518172458,0.120647518172458,0,41,41,41,1,0.120647518172458
independent_test,scale_small,diagnostic_r020,G001,0.223997298776974,0.223997298776974,0,6,6,5,1,0.232458902179496
independent_test,scale_small,diagnostic_r020,G002,0.116034548461454,0.116025902210514,8.64625093995042e-06,33,24,41,0,0.128182680696994
independent_test,scale_small,diagnostic_r020,G003,0.154763676335676,0.154763676335676,0,42,42,41,1,0.161871235226984
independent_test,scale_small,diagnostic_r021,G001,0.201424432070781,0.201424432070781,0,6,6,5,1,0.259965893279554
independent_test,scale_small,diagnostic_r021,G002,0.0717518781506861,0.0717518781506861,0,33,33,41,1,0.172277815632646
independent_test,scale_small,diagnostic_r021,G003,0.139853586414131,0.139853586414131,0,42,42,41,1,0.194283712142271
independent_test,scale_small,diagnostic_r022,G001,0.199452480393428,0.199452480393428,0,5,5,5,1,0.199452480393428
independent_test,scale_small,diagnostic_r022,G002,0.0563103119233591,0.0563103119233591,0,32,32,23,1,0.0563239437973286
independent_test,scale_small,diagnostic_r022,G003,0.133557558120674,0.133557558120674,0,41,41,41,1,0.133557558120674
independent_test,scale_small,diagnostic_r023,G001,0.204761166001097,0.204761166001097,0,6,6,5,1,0.254206002751235
independent_test,scale_small,diagnostic_r023,G002,0.0781330988555717,0.0779566370792085,0.000176461776363213,33,24,41,0,0.164444826331552
independent_test,scale_small,diagnostic_r023,G003,0.135314360884239,0.135314360884239,0,33,33,41,1,0.188346070292691
independent_test,scale_small,diagnostic_r024,G001,0.194948944100849,0.194948944100849,0,5,5,5,1,0.194948944100849
independent_test,scale_small,diagnostic_r024,G002,0.0422256185925946,0.0422256185925946,0,14,14,23,1,0.0423528530156658
independent_test,scale_small,diagnostic_r024,G003,0.128636994204318,0.128636994204318,0,32,32,41,1,0.128701966067923
independent_test,scale_small,diagnostic_r025,G001,0.218905355853984,0.218905355853984,0,6,6,5,1,0.239023553234282
independent_test,scale_small,diagnostic_r025,G002,0.106098568148278,0.106016888684902,8.16794633766438e-05,33,24,41,0,0.139758513295225
independent_test,scale_small,diagnostic_r025,G003,0.152099769058355,0.152099769058355,0,42,42,41,1,0.173515111555418
independent_test,scale_small,diagnostic_r026,G001,0.21476804346902,0.21476804346902,0,4,4,5,1,0.247781374286424
independent_test,scale_small,diagnostic_r026,G002,0.0890211778977524,0.0890211778977524,0,40,40,41,1,0.156106337800662
independent_test,scale_small,diagnostic_r026,G003,0.148751995762753,0.148751995762753,0,40,40,41,1,0.18203968550541
independent_test,scale_small,diagnostic_r027,G001,0.224818375745542,0.224818375745542,0,5,5,5,1,0.224818375745542
independent_test,scale_small,diagnostic_r027,G002,0.110298091802273,0.110298091802273,0,23,23,23,1,0.110298091802273
independent_test,scale_small,diagnostic_r027,G003,0.156421724345284,0.156421724345284,0,41,41,41,1,0.156421724345284
independent_test,scale_small,diagnostic_r028,G001,0.215725188932508,0.215725188932508,0,6,6,5,1,0.232334387692969
independent_test,scale_small,diagnostic_r028,G002,0.108788522517573,0.108788522517573,0,42,42,41,1,0.132338326831707
independent_test,scale_small,diagnostic_r028,G003,0.148029346052805,0.148029346052805,0,42,42,41,1,0.167024451519579
independent_test,scale_small,diagnostic_r029,G001,0.192072498175844,0.192072498175844,0,5,5,5,1,0.192072498175844
independent_test,scale_small,diagnostic_r029,G002,0.037594815447765,0.037594815447765,0,23,23,23,1,0.037594815447765
independent_test,scale_small,diagnostic_r029,G003,0.123510717997429,0.123510717997429,0,41,41,41,1,0.123510717997429
independent_test,scale_small,diagnostic_r030,G001,0.217413997624793,0.217413997624793,0,5,5,5,1,0.217413997624793
independent_test,scale_small,diagnostic_r030,G002,0.105069057662657,0.105069057662657,0,41,41,41,1,0.105069057662657
independent_test,scale_small,diagnostic_r030,G003,0.150680097445202,0.150680097445202,0,41,41,41,1,0.150680097445202
independent_test,scale_small,diagnostic_r031,G001,0.191753973067524,0.191753973067524,0,5,5,5,1,0.191753973067524
independent_test,scale_small,diagnostic_r031,G002,0.0287045923382403,0.0287045923382403,0,23,23,23,1,0.0287045923382403
independent_test,scale_small,diagnostic_r031,G003,0.121885758854388,0.121885758854388,0,41,41,41,1,0.121885758854388
independent_test,scale_small,diagnostic_r032,G001,0.220895576084074,0.220895576084074,0,5,5,5,1,0.220895576084074
independent_test,scale_small,diagnostic_r032,G002,0.107040927529094,0.107040927529094,0,32,32,41,1,0.107063574260346
independent_test,scale_small,diagnostic_r032,G003,0.1541673890676,0.1541673890676,0,41,41,41,1,0.1541673890676
independent_test,scale_small,diagnostic_r033,G001,0.20217806043912,0.20217806043912,0,5,5,5,1,0.20217806043912
independent_test,scale_small,diagnostic_r033,G002,0.0692558704789321,0.0692558704789321,0,23,23,23,1,0.0692558704789321
independent_test,scale_small,diagnostic_r033,G003,0.134722320990694,0.134722320990694,0,41,41,41,1,0.134722320990694
independent_test,scale_small,diagnostic_r034,G001,0.208408550750272,0.208408550750272,0,4,4,5,1,0.263419637730918
independent_test,scale_small,diagnostic_r034,G002,0.0721148743856198,0.0720491289834459,6.57454021738835e-05,31,22,41,0,0.174849154202024
independent_test,scale_small,diagnostic_r034,G003,0.139145145190861,0.139145145190861,0,40,40,41,1,0.195017902503263
independent_test,scale_small,diagnostic_r035,G001,0.194356786671419,0.194356786671419,0,5,5,5,1,0.194356786671419
independent_test,scale_small,diagnostic_r035,G002,0.0313154566124328,0.0313154566124328,0,23,23,23,1,0.0313154566124328
independent_test,scale_small,diagnostic_r035,G003,0.12685180959597,0.12685180959597,0,41,41,41,1,0.12685180959597
independent_test,scale_small,diagnostic_r036,G001,0.224092612313669,0.224092612313669,0,6,6,5,1,0.228043240755612
independent_test,scale_small,diagnostic_r036,G002,0.120355266251871,0.120355266251871,0,33,33,41,1,0.124074142680951
independent_test,scale_small,diagnostic_r036,G003,0.159555753973062,0.159555753973062,0,42,42,41,1,0.163391199983039
independent_test,scale_small,diagnostic_r037,G001,0.21336329906216,0.21336329906216,0,6,6,5,1,0.243077209609285
independent_test,scale_small,diagnostic_r037,G002,0.0967980555005982,0.0967737883901152,2.42671104829784e-05,33,24,41,0,0.146590814626254
independent_test,scale_small,diagnostic_r037,G003,0.145564959234134,0.145564959234134,0,42,42,41,1,0.175315742973563
independent_test,scale_small,diagnostic_r038,G001,0.203837185224949,0.203837185224949,0,5,5,5,1,0.203837185224949
independent_test,scale_small,diagnostic_r038,G002,0.0584656311762377,0.0584656311762377,0,23,23,23,1,0.0584656311762377
independent_test,scale_small,diagnostic_r038,G003,0.131012232389561,0.131012232389561,0,41,41,41,1,0.131012232389561
independent_test,scale_small,diagnostic_r039,G001,0.208234019671899,0.208234019671899,0,4,4,5,1,0.264500282035697
independent_test,scale_small,diagnostic_r039,G002,0.0752309352056633,0.0752309352056633,0,31,31,41,1,0.174451388047197
independent_test,scale_small,diagnostic_r039,G003,0.139891711153642,0.139891711153642,0,40,40,41,1,0.196456343556036
independent_test,scale_small,diagnostic_r040,G001,0.226095069611834,0.226095069611834,0,5,5,5,1,0.226095069611834
independent_test,scale_small,diagnostic_r040,G002,0.122447953758509,0.122447953758509,0,32,32,41,1,0.122466317993959
independent_test,scale_small,diagnostic_r040,G003,0.160126702394616,0.160126702394616,0,41,41,41,1,0.160126702394616
independent_test,scale_small,diagnostic_r041,G001,0.203566036047688,0.203566036047688,0,5,5,5,1,0.203566036047688
independent_test,scale_small,diagnostic_r041,G002,0.0681088210408108,0.0681088210408108,0,23,23,23,1,0.0681088210408108
independent_test,scale_small,diagnostic_r041,G003,0.136312036550109,0.136312036550109,0,41,41,41,1,0.136312036550109
independent_test,scale_small,diagnostic_r042,G001,0.216101691856558,0.216101691856558,0,4,4,5,1,0.255153770796403
independent_test,scale_small,diagnostic_r042,G002,0.0880087121802354,0.0880087121802354,0,31,31,41,1,0.162755014636701
independent_test,scale_small,diagnostic_r042,G003,0.145128008070882,0.145128008070882,0,40,40,41,1,0.185451563072872
independent_test,scale_small,diagnostic_r043,G001,0.214944682305316,0.214944682305316,0,4,4,5,1,0.253099948784919
independent_test,scale_small,diagnostic_r043,G002,0.0873747446339738,0.0873747446339738,0,31,31,41,1,0.159578177064661
independent_test,scale_small,diagnostic_r043,G003,0.144525292064236,0.144525292064236,0,40,40,41,1,0.182678515996039
independent_test,scale_small,diagnostic_r044,G001,0.227043711832152,0.227043711832152,0,4,4,5,1,0.233723681573705
independent_test,scale_small,diagnostic_r044,G002,0.116688184424375,0.116688184424375,0,40,40,41,1,0.132087784067625
independent_test,scale_small,diagnostic_r044,G003,0.15958982853648,0.15958982853648,0,40,40,41,1,0.166693843815322
independent_test,scale_small,diagnostic_r045,G001,0.215052010557295,0.215052010557295,0,5,5,5,1,0.215052010557295
independent_test,scale_small,diagnostic_r045,G002,0.105822712107658,0.105822712107658,0,32,32,41,1,0.105904582288439
independent_test,scale_small,diagnostic_r045,G003,0.148432051041803,0.148432051041803,0,41,41,41,1,0.148432051041803
independent_test,scale_small,diagnostic_r046,G001,0.197864726825301,0.197864726825301,0,6,6,5,1,0.266759130417456
independent_test,scale_small,diagnostic_r046,G002,0.0579607810769147,0.0574554042850289,0.000505376791885774,33,24,41,0,0.180791426926442
independent_test,scale_small,diagnostic_r046,G003,0.13179519077188,0.13179519077188,0,33,33,41,1,0.200526273866368
independent_test,scale_small,diagnostic_r047,G001,0.211158020745583,0.211158020745583,0,4,4,5,1,0.254896617288953
