scenario,condition,status,candidate_order,candidate_library_hash,search_domain_hash,calibration_set_id,evidence_set_id,test_set_id,calibration_snr_db,per_candidate,calibration_main_bounds,calibration_load_bounds,set_seed_base,evidence_seed_base,set_in_sample_truth_coverage,evidence_out_of_sample_truth_coverage,evidence_out_of_sample_empty_count,evidence_out_of_sample_singleton_count,domain_threshold,beta,margin_threshold,confidence_threshold,entropy_threshold
scale_small,stage6b_baseline,calibrated,"G001,G002,G003",6652f1f19afac909e934de6c1cc3120e53d3c1a1afbf66816ab06d99d2d9d815,stage6b_fixed_grid,7f5c2bd8fdb8fc70a865ad1171c7aa33845acb8a5d8bb6699ed4c79dd441cb87,c14491590decb04fa458d139a86b935db4f84f2f1ea1d5f51fa1f04257b84043,57c18a23f50fddf7105ba9e37b2888edd4014a8bc249971413c53a3e2625de2b,35,20,[0.98 1 1.02],[1 1],20366001,20366001,1,NaN,NaN,NaN,0.338279815568141,25.1467939425925,0.0523465588746821,0.758507453904643,0.588841067554004
scale_small,stage7a_original_reused,calibrated,"G001,G002,G003",6652f1f19afac909e934de6c1cc3120e53d3c1a1afbf66816ab06d99d2d9d815,1887d079142abba4bf22670a958c25002454efb4d0b3a49f5e8b2b6ce99e0e7c,d029216b3e24c5344e3dd8a6872bead5299adf20c85000d3a69162c8e7dab04c,9f955302fc4863c17d4b2eceee844b985c86d0ac62c4cea1475ece3890322cef,57c18a23f50fddf7105ba9e37b2888edd4014a8bc249971413c53a3e2625de2b,35,4,[0.9 1.1],[0.8 1.2],29367001,29367001,1,NaN,NaN,NaN,0.416018780114582,28.1362632555493,0.0380440940183934,0.713655324947217,0.653204312843115
scale_small,matched20_n20,calibrated,"G001,G002,G003",6652f1f19afac909e934de6c1cc3120e53d3c1a1afbf66816ab06d99d2d9d815,1887d079142abba4bf22670a958c25002454efb4d0b3a49f5e8b2b6ce99e0e7c,793870e2a8843c7dd1632ce04f62bf1f717364037be5913f20ddceb4655e8b35,9fdf2ac7096b2a46d5924b72ec75e3f8d0d634ce7f97b8badf0cae967fc1073c,57c18a23f50fddf7105ba9e37b2888edd4014a8bc249971413c53a3e2625de2b,20,4,[0.98 1.02],[1 1],203771100,303771100,1,0.916666666666667,1,11,0.429153907458301,30.1676901406873,0.0496057725730688,0.795691769564214,0.585727093420936
scale_small,matched20_n100,calibrated,"G001,G002,G003",6652f1f19afac909e934de6c1cc3120e53d3c1a1afbf66816ab06d99d2d9d815,1887d079142abba4bf22670a958c25002454efb4d0b3a49f5e8b2b6ce99e0e7c,8751380bfb455467bdb7e0b466aa7651938f0af6c733f9bea329d9c655e82135,e890d5a0db4db5f0c4b619791e77f8b57c6eed45fb90afaaf2a02f2f0ece9ae3,57c18a23f50fddf7105ba9e37b2888edd4014a8bc249971413c53a3e2625de2b,20,4,[0.98 1.02],[1 1],204771100,304771100,1,0.75,3,9,0.339808804104052,24.4883324572506,0.0663791810257042,0.812045334589606,0.512095302455098
scale_small,matched20_n200,calibrated,"G001,G002,G003",6652f1f19afac909e934de6c1cc3120e53d3c1a1afbf66816ab06d99d2d9d815,1887d079142abba4bf22670a958c25002454efb4d0b3a49f5e8b2b6ce99e0e7c,f8050faca21ba1344fac8bc34f908d9e81e001195d4f6001ef0603f766f9f7d3,62891f80f517e9247cb79292b2f217fe68227a8e3c4863bd432dbd7f71d178c7,57c18a23f50fddf7105ba9e37b2888edd4014a8bc249971413c53a3e2625de2b,20,4,[0.98 1.02],[1 1],205771100,305771100,1,0.75,3,9,0.366221918551585,24.4759067699798,0.0544189851606822,0.76226526435806,0.592053845002529
scale_small,snr35_n100,calibrated,"G001,G002,G003",6652f1f19afac909e934de6c1cc3120e53d3c1a1afbf66816ab06d99d2d9d815,1887d079142abba4bf22670a958c25002454efb4d0b3a49f5e8b2b6ce99e0e7c,b2b363551b3c03337f1f012a291d5760d280168903f381319e62c75b6dc7627a,6fc9ee22e4b68c55c54cd4a7d258dd5b6477a10c418e65ec0775bc547405d963,57c18a23f50fddf7105ba9e37b2888edd4014a8bc249971413c53a3e2625de2b,35,4,[0.98 1.02],[1 1],206771100,306771100,1,0.916666666666667,1,11,0.37026194591029,28.8583327630194,0.0587172340021566,0.826196400531073,0.480562562791666
scale_small,nuisance_broad20_n100,calibrated,"G001,G002,G003",6652f1f19afac909e934de6c1cc3120e53d3c1a1afbf66816ab06d99d2d9d815,1887d079142abba4bf22670a958c25002454efb4d0b3a49f5e8b2b6ce99e0e7c,fdcbe34aa63273211df32fcbd653d3fc8c016a785ecbd5d1aa6100d35edf2db3,418504cc370013b0286b8622e24238745d1caedc5c0897ea527d3fba32d957bb,57c18a23f50fddf7105ba9e37b2888edd4014a8bc249971413c53a3e2625de2b,20,4,[0.9 1.1],[0.8 1.2],207771100,307771100,1,0.916666666666667,1,11,0.393243655068183,26.853542895849,0.0471200494007475,0.749334513987862,0.611532270355641
scale_small,combined_broad35_n20,calibrated,"G001,G002,G003",6652f1f19afac909e934de6c1cc3120e53d3c1a1afbf66816ab06d99d2d9d815,1887d079142abba4bf22670a958c25002454efb4d0b3a49f5e8b2b6ce99e0e7c,3d8bba9925805e98bf1b29cf5f06bff0930340d69ed201886e2937813f3cebad,f93dfe6a468c54eb7a4efe5f4bddfe987c37463861df6e784975ca164b3bfad9,57c18a23f50fddf7105ba9e37b2888edd4014a8bc249971413c53a3e2625de2b,35,4,[0.9 1.1],[0.8 1.2],208771100,308771100,1,0.75,3,9,0.407225714047282,22.1819850089803,0.0676148585720522,0.786491242259766,0.563020704940478
scale_small,combined_broad35_n100,calibrated,"G001,G002,G003",6652f1f19afac909e934de6c1cc3120e53d3c1a1afbf66816ab06d99d2d9d815,1887d079142abba4bf22670a958c25002454efb4d0b3a49f5e8b2b6ce99e0e7c,fcfe21fbec3e7e5cbe3ce356143dc6df0633d96f6946a337ffbdd55fe18bb3b7,e38b3e5854d4735e4e22edda08d6d2074f10d791794841e75ca0eedc4f305883,57c18a23f50fddf7105ba9e37b2888edd4014a8bc249971413c53a3e2625de2b,35,4,[0.9 1.1],[0.8 1.2],209771100,309771100,1,0.916666666666667,1,11,0.405186546671287,24.4741696176068,0.0529997777163028,0.756465305209405,0.599390228590785
scale_small,originalset_split_evidence_n20,calibrated,"G001,G002,G003",6652f1f19afac909e934de6c1cc3120e53d3c1a1afbf66816ab06d99d2d9d815,1887d079142abba4bf22670a958c25002454efb4d0b3a49f5e8b2b6ce99e0e7c,d029216b3e24c5344e3dd8a6872bead5299adf20c85000d3a69162c8e7dab04c,39e4bdf940f8f2d963ca353d73e35997117dca9f8a1965b8a90ab316ce0b607a,57c18a23f50fddf7105ba9e37b2888edd4014a8bc249971413c53a3e2625de2b,35,4,[0.9 1.1],[0.8 1.2],29367001,310771100,1,0.916666666666667,1,11,0.416018780114582,24.9628922815447,0.058002435081458,0.718267532663578,0.718780651746666
scale_medium,stage6b_baseline,calibrated,"G001,G002,G003,G004,G005,G006,G007",645823e974494c88df292f21710687eef8a16ec4e566cd736905d508715576f5,stage6b_fixed_grid,3df20800c72d254bfbeac5b7ed8f81b4e0fc610d0de8608936ad81f3937545e6,338957fd30a138ff6adfe441c913aa420e71671d48035f8f9c9fdbb0fcd41ae4,57c18a23f50fddf7105ba9e37b2888edd4014a8bc249971413c53a3e2625de2b,35,20,[0.98 1 1.02],[1 1],20466001,20466001,1,NaN,NaN,NaN,0.322499359402373,24.8270732610651,1.38777878078145e-17,0.321829073769966,0.835872982520271
