candidate_id,candidate_signature,candidate_rank,profile_distance,candidate_p_value,in_candidate_set,is_truth,normalized_confidence_score,best_template_index,best_main_scale,best_branch_load_scale,dataset,scenario,sample,method,observation_seed,calibration_set_id,evidence_set_id,test_set_id
G001,"M=20,20,20,20,|T=0,0,0,0,|B=none",3,0.205718881244447,0.0476190476190476,0,0,0.0311738969384791,NaN,NaN,NaN,independent_test,scale_small,diagnostic_r001,stage6b_baseline,402671101,7f5c2bd8fdb8fc70a865ad1171c7aa33845acb8a5d8bb6699ed4c79dd441cb87,c14491590decb04fa458d139a86b935db4f84f2f1ea1d5f51fa1f04257b84043,57c18a23f50fddf7105ba9e37b2888edd4014a8bc249971413c53a3e2625de2b
G002,"M=20,20,20,20,|T=0,0,0,0,|B=2,15,1,50;",1,0.076400041268761,0.285714285714286,1,1,0.805558100554203,NaN,NaN,NaN,independent_test,scale_small,diagnostic_r001,stage6b_baseline,402671101,7f5c2bd8fdb8fc70a865ad1171c7aa33845acb8a5d8bb6699ed4c79dd441cb87,c14491590decb04fa458d139a86b935db4f84f2f1ea1d5f51fa1f04257b84043,57c18a23f50fddf7105ba9e37b2888edd4014a8bc249971413c53a3e2625de2b
G003,"M=20,20,20,20,|T=0,0,0,0,|B=1,15,1,50;",2,0.13987303491112,0.0476190476190476,0,0,0.163268002507318,NaN,NaN,NaN,independent_test,scale_small,diagnostic_r001,stage6b_baseline,402671101,7f5c2bd8fdb8fc70a865ad1171c7aa33845acb8a5d8bb6699ed4c79dd441cb87,c14491590decb04fa458d139a86b935db4f84f2f1ea1d5f51fa1f04257b84043,57c18a23f50fddf7105ba9e37b2888edd4014a8bc249971413c53a3e2625de2b
G001,"M=20,20,20,20,|T=0,0,0,0,|B=none",3,0.227470249721074,0.2,0,0,0.0363015084450024,6,1.025,0.8,independent_test,scale_small,diagnostic_r001,stage7a_original_reused,402671101,d029216b3e24c5344e3dd8a6872bead5299adf20c85000d3a69162c8e7dab04c,9f955302fc4863c17d4b2eceee844b985c86d0ac62c4cea1475ece3890322cef,57c18a23f50fddf7105ba9e37b2888edd4014a8bc249971413c53a3e2625de2b
G002,"M=20,20,20,20,|T=0,0,0,0,|B=2,15,1,50;",1,0.120997001140184,0.2,0,1,0.726049828750169,33,1.025,1.1,independent_test,scale_small,diagnostic_r001,stage7a_original_reused,402671101,d029216b3e24c5344e3dd8a6872bead5299adf20c85000d3a69162c8e7dab04c,9f955302fc4863c17d4b2eceee844b985c86d0ac62c4cea1475ece3890322cef,57c18a23f50fddf7105ba9e37b2888edd4014a8bc249971413c53a3e2625de2b
G003,"M=20,20,20,20,|T=0,0,0,0,|B=1,15,1,50;",2,0.160690448015682,0.2,0,0,0.237648662804829,42,1.025,1.2,independent_test,scale_small,diagnostic_r001,stage7a_original_reused,402671101,d029216b3e24c5344e3dd8a6872bead5299adf20c85000d3a69162c8e7dab04c,9f955302fc4863c17d4b2eceee844b985c86d0ac62c4cea1475ece3890322cef,57c18a23f50fddf7105ba9e37b2888edd4014a8bc249971413c53a3e2625de2b
G001,"M=20,20,20,20,|T=0,0,0,0,|B=none",3,0.227470249721074,0.2,0,0,0.0300051115018322,6,1.025,0.8,independent_test,scale_small,diagnostic_r001,matched20_n20,402671101,793870e2a8843c7dd1632ce04f62bf1f717364037be5913f20ddceb4655e8b35,9fdf2ac7096b2a46d5924b72ec75e3f8d0d634ce7f97b8badf0cae967fc1073c,57c18a23f50fddf7105ba9e37b2888edd4014a8bc249971413c53a3e2625de2b
G002,"M=20,20,20,20,|T=0,0,0,0,|B=2,15,1,50;",1,0.120997001140184,0.2,0,1,0.745026450669493,33,1.025,1.1,independent_test,scale_small,diagnostic_r001,matched20_n20,402671101,793870e2a8843c7dd1632ce04f62bf1f717364037be5913f20ddceb4655e8b35,9fdf2ac7096b2a46d5924b72ec75e3f8d0d634ce7f97b8badf0cae967fc1073c,57c18a23f50fddf7105ba9e37b2888edd4014a8bc249971413c53a3e2625de2b
G003,"M=20,20,20,20,|T=0,0,0,0,|B=1,15,1,50;",2,0.160690448015682,0.2,0,0,0.224968437828675,42,1.025,1.2,independent_test,scale_small,diagnostic_r001,matched20_n20,402671101,793870e2a8843c7dd1632ce04f62bf1f717364037be5913f20ddceb4655e8b35,9fdf2ac7096b2a46d5924b72ec75e3f8d0d634ce7f97b8badf0cae967fc1073c,57c18a23f50fddf7105ba9e37b2888edd4014a8bc249971413c53a3e2625de2b
G001,"M=20,20,20,20,|T=0,0,0,0,|B=none",3,0.227470249721074,0.2,0,0,0.0507763119463916,6,1.025,0.8,independent_test,scale_small,diagnostic_r001,matched20_n100,402671101,8751380bfb455467bdb7e0b466aa7651938f0af6c733f9bea329d9c655e82135,e890d5a0db4db5f0c4b619791e77f8b57c6eed45fb90afaaf2a02f2f0ece9ae3,57c18a23f50fddf7105ba9e37b2888edd4014a8bc249971413c53a3e2625de2b
