scenario,condition,status,candidate_count,model_bytes,cache_time_s,set_calibration_time_s,evidence_calibration_time_s,evidence_reference_count
scale_small,stage6b_baseline,calibrated,3,105276,0.038748,0.120637,NaN,60
scale_small,stage7a_original_reused,calibrated,3,188329,0.071214,0.04553,NaN,12
scale_small,matched20_n20,calibrated,3,189165,0,0.020872,0.016955,11
scale_small,matched20_n100,calibrated,3,189165,0,0.011531,0.010747,9
scale_small,matched20_n200,calibrated,3,189165,0,0.017438,0.016719,9
scale_small,snr35_n100,calibrated,3,189165,0,0.01105,0.009957,11
scale_small,nuisance_broad20_n100,calibrated,3,189165,0,0.012129,0.010865,11
scale_small,combined_broad35_n20,calibrated,3,189165,0,0.010385,0.009178,9
scale_small,combined_broad35_n100,calibrated,3,189165,0,0.010236,0.009623,11
scale_small,originalset_split_evidence_n20,calibrated,3,189165,0,0,0.010034,11
scale_medium,stage6b_baseline,calibrated,7,245966,0.018212,0.101585,NaN,50
scale_medium,stage7a_original_reused,calibrated,7,429403,0.123117,0.033082,NaN,9
scale_medium,matched20_n20,calibrated,7,428703,0,0.031828,0.025091,8
scale_medium,matched20_n100,calibrated,7,428703,0,0.027632,0.034335,8
scale_medium,matched20_n200,calibrated,7,428703,0,0.025199,0.0227,9
scale_medium,snr35_n100,calibrated,7,428703,0,0.024986,0.023277,7
scale_medium,nuisance_broad20_n100,calibrated,7,428703,0,0.025689,0.024162,7
scale_medium,combined_broad35_n20,calibrated,7,428703,0,0.025778,0.024607,7
scale_medium,combined_broad35_n100,calibrated,7,428703,0,0.025035,0.022805,6
scale_medium,originalset_split_evidence_n20,calibrated,7,428703,0,0,0.022874,10
scale_large,stage6b_baseline,calibrated,23,933268,0.173993,0.467289,NaN,65
scale_large,stage7a_original_reused,calibrated,23,1441065,0.477844,0.128336,NaN,13
scale_large,matched20_n20,calibrated,23,1423981,0,0.122489,0.115336,12
scale_large,matched20_n100,calibrated,23,1423981,0,0.13102,0.126469,11
scale_large,matched20_n200,calibrated,23,1423981,0,0.12689,0.111849,10
scale_large,snr35_n100,calibrated,23,1423981,0,0.125797,0.115302,10
scale_large,nuisance_broad20_n100,calibrated,23,1423981,0,0.122223,0.122312,10
scale_large,combined_broad35_n20,calibrated,23,1423981,0,0.130501,0.121284,7
scale_large,combined_broad35_n100,calibrated,23,1423981,0,0.121331,0.129859,3
scale_large,originalset_split_evidence_n20,calibrated,23,1423981,0,0,0.11906,10
