library,method,alpha,n,covered,coverage,mean_set_size,median_set_size,empty,singleton,multiple,set_hash,test_seed_base
scale_small,M2_class_conditional,0.05,150,144,0.96,0.966666666666667,1,6,143,1,f9e59f872c8e1dc9409e0784fd1bd4dfa66d3fe9e2540781c152357182ff8bc8,550000000
scale_small,M2_class_conditional,0.1,150,131,0.873333333333333,0.873333333333333,1,19,131,0,f05c28cec8bdb47d0c5ffde3c81550bddd1f6db2fb23e17908de9007c7a17414,550000000
scale_small,M2_class_conditional,0.2,150,119,0.793333333333333,0.793333333333333,1,31,119,0,61bdf1487add4608010c9c55f033a2549bae1a925f41bfb9916226e21b648d6f,550000000
scale_small,M3_pooled_empirical,0.05,150,140,0.933333333333333,1.24666666666667,1,10,93,47,47a4d5b6920e84c328f990395856eb5281ba145fd258c75a043ad82c6af61582,550000000
scale_small,M3_pooled_empirical,0.1,150,133,0.886666666666667,0.94,1,17,125,8,e427a9763f5b5003759a3ff63e2512d91c569bef4d354b1344a5a96a5874aa92,550000000
scale_small,M3_pooled_empirical,0.2,150,122,0.813333333333333,0.813333333333333,1,28,122,0,2ae895727df799f310104d125a6cc4da559e2710271bdced273e7608f04d9da7,550000000
scale_medium,M2_class_conditional,0.05,350,337,0.962857142857143,2.00857142857143,2,10,105,235,98827b01faa49b03b41d223a920eac03807984baa07dffe65dcfa2c5e3584754,550000000
scale_medium,M2_class_conditional,0.1,350,325,0.928571428571429,1.89428571428571,2,22,107,221,6ace78038c63d9e46736423a4cc7d4bb688df3210c244cd67497a9547960f452,550000000
scale_medium,M2_class_conditional,0.2,350,284,0.811428571428571,1.66285714285714,2,63,93,194,bdf4569cac58c0609a7698bc3cfaa52103b0e62283d69cfcaa90a1efb68d7b71,550000000
scale_medium,M3_pooled_empirical,0.05,350,334,0.954285714285714,3.73428571428571,5,16,67,267,133544a13dcaa634de9d0602f544ca0498090cc1c949c237857016390e9541ed,550000000
scale_medium,M3_pooled_empirical,0.1,350,323,0.922857142857143,2.25428571428571,2,27,73,250,2c796c67b8ae08e6ccb505e7f586b407bf885db2488e1931d9fcdcc2ae2ee68e,550000000
scale_medium,M3_pooled_empirical,0.2,350,290,0.828571428571429,1.88857142857143,2,60,58,232,6718f7c353888a9c641894ed7611dfa252e9345392ef126912ce50164400eec6,550000000
scale_large,M2_class_conditional,0.05,1150,1091,0.948695652173913,7.86173913043478,7,39,127,984,87d8751a71dd480fd208a3e37ea6926a5725fffd6267d7bc77ffb3e9e78f4728,550000000
scale_large,M2_class_conditional,0.1,1150,1039,0.903478260869565,7.08086956521739,7,101,119,930,cd6d59fe090d46773f1e2c98998a8540fd99a3040580e28f62d30e39ddd4f272,550000000
scale_large,M2_class_conditional,0.2,1150,935,0.81304347826087,5.75130434782609,5,202,124,824,4f8dda800ebb18f1b917e183ef9b4360248941544a025a2f9664f6cc73ccab81,550000000
scale_large,M3_pooled_empirical,0.05,1150,1086,0.944347826086957,11.3495652173913,13,64,63,1023,99b38d604057852ed054c0a03ed5179b0641ebfb6366a0f245e3e2c4645cdf3d,550000000
scale_large,M3_pooled_empirical,0.1,1150,1042,0.906086956521739,9.28695652173913,12,108,85,957,121f0d675e9646b8609ff62d2f127f1be58d580772646cca32ea95470660cd8a,550000000
scale_large,M3_pooled_empirical,0.2,1150,909,0.790434782608696,6.8104347826087,6,241,71,838,16172f897b372003058e9386fe424c2206755b1050fe6724ac1e11c3e65634f7,550000000
