library,scenario,method,stratum,n,truth_in_library_n,top1_correct_k,truth_set_covered_k,set_coverage,set_coverage_low95,set_coverage_high95,mean_set_size,median_set_size,empty_k,singleton_k,multiple_k,unique_k,unique_rate,unique_rate_low95,unique_rate_high95,correct_unique_k,wrong_unique_k,false_unique_rate,false_unique_low95,false_unique_high95,unique_accuracy,selective_error,selective_error_low95,selective_error_high95,rejected_k,low_confidence_k,ambiguous_k,domain_rejected_k,mean_decision_time_s
scale_small,in_domain,M0_stage7a_original,all,150,150,150,143,0.953333333333333,0.906813527600873,0.977213450838738,0.953333333333333,1,7,143,0,133,0.886666666666667,0.825997250162395,0.928025760859626,133,0,0,1.73472347597681e-18,0.0249702443680766,1,0,0,0.0280723316880717,7,10,0,2,0.000319593333333333
scale_small,in_domain,M0_stage7a_original,class_001,50,50,50,50,1,0.928652400866641,1,1,1,0,50,0,46,0.92,0.811617530816572,0.968450485911407,46,0,0,6.93889390390723e-18,0.0713475991333587,1,0,0,0.0770735630855804,0,4,0,0,0.00049072
scale_small,in_domain,M0_stage7a_original,class_002,50,50,50,44,0.88,0.76195182616797,0.943823998490677,0.88,1,6,44,0,38,0.76,0.625873162420571,0.857026086030083,38,0,0,6.93889390390723e-18,0.0713475991333587,1,0,0,0.091809868225584,6,6,0,2,0.00024602
scale_small,in_domain,M0_stage7a_original,class_003,50,50,50,49,0.98,0.895045564103622,0.996460740728354,0.98,1,1,49,0,49,0.98,0.895045564103622,0.996460740728354,49,0,0,6.93889390390723e-18,0.0713475991333587,1,0,6.93889390390723e-18,0.0726978192204964,1,0,0,0,0.00022204
scale_small,in_domain,M1_stage7a1_split,all,150,150,150,143,0.953333333333333,0.906813527600873,0.977213450838738,0.953333333333333,1,7,143,0,124,0.826666666666667,0.758140072610063,0.878879367736127,124,0,0,1.73472347597681e-18,0.0249702443680766,1,0,0,0.0300486153406777,7,19,0,2,0.0002506
scale_small,in_domain,M1_stage7a1_split,class_001,50,50,50,50,1,0.928652400866641,1,1,1,0,50,0,42,0.84,0.71485783936965,0.916625793219666,42,0,0,6.93889390390723e-18,0.0713475991333587,1,0,0,0.0837987908657039,0,8,0,0,0.00032132
scale_small,in_domain,M1_stage7a1_split,class_002,50,50,50,44,0.88,0.76195182616797,0.943823998490677,0.88,1,6,44,0,35,0.7,0.562496495355466,0.808964464991191,35,0,0,6.93889390390723e-18,0.0713475991333587,1,0,6.93889390390723e-18,0.098900992324404,6,9,0,2,0.0002144
scale_small,in_domain,M1_stage7a1_split,class_003,50,50,50,49,0.98,0.895045564103622,0.996460740728354,0.98,1,1,49,0,47,0.94,0.837829083111618,0.979385029651026,47,0,0,6.93889390390723e-18,0.0713475991333587,1,0,0,0.0755576041639963,1,2,0,0,0.00021608
scale_small,in_domain,M2_class_conditional,all,150,150,150,144,0.96,0.915486535783444,0.981540839397926,0.966666666666667,1,6,143,1,130,0.866666666666667,0.803019825502258,0.912001995294486,130,0,0,1.73472347597681e-18,0.0249702443680766,1,0,0,0.0287015611944314,6,14,0,3,0.000146753333333333
scale_small,in_domain,M2_class_conditional,class_001,50,50,50,48,0.96,0.86539909312493,0.98896111567238,0.96,1,2,48,0,45,0.9,0.786397685625204,0.95652423506811,45,0,0,6.93889390390723e-18,0.0713475991333587,1,0,0,0.0786515987328884,2,3,0,1,0.00017256
