library,split,scenario,seed,truth_candidate_index,truth_signature
scale_small,D_development,in_domain,510101001,1,"M=20,20,20,20,|T=0,0,0,0,|B=none"
scale_small,D_development,in_domain,510101002,1,"M=20,20,20,20,|T=0,0,0,0,|B=none"
scale_small,D_development,in_domain,510101003,1,"M=20,20,20,20,|T=0,0,0,0,|B=none"
scale_small,D_development,in_domain,510101004,1,"M=20,20,20,20,|T=0,0,0,0,|B=none"
scale_small,D_development,in_domain,510101005,1,"M=20,20,20,20,|T=0,0,0,0,|B=none"
scale_small,D_development,in_domain,510101006,1,"M=20,20,20,20,|T=0,0,0,0,|B=none"
scale_small,D_development,in_domain,510101007,1,"M=20,20,20,20,|T=0,0,0,0,|B=none"
scale_small,D_development,in_domain,510101008,1,"M=20,20,20,20,|T=0,0,0,0,|B=none"
scale_small,D_development,in_domain,510101009,1,"M=20,20,20,20,|T=0,0,0,0,|B=none"
scale_small,D_development,in_domain,510101010,1,"M=20,20,20,20,|T=0,0,0,0,|B=none"
scale_small,D_development,in_domain,510102001,2,"M=20,20,20,20,|T=0,0,0,0,|B=2,15,1,50;"
scale_small,D_development,in_domain,510102002,2,"M=20,20,20,20,|T=0,0,0,0,|B=2,15,1,50;"
scale_small,D_development,in_domain,510102003,2,"M=20,20,20,20,|T=0,0,0,0,|B=2,15,1,50;"
scale_small,D_development,in_domain,510102004,2,"M=20,20,20,20,|T=0,0,0,0,|B=2,15,1,50;"
scale_small,D_development,in_domain,510102005,2,"M=20,20,20,20,|T=0,0,0,0,|B=2,15,1,50;"
scale_small,D_development,in_domain,510102006,2,"M=20,20,20,20,|T=0,0,0,0,|B=2,15,1,50;"
scale_small,D_development,in_domain,510102007,2,"M=20,20,20,20,|T=0,0,0,0,|B=2,15,1,50;"
scale_small,D_development,in_domain,510102008,2,"M=20,20,20,20,|T=0,0,0,0,|B=2,15,1,50;"
scale_small,D_development,in_domain,510102009,2,"M=20,20,20,20,|T=0,0,0,0,|B=2,15,1,50;"
scale_small,D_development,in_domain,510102010,2,"M=20,20,20,20,|T=0,0,0,0,|B=2,15,1,50;"
scale_small,D_development,in_domain,510103001,3,"M=20,20,20,20,|T=0,0,0,0,|B=1,15,1,50;"
scale_small,D_development,in_domain,510103002,3,"M=20,20,20,20,|T=0,0,0,0,|B=1,15,1,50;"
scale_small,D_development,in_domain,510103003,3,"M=20,20,20,20,|T=0,0,0,0,|B=1,15,1,50;"
scale_small,D_development,in_domain,510103004,3,"M=20,20,20,20,|T=0,0,0,0,|B=1,15,1,50;"
scale_small,D_development,in_domain,510103005,3,"M=20,20,20,20,|T=0,0,0,0,|B=1,15,1,50;"
scale_small,D_development,in_domain,510103006,3,"M=20,20,20,20,|T=0,0,0,0,|B=1,15,1,50;"
