library,method,alpha,n,covered,coverage,mean_set_size,median_set_size,empty,singleton,multiple,set_hash,test_seed_base
scale_small,M2_class_conditional,0.05,6,6,1,3,3,0,0,6,439424f365b9cc20cd439dae0c4e2075815a73e90223fce6336206bbb023ae8d,550000000
scale_small,M2_class_conditional,0.1,6,6,1,3,3,0,0,6,9442eab31982ecc7b6990e078183d0432e87ead548f4bc3014d489eb95538ec1,550000000
scale_small,M2_class_conditional,0.2,6,6,1,1,1,0,6,0,2744cdcb553c21220fde403a4f2e90dbe4c7d323b1682adc04409faf454b8dfe,550000000
scale_small,M3_pooled_empirical,0.05,6,6,1,3,3,0,0,6,b83e5f89c02d933c6fb4ed71df3afbc0a60cb99e48caf340bb76506ff2eeeb59,550000000
scale_small,M3_pooled_empirical,0.1,6,6,1,1.66666666666667,2,0,2,4,9c150902068b4c7254cf12eb2d7ab3d2897247e889ccb7993cf9a93f3b7ff82a,550000000
scale_small,M3_pooled_empirical,0.2,6,5,0.833333333333333,0.833333333333333,1,1,5,0,ce6fc31b9e9ea5e13f6179ef05abb80bc73d58ce250bec2db14c815bc15a27a3,550000000
scale_medium,M2_class_conditional,0.05,14,14,1,7,7,0,0,14,07af3d99da32b9398cca78ce468bef31d788c90a52d5de1bac27c45469d92e6e,550000000
scale_medium,M2_class_conditional,0.1,14,14,1,7,7,0,0,14,c16a078d3726036ea4a44c3d19654f7cdf4a45a3742e0ffafeb37d7b4a1823d8,550000000
scale_medium,M2_class_conditional,0.2,14,10,0.714285714285714,1.35714285714286,1.5,3,4,7,2f0f39232e85afbe188c58753f16613c878f6e5f2b6fac6b706eb147a3ae1980,550000000
scale_medium,M3_pooled_empirical,0.05,14,13,0.928571428571429,5.07142857142857,6,1,1,12,c95653048a4022ce4f7f59a567398a30c5ad2c6897714451dc80464f11fa8be0,550000000
scale_medium,M3_pooled_empirical,0.1,14,13,0.928571428571429,5.07142857142857,6,1,1,12,74a8f0dde14ccf8f7567fbe3d603e6c2884a545599b0d1ff4e55510c9d78f601,550000000
scale_medium,M3_pooled_empirical,0.2,14,13,0.928571428571429,2.42857142857143,2.5,1,3,10,23c2bcb6d8595ac2b2a5bffed08e327cedba001e99e25542410beefa66eea293,550000000
scale_large,M2_class_conditional,0.05,46,46,1,23,23,0,0,46,73a02aec5b738d3cf1bc00c25b686e4a966d22c7bfcc022a74a1097afb6459f7,550000000
scale_large,M2_class_conditional,0.1,46,46,1,23,23,0,0,46,1d720bbad248004a4f5f154d53a2a8703117d95e9f41fea3a33408a6d1bd7ef8,550000000
scale_large,M2_class_conditional,0.2,46,33,0.717391304347826,3.41304347826087,2,10,7,29,99db36f800d99262adbdcbdbb7cd77eafda4e362dda5f2050a1f9dee0f8ed941,550000000
scale_large,M3_pooled_empirical,0.05,46,46,1,12.8913043478261,15,0,2,44,6f273da23701862771131497f20a0b83435c3b535679fd9c5aa788b7b215a17a,550000000
scale_large,M3_pooled_empirical,0.1,46,43,0.934782608695652,8.97826086956522,11,3,4,39,1875055cacd0b466f972ee9d28fc36a370317e8432c29fac5991ae54b32a4d2a,550000000
scale_large,M3_pooled_empirical,0.2,46,32,0.695652173913043,5.02173913043478,3,14,5,27,43fb108c2fb8263665401b5eeadbad36fc5f9de4d65a10eb3b5ff8382788a0ba,550000000
