library,scenario,method,stratum,n,truth_in_library_n,top1_correct_k,truth_set_covered_k,set_coverage,set_coverage_low95,set_coverage_high95,mean_set_size,median_set_size,empty_k,singleton_k,multiple_k,unique_k,unique_rate,unique_rate_low95,unique_rate_high95,correct_unique_k,wrong_unique_k,false_unique_rate,false_unique_low95,false_unique_high95,unique_accuracy,selective_error,selective_error_low95,selective_error_high95,rejected_k,low_confidence_k,ambiguous_k,domain_rejected_k,mean_decision_time_s
scale_small,in_domain,M0_stage7a_original,all,6,6,6,6,1,0.609665712097835,1,1,1,0,6,0,6,1,0.609665712097835,1,6,0,0,2.77555756156289e-17,0.390334287902165,1,0,2.77555756156289e-17,0.390334287902165,0,0,0,0,0.00228066666666667
scale_small,in_domain,M0_stage7a_original,class_001,2,2,2,2,1,0.342380227506653,1,1,1,0,2,0,2,1,0.342380227506653,1,2,0,0,0,0.657619772493347,1,0,0,0.657619772493347,0,0,0,0,0.0035285
scale_small,in_domain,M0_stage7a_original,class_002,2,2,2,2,1,0.342380227506653,1,1,1,0,2,0,2,1,0.342380227506653,1,2,0,0,0,0.657619772493347,1,0,0,0.657619772493347,0,0,0,0,0.0027865
scale_small,in_domain,M0_stage7a_original,class_003,2,2,2,2,1,0.342380227506653,1,1,1,0,2,0,2,1,0.342380227506653,1,2,0,0,0,0.657619772493347,1,0,0,0.657619772493347,0,0,0,0,0.000527
scale_small,in_domain,M1_stage7a1_split,all,6,6,6,6,1,0.609665712097835,1,1,1,0,6,0,6,1,0.609665712097835,1,6,0,0,2.77555756156289e-17,0.390334287902165,1,0,2.77555756156289e-17,0.390334287902165,0,0,0,0,0.000901666666666667
scale_small,in_domain,M1_stage7a1_split,class_001,2,2,2,2,1,0.342380227506653,1,1,1,0,2,0,2,1,0.342380227506653,1,2,0,0,0,0.657619772493347,1,0,0,0.657619772493347,0,0,0,0,0.0017095
scale_small,in_domain,M1_stage7a1_split,class_002,2,2,2,2,1,0.342380227506653,1,1,1,0,2,0,2,1,0.342380227506653,1,2,0,0,0,0.657619772493347,1,0,0,0.657619772493347,0,0,0,0,0.0004845
scale_small,in_domain,M1_stage7a1_split,class_003,2,2,2,2,1,0.342380227506653,1,1,1,0,2,0,2,1,0.342380227506653,1,2,0,0,0,0.657619772493347,1,0,0,0.657619772493347,0,0,0,0,0.000511
scale_small,in_domain,M2_class_conditional,all,6,6,6,6,1,0.609665712097835,1,3,3,0,0,6,0,0,2.77555756156289e-17,0.390334287902165,0,0,0,2.77555756156289e-17,0.390334287902165,NaN,NaN,NaN,NaN,0,0,6,0,0.000402666666666667
scale_small,in_domain,M2_class_conditional,class_001,2,2,2,2,1,0.342380227506653,1,3,3,0,0,2,0,0,0,0.657619772493347,0,0,0,0,0.657619772493347,NaN,NaN,NaN,NaN,0,0,2,0,0.000429
scale_small,in_domain,M2_class_conditional,class_002,2,2,2,2,1,0.342380227506653,1,3,3,0,0,2,0,0,0,0.657619772493347,0,0,0,0,0.657619772493347,NaN,NaN,NaN,NaN,0,0,2,0,0.000384
scale_small,in_domain,M2_class_conditional,class_003,2,2,2,2,1,0.342380227506653,1,3,3,0,0,2,0,0,0,0.657619772493347,0,0,0,0,0.657619772493347,NaN,NaN,NaN,NaN,0,0,2,0,0.000395
scale_small,in_domain,M3_pooled_empirical,all,6,6,6,6,1,0.609665712097835,1,3,3,0,0,6,0,0,2.77555756156289e-17,0.390334287902165,0,0,0,2.77555756156289e-17,0.390334287902165,NaN,NaN,NaN,NaN,0,0,6,0,0.000241833333333333
scale_small,in_domain,M3_pooled_empirical,class_001,2,2,2,2,1,0.342380227506653,1,3,3,0,0,2,0,0,0,0.657619772493347,0,0,0,0,0.657619772493347,NaN,NaN,NaN,NaN,0,0,2,0,0.0002355
scale_small,in_domain,M3_pooled_empirical,class_002,2,2,2,2,1,0.342380227506653,1,3,3,0,0,2,0,0,0,0.657619772493347,0,0,0,0,0.657619772493347,NaN,NaN,NaN,NaN,0,0,2,0,0.000157
scale_small,in_domain,M3_pooled_empirical,class_003,2,2,2,2,1,0.342380227506653,1,3,3,0,0,2,0,0,0,0.657619772493347,0,0,0,0,0.657619772493347,NaN,NaN,NaN,NaN,0,0,2,0,0.000333
scale_small,in_domain,M2R_class_risk_gated,all,6,6,6,6,1,0.609665712097835,1,3,3,0,0,6,0,0,2.77555756156289e-17,0.390334287902165,0,0,0,2.77555756156289e-17,0.390334287902165,NaN,NaN,NaN,NaN,0,0,6,0,0.000332833333333333
scale_small,in_domain,M2R_class_risk_gated,class_001,2,2,2,2,1,0.342380227506653,1,3,3,0,0,2,0,0,0,0.657619772493347,0,0,0,0,0.657619772493347,NaN,NaN,NaN,NaN,0,0,2,0,0.0003295
scale_small,in_domain,M2R_class_risk_gated,class_002,2,2,2,2,1,0.342380227506653,1,3,3,0,0,2,0,0,0,0.657619772493347,0,0,0,0,0.657619772493347,NaN,NaN,NaN,NaN,0,0,2,0,0.0003085
scale_small,in_domain,M2R_class_risk_gated,class_003,2,2,2,2,1,0.342380227506653,1,3,3,0,0,2,0,0,0,0.657619772493347,0,0,0,0,0.657619772493347,NaN,NaN,NaN,NaN,0,0,2,0,0.0003605
scale_small,in_domain,M3R_pooled_risk_gated,all,6,6,6,6,1,0.609665712097835,1,3,3,0,0,6,0,0,2.77555756156289e-17,0.390334287902165,0,0,0,2.77555756156289e-17,0.390334287902165,NaN,NaN,NaN,NaN,0,0,6,0,0.000199833333333333
scale_small,in_domain,M3R_pooled_risk_gated,class_001,2,2,2,2,1,0.342380227506653,1,3,3,0,0,2,0,0,0,0.657619772493347,0,0,0,0,0.657619772493347,NaN,NaN,NaN,NaN,0,0,2,0,0.000193
scale_small,in_domain,M3R_pooled_risk_gated,class_002,2,2,2,2,1,0.342380227506653,1,3,3,0,0,2,0,0,0,0.657619772493347,0,0,0,0,0.657619772493347,NaN,NaN,NaN,NaN,0,0,2,0,0.000308
scale_small,in_domain,M3R_pooled_risk_gated,class_003,2,2,2,2,1,0.342380227506653,1,3,3,0,0,2,0,0,0,0.657619772493347,0,0,0,0,0.657619772493347,NaN,NaN,NaN,NaN,0,0,2,0,9.85e-05
scale_small,library_out,M0_stage7a_original,all,4,0,0,0,NaN,NaN,NaN,1,1,0,4,0,4,1,0.510109163545403,1,0,4,1,0.510109163545403,1,0,1,0.510109163545403,1,0,0,0,0,0.0006
scale_small,library_out,M1_stage7a1_split,all,4,0,0,0,NaN,NaN,NaN,1,1,0,4,0,4,1,0.510109163545403,1,0,4,1,0.510109163545403,1,0,1,0.510109163545403,1,0,0,0,0,0.0002985
scale_small,library_out,M2_class_conditional,all,4,0,0,0,NaN,NaN,NaN,3,3,0,0,4,0,0,0,0.489890836454597,0,0,0,0,0.489890836454597,NaN,NaN,NaN,NaN,0,0,4,0,0.0001365
scale_small,library_out,M3_pooled_empirical,all,4,0,0,0,NaN,NaN,NaN,3,3,0,0,4,0,0,0,0.489890836454597,0,0,0,0,0.489890836454597,NaN,NaN,NaN,NaN,0,0,4,0,8.4e-05
scale_small,library_out,M2R_class_risk_gated,all,4,0,0,0,NaN,NaN,NaN,3,3,0,0,4,0,0,0,0.489890836454597,0,0,0,0,0.489890836454597,NaN,NaN,NaN,NaN,0,0,4,0,0.000103
scale_small,library_out,M3R_pooled_risk_gated,all,4,0,0,0,NaN,NaN,NaN,3,3,0,0,4,0,0,0,0.489890836454597,0,0,0,0,0.489890836454597,NaN,NaN,NaN,NaN,0,0,4,0,7.925e-05
scale_small,parameter_out,M0_stage7a_original,all,4,4,0,0,0,0,0.489890836454597,0,0,4,0,0,0,0,0,0.489890836454597,0,0,0,0,0.489890836454597,NaN,NaN,NaN,NaN,4,0,0,4,0.0007345
scale_small,parameter_out,M1_stage7a1_split,all,4,4,0,0,0,0,0.489890836454597,0,0,4,0,0,0,0,0,0.489890836454597,0,0,0,0,0.489890836454597,NaN,NaN,NaN,NaN,4,0,0,4,0.000256
scale_small,parameter_out,M2_class_conditional,all,4,4,0,4,1,0.510109163545403,1,3,3,0,0,4,0,0,0,0.489890836454597,0,0,0,0,0.489890836454597,NaN,NaN,NaN,NaN,4,0,0,4,0.000152
scale_small,parameter_out,M3_pooled_empirical,all,4,4,0,4,1,0.510109163545403,1,3,3,0,0,4,0,0,0,0.489890836454597,0,0,0,0,0.489890836454597,NaN,NaN,NaN,NaN,4,0,0,4,9.725e-05
scale_small,parameter_out,M2R_class_risk_gated,all,4,4,0,4,1,0.510109163545403,1,3,3,0,0,4,0,0,0,0.489890836454597,0,0,0,0,0.489890836454597,NaN,NaN,NaN,NaN,4,0,0,4,0.0001615
scale_small,parameter_out,M3R_pooled_risk_gated,all,4,4,0,4,1,0.510109163545403,1,3,3,0,0,4,0,0,0,0.489890836454597,0,0,0,0,0.489890836454597,NaN,NaN,NaN,NaN,4,0,0,4,8.825e-05
scale_small,snr_shift_10db,M0_stage7a_original,all,4,4,4,3,0.75,0.300641842582402,0.954412739190299,0.75,1,1,3,0,3,0.75,0.300641842582402,0.954412739190299,3,0,0,0,0.489890836454597,1,0,5.55111512312578e-17,0.561497031755045,1,0,0,0,0.00020175
scale_small,snr_shift_10db,M1_stage7a1_split,all,4,4,4,1,0.25,0.0455872608097005,0.699358157417598,0.25,0,3,1,0,1,0.25,0.0455872608097005,0.699358157417598,1,0,0,0,0.489890836454597,1,0,0,0.793450685622763,3,0,0,0,0.00023475
scale_small,snr_shift_10db,M2_class_conditional,all,4,4,4,4,1,0.510109163545403,1,3,3,0,0,4,0,0,0,0.489890836454597,0,0,0,0,0.489890836454597,NaN,NaN,NaN,NaN,0,0,4,0,0.0001335
scale_small,snr_shift_10db,M3_pooled_empirical,all,4,4,4,4,1,0.510109163545403,1,3,3,0,0,4,0,0,0,0.489890836454597,0,0,0,0,0.489890836454597,NaN,NaN,NaN,NaN,0,0,4,0,8.85e-05
scale_small,snr_shift_10db,M2R_class_risk_gated,all,4,4,4,4,1,0.510109163545403,1,3,3,0,0,4,0,0,0,0.489890836454597,0,0,0,0,0.489890836454597,NaN,NaN,NaN,NaN,0,0,4,0,0.0001055
scale_small,snr_shift_10db,M3R_pooled_risk_gated,all,4,4,4,4,1,0.510109163545403,1,3,3,0,0,4,0,0,0,0.489890836454597,0,0,0,0,0.489890836454597,NaN,NaN,NaN,NaN,0,0,4,0,7.3e-05
scale_medium,in_domain,M0_stage7a_original,all,14,14,7,14,1,0.784689197262364,1,2.07142857142857,2,0,5,9,4,0.285714285714286,0.117213786445769,0.546490843298932,4,0,0,1.38777878078145e-17,0.215310802737636,1,0,0,0.489890836454597,0,3,7,0,0.000342642857142857
scale_medium,in_domain,M0_stage7a_original,class_001,2,2,2,2,1,0.342380227506653,1,1,1,0,2,0,2,1,0.342380227506653,1,2,0,0,0,0.657619772493347,1,0,0,0.657619772493347,0,0,0,0,0.000392
scale_medium,in_domain,M0_stage7a_original,class_002,2,2,0,2,1,0.342380227506653,1,1.5,1.5,0,1,1,0,0,0,0.657619772493347,0,0,0,0,0.657619772493347,NaN,NaN,NaN,NaN,0,1,1,0,0.000351
scale_medium,in_domain,M0_stage7a_original,class_003,2,2,2,2,1,0.342380227506653,1,1,1,0,2,0,2,1,0.342380227506653,1,2,0,0,0,0.657619772493347,1,0,0,0.657619772493347,0,0,0,0,0.000347
scale_medium,in_domain,M0_stage7a_original,class_004,2,2,0,2,1,0.342380227506653,1,3,3,0,0,2,0,0,0,0.657619772493347,0,0,0,0,0.657619772493347,NaN,NaN,NaN,NaN,0,0,2,0,0.0002905
scale_medium,in_domain,M0_stage7a_original,class_005,2,2,1,2,1,0.342380227506653,1,2,2,0,0,2,0,0,0,0.657619772493347,0,0,0,0,0.657619772493347,NaN,NaN,NaN,NaN,0,0,2,0,0.0003615
scale_medium,in_domain,M0_stage7a_original,class_006,2,2,2,2,1,0.342380227506653,1,3,3,0,0,2,0,0,0,0.657619772493347,0,0,0,0,0.657619772493347,NaN,NaN,NaN,NaN,0,2,0,0,0.000378
scale_medium,in_domain,M0_stage7a_original,class_007,2,2,0,2,1,0.342380227506653,1,3,3,0,0,2,0,0,0,0.657619772493347,0,0,0,0,0.657619772493347,NaN,NaN,NaN,NaN,0,0,2,0,0.0002785
scale_medium,in_domain,M1_stage7a1_split,all,14,14,7,13,0.928571428571429,0.685312955758489,0.987277784752109,2,2,1,3,10,3,0.214285714285714,0.0757138671269318,0.475892305866003,3,0,0,1.38777878078145e-17,0.215310802737636,1,0,5.55111512312578e-17,0.561497031755045,1,2,8,1,0.000385785714285714
scale_medium,in_domain,M1_stage7a1_split,class_001,2,2,2,1,0.5,0.0945312057342307,0.905468794265769,0.5,0.5,1,1,0,1,0.5,0.0945312057342307,0.905468794265769,1,0,0,0,0.657619772493347,1,0,0,0.793450685622763,1,0,0,1,0.000385
scale_medium,in_domain,M1_stage7a1_split,class_002,2,2,0,2,1,0.342380227506653,1,2,2,0,0,2,0,0,0,0.657619772493347,0,0,0,0,0.657619772493347,NaN,NaN,NaN,NaN,0,0,2,0,0.0007315
scale_medium,in_domain,M1_stage7a1_split,class_003,2,2,2,2,1,0.342380227506653,1,1,1,0,2,0,2,1,0.342380227506653,1,2,0,0,0,0.657619772493347,1,0,0,0.657619772493347,0,0,0,0,0.0003025
scale_medium,in_domain,M1_stage7a1_split,class_004,2,2,0,2,1,0.342380227506653,1,3,3,0,0,2,0,0,0,0.657619772493347,0,0,0,0,0.657619772493347,NaN,NaN,NaN,NaN,0,0,2,0,0.000308
scale_medium,in_domain,M1_stage7a1_split,class_005,2,2,1,2,1,0.342380227506653,1,2,2,0,0,2,0,0,0,0.657619772493347,0,0,0,0,0.657619772493347,NaN,NaN,NaN,NaN,0,0,2,0,0.000298
scale_medium,in_domain,M1_stage7a1_split,class_006,2,2,2,2,1,0.342380227506653,1,3,3,0,0,2,0,0,0,0.657619772493347,0,0,0,0,0.657619772493347,NaN,NaN,NaN,NaN,0,2,0,0,0.000399
scale_medium,in_domain,M1_stage7a1_split,class_007,2,2,0,2,1,0.342380227506653,1,2.5,2.5,0,0,2,0,0,0,0.657619772493347,0,0,0,0,0.657619772493347,NaN,NaN,NaN,NaN,0,0,2,0,0.0002765
scale_medium,in_domain,M2_class_conditional,all,14,14,7,14,1,0.784689197262364,1,7,7,0,0,14,0,0,1.38777878078145e-17,0.215310802737636,0,0,0,1.38777878078145e-17,0.215310802737636,NaN,NaN,NaN,NaN,0,0,14,0,0.000152785714285714
scale_medium,in_domain,M2_class_conditional,class_001,2,2,2,2,1,0.342380227506653,1,7,7,0,0,2,0,0,0,0.657619772493347,0,0,0,0,0.657619772493347,NaN,NaN,NaN,NaN,0,0,2,0,0.0001745
scale_medium,in_domain,M2_class_conditional,class_002,2,2,0,2,1,0.342380227506653,1,7,7,0,0,2,0,0,0,0.657619772493347,0,0,0,0,0.657619772493347,NaN,NaN,NaN,NaN,0,0,2,0,0.0001715
scale_medium,in_domain,M2_class_conditional,class_003,2,2,2,2,1,0.342380227506653,1,7,7,0,0,2,0,0,0,0.657619772493347,0,0,0,0,0.657619772493347,NaN,NaN,NaN,NaN,0,0,2,0,0.0001485
scale_medium,in_domain,M2_class_conditional,class_004,2,2,0,2,1,0.342380227506653,1,7,7,0,0,2,0,0,0,0.657619772493347,0,0,0,0,0.657619772493347,NaN,NaN,NaN,NaN,0,0,2,0,0.0001455
scale_medium,in_domain,M2_class_conditional,class_005,2,2,1,2,1,0.342380227506653,1,7,7,0,0,2,0,0,0,0.657619772493347,0,0,0,0,0.657619772493347,NaN,NaN,NaN,NaN,0,0,2,0,0.00014
scale_medium,in_domain,M2_class_conditional,class_006,2,2,2,2,1,0.342380227506653,1,7,7,0,0,2,0,0,0,0.657619772493347,0,0,0,0,0.657619772493347,NaN,NaN,NaN,NaN,0,0,2,0,0.0001545
scale_medium,in_domain,M2_class_conditional,class_007,2,2,0,2,1,0.342380227506653,1,7,7,0,0,2,0,0,0,0.657619772493347,0,0,0,0,0.657619772493347,NaN,NaN,NaN,NaN,0,0,2,0,0.000135
scale_medium,in_domain,M3_pooled_empirical,all,14,14,7,13,0.928571428571429,0.685312955758489,0.987277784752109,5.07142857142857,6,1,1,12,1,0.0714285714285714,0.0127222152478909,0.314687044241511,1,0,0,1.38777878078145e-17,0.215310802737636,1,0,0,0.793450685622763,1,0,12,0,0.000123785714285714
scale_medium,in_domain,M3_pooled_empirical,class_001,2,2,2,1,0.5,0.0945312057342307,0.905468794265769,0.5,0.5,1,1,0,1,0.5,0.0945312057342307,0.905468794265769,1,0,0,0,0.657619772493347,1,0,0,0.793450685622763,1,0,0,0,0.000278
scale_medium,in_domain,M3_pooled_empirical,class_002,2,2,0,2,1,0.342380227506653,1,6,6,0,0,2,0,0,0,0.657619772493347,0,0,0,0,0.657619772493347,NaN,NaN,NaN,NaN,0,0,2,0,0.000103
