library,scenario,method,n,truth_in_library_n,top1_correct_k,truth_set_covered_k,truth_set_coverage,coverage_low95,coverage_high95,mean_set_size,median_set_size,empty_set_k,singleton_set_k,multiple_set_k,unique_k,correct_unique_k,false_unique_k,false_unique_rate,false_unique_low95,false_unique_high95,selective_error,selective_error_low95,selective_error_high95,unique_rate,unique_rate_low95,unique_rate_high95,nonempty_set_k,nonempty_set_rate,nonempty_set_accepted_k,nonempty_set_acceptance_rate,rejected_k,rejected_rate,rejected_low95,rejected_high95,gate_rejected_k,gate_rejected_nonempty_k
scale_small,stage7a2_library_out_replay,M2,100,0,0,0,NaN,NaN,NaN,0.98,1,4,94,2,94,0,94,0.94,0.875231845541041,0.972213876036812,1,0.960737923708455,1,0.94,0.875231845541041,0.972213876036812,96,0.96,96,0.96,4,0.04,0.0156633039915476,0.0983707143588792,0,0
scale_small,stage7a2_library_out_replay,M2R,100,0,0,0,NaN,NaN,NaN,0.98,1,4,94,2,94,0,94,0.94,0.875231845541041,0.972213876036812,1,0.960737923708455,1,0.94,0.875231845541041,0.972213876036812,96,0.96,96,0.96,4,0.04,0.0156633039915476,0.0983707143588792,0,0
scale_small,D_in_library_development,M2,60,60,60,55,0.916666666666667,0.819310579816656,0.963879543398269,0.916666666666667,1,5,55,0,51,51,0,0,0,0.0601718521420899,0,0,0.0700466198985314,0.85,0.738854109302215,0.919025594198323,55,0.916666666666667,55,0.916666666666667,5,0.0833333333333333,0.0361204566017308,0.180689420183344,0,0
scale_small,D_in_library_development,M2R,60,60,60,55,0.916666666666667,0.819310579816656,0.963879543398269,0.916666666666667,1,5,55,0,51,51,0,0,0,0.0601718521420899,0,0,0.0700466198985314,0.85,0.738854109302215,0.919025594198323,55,0.916666666666667,55,0.916666666666667,5,0.0833333333333333,0.0361204566017308,0.180689420183344,0,0
scale_small,stage7a2_library_out_replay,M2R_plus_band_gate,100,0,0,0,NaN,NaN,NaN,0.98,1,4,94,2,92,0,92,0.92,0.850018922990513,0.958906538515619,1,0.959918610714378,1,0.92,0.850018922990513,0.958906538515619,96,0.96,94,0.94,6,0.06,0.0277861239631882,0.124768154458959,5,2
scale_small,F_gate_calibration_diagnostic,M2,600,600,600,569,0.948333333333333,0.927597085331689,0.963365256092693,0.955,1,31,565,4,535,535,0,0,4.33680868994202e-19,0.00636170101370071,0,0,0.00712910775110275,0.891666666666667,0.8642605257853,0.914089475087301,569,0.948333333333333,569,0.948333333333333,31,0.0516666666666667,0.0366347439073075,0.0724029146683108,0,0
scale_small,F_gate_calibration_diagnostic,M2R,600,600,600,569,0.948333333333333,0.927597085331689,0.963365256092693,0.955,1,31,565,4,535,535,0,0,4.33680868994202e-19,0.00636170101370071,0,0,0.00712910775110275,0.891666666666667,0.8642605257853,0.914089475087301,569,0.948333333333333,569,0.948333333333333,31,0.0516666666666667,0.0366347439073075,0.0724029146683108,0,0
scale_small,F_gate_calibration_diagnostic,M2R_plus_band_gate,600,600,600,569,0.948333333333333,0.927597085331689,0.963365256092693,0.955,1,31,565,4,530,530,0,0,4.33680868994202e-19,0.00636170101370071,0,0,0.00719587952044839,0.883333333333333,0.855173957025218,0.906615405530945,569,0.948333333333333,558,0.93,42,0.07,0.0522019036943385,0.0932691591774441,29,11
scale_small,R_independent_risk_audit,M2,90,90,90,87,0.966666666666667,0.906527139696101,0.988599609777194,0.966666666666667,1,3,87,0,82,82,0,0,0,0.0409356255643268,0,0,0.0447506236901003,0.911111111111111,0.834294533739459,0.954269507463205,87,0.966666666666667,87,0.966666666666667,3,0.0333333333333333,0.0114003902228063,0.0934728603038987,0,0
scale_small,R_independent_risk_audit,M2R,90,90,90,87,0.966666666666667,0.906527139696101,0.988599609777194,0.966666666666667,1,3,87,0,82,82,0,0,0,0.0409356255643268,0,0,0.0447506236901003,0.911111111111111,0.834294533739459,0.954269507463205,87,0.966666666666667,87,0.966666666666667,3,0.0333333333333333,0.0114003902228063,0.0934728603038987,0,0
scale_small,R_independent_risk_audit,M2R_plus_band_gate,90,90,90,87,0.966666666666667,0.906527139696101,0.988599609777194,0.966666666666667,1,3,87,0,82,82,0,0,0,0.0409356255643268,0,0,0.0447506236901003,0.911111111111111,0.834294533739459,0.954269507463205,87,0.966666666666667,86,0.955555555555556,4,0.0444444444444444,0.0174172418527087,0.108768550328122,3,1
scale_small,T_in_library_20db,M2,300,300,300,285,0.95,0.919152966527256,0.969468359370653,0.953333333333333,1,15,284,1,263,263,0,0,8.67361737988404e-19,0.012642971224546,0,0,0.0143960344006192,0.876666666666667,0.834626275971177,0.909182685706332,285,0.95,285,0.95,15,0.05,0.0305316406293473,0.0808470334727441,0,0
scale_small,T_in_library_20db,M2R,300,300,300,285,0.95,0.919152966527256,0.969468359370653,0.953333333333333,1,15,284,1,263,263,0,0,8.67361737988404e-19,0.012642971224546,0,0,0.0143960344006192,0.876666666666667,0.834626275971177,0.909182685706332,285,0.95,285,0.95,15,0.05,0.0305316406293473,0.0808470334727441,0,0
scale_small,T_in_library_20db,M2R_plus_band_gate,300,300,300,285,0.95,0.919152966527256,0.969468359370653,0.953333333333333,1,15,284,1,262,262,0,0,8.67361737988404e-19,0.012642971224546,0,0,0.014450187106764,0.873333333333333,0.830918829950738,0.906307751534934,285,0.95,281,0.936666666666667,19,0.0633333333333333,0.0409168823839153,0.0967913124855216,17,4
scale_small,T_in_library_10db,M2,300,300,300,152,0.506666666666667,0.450366830736956,0.562797929646717,0.506666666666667,1,148,152,0,129,129,0,0,8.67361737988404e-19,0.012642971224546,0,0,0.0289176199568783,0.43,0.375211176733764,0.486558839237672,152,0.506666666666667,152,0.506666666666667,148,0.493333333333333,0.437202070353283,0.549633169263044,0,0
