library,split,seed,truth_signature,truth_pattern,main_scale,snr_db,observation_hash
scale_small,historical_development,560100001,"M=20,20,20,20,|T=0,0,0,0,|B=3,15,1,50;","[0,0,1]",0.996604030433735,20,d7fb111392290cd8e6865027f28f68b1499c69c8c29de142e55259a706c0fb04
scale_small,historical_development,560100002,"M=20,20,20,20,|T=0,0,0,0,|B=3,15,1,50;","[0,0,1]",0.995708195540759,20,04e0dd37edef657aa8e05187877b56bb34830a0b4550dab970ab9fab4600430b
scale_small,historical_development,560100003,"M=20,20,20,20,|T=0,0,0,0,|B=3,15,1,50;","[0,0,1]",1.00013165106765,20,0ca814a9017a0e25eaf6517bb0ecec227b3aef8425f96355f20b8b49f3a11215
scale_small,historical_development,560100004,"M=20,20,20,20,|T=0,0,0,0,|B=3,15,1,50;","[0,0,1]",0.995935440386728,20,f8c5fb48862fe57a73eec829af0f4e651f4b72edadd68e8a387cdd2f15f45b37
scale_small,historical_development,560100005,"M=20,20,20,20,|T=0,0,0,0,|B=3,15,1,50;","[0,0,1]",0.983357233716099,20,f61853fb47e279e3b0592d33a049424839645be3d901f474f91c19b8784f83fc
scale_small,historical_development,560100006,"M=20,20,20,20,|T=0,0,0,0,|B=3,15,1,50;","[0,0,1]",1.01694986615973,20,5ff15d02215a9e313a146ee9318efa4e2eba570b594a4fede0c595223fe40597
scale_small,historical_development,560100007,"M=20,20,20,20,|T=0,0,0,0,|B=3,15,1,50;","[0,0,1]",0.987824351861031,20,1a89eb0f419d0b003ba59f38ae8660011f6e2fda9e6587f6f17e9c01f5054956
scale_small,historical_development,560100008,"M=20,20,20,20,|T=0,0,0,0,|B=3,15,1,50;","[0,0,1]",1.01341618978162,20,8f9a9bf91069fd571f2afa031532488b0f0ea96c56ddd3771a39847ad3786a29
scale_small,historical_development,560100009,"M=20,20,20,20,|T=0,0,0,0,|B=3,15,1,50;","[0,0,1]",0.989014467537349,20,a35c2dc57cd5db9f9ce2330515832aab60fb3e196587373a3c326bf86a969345
scale_small,historical_development,560100010,"M=20,20,20,20,|T=0,0,0,0,|B=3,15,1,50;","[0,0,1]",1.01295153219124,20,3fd77113b4604aa3cedce18b27146c84e33b150d165439527ef2b142be1c8cf4
scale_small,historical_development,560100011,"M=20,20,20,20,|T=0,0,0,0,|B=3,15,1,50;","[0,0,1]",0.98994804204937,20,a2e2b453d802f11d7a7ae2672295b95d1442e793efe7609569efeea66af5581f
scale_small,historical_development,560100012,"M=20,20,20,20,|T=0,0,0,0,|B=3,15,1,50;","[0,0,1]",0.982812746607251,20,1089e8eb3414713349c54c9a13b024592398f10991d5d47e9049a40433b38e63
