library,scenario,method,topology_families,families_with_false_unique_k,families_with_false_unique_rate,families_with_false_unique_low95,families_with_false_unique_high95,macro_false_unique_rate,family_false_unique_rate_min,family_false_unique_rate_median,family_false_unique_rate_max,families_with_nonempty_accept_k,families_with_nonempty_accept_rate,families_with_nonempty_accept_low95,families_with_nonempty_accept_high95,macro_nonempty_acceptance_rate
scale_small,T_library_out_20db,M2,8,0,0,0,0.32440756488388,0,0,0,0,0,0,0,0.32440756488388,0
scale_small,T_library_out_20db,M2R,8,0,0,0,0.32440756488388,0,0,0,0,0,0,0,0.32440756488388,0
scale_small,T_library_out_20db,M2R_plus_band_gate,8,0,0,0,0.32440756488388,0,0,0,0,0,0,0,0.32440756488388,0
scale_small,T_library_out_10db,M2,8,0,0,0,0.32440756488388,0,0,0,0,0,0,0,0.32440756488388,0
scale_small,T_library_out_10db,M2R,8,0,0,0,0.32440756488388,0,0,0,0,0,0,0,0.32440756488388,0
scale_small,T_library_out_10db,M2R_plus_band_gate,8,0,0,0,0.32440756488388,0,0,0,0,0,0,0,0.32440756488388,0
scale_medium,T_library_out_20db,M2,8,0,0,0,0.32440756488388,0,0,0,0,1,0.125,0.0224174914500567,0.470888182212854,0.075
scale_medium,T_library_out_20db,M2R,8,0,0,0,0.32440756488388,0,0,0,0,1,0.125,0.0224174914500567,0.470888182212854,0.075
scale_medium,T_library_out_20db,M2R_plus_band_gate,8,0,0,0,0.32440756488388,0,0,0,0,1,0.125,0.0224174914500567,0.470888182212854,0.075
scale_medium,T_library_out_10db,M2,8,1,0.125,0.0224174914500567,0.470888182212854,0.00833333333333333,0,0,0.0666666666666667,1,0.125,0.0224174914500567,0.470888182212854,0.025
scale_medium,T_library_out_10db,M2R,8,1,0.125,0.0224174914500567,0.470888182212854,0.00833333333333333,0,0,0.0666666666666667,1,0.125,0.0224174914500567,0.470888182212854,0.025
scale_medium,T_library_out_10db,M2R_plus_band_gate,8,1,0.125,0.0224174914500567,0.470888182212854,0.00833333333333333,0,0,0.0666666666666667,1,0.125,0.0224174914500567,0.470888182212854,0.025
scale_large,T_library_out_20db,M2,8,1,0.125,0.0224174914500567,0.470888182212854,0.0708333333333333,0,0,0.566666666666667,8,1,0.67559243511612,1,0.8
scale_large,T_library_out_20db,M2R,8,0,0,0,0.32440756488388,0,0,0,0,8,1,0.67559243511612,1,0.8
scale_large,T_library_out_20db,M2R_plus_band_gate,8,0,0,0,0.32440756488388,0,0,0,0,8,1,0.67559243511612,1,0.779166666666667
scale_large,T_library_out_10db,M2,8,1,0.125,0.0224174914500567,0.470888182212854,0.0416666666666667,0,0,0.333333333333333,8,1,0.67559243511612,1,0.4375
scale_large,T_library_out_10db,M2R,8,0,0,0,0.32440756488388,0,0,0,0,8,1,0.67559243511612,1,0.4375
scale_large,T_library_out_10db,M2R_plus_band_gate,8,0,0,0,0.32440756488388,0,0,0,0,8,1,0.67559243511612,1,0.379166666666667
