variant,library,scheme,view_indices,class_counts,class_thresholds,fit_count,fit_threshold,margin_threshold,E_seed_base,A_seed_base,F_seed_base,bank_identity,calibration_identity
main,diagnostic_pair,A0_H50,5,[100 100],[3.508498323534059 3.412632008608212],200,3.50364142879738,3,720000000,730000000,740000000,f8e5b8a7a5e55a7411208b230d5991eead4b0ddb9fb1c69f4d48a03d0f6dcf0c,04306cda9e204686795c7daba7552958194676252eeb114f98a05ff67aed304b
main,original_three,A0_H50,5,[100 100 100],[5.121661964641333 3.944434572643235 3.508498323534059],300,4.7908049613045,3,720000000,730000000,740000000,f8e5b8a7a5e55a7411208b230d5991eead4b0ddb9fb1c69f4d48a03d0f6dcf0c,4a5712f4c30b432bb5091529ae335fafa5e6597e42a9a746b23571b41ad6305d
main,diagnostic_pair,A0_Zin50,6,[100 100],[99.75522368911007 105.6049976902446],200,103.172745187942,3,720000000,730000000,740000000,f8e5b8a7a5e55a7411208b230d5991eead4b0ddb9fb1c69f4d48a03d0f6dcf0c,16d65a6ff61ac29017ef0c583e17a3b2191ee03eb29755dca1737c4d16bb573d
main,original_three,A0_Zin50,6,[100 100 100],[133.8280195805939 101.2034640049191 99.75522368911007],300,125.892859018012,3,720000000,730000000,740000000,f8e5b8a7a5e55a7411208b230d5991eead4b0ddb9fb1c69f4d48a03d0f6dcf0c,1e4d7f2954021578f43c50dd5a60f21e96fe5ae141c1eb31ff91955b7cee3924
main,diagnostic_pair,A0_H50_Zin50,[5 6],[100 100],[70.58429994611186 74.70943797299995],200,72.9981817897973,3,720000000,730000000,740000000,f8e5b8a7a5e55a7411208b230d5991eead4b0ddb9fb1c69f4d48a03d0f6dcf0c,607f34102e5995ad49465b094a4ad8b8a6ec50e485b52654269b9b3234bad188
main,original_three,A0_H50_Zin50,[5 6],[100 100 100],[94.69997425064028 71.6163727156532 70.58429994611186],300,89.0874300135538,3,720000000,730000000,740000000,f8e5b8a7a5e55a7411208b230d5991eead4b0ddb9fb1c69f4d48a03d0f6dcf0c,56817440819e84c2e5766d707fdcef55adda0365d60d0497ed52bb8042993562
main,diagnostic_pair,A1_H_12p5,1,[100 100],[3.757301554362684 3.601865145389056],200,3.74284130190689,3,720000000,730000000,740000000,f8e5b8a7a5e55a7411208b230d5991eead4b0ddb9fb1c69f4d48a03d0f6dcf0c,f5e2b8f493bd70f45931cf767a42d36ee2a651e3476ca36509925818674dba87
main,original_three,A1_H_12p5,1,[100 100 100],[5.609476106572235 4.302314110386925 3.757301554362684],300,5.14703680267099,3,720000000,730000000,740000000,f8e5b8a7a5e55a7411208b230d5991eead4b0ddb9fb1c69f4d48a03d0f6dcf0c,42ffd3dfedc059e235541e159c49577e3694c2392c308875e919921c74a0e865
main,diagnostic_pair,A1_Zin_12p5,2,[100 100],[143.6163565492723 137.6804047968355],200,140.618254905641,3,720000000,730000000,740000000,f8e5b8a7a5e55a7411208b230d5991eead4b0ddb9fb1c69f4d48a03d0f6dcf0c,e704ba2e768f454e6cdaaca4730da9b4082eb7e64cf2044e98dd66ebac5486e3
main,original_three,A1_Zin_12p5,2,[100 100 100],[219.8077621457898 123.125910126761 143.6163565492723],300,208.998185095492,3,720000000,730000000,740000000,f8e5b8a7a5e55a7411208b230d5991eead4b0ddb9fb1c69f4d48a03d0f6dcf0c,ad29e9486e9688d5c1368efda5c1281d527a058692999468c872f092e0ce1a05
main,diagnostic_pair,A1_H_Zin_12p5,[1 2],[100 100],[101.585174133707 97.38545536717875],200,99.4643555591493,3,720000000,730000000,740000000,f8e5b8a7a5e55a7411208b230d5991eead4b0ddb9fb1c69f4d48a03d0f6dcf0c,c42bf4aae488c25b6929dfd8ffa2d3d176c5d33798eaaeeb060fb55be32007ed
main,original_three,A1_H_Zin_12p5,[1 2],[100 100 100],[155.4776537040644 87.1159110092045 101.585174133707],300,147.831109726983,3,720000000,730000000,740000000,f8e5b8a7a5e55a7411208b230d5991eead4b0ddb9fb1c69f4d48a03d0f6dcf0c,a4543c11d64759a6aa0ca392e2a039c3db24e1b62d8f4660be860daad8991dda
main,diagnostic_pair,A1_H_25,3,[100 100],[3.647036330572727 3.5303162989406],200,3.63545402164905,3,720000000,730000000,740000000,f8e5b8a7a5e55a7411208b230d5991eead4b0ddb9fb1c69f4d48a03d0f6dcf0c,cd8c0bf759b608a24671c0df173a3de2db0b6dc1a21eed6c73899969d5d10270
main,original_three,A1_H_25,3,[100 100 100],[5.34603145965229 4.166330478934509 3.647036330572727],300,5.00140008024696,3,720000000,730000000,740000000,f8e5b8a7a5e55a7411208b230d5991eead4b0ddb9fb1c69f4d48a03d0f6dcf0c,cdacc0e81f4bc3060800db74b4f2cc6d73820cb16671db72e2449dda231e9161
main,diagnostic_pair,A1_Zin_25,4,[100 100],[122.7600575900348 122.1643371412121],200,122.720051475112,3,720000000,730000000,740000000,f8e5b8a7a5e55a7411208b230d5991eead4b0ddb9fb1c69f4d48a03d0f6dcf0c,4e0e97a950d575a5dbc23afcc7e95271335336afee25c6e9157b326e4d2ac8ba
main,original_three,A1_Zin_25,4,[100 100 100],[181.4519218551896 113.1360825294362 122.7600575900348],300,171.520553534371,3,720000000,730000000,740000000,f8e5b8a7a5e55a7411208b230d5991eead4b0ddb9fb1c69f4d48a03d0f6dcf0c,b40061917d0bd60d4aacc649fa1d6a3bba98148899e4f56f4202895a67bff9b9
main,diagnostic_pair,A1_H_Zin_25,[3 4],[100 100],[86.84060717714361 86.41756575265129],200,86.8114168825752,3,720000000,730000000,740000000,f8e5b8a7a5e55a7411208b230d5991eead4b0ddb9fb1c69f4d48a03d0f6dcf0c,cec07acc008d7d05075322f5b006730fe435702f184f251327606a186b6f0ca4
main,original_three,A1_H_Zin_25,[3 4],[100 100 100],[128.3615596611957 80.05493409954789 86.84060717714361],300,121.335015622901,3,720000000,730000000,740000000,f8e5b8a7a5e55a7411208b230d5991eead4b0ddb9fb1c69f4d48a03d0f6dcf0c,2fc5cd7b6bda19bfa9c030a17bb0cd277aa1d1f7d58b0c47df243c86a697b70f
main,diagnostic_pair,A1_H_100,7,[100 100],[3.406279713668691 3.299005207677656],200,3.45212249077058,3,720000000,730000000,740000000,f8e5b8a7a5e55a7411208b230d5991eead4b0ddb9fb1c69f4d48a03d0f6dcf0c,77cd4afdba7cd8d0be43a16aee347baaad338f2fddd870356f22a9bdfdd5b505
main,original_three,A1_H_100,7,[100 100 100],[4.902035447595759 3.720704071202353 3.406279713668691],300,4.63445544452454,3,720000000,730000000,740000000,f8e5b8a7a5e55a7411208b230d5991eead4b0ddb9fb1c69f4d48a03d0f6dcf0c,fb8c4d8fb625ff895172ee1668db1c5e237334c3dffa9e97ea14b18b95df1f2d
main,diagnostic_pair,A1_Zin_100,8,[100 100],[77.06259696614578 88.02677832812202],200,84.1962497386945,3,720000000,730000000,740000000,f8e5b8a7a5e55a7411208b230d5991eead4b0ddb9fb1c69f4d48a03d0f6dcf0c,8a97b04490cc8da7d4c7fb09dbc2ae2482aea0afbe85e5f3fe14dcf22a74f52c
main,original_three,A1_Zin_100,8,[100 100 100],[79.90367400744779 86.73878653281453 77.06259696614578],300,82.8860272171076,3,720000000,730000000,740000000,f8e5b8a7a5e55a7411208b230d5991eead4b0ddb9fb1c69f4d48a03d0f6dcf0c,a68113978b6d367ee5c322acafa0c4bdfb051d16e942c38b2816bb9c474ff490
main,diagnostic_pair,A1_H_Zin_100,[7 8],[100 100],[54.54477046970153 62.28512624450718],200,59.5847060117533,3,720000000,730000000,740000000,f8e5b8a7a5e55a7411208b230d5991eead4b0ddb9fb1c69f4d48a03d0f6dcf0c,4731e49d69890e1b0c87bad13d057cae0921cbfbe575c1d84dcb6cfd47fdb997
main,original_three,A1_H_Zin_100,[7 8],[100 100 100],[56.61546370191874 61.38824353912756 54.54477046970153],300,58.6698470661635,3,720000000,730000000,740000000,f8e5b8a7a5e55a7411208b230d5991eead4b0ddb9fb1c69f4d48a03d0f6dcf0c,28deed05ba32ad2ef95df43dcb366b87632e13a5573cc86e82b04839f8ba1703
