scheme,truth_id,n,truth_set_covered_k,mean_set_size,correct_unique_k,false_unique_k,ambiguous_k,low_confidence_k,rejected_k,calibration_identity
A0_H50,T3,100,98,2.94,0,0,93,0,7,695c5751fdcf850607330100a988a3ba89b9b77a500d0f8799299a66101b21f2
A0_H50,T5,100,100,3,0,0,96,0,4,695c5751fdcf850607330100a988a3ba89b9b77a500d0f8799299a66101b21f2
A0_H50,T4_NEAR_T3,100,100,3,0,0,97,0,3,695c5751fdcf850607330100a988a3ba89b9b77a500d0f8799299a66101b21f2
A0_Zin50,T3,100,94,1.93,0,0,94,0,6,505c2b6aa84e8a23c4439f78350eb4814aaf7baabcbe65fa050c76b848fd62cd
A0_Zin50,T5,100,98,0.98,98,0,0,0,2,505c2b6aa84e8a23c4439f78350eb4814aaf7baabcbe65fa050c76b848fd62cd
A0_Zin50,T4_NEAR_T3,100,95,1.89,0,0,94,0,6,505c2b6aa84e8a23c4439f78350eb4814aaf7baabcbe65fa050c76b848fd62cd
A0_H50_Zin50,T3,100,94,1.93,0,0,94,0,6,bae8085198fb2f9d19308a0dd46e581b5eb65cbc2766b0f34b598ce5dbbe0cbb
A0_H50_Zin50,T5,100,98,0.98,98,0,0,0,2,bae8085198fb2f9d19308a0dd46e581b5eb65cbc2766b0f34b598ce5dbbe0cbb
A0_H50_Zin50,T4_NEAR_T3,100,95,1.9,0,0,94,0,6,bae8085198fb2f9d19308a0dd46e581b5eb65cbc2766b0f34b598ce5dbbe0cbb
B_H50_repeat,T3,100,97,2.92,0,0,91,0,9,e89be45dfdf55f94441e805c9ababc486e311d2d2544bee973dc84baa56d49a3
B_H50_repeat,T5,100,99,2.97,0,0,94,0,6,e89be45dfdf55f94441e805c9ababc486e311d2d2544bee973dc84baa56d49a3
B_H50_repeat,T4_NEAR_T3,100,99,2.97,0,0,95,0,5,e89be45dfdf55f94441e805c9ababc486e311d2d2544bee973dc84baa56d49a3
B_H50_Hsecond,T3,100,96,2.81,0,0,93,0,7,78442db2974e7c7962b65761f51fd7bd642d7de296856218cf134e83928eb638
B_H50_Hsecond,T5,100,98,2.79,0,0,91,4,5,78442db2974e7c7962b65761f51fd7bd642d7de296856218cf134e83928eb638
B_H50_Hsecond,T4_NEAR_T3,100,99,2.89,0,0,95,0,5,78442db2974e7c7962b65761f51fd7bd642d7de296856218cf134e83928eb638
C_Hendpoint_Hnode,T3,100,92,1.87,0,0,89,0,11,903ac7e1a483903c89be275a0ff54d578dc0fe8e03116a7b03c7c9f03d03362b
C_Hendpoint_Hnode,T5,100,97,0.97,82,0,0,15,3,903ac7e1a483903c89be275a0ff54d578dc0fe8e03116a7b03c7c9f03d03362b
C_Hendpoint_Hnode,T4_NEAR_T3,100,98,1.95,0,0,91,0,9,903ac7e1a483903c89be275a0ff54d578dc0fe8e03116a7b03c7c9f03d03362b
