view_name,view_index,error_rms,unit
H_term_12.5,1,0.00897650175078705,normalized_complex_CFR
Zin_term_12.5,2,0.994543160609932,ohm
H_term_25,3,0.0170492249467737,normalized_complex_CFR
Zin_term_25,4,1.00170432401638,ohm
H_term_50,5,0.0307802324598662,normalized_complex_CFR
Zin_term_50,6,0.999365048220949,ohm
H_term_100,7,0.0519281088929292,normalized_complex_CFR
Zin_term_100,8,0.998882786055393,ohm
H_term_200,9,0.0805141508556472,normalized_complex_CFR
Zin_term_200,10,0.998267951388937,ohm
H_endpoint_with_M1_port,11,0.0307438208404817,normalized_complex_CFR
H_node_M1,12,0.158862263694717,normalized_complex_CFR
H_endpoint_with_M2_port,13,0.0308006439950069,normalized_complex_CFR
H_node_M2,14,0.137278945679027,normalized_complex_CFR
H_endpoint_with_M3_port,15,0.0305937036951904,normalized_complex_CFR
H_node_M3,16,0.122527001524546,normalized_complex_CFR
H50_independent_repeat,17,0.0306455589605869,normalized_complex_CFR
