scheme,stage,receiver_ohm,node_index,view_indices,view_count,fixed_joint_distance,min_profile_joint_distance,fixed_abs_rms_per_view,fixed_relative_rms_per_view,profiled_abs_rms_per_view,best_params_G003,best_params_mirror,numerically_identical_at_nominal
A1_12.5_CFR,A1,12.5,0,1,1,0.779611280898028,0.69151888477552,0.006998182027914478,0.08762610508025526,0.006207420479889757,[1.1 1.1 1],[1.1 1.2 1],0
A1_12.5_Zin,A1,12.5,0,2,1,358.261826579447,259.466652674637,356.306849332211,0.780207019594661,258.0507848239135,[1.075 1.2 1],[1.075 1.2 1],0
A1_12.5_CFR_plus_Zin,A1,12.5,0,[1 2],2,253.32996681975,183.471353863864,[0.006998182027914478 356.306849332211],[0.08762610508025526 0.780207019594661],[0.006544399833138758 258.0507848239135],[1.075 1.2 1],[1.075 1.2 1],0
A1_25_CFR,A1,25,0,3,1,0.494205388577505,0.439734901212616,0.008425818839765602,0.05570089281905388,0.007497139247721225,[1.1 1.1 1],[1.1 1.2 1],0
A1_25_Zin,A1,25,0,4,1,327.479737709088,251.209530627248,328.0378692909441,0.7561357401503169,251.63767306344,[1.1 1.2 1],[1.1 1.2 1],0
A1_25_CFR_plus_Zin,A1,25,0,[3 4],2,231.563406920199,177.632247010863,[0.008425818839765602 328.0378692909441],[0.05570089281905388 0.7561357401503169],[0.007664158447898133 251.63767306344],[1.1 1.2 1],[1.1 1.2 1],0
A1_50_CFR,A1,50,0,5,1,3.03449308304234e-15,2.67150222310953e-15,9.340240249389929e-17,3.402876562502086e-16,8.222945944436055e-17,[1 1.2 1],[1 1.2 1],1
A1_50_Zin,A1,50,0,6,1,292.569489866407,241.671196759242,292.3837223483202,0.7224196414564321,241.5177472029141,[1.1 1.2 1],[1.1 1.2 1],0
A1_50_CFR_plus_Zin,A1,50,0,[5 6],2,206.877870252825,170.887342045928,[9.340240249389929e-17 292.3837223483202],[3.402876562502086e-16 0.7224196414564321],[1.248578826921297e-16 241.5177472029141],[1.1 1.2 1],[1.1 1.2 1],0
A1_100_CFR,A1,100,0,7,1,0.779050073562376,0.6972522905236,0.04045459705299154,0.08676303827510608,0.03620699286815383,[1.1 1.2 1],[1.1 1.1 1],0
A1_100_Zin,A1,100,0,8,1,261.766395152987,231.876322726347,261.4739460860924,0.6929667963146385,231.6172672651732,[1.1 1.2 1],[1.1 1.2 1],0
A1_100_CFR_plus_Zin,A1,100,0,[7 8],2,185.097612829565,163.962095752717,[0.04045459705299154 261.4739460860924],[0.08676303827510608 0.6929667963146385],[0.03703483286561632 231.6172672651732],[1.1 1.2 1],[1.1 1.2 1],0
A1_200_CFR,A1,200,0,9,1,1.80118720017138,1.65260116241715,0.1450210579538593,0.2001346395342089,0.1330577792950727,[1.1 1.2 1],[1.1 1 1],0
A1_200_Zin,A1,200,0,10,1,246.785695352342,225.956978829409,246.3582505314768,0.6813751328985989,225.5656103580678,[1.1 1.2 1],[1.1 1.2 1],0
A1_200_CFR_plus_Zin,A1,200,0,[9 10],2,174.508486478264,159.780093607467,[0.1450210579538593 246.3582505314768],[0.2001346395342089 0.6813751328985989],[0.1347342359817038 225.5656103580678],[1.1 1.2 1],[1.1 1.2 1],0
C_M1_endpoint_loaded,C,50,2,11,1,0.000749304246371923,0.000668700293370475,2.303647550547052e-05,8.393576895349811e-05,2.05584020153594e-05,[1.1 1.2 1],[1.1 1.2 1],0
C_M1_node_CFR,C,50,2,12,1,5.91654967181374,5.55297442285782,0.9399164741265644,0.8063564771516312,0.8821580870540571,[1.05 1.2 1],[1.05 1.2 1],0
C_M1_joint_CFR,C,50,2,[11 12],2,4.18363242771733,3.9265458998154,[2.303647550547052e-05 0.9399164741265644],[8.393576895349811e-05 0.8063564771516312],[2.098254328698521e-05 0.8821580870540571],[1.05 1.2 1],[1.05 1.2 1],0
C_M2_endpoint_loaded,C,50,3,13,1,3.71034679155869e-15,3.02945963244774e-15,1.142810706248152e-16,4.164082512927367e-16,9.33093076362672e-17,[0.9500000000000001 1.2 1],[0.9500000000000001 1.2 1],1
C_M2_node_CFR,C,50,3,14,1,7.23178992072518,6.82658541607022,0.9927724956893642,0.8858382087417185,0.9371464485059385,[1.075 1.2 1],[1.075 1.2 1],0
C_M2_joint_CFR,C,50,3,[13 14],2,5.1136476930613,4.82712484005244,[1.142810706248152e-16 0.9927724956893642],[4.164082512927367e-16 0.8858382087417185],[1.034338357925953e-16 0.9371464485059385],[1.075 1.2 1],[1.075 1.2 1],0
C_M3_endpoint_loaded,C,50,4,15,1,0.000752980931468086,0.000671981471095853,2.303647550546307e-05,8.393839886369821e-05,2.055840201536466e-05,[1.1 1.2 1],[1.1 1.2 1],0
C_M3_node_CFR,C,50,4,16,1,0.000853349017802178,0.000755933020563979,0.000104558296405217,0.0001007849834311392,9.26222063630971e-05,[1.1 1.2 1],[1.1 1.2 1],0
C_M3_joint_CFR,C,50,4,[15 16],2,0.00080473126860415,0.000715190124748353,[2.303647550546307e-05 0.000104558296405217],[8.393839886369821e-05 0.0001007849834311392],[2.055840201536466e-05 9.26222063630971e-05],[1.1 1.2 1],[1.1 1.2 1],0
