variant,scheme,stage,view_indices,fixed_joint_distance,min_profile_joint_distance,fixed_abs_rms_per_view,fixed_relative_rms_per_view,profiled_abs_rms_per_view,best_params_G003,best_params_mirror,numerically_identical_at_nominal
main,A0_H50,A0,5,3.03449308304234e-15,2.67150222310953e-15,9.340240249389929e-17,3.402876562502086e-16,8.222945944436055e-17,[1 1.2 1],[1 1.2 1],1
main,A0_Zin50,A0,6,292.569489866407,241.671196759242,292.3837223483202,0.7224196414564321,241.5177472029141,[1.1 1.2 1],[1.1 1.2 1],0
main,A0_H50_Zin50,A0,[5 6],206.877870252825,170.887342045928,[9.340240249389929e-17 292.3837223483202],[3.402876562502086e-16 0.7224196414564321],[1.248578826921297e-16 241.5177472029141],[1.1 1.2 1],[1.1 1.2 1],0
main,A1_H_12p5,A1,1,0.779611280898028,0.69151888477552,0.006998182027914478,0.08762610508025526,0.006207420479889757,[1.1 1.1 1],[1.1 1.2 1],0
main,A1_Zin_12p5,A1,2,358.261826579447,259.466652674637,356.306849332211,0.780207019594661,258.0507848239135,[1.075 1.2 1],[1.075 1.2 1],0
main,A1_H_Zin_12p5,A1,[1 2],253.32996681975,183.471353863864,[0.006998182027914478 356.306849332211],[0.08762610508025526 0.780207019594661],[0.006544399833138758 258.0507848239135],[1.075 1.2 1],[1.075 1.2 1],0
main,A1_H_25,A1,3,0.494205388577505,0.439734901212616,0.008425818839765602,0.05570089281905388,0.007497139247721225,[1.1 1.1 1],[1.1 1.2 1],0
main,A1_Zin_25,A1,4,327.479737709088,251.209530627248,328.0378692909441,0.7561357401503169,251.63767306344,[1.1 1.2 1],[1.1 1.2 1],0
main,A1_H_Zin_25,A1,[3 4],231.563406920199,177.632247010863,[0.008425818839765602 328.0378692909441],[0.05570089281905388 0.7561357401503169],[0.007664158447898133 251.63767306344],[1.1 1.2 1],[1.1 1.2 1],0
main,A1_H_100,A1,7,0.779050073562376,0.6972522905236,0.04045459705299154,0.08676303827510608,0.03620699286815383,[1.1 1.2 1],[1.1 1.1 1],0
main,A1_Zin_100,A1,8,261.766395152987,231.876322726347,261.4739460860924,0.6929667963146385,231.6172672651732,[1.1 1.2 1],[1.1 1.2 1],0
main,A1_H_Zin_100,A1,[7 8],185.097612829565,163.962095752717,[0.04045459705299154 261.4739460860924],[0.08676303827510608 0.6929667963146385],[0.03703483286561632 231.6172672651732],[1.1 1.2 1],[1.1 1.2 1],0
main,A1_H_200,A1,9,1.80118720017138,1.65260116241715,0.1450210579538593,0.2001346395342089,0.1330577792950727,[1.1 1.2 1],[1.1 1 1],0
main,A1_Zin_200,A1,10,246.785695352342,225.956978829409,246.3582505314768,0.6813751328985989,225.5656103580678,[1.1 1.2 1],[1.1 1.2 1],0
main,A1_H_Zin_200,A1,[9 10],174.508486478264,159.780093607467,[0.1450210579538593 246.3582505314768],[0.2001346395342089 0.6813751328985989],[0.1347342359817038 225.5656103580678],[1.1 1.2 1],[1.1 1.2 1],0
main,B_H50_repeat,B,[5 17],3.04116801094018e-15,2.67737868557959e-15,[9.340240249389929e-17 9.340240249389929e-17],[3.402876562502086e-16 3.402876562502086e-16],[8.222945944436055e-17 8.222945944436055e-17],[1 1.2 1],[1 1.2 1],1
main,B_H50_Hsecond,B,[5 9],1.27363168342759,1.17680830391489,[9.340240249389929e-17 0.1450210579538593],[3.402876562502086e-16 0.2001346395342089],[0.004774571091644249 0.1334130398906186],[1.1 1.2 1],[1.1 1.1 1],0
main,C_Hendpoint_loaded,C,13,3.71034679155869e-15,3.02945963244774e-15,1.142810706248152e-16,4.164082512927367e-16,9.33093076362672e-17,[0.9500000000000001 1.2 1],[0.9500000000000001 1.2 1],1
main,C_Hnode,C,14,7.23178992072518,6.82658541607022,0.9927724956893642,0.8858382087417185,0.9371464485059385,[1.075 1.2 1],[1.075 1.2 1],0
main,C_Hendpoint_Hnode,C,[13 14],5.1136476930613,4.82712484005244,[1.142810706248152e-16 0.9927724956893642],[4.164082512927367e-16 0.8858382087417185],[1.034338357925953e-16 0.9371464485059385],[1.075 1.2 1],[1.075 1.2 1],0
asymmetry,A0_H50,A0,5,3.07424217619417e-15,2.70649646689776e-15,9.340240249389929e-17,3.402876562502086e-16,8.222945944436055e-17,[1 1.2 1],[1 1.2 1],1
asymmetry,A0_Zin50,A0,6,292.134090369314,239.989109751137,292.3837223483202,0.7224196414564321,240.1941832375327,[1.075 1.2 1],[1.075 1.2 1.015],0
asymmetry,A0_H50_Zin50,A0,[5 6],206.569996315906,169.699844293797,[9.340240249389929e-17 292.3837223483202],[3.402876562502086e-16 0.7224196414564321],[0.0346611776413098 240.1941832375327],[1.075 1.2 1],[1.075 1.2 1.015],0
asymmetry,A1_H_12p5,A1,1,0.783640594968839,0.695092905368767,0.006998182027914478,0.08762610508025526,0.006207420479889757,[1.1 1.1 1],[1.1 1.2 1],0
asymmetry,A1_Zin_12p5,A1,2,354.201002147775,253.135757399199,356.306849332211,0.780207019594661,254.6407368282995,[1.075 1.2 1.015],[1.075 1.2 1.03],0
asymmetry,A1_H_Zin_12p5,A1,[1 2],250.458543490804,178.99681402676,[0.006998182027914478 356.306849332211],[0.08762610508025526 0.780207019594661],[0.01265209621010527 254.6407368282995],[1.075 1.2 1.015],[1.075 1.2 1.03],0
asymmetry,A1_H_25,A1,3,0.495790493004496,0.441145298093599,0.008425818839765602,0.05570089281905388,0.007497139247721225,[1.1 1.1 1],[1.1 1.2 1],0
asymmetry,A1_Zin_25,A1,4,330.343917695794,250.334462189273,328.0378692909441,0.7561357401503169,248.5869398155083,[1.075 1.2 1.015],[1.075 1.2 1.03],0
asymmetry,A1_H_Zin_25,A1,[3 4],233.588687404611,177.015508047939,[0.008425818839765602 328.0378692909441],[0.05570089281905388 0.7561357401503169],[0.02174539778868457 248.5869398155083],[1.075 1.2 1.015],[1.075 1.2 1.03],0
asymmetry,A1_H_100,A1,7,0.779694315653412,0.69782888924154,0.04045459705299154,0.08676303827510608,0.03620699286815383,[1.1 1.2 1],[1.1 1.1 1],0
asymmetry,A1_Zin_100,A1,8,261.109302896624,230.419940237689,261.4739460860924,0.6929667963146385,230.7417252564279,[1.1 1.2 1],[1.1 1.2 1.015],0
asymmetry,A1_H_Zin_100,A1,[7 8],184.632981861837,162.934221789764,[0.04045459705299154 261.4739460860924],[0.08676303827510608 0.6929667963146385],[0.06907558085531533 230.7417252564279],[1.1 1.2 1],[1.1 1.2 1.015],0
asymmetry,A1_H_200,A1,9,1.79813869423571,1.64980413806985,0.1450210579538593,0.2001346395342089,0.1330577792950727,[1.1 1.2 1],[1.1 1 1],0
asymmetry,A1_Zin_200,A1,10,247.43111707557,225.716124795845,246.3582505314768,0.6813751328985989,224.7374149164329,[1.075 1.2 1],[1.075 1.2 1.03],0
asymmetry,A1_H_Zin_200,A1,[9 10],174.964840753833,159.617099339549,[0.1450210579538593 246.3582505314768],[0.2001346395342089 0.6813751328985989],[0.2203964123230615 224.7374149164329],[1.075 1.2 1],[1.075 1.2 1.03],0
asymmetry,B_H50_repeat,B,[5 17],3.05599331820435e-15,2.69043056615096e-15,[9.340240249389929e-17 9.340240249389929e-17],[3.402876562502086e-16 3.402876562502086e-16],[8.222945944436055e-17 8.222945944436055e-17],[1 1.2 1],[1 1.2 1],1
asymmetry,B_H50_Hsecond,B,[5 9],1.27147606420799,1.1749688866503,[9.340240249389929e-17 0.1450210579538593],[3.402876562502086e-16 0.2001346395342089],[0.004774571091644249 0.1334130398906186],[1.1 1.2 1],[1.1 1.1 1],0
asymmetry,C_Hendpoint_loaded,C,13,3.73926823537342e-15,3.05307369104414e-15,1.142810706248152e-16,4.164082512927367e-16,9.33093076362672e-17,[0.9500000000000001 1.2 1],[0.9500000000000001 1.2 1],1
asymmetry,C_Hnode,C,14,7.3310065531121,6.89943898647262,0.9927724956893642,0.8858382087417185,0.9343291691028702,[1.075 1.2 1.03],[1.075 1.2 1.03],0
asymmetry,C_Hendpoint_Hnode,C,[13 14],5.18380444662858,4.89335063974951,[1.142810706248152e-16 0.9927724956893642],[4.164082512927367e-16 0.8858382087417185],[1.034338357925953e-16 0.9371464485059385],[1.075 1.2 1],[1.075 1.2 1],0
