scheme,control_pair,min_profile_distance,nominal_fixed_distance,still_overlap_below_three_sigma,stage6b_legacy_state,decision_rule_note
A0_H50,T3_T5,2.67150222310953e-15,3.03449308304234e-15,1,MULTIPLE_AMBIGUOUS,margin_below_three_cannot_be_unique_when_fit_and_set_hold
A0_H50,T3_T4close,2.00481300823083e-06,2.26036393169161e-06,1,MULTIPLE_AMBIGUOUS,margin_below_three_cannot_be_unique_when_fit_and_set_hold
A0_H50,T5_T4close,2.00481300846372e-06,2.26036393187857e-06,1,MULTIPLE_AMBIGUOUS,margin_below_three_cannot_be_unique_when_fit_and_set_hold
A0_Zin50,T3_T5,241.671196759242,292.569489866407,0,MULTIPLE_AMBIGUOUS,margin_below_three_cannot_be_unique_when_fit_and_set_hold
A0_Zin50,T3_T4close,0.000142139517477823,0.000157188931191559,1,MULTIPLE_AMBIGUOUS,margin_below_three_cannot_be_unique_when_fit_and_set_hold
A0_Zin50,T5_T4close,241.671193932247,292.569490619713,0,MULTIPLE_AMBIGUOUS,margin_below_three_cannot_be_unique_when_fit_and_set_hold
A0_H50_Zin50,T3_T5,170.887342045928,206.877870252825,0,MULTIPLE_AMBIGUOUS,margin_below_three_cannot_be_unique_when_fit_and_set_hold
A0_H50_Zin50,T3_T4close,0.000100518551169909,0.000111160850424617,1,MULTIPLE_AMBIGUOUS,margin_below_three_cannot_be_unique_when_fit_and_set_hold
A0_H50_Zin50,T5_T4close,170.887340046941,206.877870785493,0,MULTIPLE_AMBIGUOUS,margin_below_three_cannot_be_unique_when_fit_and_set_hold
B_H50_repeat,T3_T5,2.67737868557959e-15,3.04116801094018e-15,1,MULTIPLE_AMBIGUOUS,margin_below_three_cannot_be_unique_when_fit_and_set_hold
B_H50_repeat,T3_T4close,2.00922296465926e-06,2.26533601956726e-06,1,MULTIPLE_AMBIGUOUS,margin_below_three_cannot_be_unique_when_fit_and_set_hold
B_H50_repeat,T5_T4close,2.00922296489266e-06,2.26533601975463e-06,1,MULTIPLE_AMBIGUOUS,margin_below_three_cannot_be_unique_when_fit_and_set_hold
B_H50_Hsecond,T3_T5,1.17680830391489,1.27363168342759,1,MULTIPLE_AMBIGUOUS,margin_below_three_cannot_be_unique_when_fit_and_set_hold
B_H50_Hsecond,T3_T4close,2.06365985887739e-06,2.33407601918719e-06,1,MULTIPLE_AMBIGUOUS,margin_below_three_cannot_be_unique_when_fit_and_set_hold
B_H50_Hsecond,T5_T4close,1.1768083126819,1.27363168490833,1,MULTIPLE_AMBIGUOUS,margin_below_three_cannot_be_unique_when_fit_and_set_hold
C_Hendpoint_Hnode,T3_T5,4.82712484005244,5.1136476930613,0,MULTIPLE_AMBIGUOUS,margin_below_three_cannot_be_unique_when_fit_and_set_hold
C_Hendpoint_Hnode,T3_T4close,2.78580602293341e-06,3.14263478477184e-06,1,MULTIPLE_AMBIGUOUS,margin_below_three_cannot_be_unique_when_fit_and_set_hold
C_Hendpoint_Hnode,T5_T4close,4.82712489950511,5.11364764424875,0,MULTIPLE_AMBIGUOUS,margin_below_three_cannot_be_unique_when_fit_and_set_hold
